Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.55,10.66,10.16,10.35,10.35,3352100
2016-01-05,10.4,10.5,10.11,10.3,10.3,2114500
2016-01-06,10.11,10.16,9.66,9.89,9.89,1934500
2016-01-07,9.5,9.65,8.92,9.0,9.0,2424300
2016-01-08,9.1,9.4,8.75,8.89,8.89,1932600
2016-01-11,8.91,9.05,7.99,8.29,8.29,2288700
2016-01-12,8.38,8.76,8.08,8.57,8.57,1708700
2016-01-13,8.61,8.61,7.76,7.84,7.84,2048600
2016-01-14,7.87,8.16,7.23,7.95,7.95,2325400
2016-01-15,7.49,7.76,7.15,7.56,7.56,1907700
2016-01-19,7.7,7.7,7.08,7.29,7.29,1295900
2016-01-20,7.11,7.81,6.82,7.61,7.61,2303600
2016-01-21,7.63,7.97,7.18,7.19,7.19,1898000
2016-01-22,7.43,7.54,7.08,7.42,7.42,1967100
2016-01-25,7.33,7.77,7.21,7.54,7.54,2077100
2016-01-26,7.63,7.7,7.11,7.5,7.5,1662900
2016-01-27,7.48,7.65,7.13,7.17,7.17,1468000
2016-01-28,7.25,7.35,6.69,6.99,6.99,1638800
2016-01-29,7.09,7.13,6.43,6.76,6.76,2923500
2016-02-01,6.73,6.88,6.51,6.79,6.79,1536900
2016-02-02,6.62,6.68,6.21,6.41,6.41,1805300
2016-02-03,6.45,6.55,6.04,6.45,6.45,1498200
2016-02-04,6.45,6.96,6.35,6.7,6.7,1601900
2016-02-05,6.61,6.71,6.24,6.32,6.32,2560900
2016-02-08,6.21,6.35,5.67,5.86,5.86,2094800
2016-02-09,5.75,6.15,5.68,5.96,5.96,1119300
2016-02-10,6.02,6.28,5.91,5.92,5.92,887500
2016-02-11,5.75,5.94,5.61,5.63,5.63,1652100
2016-02-12,5.7,6.26,5.57,6.07,6.07,2050200
2016-02-16,6.21,6.44,6.09,6.27,6.27,2452100
2016-02-17,6.3,6.59,6.05,6.48,6.48,1614100
2016-02-18,6.34,6.56,6.23,6.41,6.41,2212700
2016-02-19,6.38,6.74,6.31,6.7,6.7,1392900
2016-02-22,6.84,6.98,6.79,6.9,6.9,1361300
2016-02-23,6.86,6.95,6.66,6.7,6.7,1745500
2016-02-24,6.62,6.69,6.25,6.65,6.65,1420000
2016-02-25,6.65,7.3,6.65,6.85,6.85,2163000
2016-02-26,7.18,7.61,7.03,7.35,7.35,2258800
2016-02-29,7.33,7.51,7.26,7.39,7.39,1525100
2016-03-01,7.46,7.65,7.29,7.6,7.6,2319400
2016-03-02,7.59,7.8,7.46,7.8,7.8,2189200
2016-03-03,7.78,7.82,7.35,7.63,7.63,1728900
2016-03-04,7.65,7.7,7.23,7.29,7.29,2294500
2016-03-07,7.27,7.88,7.16,7.86,7.86,1501900
2016-03-08,7.82,7.83,7.45,7.48,7.48,1347500
2016-03-09,7.57,7.6,7.14,7.24,7.24,2025000
2016-03-10,7.27,7.44,7.04,7.12,7.12,1311200
2016-03-11,7.18,7.51,7.08,7.5,7.5,1429400
2016-03-14,7.5,7.69,7.33,7.55,7.55,1420500
2016-03-15,7.52,7.6,7.12,7.14,7.14,1959500
2016-03-16,7.09,7.28,6.87,7.06,7.06,1895900
2016-03-17,7.07,7.2,6.9,7.02,7.02,2204900
2016-03-18,7.14,7.37,7.0,7.26,7.26,3884300
2016-03-21,7.23,7.43,7.11,7.23,7.23,1217900
2016-03-22,7.17,7.5,7.17,7.44,7.44,1373900
2016-03-23,7.39,7.57,7.15,7.15,7.15,1240100
2016-03-24,7.09,7.49,6.98,7.38,7.38,1181600
2016-03-28,7.4,7.46,7.23,7.29,7.29,867900
2016-03-29,7.25,7.67,7.2,7.56,7.56,1440800
2016-03-30,7.58,7.77,7.42,7.52,7.52,1734100
2016-03-31,7.51,7.92,7.51,7.72,7.72,1832100
2016-04-01,7.7,8.03,7.55,7.92,7.92,1907100
2016-04-04,7.99,8.15,7.83,7.85,7.85,1785800
2016-04-05,7.82,8.03,7.69,7.89,7.89,1013300
2016-04-06,7.9,8.19,7.86,8.19,8.19,1999100
2016-04-07,8.1,8.28,7.95,8.05,8.05,1595800
2016-04-08,8.18,8.18,7.83,8.05,8.05,1001500
2016-04-11,8.09,8.25,7.88,7.88,7.88,983400
2016-04-12,7.9,8.15,7.86,8.12,8.12,1268400
2016-04-13,8.22,8.37,8.16,8.36,8.36,966300
2016-04-14,8.33,8.56,8.18,8.52,8.52,1054800
2016-04-15,8.49,8.67,8.4,8.6,8.6,1216600
2016-04-18,8.59,8.75,8.48,8.65,8.65,1085400
2016-04-19,8.65,8.68,8.38,8.45,8.45,989000
2016-04-20,8.54,8.6,8.29,8.43,8.43,1317600
2016-04-21,8.45,9.21,8.4,9.03,9.03,1842500
2016-04-22,9.1,9.26,8.84,9.1,9.1,2030800
2016-04-25,9.1,9.35,9.04,9.14,9.14,1108600
2016-04-26,9.15,9.15,8.82,8.88,8.88,871200
2016-04-27,8.84,9.05,8.75,8.87,8.87,1085900
2016-04-28,8.88,9.13,8.73,8.8,8.8,1163100
2016-04-29,8.73,8.88,8.55,8.55,8.55,1310500
2016-05-02,8.57,8.84,8.36,8.82,8.82,1360000
2016-05-03,8.65,8.76,8.12,8.25,8.25,2234500
2016-05-04,8.14,8.32,7.99,8.02,8.02,1595400
2016-05-05,8.1,8.19,7.77,7.93,7.93,1323600
2016-05-06,7.84,8.01,7.65,7.92,7.92,1549900
2016-05-09,7.9,8.44,7.9,8.31,8.31,1706600
2016-05-10,8.33,8.49,8.05,8.31,8.31,1002600
2016-05-11,8.28,8.43,7.96,7.97,7.97,1038100
2016-05-12,8.02,8.18,7.7,7.91,7.91,1432300
2016-05-13,7.91,8.17,7.88,8.14,8.14,1125100
2016-05-16,8.19,8.36,8.07,8.24,8.24,1348600
2016-05-17,8.19,8.3,7.96,8.01,8.01,1332100
2016-05-18,8.0,8.29,7.99,8.16,8.16,1258000
2016-05-19,8.12,8.35,7.97,8.15,8.15,1152600
2016-05-20,8.2,8.55,8.14,8.42,8.42,1411000
2016-05-23,8.43,8.68,8.38,8.49,8.49,850600
2016-05-24,8.57,8.9,8.45,8.89,8.89,1327600
2016-05-25,8.94,9.15,8.9,9.05,9.05,1318900
2016-05-26,9.04,9.15,8.87,9.05,9.05,1116400
2016-05-27,9.06,9.16,8.96,9.1,9.1,912600
2016-05-31,9.17,9.44,9.16,9.35,9.35,1409700
2016-06-01,9.31,9.55,9.23,9.42,9.42,1332500
2016-06-02,9.42,9.85,9.34,9.83,9.83,1597200
2016-06-03,9.84,9.85,9.45,9.64,9.64,1762300
2016-06-06,9.66,9.87,9.44,9.86,9.86,1438500
2016-06-07,9.87,9.87,9.51,9.51,9.51,1131200
2016-06-08,9.52,9.65,9.35,9.61,9.61,1211500
2016-06-09,9.51,10.06,9.47,9.73,9.73,2199100
2016-06-10,9.95,9.95,9.52,9.55,9.55,2053700
2016-06-13,9.51,9.63,9.08,9.11,9.11,1820600
2016-06-14,9.11,9.3,9.01,9.18,9.18,1279000
2016-06-15,9.24,9.42,9.01,9.02,9.02,2212400
2016-06-16,8.97,9.13,8.83,9.1,9.1,971900
2016-06-17,9.1,9.17,8.5,8.52,8.52,3384700
2016-06-20,8.69,8.79,8.6,8.63,8.63,1203300
2016-06-21,8.67,8.67,8.35,8.42,8.42,1013900
2016-06-22,8.41,8.69,8.31,8.4,8.4,1027400
2016-06-23,8.54,8.76,8.38,8.71,8.71,1207900
2016-06-24,8.1,8.44,8.04,8.06,8.06,1628000
2016-06-27,7.85,8.03,7.48,7.48,7.48,2392000
2016-06-28,7.66,7.92,7.66,7.78,7.78,1716700
2016-06-29,7.91,7.91,7.65,7.84,7.84,1434200
2016-06-30,7.88,7.94,7.72,7.8,7.8,966800
2016-07-01,7.82,8.13,7.78,8.03,8.03,981900
2016-07-05,7.9,8.04,7.81,7.87,7.87,791000
2016-07-06,7.81,8.26,7.81,8.17,8.17,900900
2016-07-07,8.66,8.89,8.5,8.88,8.88,1951900
2016-07-08,8.84,9.2,8.83,9.14,9.14,1593600
2016-07-11,9.23,9.32,9.19,9.21,9.21,1566100
2016-07-12,9.3,9.36,9.13,9.24,9.24,1338700
2016-07-13,9.33,9.33,8.93,8.93,8.93,1400200
2016-07-14,8.54,8.75,8.4,8.64,8.64,2452800
2016-07-15,8.7,8.85,8.62,8.76,8.76,1538600
2016-07-18,8.8,8.88,8.7,8.79,8.79,990100
2016-07-19,8.68,8.9,8.48,8.49,8.49,1315000
2016-07-20,8.57,8.75,8.49,8.68,8.68,916200
2016-07-21,8.72,8.9,8.67,8.77,8.77,1148900
2016-07-22,8.76,8.84,8.56,8.6,8.6,926600
2016-07-25,8.58,8.59,8.33,8.42,8.42,857100
2016-07-26,8.41,8.55,8.37,8.39,8.39,852100
2016-07-27,8.4,8.5,8.35,8.4,8.4,1403300
2016-07-28,8.35,8.4,8.15,8.27,8.27,1630300
2016-07-29,8.18,8.37,8.14,8.28,8.28,1419700
2016-08-01,8.3,8.46,8.26,8.43,8.43,1369200
2016-08-02,8.43,8.71,8.32,8.67,8.67,1978800
2016-08-03,8.63,8.8,8.53,8.72,8.72,767400
2016-08-04,8.67,8.81,8.54,8.55,8.55,590600
2016-08-05,8.58,9.14,8.58,9.12,9.12,1312000
2016-08-08,9.12,9.21,8.97,8.99,8.99,805600
2016-08-09,9.01,9.1,8.95,9.04,9.04,732700
2016-08-10,9.06,9.07,8.75,8.8,8.8,595000
2016-08-11,8.84,9.04,8.75,8.85,8.85,786700
2016-08-12,8.86,8.87,8.63,8.74,8.74,1098100
2016-08-15,8.8,8.95,8.77,8.86,8.86,781100
2016-08-16,8.81,8.91,8.74,8.82,8.82,1105600
2016-08-17,8.8,8.8,8.62,8.65,8.65,598000
2016-08-18,8.62,8.8,8.57,8.77,8.77,508100
2016-08-19,8.75,8.95,8.75,8.85,8.85,910300
2016-08-22,8.88,9.3,8.8,9.29,9.29,1691900
2016-08-23,9.38,9.43,9.15,9.22,9.22,980900
2016-08-24,9.17,9.49,8.6,8.6,8.6,2584800
2016-08-25,8.61,8.96,8.38,8.6,8.6,1527100
2016-08-26,8.59,8.73,8.41,8.54,8.54,1050600
2016-08-29,8.56,8.65,8.35,8.4,8.4,981000
2016-08-30,8.37,8.53,8.34,8.36,8.36,918500
2016-08-31,8.32,8.43,8.2,8.26,8.26,1384900
2016-09-01,8.26,8.33,8.1,8.23,8.23,928000
