Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,26.860001,27.934998999999998,25.059998999999998,26.389999,26.389999,60000
2016-01-05,26.360001,27.719998999999998,24.32,27.370001000000002,27.370001000000002,42800
2016-01-06,27.219998999999998,27.684998999999998,25.360001,25.68,25.68,41200
2016-01-07,25.09,26.059998999999998,23.799999,23.98,23.98,26800
2016-01-08,23.98,24.42,23.43,23.5,23.5,19700
2016-01-11,25.35,25.35,16.5,19.440001000000002,19.440001000000002,95800
2016-01-12,19.719998999999998,20.690001000000002,18.27,20.43,20.43,70600
2016-01-13,20.459999,20.860001,19.23,20.18,20.18,60700
2016-01-14,19.950001,21.299999,19.41,21.15,21.15,30700
2016-01-15,20.530001000000002,21.054001,19.280001000000002,20.42,20.42,49500
2016-01-19,20.5,21.639999,19.030001000000002,19.98,19.98,34000
2016-01-20,19.690001000000002,21.73,19.41,21.049999,21.049999,36500
2016-01-21,21.299999,23.08,20.02,22.559998999999998,22.559998999999998,31000
2016-01-22,22.85,23.969998999999998,21.6,22.0,22.0,40900
2016-01-25,22.24,22.24,19.98,20.15,20.15,28300
2016-01-26,20.24,22.25,19.389999,21.84,21.84,38900
2016-01-27,22.16,22.299999,20.73,20.879998999999998,20.879998999999998,27900
2016-01-28,21.27,21.809998999999998,20.700001,20.940001000000002,20.940001000000002,26400
2016-01-29,21.049999,22.51,20.9,22.23,22.23,42700
2016-02-01,22.26,22.26,21.02,21.65,21.65,31300
2016-02-02,21.34,22.389999,21.299999,21.93,21.93,11300
2016-02-03,22.27,22.27,21.540001,22.0,22.0,4000
2016-02-04,21.950001,22.26,20.940001000000002,21.969998999999998,21.969998999999998,16900
2016-02-05,22.620001000000002,22.870001000000002,21.540001,21.540001,21.540001,30200
2016-02-08,21.4,22.264999,20.24,20.459999,20.459999,17400
2016-02-09,20.17,20.389999,19.540001,19.6,19.6,11300
2016-02-10,20.040001,21.5,19.91,20.120001000000002,20.120001000000002,17300
2016-02-11,19.9,21.290001,19.9,19.9,19.9,11000
2016-02-12,20.280001000000002,20.559998999999998,19.139999,19.450001,19.450001,17500
2016-02-16,19.51,19.51,18.0,18.780001000000002,18.780001000000002,49600
