Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.04,12.04,11.33,11.82,11.82,341500
2016-01-05,11.85,12.85,11.53,12.29,12.29,551600
2016-01-06,12.15,12.38,11.64,11.68,11.68,811200
2016-01-07,11.34,11.818,10.17,10.65,10.65,825800
2016-01-08,10.75,10.88,10.22,10.53,10.53,544700
2016-01-11,10.61,10.63,9.05,9.42,9.42,820500
2016-01-12,9.51,9.729,7.81,8.51,8.51,774800
2016-01-13,8.45,8.822,7.14,7.18,7.18,546900
2016-01-14,7.13,8.33,6.75,7.55,7.55,673200
2016-01-15,7.52,7.96,7.345,7.66,7.66,414100
2016-01-19,7.83,8.077,7.45,7.62,7.62,297800
2016-01-20,7.58,8.63,7.31,8.05,8.05,486200
2016-01-21,8.05,8.19,7.7,8.02,8.02,218300
2016-01-22,8.1,8.83,8.1,8.81,8.81,157100
2016-01-25,8.72,9.28,8.46,8.5,8.5,180200
2016-01-26,8.46,8.99,8.21,8.34,8.34,168900
2016-01-27,8.38,8.41,7.72,7.76,7.76,263400
2016-01-28,7.78,7.81,7.13,7.23,7.23,352200
2016-01-29,7.19,7.56,6.9,7.07,7.07,238100
2016-02-01,7.09,7.425,6.96,7.39,7.39,326100
2016-02-02,7.48,8.1,7.39,7.93,7.93,385400
2016-02-03,8.0,8.1,7.01,7.4,7.4,301800
2016-02-04,7.35,7.9,7.13,7.55,7.55,314900
2016-02-05,7.57,7.68,7.07,7.12,7.12,125800
2016-02-08,7.13,7.16,6.75,7.15,7.15,246500
2016-02-09,7.06,7.2,6.19,6.52,6.52,608500
2016-02-10,6.6,7.36,6.6,7.05,7.05,149700
2016-02-11,6.94,7.68,6.64,7.5,7.5,144200
2016-02-12,7.48,8.15,7.435,7.85,7.85,177000
2016-02-16,7.95,8.73,7.95,8.34,8.34,283100
2016-02-17,8.38,9.15,8.38,8.53,8.53,279100
2016-02-18,8.55,8.75,8.04,8.27,8.27,137100
2016-02-19,8.18,8.38,7.9,8.22,8.22,98800
2016-02-22,8.31,8.55,8.144,8.39,8.39,95900
2016-02-23,8.39,8.46,7.54,7.63,7.63,100100
2016-02-24,7.48,7.48,7.01,7.38,7.38,157000
2016-02-25,7.51,7.98,7.5,7.67,7.67,368300
2016-02-26,7.74,8.095,7.3,7.82,7.82,163700
2016-02-29,7.9,7.9,7.06,7.19,7.19,128600
2016-03-01,7.25,7.47,7.12,7.45,7.45,145200
2016-03-02,7.43,8.55,7.43,8.38,8.38,132300
2016-03-03,8.44,8.96,8.25,8.33,8.33,137300
2016-03-04,8.31,8.55,7.9,8.24,8.24,176000
2016-03-07,8.2,9.49,8.2,9.06,9.06,297500
2016-03-08,9.09,9.73,8.7,8.92,8.92,329100
2016-03-09,8.94,8.94,8.1,8.34,8.34,314000
2016-03-10,8.34,8.49,7.55,7.76,7.76,221500
2016-03-11,7.76,8.52,7.66,8.23,8.23,303700
2016-03-14,8.18,8.35,7.84,8.13,8.13,295300
2016-03-15,8.06,8.113,7.71,7.87,7.87,237000
2016-03-16,7.86,8.08,7.83,7.91,7.91,134600
2016-03-17,7.9,8.055,7.46,7.53,7.53,165500
2016-03-18,7.51,7.79,7.41,7.61,7.61,107700
2016-03-21,7.48,8.35,7.48,7.82,7.82,154900
2016-03-22,7.87,8.45,7.87,8.4,8.4,168000
2016-03-23,8.45,8.614,7.7,7.76,7.76,211400
2016-03-24,7.77,8.01,7.45,7.92,7.92,142500
2016-03-28,7.97,8.11,7.66,7.8,7.8,123800
2016-03-29,7.86,8.08,7.5,7.99,7.99,165200
2016-03-30,8.21,8.49,7.65,7.74,7.74,321900
2016-03-31,7.81,8.24,7.81,8.13,8.13,274800
2016-04-01,8.11,8.42,8.02,8.3,8.3,124100
2016-04-04,8.35,9.1,8.35,8.62,8.62,245500
2016-04-05,8.62,9.09,8.42,8.85,8.85,153200
2016-04-06,8.93,9.62,8.93,9.48,9.48,172000
2016-04-07,9.7,10.3,9.7,9.99,9.99,307400
2016-04-08,10.11,10.57,9.69,9.82,9.82,148400
2016-04-11,9.95,10.28,9.25,9.29,9.29,94500
2016-04-12,9.28,9.42,8.95,9.11,9.11,104900
2016-04-13,9.16,9.62,9.02,9.41,9.41,112300
2016-04-14,9.43,9.68,9.4,9.48,9.48,50600
2016-04-15,9.5,9.79,9.34,9.63,9.63,141500
2016-04-18,9.59,9.77,9.24,9.31,9.31,101400
2016-04-19,9.5,9.68,9.0,9.19,9.19,139400
2016-04-20,9.26,9.5,8.82,8.92,8.92,168100
2016-04-21,8.82,9.53,8.63,9.44,9.44,158300
2016-04-22,9.314,10.75,9.314,10.38,10.38,214700
2016-04-25,10.25,10.51,9.79,9.84,9.84,112300
2016-04-26,9.82,10.0,9.23,9.45,9.45,145600
2016-04-27,9.45,9.7,9.24,9.42,9.42,71500
2016-04-28,9.24,9.76,9.16,9.45,9.45,83900
2016-04-29,9.35,9.83,9.09,9.69,9.69,177700
2016-05-02,9.81,9.82,9.37,9.77,9.77,67400
2016-05-03,9.85,9.99,9.51,9.71,9.71,157400
2016-05-04,9.7,9.7,9.1,9.15,9.15,105400
2016-05-05,9.13,9.13,8.69,8.75,8.75,130800
2016-05-06,8.66,8.82,8.301,8.69,8.69,124200
2016-05-09,8.76,9.656,8.57,9.53,9.53,86700
2016-05-10,9.59,9.95,9.48,9.87,9.87,77100
2016-05-11,9.82,9.82,8.83,8.85,8.85,67300
2016-05-12,8.83,9.31,8.155,8.25,8.25,192300
2016-05-13,8.19,8.6,8.105,8.4,8.4,54300
2016-05-16,8.57,9.24,8.41,9.22,9.22,70200
2016-05-17,9.04,9.401,9.0,9.04,9.04,56400
2016-05-18,9.0,9.48,8.84,9.32,9.32,72000
2016-05-19,9.39,9.76,9.04,9.55,9.55,177200
2016-05-20,9.66,10.19,9.44,10.11,10.11,83300
2016-05-23,10.19,10.78,10.16,10.55,10.55,330500
2016-05-24,10.63,10.65,10.37,10.43,10.43,162500
