Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,27.700001,28.23,27.09,27.91,27.91,279600
2016-01-05,27.08,27.5,25.610001,26.059998999999998,26.059998999999998,325600
2016-01-06,25.43,26.0,23.4,23.639999,23.639999,427600
2016-01-07,22.4,24.879998999999998,22.33,24.309998999999998,24.309998999999998,1505100
2016-01-08,24.33,24.98,23.16,24.48,24.48,489900
2016-01-11,24.33,24.709999,22.5,23.469998999999998,23.469998999999998,464600
2016-01-12,24.360001,25.145,23.110001,23.959999,23.959999,241100
2016-01-13,24.700001,25.110001,23.35,23.870001000000002,23.870001000000002,320200
2016-01-14,23.85,26.07,23.0,25.549999,25.549999,452100
2016-01-15,24.75,25.639999,23.885,25.01,25.01,493300
2016-01-19,25.77,25.889999,21.15,22.0,22.0,619300
2016-01-20,21.879998999999998,22.530001000000002,19.9,21.67,21.67,376600
2016-01-21,21.35,22.15,20.25,20.74,20.74,279400
2016-01-22,21.41,23.200001,20.440001000000002,22.209999,22.209999,336100
2016-01-25,21.65,22.18,20.73,21.34,21.34,286500
2016-01-26,21.58,21.58,20.02,20.639999,20.639999,304000
2016-01-27,20.51,20.74,18.52,18.629998999999998,18.629998999999998,481800
2016-01-28,18.790001,18.799999,16.940001000000002,17.02,17.02,507900
2016-01-29,16.959999,17.556,16.5,17.139999,17.139999,765100
2016-02-01,17.08,17.719998999999998,16.690001000000002,17.139999,17.139999,427900
2016-02-02,16.950001,17.18,16.547001,16.77,16.77,324100
2016-02-03,17.1,17.299999,16.18,16.620001000000002,16.620001000000002,480000
2016-02-04,16.4,17.190001000000002,16.030001000000002,16.389999,16.389999,330300
2016-02-05,16.25,16.5,15.04,15.25,15.25,392200
2016-02-08,15.0,15.12,13.76,14.28,14.28,329600
2016-02-09,14.05,14.74,13.47,13.5,13.5,329400
2016-02-10,13.77,14.45,13.34,13.59,13.59,355600
2016-02-11,13.22,13.8,13.15,13.52,13.52,204000
2016-02-12,13.81,14.37,13.47,14.31,14.31,236700
2016-02-16,14.46,14.925,13.85,14.52,14.52,436800
2016-02-17,14.72,16.139999,14.61,15.42,15.42,314800
2016-02-18,15.37,15.53,14.66,14.77,14.77,216600
2016-02-19,14.7,15.06,14.32,14.93,14.93,149800
2016-02-22,15.05,15.5,14.69,14.76,14.76,163000
2016-02-23,14.61,15.13,14.5,14.8,14.8,366100
2016-02-24,14.44,14.54,12.65,12.8,12.8,1016900
2016-02-25,12.9,13.105,12.02,12.87,12.87,388100
2016-02-26,13.0,13.47,12.75,13.2,13.2,350900
2016-02-29,13.12,13.33,12.5,12.8,12.8,357500
2016-03-01,12.99,13.31,12.28,13.2,13.2,276400
2016-03-02,13.18,14.06,12.295,13.92,13.92,236100
2016-03-03,13.99,14.42,13.73,14.27,14.27,352000
2016-03-04,14.19,14.25,13.38,13.66,13.66,436300
2016-03-07,13.52,15.62,13.28,15.29,15.29,358000
2016-03-08,15.25,15.3,13.9,13.98,13.98,411900
2016-03-09,14.0,14.09,13.51,13.81,13.81,315000
2016-03-10,13.95,14.28,13.3,13.64,13.64,238500
2016-03-11,13.74,14.3,13.66,14.27,14.27,227700
2016-03-14,14.19,15.33,14.19,14.89,14.89,245800
2016-03-15,14.75,14.76,13.26,13.35,13.35,298400
2016-03-16,13.28,13.46,12.93,12.99,12.99,178600
2016-03-17,12.88,13.18,12.09,12.42,12.42,516500
2016-03-18,12.51,12.765,12.07,12.64,12.64,487200
2016-03-21,12.63,14.44,12.57,13.91,13.91,526200
2016-03-22,13.82,14.41,13.712,14.12,14.12,280400
2016-03-23,14.13,14.28,13.301,13.59,13.59,280400
2016-03-24,13.46,14.385,13.305,14.17,14.17,255000
2016-03-28,14.23,14.595,13.72,14.16,14.16,503500
2016-03-29,14.17,14.57,13.81,14.54,14.54,304100
2016-03-30,14.55,15.08,14.02,14.12,14.12,365700
2016-03-31,14.06,14.87,13.73,14.46,14.46,272700
2016-04-01,14.52,16.02,14.43,15.65,15.65,354600
2016-04-04,15.71,16.540001,15.34,16.32,16.32,245500
2016-04-05,16.25,16.531,15.82,16.360001,16.360001,242600
2016-04-06,16.389999,17.450001,16.219,17.34,17.34,356500
2016-04-07,17.35,17.799999,17.129998999999998,17.43,17.43,274000
2016-04-08,17.709999,17.709999,16.76,17.1,17.1,256500
2016-04-11,17.17,17.41,16.620001000000002,16.73,16.73,156600
2016-04-12,16.690001000000002,16.950001,16.16,16.6,16.6,160400
2016-04-13,16.75,17.950001,16.57,17.809998999999998,17.809998999999998,299300
2016-04-14,17.809998999999998,18.440001000000002,17.26,18.23,18.23,204600
2016-04-15,18.09,18.33,17.809998999999998,18.059998999999998,18.059998999999998,241400
2016-04-18,18.0,18.860001,17.76,18.59,18.59,332700
2016-04-19,18.790001,18.978001000000003,17.52,17.700001,17.700001,291700
2016-04-20,18.16,18.17,16.75,17.280001000000002,17.280001000000002,275100
2016-04-21,17.24,18.299999,17.209999,18.08,18.08,180200
2016-04-22,18.110001,18.83,17.700001,18.83,18.83,288700
2016-04-25,18.85,19.15,18.26,18.379998999999998,18.379998999999998,136300
2016-04-26,18.49,18.49,17.549999,17.620001000000002,17.620001000000002,271200
2016-04-27,17.549999,18.0,17.25,17.5,17.5,446700
2016-04-28,18.959999,19.0,14.58,16.690001000000002,16.690001000000002,1013900
2016-04-29,16.57,17.27,16.290001,16.879998999999998,16.879998999999998,412100
2016-05-02,16.9,17.030001000000002,16.299999,17.0,17.0,211200
2016-05-03,16.82,16.93,16.129998999999998,16.15,16.15,264400
2016-05-04,16.07,16.18,15.43,15.73,15.73,226200
2016-05-05,15.92,15.99,14.96,14.96,14.96,245900
2016-05-06,15.07,15.07,14.5,14.7,14.7,242400
2016-05-09,14.76,15.46,14.44,15.1,15.1,225700
2016-05-10,15.14,15.3,14.72,15.1,15.1,251900
2016-05-11,15.04,16.299999,14.73,14.81,14.81,350100
2016-05-12,14.75,14.75,13.94,14.28,14.28,238000
2016-05-13,14.23,14.84,14.11,14.58,14.58,211900
2016-05-16,14.5,15.51,14.47,15.4,15.4,353700
2016-05-17,15.44,15.62,15.1,15.22,15.22,240100
2016-05-18,15.09,15.55,15.09,15.43,15.43,276100
2016-05-19,15.29,15.69,14.93,15.04,15.04,191300
2016-05-20,15.21,15.95,14.99,15.83,15.83,195300
2016-05-23,15.89,16.43,15.8,16.049999,16.049999,150800
2016-05-24,16.083,16.309998999999998,15.88,16.15,16.15,166100
2016-05-25,16.299999,16.450001,16.129998999999998,16.27,16.27,147200
2016-05-26,16.280001000000002,16.43,16.139999,16.139999,16.139999,96700
2016-05-27,16.24,16.41,15.95,16.379998999999998,16.379998999999998,148600
2016-05-31,16.530001000000002,17.0,16.530001000000002,16.82,16.82,139200
2016-06-01,16.780001000000002,17.26,16.110001,17.07,17.07,166700
2016-06-02,16.99,17.709999,16.969998999999998,17.559998999999998,17.559998999999998,192700
2016-06-03,17.43,17.445,16.25,17.030001000000002,17.030001000000002,161000
2016-06-06,17.17,17.59,16.85,17.375,17.375,163300
2016-06-07,17.25,17.42,16.790001,17.23,17.23,124200
2016-06-08,17.32,17.35,16.85,17.290001,17.290001,106900
2016-06-09,17.09,17.584999,16.870001000000002,17.0,17.0,143200
2016-06-10,16.68,17.34,15.51,15.97,15.97,292400
2016-06-13,15.89,16.379998999999998,15.7,15.87,15.87,221900
2016-06-14,16.27,16.67,15.41,16.120001000000002,16.120001000000002,271100
2016-06-15,16.209999,16.549999,16.01,16.27,16.27,134400
2016-06-16,16.9,17.4,16.469998999999998,16.870001000000002,16.870001000000002,179500
2016-06-17,17.030001000000002,17.870001000000002,17.030001000000002,17.5,17.5,320400
2016-06-20,17.82,18.6,17.41,18.059998999999998,18.059998999999998,320100
2016-06-21,18.129998999999998,18.35,16.299999,16.620001000000002,16.620001000000002,333100
2016-06-22,16.969998999999998,17.1,15.94,16.389999,16.389999,300100
2016-06-23,16.389999,16.67,15.98,16.24,16.24,247700
2016-06-24,15.5,15.91,15.14,15.52,15.52,919300
2016-06-27,15.3,15.745,14.42,14.72,14.72,407800
2016-06-28,15.05,15.69,14.69,15.52,15.52,432500
2016-06-29,15.65,15.74,15.41,15.48,15.48,275700
2016-06-30,15.5,16.24,14.5,15.14,15.14,209300
2016-07-01,15.18,15.61,15.03,15.55,15.55,258200
2016-07-05,15.48,15.547,14.99,15.38,15.38,141400
2016-07-06,15.23,15.95,15.15,15.84,15.84,233900
2016-07-07,15.8,16.23,15.31,15.49,15.49,188600
2016-07-08,15.75,15.75,15.21,15.69,15.69,237800
2016-07-11,15.77,15.95,15.46,15.65,15.65,155100
2016-07-12,15.73,16.77,15.7,16.620001000000002,16.620001000000002,324500
