Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,23.9,24.08,22.58,23.309998999999998,23.309998999999998,472500
2016-01-05,23.48,23.51,21.92,22.51,22.51,422400
2016-01-06,22.02,22.312,21.07,21.83,21.83,377500
2016-01-07,21.290001,21.51,20.15,20.280001000000002,20.280001000000002,255500
2016-01-08,20.4,21.129998999999998,19.559998999999998,19.889999,19.889999,242400
2016-01-11,20.139999,20.139999,17.746,18.379998999999998,18.379998999999998,342300
2016-01-12,18.68,19.27,17.709999,18.469998999999998,18.469998999999998,233200
2016-01-13,19.16,19.16,17.639999,17.709999,17.709999,465200
2016-01-14,17.99,18.67,16.9,18.27,18.27,353600
2016-01-15,17.639999,19.030001000000002,16.34,18.68,18.68,381200
2016-01-19,18.98,19.459999,17.620001000000002,17.799999,17.799999,286700
2016-01-20,17.459999,19.690001000000002,16.809998999999998,18.76,18.76,450400
2016-01-21,18.76,19.780001000000002,18.27,18.639999,18.639999,323600
2016-01-22,19.08,19.66,18.59,19.1,19.1,329600
2016-01-25,19.030001000000002,19.98,18.709999,18.93,18.93,265100
2016-01-26,18.889999,19.18,18.01,18.85,18.85,296500
2016-01-27,18.6,19.09,17.407,17.6,17.6,417300
2016-01-28,17.889999,17.915001,16.49,16.6,16.6,389600
2016-01-29,16.620001000000002,17.35,16.33,16.540001,16.540001,442700
2016-02-01,16.52,17.455,15.875,16.389999,16.389999,452100
2016-02-02,16.18,16.18,15.14,15.71,15.71,338300
2016-02-03,15.85,16.540001,15.22,16.280001000000002,16.280001000000002,321200
2016-02-04,16.139999,17.110001,15.772,16.370001000000002,16.370001000000002,283500
2016-02-05,16.18,16.514999,15.05,15.22,15.22,379500
2016-02-08,15.01,15.05,13.38,13.76,13.76,394800
2016-02-09,13.43,14.58,13.225,13.8,13.8,539600
2016-02-10,13.84,15.0,13.84,14.16,14.16,376700
2016-02-11,13.74,14.48,13.69,13.92,13.92,389900
2016-02-12,14.09,14.44,13.01,13.75,13.75,425500
2016-02-16,13.87,14.38,13.65,13.94,13.94,430100
2016-02-17,14.18,14.95,14.1,14.84,14.84,1213900
2016-02-18,17.530001000000002,19.24,16.559998999999998,17.389999,17.389999,5107000
2016-02-19,17.0,18.360001,16.309998999999998,17.709999,17.709999,1533300
2016-02-22,17.85,18.35,16.5,16.559998999999998,16.559998999999998,665000
2016-02-23,16.5,17.18,16.309998999999998,16.5,16.5,511300
2016-02-24,16.24,16.9,15.76,16.690001000000002,16.690001000000002,518300
2016-02-25,16.68,16.879998999999998,15.86,16.34,16.34,465200
2016-02-26,16.43,17.41,16.280001000000002,16.969998999999998,16.969998999999998,531000
2016-02-29,16.77,17.129998999999998,16.6,16.84,16.84,455900
2016-03-01,16.799999,17.09,15.86,16.76,16.76,572000
2016-03-02,16.440001000000002,18.549999,15.95,17.629998999999998,17.629998999999998,905000
2016-03-03,17.0,17.1,14.52,15.08,15.08,2726600
2016-03-04,15.18,15.59,14.626,14.84,14.84,769900
2016-03-07,14.63,15.4,14.31,14.86,14.86,704300
2016-03-08,14.81,15.02,13.84,13.93,13.93,519400
2016-03-09,13.97,14.24,12.83,13.0,13.0,660500
2016-03-10,13.22,13.46,12.08,12.53,12.53,533800
2016-03-11,12.52,13.56,12.29,13.5,13.5,531400
2016-03-14,13.57,13.91,13.41,13.56,13.56,423100
2016-03-15,13.48,13.5,12.407,12.48,12.48,317200
2016-03-16,12.36,12.69,11.45,11.53,11.53,607200
2016-03-17,11.57,11.74,10.884,11.09,11.09,670000
2016-03-18,11.93,13.05,11.1,12.37,12.37,1331400
2016-03-21,12.39,12.71,11.76,12.07,12.07,564500
2016-03-22,12.0,12.81,11.89,12.49,12.49,588900
2016-03-23,12.45,12.574,11.64,11.82,11.82,526300
2016-03-24,11.67,12.23,11.161,11.97,11.97,377400
2016-03-28,12.0,12.04,10.923,11.65,11.65,563700
2016-03-29,11.49,12.45,10.82,12.41,12.41,600100
2016-03-30,12.54,12.99,12.05,12.14,12.14,317500
2016-03-31,12.11,12.509,11.99,12.16,12.16,398700
2016-04-01,12.01,13.23,11.89,13.17,13.17,499600
2016-04-04,13.24,13.61,13.0,13.31,13.31,419500
2016-04-05,13.27,13.48,12.94,12.96,12.96,430600
2016-04-06,13.0,14.76,13.0,14.68,14.68,538600
2016-04-07,14.64,15.62,14.64,15.06,15.06,494800
2016-04-08,15.13,15.61,14.79,15.1,15.1,288500
2016-04-11,15.12,15.387,14.54,14.61,14.61,192900
2016-04-12,14.59,14.75,13.95,14.49,14.49,286100
2016-04-13,14.54,15.06,14.28,14.95,14.95,204200
2016-04-14,15.0,15.2,14.73,15.15,15.15,210000
2016-04-15,15.04,15.49,14.85,15.15,15.15,164900
2016-04-18,15.15,16.24,15.043,16.049999,16.049999,359600
2016-04-19,16.0,16.280001000000002,15.0,15.37,15.37,486000
2016-04-20,15.49,15.73,15.13,15.26,15.26,299000
2016-04-21,15.2,16.200001,15.2,16.0,16.0,534800
