Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.190001000000002,18.290001,17.809998999999998,18.17,18.17,227000
2016-01-05,18.27,18.459999,17.35,18.16,18.16,164000
2016-01-06,17.959999,18.09,17.25,17.860001,17.860001,460600
2016-01-07,17.66,17.68,16.91,17.24,17.24,109800
2016-01-08,17.33,17.700001,16.65,16.67,16.67,113700
2016-01-11,19.0,19.0,14.78,15.81,15.81,317500
2016-01-12,15.93,17.200001,15.49,15.84,15.84,119000
2016-01-13,15.76,16.15,14.13,14.4,14.4,152700
2016-01-14,14.45,14.64,13.8,14.41,14.41,185700
2016-01-15,13.96,14.29,13.48,13.89,13.89,155700
2016-01-19,14.11,14.36,13.59,13.89,13.89,123600
2016-01-20,13.67,15.24,12.97,14.63,14.63,124400
2016-01-21,14.57,14.57,13.0,13.43,13.43,224100
2016-01-22,13.84,17.950001,12.714,15.42,15.42,752200
2016-01-25,15.22,17.200001,14.64,16.0,16.0,493100
2016-01-26,16.01,16.35,14.96,15.28,15.28,150400
2016-01-27,15.18,16.49,13.84,13.96,13.96,129000
2016-01-28,14.06,14.06,12.85,13.09,13.09,69000
2016-01-29,13.11,14.2,13.08,13.68,13.68,158600
2016-02-01,13.77,14.72,12.43,14.3,14.3,142600
2016-02-02,14.13,14.9,13.91,14.58,14.58,107200
2016-02-03,14.71,15.87,14.155,15.0,15.0,153400
2016-02-04,15.04,16.549999,15.04,16.07,16.07,89100
2016-02-05,15.88,16.15,15.53,15.6,15.6,149500
2016-02-08,15.7,15.71,14.0,14.55,14.55,185500
2016-02-09,14.32,15.29,14.05,15.18,15.18,131600
2016-02-10,15.32,16.48,15.1,15.46,15.46,144000
2016-02-11,15.15,16.200001,14.13,15.95,15.95,173700
2016-02-12,16.07,16.34,15.55,16.040001,16.040001,92700
2016-02-16,16.219998999999998,18.0,16.040001,16.59,16.59,238100
2016-02-17,17.549999,18.0,15.3,17.200001,17.200001,219300
2016-02-18,17.17,18.139999,17.0,17.26,17.26,99000
2016-02-19,17.23,17.469998999999998,16.690001000000002,17.26,17.26,106700
2016-02-22,17.4,18.545,15.74,16.040001,16.040001,147300
2016-02-23,15.97,16.85,15.9,16.030001000000002,16.030001000000002,68500
2016-02-24,15.82,16.440001000000002,15.16,16.209999,16.209999,98500
2016-02-25,16.33,17.475,16.040001,16.200001,16.200001,183900
2016-02-26,16.32,17.02,15.84,16.93,16.93,166200
2016-02-29,16.889999,16.969998999999998,15.51,16.0,16.0,190200
2016-03-01,16.5,17.0,15.97,16.84,16.84,153700
2016-03-02,16.83,18.07,16.040001,17.879998999999998,17.879998999999998,165400
2016-03-03,17.879998999999998,18.33,17.07,17.879998999999998,17.879998999999998,156400
2016-03-04,17.4,18.120001000000002,16.58,17.700001,17.700001,297000
2016-03-07,17.85,18.48,16.870001000000002,17.25,17.25,261100
2016-03-08,17.190001000000002,17.656,16.671,16.84,16.84,161700
2016-03-09,16.99,17.200001,15.79,16.09,16.09,256200
2016-03-10,16.09,16.629998999999998,15.435,15.88,15.88,124700
2016-03-11,15.9,16.92,15.7,16.459999,16.459999,155400
2016-03-14,16.48,17.004998999999998,16.101,16.639999,16.639999,138800
2016-03-15,16.57,16.57,15.49,15.53,15.53,86200
2016-03-16,15.56,15.56,14.82,15.2,15.2,136800
2016-03-17,15.29,15.29,14.75,15.05,15.05,197300
2016-03-18,15.18,15.3,14.6,14.65,14.65,506400
2016-03-21,14.73,15.65,14.73,14.81,14.81,106100
2016-03-22,14.75,15.87,14.361,14.7,14.7,81300
2016-03-23,14.65,14.876,13.91,14.08,14.08,103100
2016-03-24,13.94,14.01,13.2,13.4,13.4,58800
2016-03-28,13.49,13.905,13.02,13.17,13.17,143100
2016-03-29,13.2,14.38,12.81,14.19,14.19,275500
2016-03-30,14.0,14.205,13.25,13.57,13.57,811300
2016-03-31,13.62,14.285,12.84,13.56,13.56,706400
2016-04-01,13.7,14.15,13.63,13.94,13.94,142400
2016-04-04,13.97,14.41,13.65,13.89,13.89,394500
2016-04-05,13.83,13.99,13.4,13.54,13.54,131900
2016-04-06,13.58,14.24,13.58,14.11,14.11,218700
2016-04-07,14.1,14.32,13.77,13.95,13.95,228900
2016-04-08,14.1,14.1,13.78,13.95,13.95,128500
2016-04-11,14.1,14.1,13.025,13.1,13.1,221000
2016-04-12,13.1,13.68,13.035,13.4,13.4,114100
2016-04-13,13.4,13.53,13.245,13.4,13.4,92700
2016-04-14,13.4,13.469,13.19,13.3,13.3,124400
2016-04-15,13.24,13.69,13.24,13.44,13.44,87900
2016-04-18,13.48,13.96,13.3,13.64,13.64,91500
2016-04-19,13.74,13.83,13.44,13.71,13.71,129400
2016-04-20,13.6,14.19,13.51,13.93,13.93,102500
2016-04-21,13.86,14.18,13.75,14.13,14.13,90500
2016-04-22,14.0,14.22,13.83,14.08,14.08,53700
