Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.64,5.82,5.5,5.81,5.81,30700
2016-01-05,5.84,5.95,5.72,5.79,5.79,88000
2016-01-06,5.72,5.81,5.64,5.73,5.73,32700
2016-01-07,5.68,5.68,5.46,5.48,5.48,40300
2016-01-08,5.54,5.55,5.33,5.39,5.39,45000
2016-01-11,5.5,5.59,5.05,5.3,5.3,118600
2016-01-12,5.3,5.4,4.72,4.87,4.87,137700
2016-01-13,4.9,5.05,4.36,4.36,4.36,97300
2016-01-14,4.46,4.48,4.12,4.4,4.4,171700
2016-01-15,4.29,4.4,4.06,4.26,4.26,90000
2016-01-19,4.33,5.15,4.33,4.45,4.45,124900
2016-01-20,4.2,4.39,3.93,4.1,4.1,152500
2016-01-21,4.14,4.4,4.05,4.34,4.34,42500
2016-01-22,4.5,4.5,4.3,4.37,4.37,30900
2016-01-25,4.35,4.4,4.3,4.35,4.35,44200
2016-01-26,4.39,4.44,4.08,4.27,4.27,96900
2016-01-27,4.29,4.3,4.11,4.14,4.14,67200
2016-01-28,4.22,4.22,3.89,3.9,3.9,49700
2016-01-29,4.0,4.01,3.49,3.62,3.62,196200
2016-02-01,3.6,3.87,3.5,3.82,3.82,32400
2016-02-02,3.83,4.05,3.72,3.89,3.89,33000
2016-02-03,3.68,3.77,3.65,3.69,3.69,35600
2016-02-04,3.68,3.91,3.68,3.83,3.83,34300
2016-02-05,3.85,3.89,3.74,3.8,3.8,27800
2016-02-08,3.76,3.76,3.4,3.45,3.45,56100
2016-02-09,3.4,3.47,3.33,3.44,3.44,35700
2016-02-10,3.45,3.68,3.45,3.55,3.55,44800
2016-02-11,3.52,3.58,3.39,3.49,3.49,38100
2016-02-12,3.59,3.59,3.39,3.49,3.49,41200
2016-02-16,3.55,3.65,3.48,3.63,3.63,30900
2016-02-17,3.67,4.14,3.67,3.99,3.99,30800
2016-02-18,4.04,4.04,3.77,3.84,3.84,14200
2016-02-19,3.8,3.91,3.62,3.62,3.62,33200
2016-02-22,3.68,3.86,3.68,3.78,3.78,26700
2016-02-23,3.74,3.95,3.61,3.72,3.72,8900
2016-02-24,3.72,3.82,3.61,3.61,3.61,33000
2016-02-25,3.66,3.86,3.65,3.73,3.73,10100
2016-02-26,3.72,3.76,3.65,3.65,3.65,16800
2016-02-29,3.69,3.79,3.5,3.5,3.5,31400
2016-03-01,3.52,3.55,3.41,3.41,3.41,41500
2016-03-02,3.45,3.59,3.35,3.54,3.54,62800
2016-03-03,3.55,3.79,3.54,3.71,3.71,38700
2016-03-04,3.72,3.92,3.52,3.77,3.77,46500
2016-03-07,3.79,4.19,3.77,4.05,4.05,73400
2016-03-08,4.06,4.18,3.68,3.69,3.69,30800
2016-03-09,3.73,3.85,3.65,3.8,3.8,18500
2016-03-10,3.81,3.88,3.7,3.71,3.71,14400
2016-03-11,3.77,3.78,3.67,3.76,3.76,32600
2016-03-14,3.76,3.83,3.65,3.68,3.68,22200
2016-03-15,4.32,4.32,3.5,3.62,3.62,91700
2016-03-16,3.53,3.55,3.11,3.28,3.28,149200
2016-03-17,3.22,3.23,3.1,3.18,3.18,60100
2016-03-18,3.19,3.3,3.15,3.24,3.24,38200
2016-03-21,3.24,3.47,3.24,3.37,3.37,51400
2016-03-22,3.37,3.37,3.13,3.18,3.18,44400
2016-03-23,3.18,3.18,2.95,3.01,3.01,74100
2016-03-24,2.99,3.05,2.95,2.97,2.97,31200
2016-03-28,3.0,3.11,2.95,3.06,3.06,54800
2016-03-29,3.02,3.11,2.92,3.06,3.06,110700
2016-03-30,3.1,3.21,2.71,2.79,2.79,211300
2016-03-31,2.69,3.0,2.59,2.76,2.76,331800
2016-04-01,2.74,2.8,2.6,2.71,2.71,142100
2016-04-04,2.79,2.94,2.74,2.74,2.74,91400
2016-04-05,2.87,2.96,2.7,2.72,2.72,98200
2016-04-06,2.73,2.89,2.71,2.84,2.84,533600
2016-04-07,2.85,3.3,2.85,3.16,3.16,273700
2016-04-08,3.14,3.55,3.1,3.18,3.18,142600
2016-04-11,3.14,3.3,3.1,3.14,3.14,57000
2016-04-12,3.24,3.28,3.12,3.19,3.19,74900
2016-04-13,3.2,3.32,3.14,3.24,3.24,123100
2016-04-14,3.2,3.57,3.16,3.51,3.51,188400
2016-04-15,3.51,3.75,3.46,3.69,3.69,72900
2016-04-18,3.65,3.79,3.37,3.75,3.75,315400
2016-04-19,3.75,3.82,3.7,3.76,3.76,87500
2016-04-20,3.81,3.81,3.66,3.68,3.68,72500
2016-04-21,3.68,3.75,3.64,3.73,3.73,31300
2016-04-22,3.76,3.92,3.65,3.88,3.88,66000
2016-04-25,3.85,3.86,3.75,3.77,3.77,104500
2016-04-26,3.75,3.79,3.47,3.52,3.52,59400
2016-04-27,3.48,3.5,3.31,3.42,3.42,67300
