Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.67,12.74,11.92,12.56,12.56,282700
2016-01-05,12.0,12.13,10.58,10.78,10.78,1351700
2016-01-06,10.45,10.55,9.55,9.6,9.6,1393200
2016-01-07,8.54,8.9,8.46,8.66,8.66,5045000
2016-01-08,8.77,9.04,8.51,8.51,8.51,1857500
2016-01-11,8.63,8.73,7.93,8.18,8.18,1134000
2016-01-12,8.37,8.49,7.77,8.26,8.26,632300
2016-01-13,8.22,8.58,7.7,7.79,7.79,757800
2016-01-14,7.9,8.27,7.55,8.04,8.04,569000
2016-01-15,7.76,7.94,7.51,7.75,7.75,994000
2016-01-19,7.91,8.08,7.45,7.78,7.78,820100
2016-01-20,7.26,8.21,7.26,8.0,8.0,696600
2016-01-21,7.91,8.21,7.48,7.51,7.51,725600
2016-01-22,7.44,7.89,7.3,7.77,7.77,824500
2016-01-25,7.83,8.17,7.7,7.86,7.86,629400
2016-01-26,7.97,8.075,7.45,7.69,7.69,517200
2016-01-27,7.7,7.8,7.44,7.5,7.5,505200
2016-01-28,7.54,7.735,7.3,7.35,7.35,451100
2016-01-29,7.31,7.64,7.19,7.33,7.33,1661700
2016-02-01,7.3,7.85,7.19,7.74,7.74,387200
2016-02-02,7.56,7.66,7.33,7.45,7.45,268900
2016-02-03,7.44,7.63,7.2,7.59,7.59,345400
2016-02-04,7.5,8.117,7.5,7.71,7.71,215400
2016-02-05,7.64,7.87,7.38,7.44,7.44,312000
2016-02-08,7.3,7.52,7.07,7.15,7.15,479900
2016-02-09,7.03,7.53,7.02,7.14,7.14,255100
2016-02-10,7.19,7.775,7.05,7.23,7.23,266700
2016-02-11,7.02,7.43,7.02,7.24,7.24,176500
2016-02-12,7.31,7.75,7.12,7.69,7.69,191000
2016-02-16,7.81,8.02,7.74,7.96,7.96,226800
2016-02-17,8.05,8.31,7.89,8.25,8.25,256800
2016-02-18,8.22,8.28,7.72,7.83,7.83,177600
2016-02-19,7.78,7.934,7.5,7.85,7.85,186300
2016-02-22,7.85,8.15,7.68,7.7,7.7,263000
2016-02-23,7.72,7.93,7.27,7.32,7.32,358100
2016-02-24,7.19,7.47,7.02,7.45,7.45,203400
2016-02-25,7.46,7.68,7.22,7.45,7.45,104200
2016-02-26,7.48,7.6,7.3,7.47,7.47,130700
2016-02-29,7.5,7.66,7.28,7.3,7.3,205000
2016-03-01,7.42,7.69,7.2,7.51,7.51,242500
2016-03-02,7.59,7.805,7.315,7.64,7.64,286700
2016-03-03,7.61,7.81,7.51,7.65,7.65,228100
2016-03-04,7.61,8.03,7.48,7.82,7.82,244600
2016-03-07,7.76,8.32,7.75,8.17,8.17,249000
2016-03-08,8.1,8.26,7.92,7.94,7.94,216700
2016-03-09,7.94,8.41,7.52,8.3,8.3,712100
2016-03-10,8.42,8.7,8.17,8.25,8.25,535700
2016-03-11,8.25,8.7,8.25,8.66,8.66,528400
2016-03-14,8.87,8.88,8.46,8.76,8.76,367200
2016-03-15,8.24,8.9,7.58,8.45,8.45,1293700
2016-03-16,8.84,8.88,8.09,8.37,8.37,514200
2016-03-17,8.39,8.39,7.82,8.15,8.15,433600
2016-03-18,8.22,8.72,8.15,8.66,8.66,530400
2016-03-21,8.65,8.95,8.64,8.72,8.72,327500
2016-03-22,8.68,8.985,8.62,8.9,8.9,251000
2016-03-23,8.85,8.93,8.42,8.5,8.5,231300
2016-03-24,8.5,8.82,8.31,8.67,8.67,180900
2016-03-28,8.65,8.786,8.405,8.68,8.68,123200
2016-03-29,8.6,9.01,8.367,9.01,9.01,390100
2016-03-30,9.08,9.25,8.78,8.92,8.92,407600
2016-03-31,8.94,9.38,8.878,9.01,9.01,484100
2016-04-01,8.91,9.35,8.781,9.3,9.3,327000
2016-04-04,9.3,9.73,9.29,9.54,9.54,305700
2016-04-05,9.4,9.82,9.3,9.62,9.62,280700
2016-04-06,9.62,9.99,9.62,9.785,9.785,297200
2016-04-07,9.76,9.95,9.614,9.68,9.68,214000
2016-04-08,9.72,9.72,9.35,9.56,9.56,123300
2016-04-11,9.63,9.75,9.38,9.53,9.53,135000
2016-04-12,9.51,9.75,9.2,9.49,9.49,159600
2016-04-13,9.55,9.8,9.39,9.73,9.73,249600
2016-04-14,9.75,9.98,9.51,9.89,9.89,161700
2016-04-15,9.82,9.98,9.55,9.94,9.94,181900
2016-04-18,9.84,9.95,9.62,9.69,9.69,145000
2016-04-19,9.72,9.85,9.37,9.42,9.42,107900
2016-04-20,9.4,9.57,9.17,9.33,9.33,147900
2016-04-21,9.35,9.85,9.34,9.57,9.57,183200
2016-04-22,9.53,9.77,9.32,9.69,9.69,138500
2016-04-25,9.71,9.738,9.45,9.55,9.55,81600
2016-04-26,9.51,9.64,9.2,9.41,9.41,221600
2016-04-27,9.41,9.482,9.22,9.34,9.34,158800
2016-04-28,9.37,9.76,9.22,9.41,9.41,166900
2016-04-29,9.41,9.6,9.23,9.39,9.39,164800
2016-05-02,9.39,9.54,9.19,9.5,9.5,309000
2016-05-03,9.42,9.61,9.3,9.36,9.36,144300
2016-05-04,9.34,9.43,9.02,9.17,9.17,283200
2016-05-05,9.2,9.22,9.01,9.04,9.04,254700
2016-05-06,8.54,8.89,7.6,8.36,8.36,831600
2016-05-09,8.28,8.64,8.2,8.27,8.27,294500
2016-05-10,8.28,8.51,8.21,8.34,8.34,389600
2016-05-11,8.29,8.5,7.98,8.02,8.02,237200
2016-05-12,8.08,8.08,7.55,7.71,7.71,239500
2016-05-13,7.66,7.9,7.66,7.78,7.78,137500
2016-05-16,7.77,8.255,7.72,8.24,8.24,187500
2016-05-17,8.18,8.41,8.02,8.08,8.08,232000
2016-05-18,8.01,8.335,8.0,8.21,8.21,126600
2016-05-19,8.17,8.3,7.92,8.06,8.06,80600
2016-05-20,8.07,8.36,7.98,8.25,8.25,138700
2016-05-23,8.24,8.59,8.18,8.4,8.4,132900
2016-05-24,8.41,8.71,8.285,8.62,8.62,205200
2016-05-25,8.63,9.15,8.49,8.93,8.93,500500
2016-05-26,8.95,8.97,8.56,8.83,8.83,167400
2016-05-27,8.87,8.92,8.64,8.8,8.8,171900
2016-05-31,8.81,9.1,8.75,8.91,8.91,290200
2016-06-01,8.9,9.05,8.83,8.99,8.99,172600
2016-06-02,8.872,9.18,8.872,9.08,9.08,255900
2016-06-03,9.08,9.08,8.54,8.84,8.84,181900
2016-06-06,8.85,8.98,8.655,8.76,8.76,214700
2016-06-07,8.67,8.78,8.51,8.6,8.6,236500
2016-06-08,8.59,8.75,8.48,8.66,8.66,175700
2016-06-09,8.6,8.72,8.45,8.48,8.48,149700
2016-06-10,8.4,8.55,8.3,8.37,8.37,122900
2016-06-13,8.31,8.6,8.23,8.41,8.41,187600
2016-06-14,8.37,8.55,8.22,8.35,8.35,143100
2016-06-15,8.35,8.7,8.35,8.49,8.49,117000
2016-06-16,8.41,8.63,8.32,8.56,8.56,117600
2016-06-17,8.56,8.56,7.91,7.95,7.95,383600
2016-06-20,7.99,7.99,7.23,7.58,7.58,750800
2016-06-21,7.58,7.6,7.25,7.41,7.41,501400
2016-06-22,7.33,7.69,7.1,7.33,7.33,442500
2016-06-23,7.33,7.79,7.33,7.79,7.79,195100
2016-06-24,7.3,7.69,7.11,7.47,7.47,833100
2016-06-27,7.23,7.45,7.0,7.24,7.24,277200
2016-06-28,7.23,7.79,7.23,7.67,7.67,238000
2016-06-29,7.76,7.76,7.31,7.42,7.42,363200
2016-06-30,7.43,7.54,7.3,7.48,7.48,179800
2016-07-01,7.52,7.81,7.31,7.63,7.63,132300
2016-07-05,7.55,7.85,7.36,7.5,7.5,215900
2016-07-06,7.48,7.99,7.36,7.96,7.96,127900
2016-07-07,8.03,8.18,7.89,8.1,8.1,174100
2016-07-08,8.13,8.83,8.11,8.8,8.8,282500
2016-07-11,8.81,8.96,8.66,8.69,8.69,205300
2016-07-12,8.72,8.94,8.7,8.87,8.87,228200
2016-07-13,8.93,9.01,8.75,8.79,8.79,549700
2016-07-14,8.83,8.88,8.365,8.57,8.57,405600
2016-07-15,8.64,8.77,8.08,8.56,8.56,147100
2016-07-18,8.6,8.65,8.35,8.45,8.45,111900
2016-07-19,8.45,8.47,8.17,8.2,8.2,87300
2016-07-20,8.21,8.5,8.15,8.46,8.46,94500
2016-07-21,8.47,8.73,8.47,8.6,8.6,115600
2016-07-22,8.61,8.88,8.47,8.62,8.62,137400
2016-07-25,8.6,8.73,8.484,8.57,8.57,77400
2016-07-26,8.55,8.73,8.5,8.71,8.71,93700
2016-07-27,8.71,9.21,8.71,9.18,9.18,245900
2016-07-28,9.17,9.18,8.91,9.01,9.01,131800
2016-07-29,9.01,9.01,8.83,8.95,8.95,123000
2016-08-01,8.94,9.21,8.83,8.98,8.98,162700
2016-08-02,8.96,9.107,8.6,8.75,8.75,704600
2016-08-03,8.74,9.0,8.74,8.89,8.89,163200
2016-08-04,8.95,9.1,8.6,8.64,8.64,125200
2016-08-05,8.68,9.03,8.65,8.81,8.81,248000
2016-08-08,8.85,9.06,8.7,8.73,8.73,116900
2016-08-09,8.42,8.57,7.76,8.0,8.0,485800
2016-08-10,8.16,8.16,7.64,7.89,7.89,306600
2016-08-11,7.92,8.09,7.73,7.95,7.95,225100
2016-08-12,7.96,8.13,7.96,8.08,8.08,155500
2016-08-15,8.08,8.32,8.05,8.08,8.08,118600
2016-08-16,8.03,8.11,7.9,8.0,8.0,106900
2016-08-17,7.91,8.0,7.86,7.9,7.9,112800
2016-08-18,7.9,8.15,7.845,7.98,7.98,60900
2016-08-19,7.95,8.11,7.82,7.95,7.95,110300
2016-08-22,7.99,8.35,7.9,8.22,8.22,152700
2016-08-23,8.29,8.46,8.04,8.42,8.42,97700
2016-08-24,8.44,8.58,7.962,8.03,8.03,162400
2016-08-25,8.02,8.28,7.93,8.09,8.09,111400
2016-08-26,8.16,8.23,7.9,8.11,8.11,137400
2016-08-29,8.03,8.23,7.9,8.12,8.12,104200
2016-08-30,8.1,8.32,8.0,8.3,8.3,109200
2016-08-31,8.28,8.4,7.89,8.13,8.13,148900
2016-09-01,8.12,8.17,7.95,8.11,8.11,97300
2016-09-02,8.13,8.23,7.91,8.23,8.23,87900
2016-09-06,8.23,8.5,8.15,8.38,8.38,511800
2016-09-07,8.44,8.61,8.23,8.44,8.44,202100
2016-09-08,8.46,8.53,8.15,8.4,8.4,135100
2016-09-09,8.23,8.39,8.181,8.28,8.28,189300
2016-09-12,8.2,8.52,8.2,8.48,8.48,135900
2016-09-13,8.37,8.5,8.2,8.36,8.36,64300
2016-09-14,8.37,8.66,8.23,8.54,8.54,101000
2016-09-15,8.55,8.68,8.41,8.58,8.58,206000
2016-09-16,8.58,9.01,8.5,8.98,8.98,485400
2016-09-19,9.25,9.36,8.82,9.06,9.06,227500
2016-09-20,9.17,9.36,9.06,9.25,9.25,475900
2016-09-21,9.25,9.35,8.9,9.33,9.33,198300
2016-09-22,9.35,9.38,9.16,9.25,9.25,156200
2016-09-23,9.33,9.33,8.701,9.14,9.14,112000
2016-09-26,9.1,9.29,8.95,8.98,8.98,138500
2016-09-27,9.0,9.25,8.95,9.09,9.09,89400
2016-09-28,9.08,9.14,8.94,9.08,9.08,135300
2016-09-29,9.13,9.25,8.7,8.72,8.72,142100
2016-09-30,8.77,9.085,8.56,9.05,9.05,147900
2016-10-03,9.08,9.13,8.84,8.96,8.96,101200
2016-10-04,9.01,9.08,8.92,8.96,8.96,60400
2016-10-05,9.05,9.11,8.71,9.06,9.06,92000
2016-10-06,9.03,9.06,8.8,8.87,8.87,99000
2016-10-07,8.87,8.94,8.7,8.86,8.86,123600
2016-10-10,8.9,9.1,8.84,9.08,9.08,159300
2016-10-11,8.97,9.01,8.61,8.76,8.76,106200
2016-10-12,8.74,8.77,8.27,8.43,8.43,93600
2016-10-13,8.32,8.5,8.23,8.28,8.28,100500
2016-10-14,8.37,8.46,7.74,8.1,8.1,162300
2016-10-17,8.08,8.08,7.91,7.96,7.96,86800
2016-10-18,8.07,8.2,7.74,8.03,8.03,99700
2016-10-19,8.07,8.11,7.88,8.02,8.02,114600
2016-10-20,8.0,8.34,7.89,8.2,8.2,126300
2016-10-21,8.13,8.25,8.03,8.09,8.09,65100
2016-10-24,8.14,8.14,7.86,7.89,7.89,54700
2016-10-25,7.91,7.92,7.71,7.81,7.81,55500
2016-10-26,7.81,7.82,7.67,7.71,7.71,69400
2016-10-27,7.78,7.86,7.53,7.63,7.63,93900
2016-10-28,7.59,7.705,7.4,7.58,7.58,124600
2016-10-31,7.61,7.84,7.43,7.52,7.52,100700
2016-11-01,7.5,7.59,7.43,7.49,7.49,88100
2016-11-02,7.48,7.74,7.31,7.33,7.33,98300
2016-11-03,7.38,7.5,7.16,7.19,7.19,125300
2016-11-04,7.24,7.59,7.24,7.37,7.37,124500
2016-11-07,7.57,7.87,7.44,7.84,7.84,163300
2016-11-08,7.84,7.98,7.67,7.8,7.8,110700
2016-11-09,8.21,8.65,7.9,8.63,8.63,275100
2016-11-10,8.83,9.2,8.57,8.63,8.63,389400
2016-11-11,8.66,8.88,8.4,8.77,8.77,384700
2016-11-14,8.87,8.96,8.74,8.9,8.9,448400
2016-11-15,9.14,9.14,8.63,8.65,8.65,247800
2016-11-16,8.6,8.99,8.57,8.85,8.85,194800
2016-11-17,8.72,9.04,8.72,8.98,8.98,258400
2016-11-18,9.03,9.04,8.84,8.96,8.96,143000
2016-11-21,8.93,9.02,8.81,8.99,8.99,111600
2016-11-22,9.0,9.05,8.88,8.98,8.98,122900
2016-11-23,8.89,9.1,8.77,9.09,9.09,126500
2016-11-25,9.17,9.17,9.0,9.09,9.09,46900
2016-11-28,9.06,9.06,8.8,8.91,8.91,113700
2016-11-29,8.95,8.98,8.79,8.84,8.84,65300
2016-11-30,8.89,9.0,8.6,8.61,8.61,70300
2016-12-01,8.65,8.79,8.45,8.48,8.48,95600
2016-12-02,8.47,8.6,8.22,8.47,8.47,66300
2016-12-05,8.56,8.75,8.445,8.5,8.5,119700
2016-12-06,8.52,8.63,8.445,8.56,8.56,108200
2016-12-07,8.42,8.49,8.13,8.38,8.38,87500
2016-12-08,8.37,8.53,8.26,8.52,8.52,114700
2016-12-09,8.61,8.79,8.53,8.57,8.57,117400
2016-12-12,8.47,8.59,8.3,8.33,8.33,136000
2016-12-13,8.34,8.535,8.188,8.24,8.24,129500
2016-12-14,8.16,8.25,7.78,7.87,7.87,223900
2016-12-15,7.88,8.15,7.797,8.07,8.07,212200
2016-12-16,8.09,8.34,8.09,8.3,8.3,290200
2016-12-19,8.26,8.525,8.26,8.35,8.35,111200
2016-12-20,10.6,10.7,9.36,9.97,9.97,2660200
2016-12-21,9.99,11.07,9.87,10.19,10.19,908700
2016-12-22,10.19,10.734,9.97,10.09,10.09,474300
2016-12-23,10.06,10.6,10.06,10.6,10.6,396800
2016-12-27,10.93,10.97,10.27,10.27,10.27,253500
2016-12-28,10.35,10.62,10.12,10.3,10.3,229600
