Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.05,14.18,13.68,13.7,13.7,261500
2016-01-05,13.78,14.14,13.74,13.89,13.89,346900
2016-01-06,13.71,14.1,13.68,13.89,13.89,227100
2016-01-07,13.62,13.67,13.2,13.2,13.2,188200
2016-01-08,13.29,13.57,12.93,12.93,12.93,221500
2016-01-11,12.98,12.98,12.11,12.28,12.28,190000
2016-01-12,12.44,12.68,12.15,12.43,12.43,187700
2016-01-13,12.52,12.84,12.21,12.26,12.26,318300
2016-01-14,12.51,12.73,12.05,12.49,12.49,229200
2016-01-15,12.1,12.37,12.0,12.29,12.29,197900
2016-01-19,12.35,12.54,11.89,12.02,12.02,320600
2016-01-20,11.85,12.77,11.72,12.52,12.52,270600
2016-01-21,12.53,12.76,12.11,12.27,12.27,236000
2016-01-22,12.41,12.7,12.16,12.25,12.25,258100
2016-01-25,12.21,12.49,12.06,12.12,12.12,283900
2016-01-26,12.21,12.38,11.81,12.0,12.0,311500
2016-01-27,12.02,12.1,11.71,11.77,11.77,270600
2016-01-28,11.86,12.18,11.71,11.89,11.89,341000
2016-01-29,11.89,12.2,11.6,12.05,12.05,577000
2016-02-01,12.0,12.24,11.74,11.95,11.95,236300
2016-02-02,11.84,11.94,11.51,11.56,11.56,185300
2016-02-03,11.64,11.64,11.09,11.39,11.39,347000
2016-02-04,11.42,11.61,10.94,11.02,11.02,228000
2016-02-05,11.0,11.31,10.95,11.05,11.05,283900
2016-02-08,10.95,11.1,10.71,11.01,11.01,313100
2016-02-09,10.9,11.29,10.78,11.03,11.03,204900
2016-02-10,11.08,11.58,11.05,11.16,11.16,216900
2016-02-11,10.92,11.11,10.71,11.0,11.0,274200
2016-02-12,11.09,11.16,10.81,11.15,11.15,156200
2016-02-16,11.27,11.35,10.99,11.11,11.11,182200
2016-02-17,11.16,11.55,11.02,11.49,11.49,196200
2016-02-18,11.5,11.77,11.15,11.18,11.18,114900
2016-02-19,11.18,11.44,11.03,11.36,11.36,161900
2016-02-22,11.42,11.84,11.17,11.46,11.46,274000
2016-02-23,11.44,11.6,11.11,11.11,11.11,147000
2016-02-24,11.0,11.22,10.82,11.2,11.2,147900
2016-02-25,11.2,11.2,10.97,11.14,11.14,107000
2016-02-26,11.19,11.39,11.07,11.17,11.17,104400
2016-02-29,11.15,11.15,10.51,10.53,10.53,237100
2016-03-01,10.63,11.23,10.5,11.2,11.2,273000
2016-03-02,11.14,11.46,10.82,11.4,11.4,258400
2016-03-03,11.38,11.39,11.04,11.1,11.1,117100
2016-03-04,11.1,11.34,10.92,11.26,11.26,158100
2016-03-07,11.17,11.77,11.17,11.58,11.58,329500
2016-03-08,11.55,11.57,11.08,11.15,11.15,394000
2016-03-09,11.23,11.34,10.95,11.24,11.24,131700
2016-03-10,11.31,11.37,10.97,11.13,11.13,122200
2016-03-11,11.2,11.38,11.08,11.37,11.37,237400
2016-03-14,11.37,11.79,11.31,11.71,11.71,253500
2016-03-15,12.58,13.0,12.08,12.72,12.72,602000
2016-03-16,12.58,12.71,12.1,12.14,12.14,360300
2016-03-17,12.18,12.52,10.92,11.33,11.33,377700
2016-03-18,11.41,11.99,11.25,11.64,11.64,392000
2016-03-21,11.62,12.13,11.53,11.94,11.94,237200
2016-03-22,11.93,12.34,11.87,12.29,12.29,199500
2016-03-23,12.29,12.41,11.86,11.92,11.92,200500
2016-03-24,11.81,12.2,11.64,11.96,11.96,144200
2016-03-28,12.06,12.18,11.53,11.61,11.61,176700
2016-03-29,11.54,12.27,11.37,12.23,12.23,185700
2016-03-30,12.26,12.38,11.9,11.93,11.93,197000
2016-03-31,12.01,12.48,11.97,12.0,12.0,225000
2016-04-01,11.95,12.75,11.9,12.7,12.7,216500
2016-04-04,12.67,13.1,12.64,12.89,12.89,212000
2016-04-05,12.81,12.81,12.28,12.52,12.52,222600
2016-04-06,12.52,13.06,12.45,13.03,13.03,304800
2016-04-07,13.0,13.28,12.83,12.92,12.92,271600
2016-04-08,13.04,13.04,12.69,12.76,12.76,109000
2016-04-11,12.86,12.86,12.37,12.44,12.44,155800
2016-04-12,12.41,12.65,12.28,12.57,12.57,137800
2016-04-13,12.67,12.84,12.5,12.75,12.75,153500
2016-04-14,12.75,12.79,12.58,12.66,12.66,105600
2016-04-15,12.61,12.84,12.55,12.72,12.72,110000
2016-04-18,12.62,12.97,12.61,12.95,12.95,175700
2016-04-19,12.97,13.14,12.85,12.89,12.89,142600
2016-04-20,12.81,13.05,12.78,12.92,12.92,108700
2016-04-21,12.89,13.05,12.76,13.05,13.05,153000
2016-04-22,13.03,13.18,12.3,13.11,13.11,157000
2016-04-25,13.11,13.19,12.7,12.76,12.76,132000
2016-04-26,12.76,12.92,12.48,12.77,12.77,138000
2016-04-27,12.76,12.84,12.48,12.5,12.5,123000
2016-04-28,12.48,12.8,12.31,12.56,12.56,175200
2016-04-29,12.53,12.61,12.25,12.3,12.3,147800
2016-05-02,12.38,12.38,11.97,12.29,12.29,181000
2016-05-03,12.23,12.59,12.05,12.25,12.25,139500
2016-05-04,12.17,12.28,11.92,11.93,11.93,133900
2016-05-05,12.0,12.11,11.8,11.82,11.82,120500
2016-05-06,11.8,12.05,11.41,11.72,11.72,213500
2016-05-09,11.73,12.06,11.7,11.85,11.85,195000
2016-05-10,12.08,13.34,12.05,12.99,12.99,588900
2016-05-11,12.98,13.41,12.81,12.82,12.82,282000
2016-05-12,12.91,12.91,12.41,12.55,12.55,255800
2016-05-13,12.5,13.02,12.27,12.98,12.98,163900
2016-05-16,12.98,13.5,12.98,13.46,13.46,285000
2016-05-17,13.49,13.79,13.37,13.66,13.66,298800
2016-05-18,13.6,14.08,13.38,14.06,14.06,366900
2016-05-19,13.99,14.32,13.8,14.28,14.28,354900
2016-05-20,14.31,15.47,14.25,15.43,15.43,644200
2016-05-23,15.39,15.47,14.92,15.06,15.06,303300
2016-05-24,15.25,15.49,15.07,15.48,15.48,314000
2016-05-25,15.5,15.6,15.09,15.49,15.49,269200
2016-05-26,15.49,15.5,15.24,15.44,15.44,172800
2016-05-27,15.47,15.85,15.39,15.75,15.75,386000
2016-05-31,15.75,15.93,15.68,15.73,15.73,364700
2016-06-01,15.5,15.98,15.33,15.85,15.85,418800
2016-06-02,15.89,16.0,15.84,16.0,16.0,278600
2016-06-03,16.0,16.0,15.43,15.78,15.78,316800
2016-06-06,15.79,16.1,15.48,16.07,16.07,294300
2016-06-07,16.1,16.299999,15.53,16.209999,16.209999,601500
2016-06-08,16.25,16.25,15.91,16.209999,16.209999,257400
2016-06-09,16.190001000000002,16.450001,16.07,16.43,16.43,338900
2016-06-10,16.35,16.440001000000002,15.94,16.129998999999998,16.129998999999998,317100
2016-06-13,16.030001000000002,16.200001,15.72,15.94,15.94,242300
2016-06-14,15.92,16.01,15.53,15.73,15.73,283100
2016-06-15,15.54,15.97,15.54,15.76,15.76,252500
2016-06-16,15.68,15.68,15.3,15.43,15.43,395400
2016-06-17,15.46,15.46,14.8,15.0,15.0,841800
2016-06-20,15.04,15.16,14.67,14.81,14.81,471600
2016-06-21,14.85,15.19,14.64,15.16,15.16,299700
2016-06-22,15.15,15.83,15.08,15.59,15.59,251300
2016-06-23,15.77,16.16,15.64,16.15,16.15,280300
2016-06-24,15.21,15.96,15.0,15.61,15.61,990300
2016-06-27,15.53,15.68,15.12,15.51,15.51,356600
2016-06-28,15.64,16.700001,15.64,16.629998999999998,16.629998999999998,553600
2016-06-29,16.59,16.780001000000002,16.02,16.08,16.08,365500
2016-06-30,16.030001000000002,16.139999,15.79,16.120001000000002,16.120001000000002,396600
2016-07-01,16.040001,16.43,16.040001,16.280001000000002,16.280001000000002,226500
2016-07-05,16.139999,16.370001000000002,16.1,16.33,16.33,220200
2016-07-06,16.35,16.73,16.24,16.700001,16.700001,186600
2016-07-07,16.629998999999998,16.799999,16.34,16.66,16.66,207800
2016-07-08,16.719998999999998,16.889999,16.469998999999998,16.799999,16.799999,241500
2016-07-11,16.709999,16.940001000000002,16.6,16.940001000000002,16.940001000000002,299300
2016-07-12,16.950001,17.43,16.84,17.34,17.34,390800
2016-07-13,17.450001,17.620001000000002,17.09,17.34,17.34,341700
2016-07-14,17.41,17.5,17.059998999999998,17.459999,17.459999,213300
2016-07-15,17.5,17.629998999999998,17.33,17.43,17.43,213500
2016-07-18,17.389999,17.799999,17.379998999999998,17.450001,17.450001,262100
2016-07-19,17.459999,17.49,16.969998999999998,17.059998999999998,17.059998999999998,190600
2016-07-20,17.110001,17.58,17.110001,17.469998999999998,17.469998999999998,187000
2016-07-21,17.51,17.799999,17.35,17.5,17.5,222700
2016-07-22,17.559998999999998,17.58,17.200001,17.24,17.24,233000
2016-07-25,17.24,17.24,16.25,16.57,16.57,470200
2016-07-26,16.360001,16.73,16.280001000000002,16.57,16.57,268300
2016-07-27,16.549999,16.6,16.34,16.57,16.57,313800
2016-07-28,16.450001,16.5,16.24,16.27,16.27,372500
2016-07-29,16.0,16.299999,15.62,16.18,16.18,603500
2016-08-01,16.0,16.52,15.87,16.290001,16.290001,329200
2016-08-02,16.0,16.4,16.0,16.17,16.17,249900
2016-08-03,16.0,16.35,15.9,16.290001,16.290001,242500
2016-08-04,16.0,16.42,15.95,16.219998999999998,16.219998999999998,422200
2016-08-05,16.33,16.5,15.93,15.97,15.97,244800
2016-08-08,16.110001,16.469998999999998,15.9,16.02,16.02,265400
2016-08-09,17.799999,18.5,15.82,17.950001,17.950001,1351400
2016-08-10,18.09,18.790001,17.959999,18.17,18.17,651400
2016-08-11,18.200001,18.68,17.950001,18.66,18.66,850700
2016-08-12,18.450001,18.450001,17.940001000000002,18.1,18.1,355700
2016-08-15,18.389999,18.59,17.98,18.379998999999998,18.379998999999998,358400
2016-08-16,18.08,18.540001,18.049999,18.34,18.34,380400
2016-08-17,18.34,19.0,18.139999,19.0,19.0,787500
2016-08-18,19.0,19.690001000000002,18.84,19.51,19.51,664500
2016-08-19,19.280001000000002,19.49,19.15,19.469998999999998,19.469998999999998,435000
2016-08-22,19.5,20.49,19.370001000000002,20.01,20.01,1014500
2016-08-23,20.049999,20.49,19.77,20.41,20.41,621400
2016-08-24,20.49,21.16,19.219998999999998,19.299999,19.299999,667000
2016-08-25,19.309998999999998,19.68,18.91,19.219998999999998,19.219998999999998,430100
2016-08-26,19.15,19.77,19.120001000000002,19.440001000000002,19.440001000000002,315700
2016-08-29,19.540001,19.719998999999998,19.17,19.35,19.35,402100
2016-08-30,19.35,19.51,19.18,19.450001,19.450001,263800
2016-08-31,19.48,19.49,18.370001000000002,19.0,19.0,434900
2016-09-01,19.0,19.09,18.49,18.99,18.99,263200
2016-09-02,19.15,19.379998999999998,18.469998999999998,18.559998999999998,18.559998999999998,248000
2016-09-06,18.67,19.110001,18.639999,18.91,18.91,329600
2016-09-07,18.76,19.040001,18.6,19.030001000000002,19.030001000000002,235000
2016-09-08,18.92,19.33,18.74,18.860001,18.860001,364900
2016-09-09,18.799999,18.799999,18.129998999999998,18.15,18.15,251200
2016-09-12,18.030001000000002,18.559998999999998,18.01,18.4,18.4,418300
2016-09-13,18.280001000000002,18.360001,17.190001000000002,17.91,17.91,530900
2016-09-14,17.85,18.49,17.65,18.23,18.23,573800
2016-09-15,18.309998999999998,18.690001000000002,18.280001000000002,18.67,18.67,452100
2016-09-16,18.690001000000002,19.190001000000002,18.65,19.16,19.16,685900
2016-09-19,19.35,19.639999,18.870001000000002,19.0,19.0,366900
2016-09-20,20.08,21.530001000000002,20.08,21.26,21.26,2930200
2016-09-21,21.5,21.5,20.17,20.9,20.9,6087500
2016-09-22,20.959999,21.110001,19.65,19.75,19.75,1314300
2016-09-23,19.709999,20.76,19.5,20.07,20.07,1592800
2016-09-26,20.110001,20.17,19.26,19.58,19.58,776600
2016-09-27,19.51,20.110001,19.360001,19.91,19.91,478600
2016-09-28,19.870001000000002,19.870001000000002,19.450001,19.57,19.57,385300
2016-09-29,19.540001,19.57,18.68,18.84,18.84,556900
2016-09-30,18.959999,19.190001000000002,18.690001000000002,18.969998999999998,18.969998999999998,382700
2016-10-03,18.75,19.35,18.57,19.34,19.34,507800
2016-10-04,19.34,19.610001,19.27,19.610001,19.610001,540200
2016-10-05,19.73,19.969998999999998,19.629998999999998,19.870001000000002,19.870001000000002,347600
2016-10-06,19.74,19.99,19.049999,19.1,19.1,431500
2016-10-07,19.24,19.530001000000002,18.99,19.49,19.49,503500
