Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.86,1.88,1.75,1.81,1.81,2206200
2016-01-05,1.8,1.87,1.76,1.84,1.84,746100
2016-01-06,1.79,1.8,1.73,1.74,1.74,785100
2016-01-07,1.7,1.73,1.64,1.69,1.69,1209400
2016-01-08,1.71,1.74,1.59,1.63,1.63,1029700
2016-01-11,1.66,1.72,1.52,1.55,1.55,2111200
2016-01-12,1.6,1.64,1.52,1.55,1.55,633300
2016-01-13,1.55,1.59,1.52,1.52,1.52,4840900
2016-01-14,1.52,1.59,1.48,1.56,1.56,1376500
2016-01-15,1.53,1.53,1.48,1.5,1.5,1281600
2016-01-19,1.49,1.5,1.39,1.42,1.42,2260700
2016-01-20,1.38,1.51,1.36,1.51,1.51,2543000
2016-01-21,1.51,1.6,1.49,1.55,1.55,593100
2016-01-22,1.6,1.64,1.56,1.62,1.62,661200
2016-01-25,1.62,1.71,1.58,1.58,1.58,454700
2016-01-26,1.59,1.64,1.53,1.59,1.59,405100
2016-01-27,1.6,1.62,1.54,1.54,1.54,458900
2016-01-28,1.58,1.58,1.38,1.41,1.41,1770600
2016-01-29,1.43,1.45,1.27,1.36,1.36,1773100
2016-02-01,1.35,1.5,1.32,1.4,1.4,1166300
2016-02-02,1.4,1.44,1.36,1.37,1.37,492200
2016-02-03,1.43,1.45,1.32,1.36,1.36,832300
2016-02-04,1.36,1.51,1.35,1.45,1.45,1182500
2016-02-05,1.46,1.51,1.36,1.38,1.38,654900
2016-02-08,1.36,1.4,1.28,1.3,1.3,972800
2016-02-09,1.3,1.36,1.25,1.28,1.28,447400
2016-02-10,1.3,1.35,1.3,1.32,1.32,466900
2016-02-11,1.3,1.32,1.24,1.27,1.27,933900
2016-02-12,1.27,1.31,1.25,1.27,1.27,812100
2016-02-16,1.26,1.35,1.26,1.32,1.32,1165200
2016-02-17,1.35,1.39,1.34,1.39,1.39,685400
2016-02-18,1.42,1.47,1.33,1.34,1.34,420600
2016-02-19,1.35,1.39,1.32,1.36,1.36,360400
2016-02-22,1.37,1.45,1.36,1.43,1.43,435000
2016-02-23,1.4,1.44,1.37,1.37,1.37,407000
2016-02-24,1.37,1.43,1.34,1.43,1.43,484700
2016-02-25,1.54,1.55,1.41,1.41,1.41,925400
2016-02-26,1.43,1.45,1.39,1.45,1.45,729500
2016-02-29,1.47,1.5,1.44,1.46,1.46,506100
2016-03-01,1.46,1.49,1.42,1.48,1.48,527100
2016-03-02,1.49,1.52,1.48,1.51,1.51,543000
2016-03-03,1.52,1.53,1.49,1.5,1.5,555600
2016-03-04,1.49,1.57,1.49,1.53,1.53,419900
2016-03-07,1.53,1.58,1.52,1.57,1.57,701300
2016-03-08,1.57,1.61,1.54,1.55,1.55,468600
2016-03-09,1.7,1.7,1.62,1.62,1.62,1637600
2016-03-10,1.66,1.7,1.52,1.53,1.53,1310200
2016-03-11,1.54,1.62,1.53,1.62,1.62,516900
2016-03-14,1.61,1.65,1.58,1.63,1.63,370600
2016-03-15,1.62,1.63,1.46,1.49,1.49,1243400
2016-03-16,1.5,1.57,1.45,1.46,1.46,626400
2016-03-17,1.44,1.51,1.37,1.39,1.39,1319500
2016-03-18,1.4,1.45,1.38,1.44,1.44,1267300
2016-03-21,1.45,1.53,1.43,1.52,1.52,821300
2016-03-22,1.49,1.53,1.48,1.51,1.51,395100
2016-03-23,1.51,1.54,1.44,1.45,1.45,506500
2016-03-24,1.45,1.46,1.4,1.45,1.45,492700
2016-03-28,1.46,1.48,1.42,1.43,1.43,294200
2016-03-29,1.44,1.5,1.41,1.49,1.49,373400
2016-03-30,1.48,1.58,1.48,1.5,1.5,607400
2016-03-31,1.51,1.53,1.44,1.53,1.53,1925400
2016-04-01,1.51,1.59,1.45,1.58,1.58,697300
2016-04-04,1.58,1.62,1.55,1.6,1.6,604200
2016-04-05,1.58,1.61,1.55,1.58,1.58,522900
2016-04-06,1.59,1.61,1.55,1.61,1.61,822800
2016-04-07,1.63,1.74,1.62,1.7,1.7,4278300
2016-04-08,1.7,1.76,1.65,1.71,1.71,636200
2016-04-11,1.71,1.75,1.7,1.71,1.71,735100
2016-04-12,1.7,1.75,1.66,1.73,1.73,428100
2016-04-13,1.72,1.76,1.71,1.74,1.74,511600
2016-04-14,1.75,1.78,1.73,1.76,1.76,343900
2016-04-15,1.77,1.77,1.72,1.73,1.73,577400
2016-04-18,1.74,1.78,1.72,1.78,1.78,457600
2016-04-19,1.78,1.83,1.73,1.75,1.75,881500
2016-04-20,1.76,1.8,1.75,1.76,1.76,564300
2016-04-21,1.78,1.85,1.75,1.85,1.85,1209000
2016-04-22,1.9,1.9,1.83,1.88,1.88,688800
2016-04-25,1.9,1.91,1.85,1.9,1.9,651300
2016-04-26,1.92,1.93,1.82,1.85,1.85,956900
2016-04-27,1.87,1.89,1.84,1.85,1.85,627100
2016-04-28,1.85,1.96,1.82,1.85,1.85,957600
2016-04-29,1.85,1.89,1.82,1.83,1.83,857200
2016-05-02,1.83,1.94,1.83,1.94,1.94,758900
2016-05-03,1.96,1.99,1.86,1.9,1.9,1084800
2016-05-04,1.88,1.92,1.8,1.8,1.8,1044300
2016-05-05,1.75,1.78,1.6,1.65,1.65,1596100
2016-05-06,1.65,1.68,1.5,1.52,1.52,1489700
2016-05-09,1.5,1.68,1.5,1.63,1.63,1092600
2016-05-10,1.62,1.64,1.54,1.62,1.62,419100
2016-05-11,1.6,1.64,1.56,1.57,1.57,488800
