Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,17.58,17.77,16.75,17.219998999999998,17.219998999999998,115300
2016-01-05,17.9,17.9,16.27,16.459999,16.459999,135200
2016-01-06,16.299999,16.33,14.8,14.96,14.96,190800
2016-01-07,12.36,12.36,9.17,10.09,10.09,1090000
2016-01-08,11.06,11.29,10.11,10.72,10.72,3255500
2016-01-11,10.71,10.83,10.0,10.31,10.31,495700
2016-01-12,10.4,10.81,10.01,10.55,10.55,306700
2016-01-13,10.65,10.72,9.7,9.85,9.85,349700
2016-01-14,9.92,10.649,9.43,10.52,10.52,433500
2016-01-15,10.32,11.025,10.11,10.55,10.55,692400
2016-01-19,10.75,10.98,10.15,10.8,10.8,336800
2016-01-20,10.49,10.96,10.29,10.77,10.77,384000
2016-01-21,10.82,11.14,10.486,10.77,10.77,196400
2016-01-22,11.0,11.87,10.73,11.75,11.75,259900
2016-01-25,11.69,12.27,11.26,11.55,11.55,202900
2016-01-26,11.57,11.68,10.9,11.41,11.41,156400
2016-01-27,11.34,11.4,10.364,10.53,10.53,247100
2016-01-28,10.72,10.92,9.8,10.09,10.09,551100
2016-01-29,10.16,10.74,9.91,10.41,10.41,1249800
2016-02-01,10.4,10.78,10.19,10.57,10.57,181700
2016-02-02,10.32,10.46,9.65,9.87,9.87,145900
2016-02-03,9.84,9.98,9.13,9.87,9.87,344100
2016-02-04,9.8,10.56,9.61,10.1,10.1,135900
2016-02-05,9.94,10.03,9.65,9.82,9.82,212400
2016-02-08,9.67,9.68,8.86,9.1,9.1,289700
2016-02-09,8.96,9.44,8.87,9.16,9.16,173800
2016-02-10,9.26,10.0,9.02,9.4,9.4,150000
2016-02-11,9.12,9.44,9.03,9.38,9.38,176500
2016-02-12,9.49,10.26,9.2,10.22,10.22,141200
2016-02-16,10.36,10.69,10.12,10.59,10.59,118000
2016-02-17,10.7,11.55,10.53,11.26,11.26,194000
2016-02-18,11.29,11.47,10.37,10.45,10.45,133900
2016-02-19,10.42,11.02,10.11,10.85,10.85,159000
2016-02-22,11.0,11.165,10.81,10.89,10.89,112000
2016-02-23,10.82,11.08,10.01,10.04,10.04,227800
2016-02-24,9.8,10.51,9.76,10.09,10.09,138500
2016-02-25,10.01,10.2,9.62,9.84,9.84,122500
2016-02-26,9.91,10.22,9.68,9.94,9.94,120500
2016-02-29,9.91,9.91,9.29,9.66,9.66,273800
2016-03-01,9.74,10.28,9.48,10.25,10.25,210500
2016-03-02,10.2,10.97,9.305,10.54,10.54,206200
2016-03-03,10.88,10.955,9.95,10.06,10.06,143400
2016-03-04,10.18,10.847,9.03,9.14,9.14,207400
2016-03-07,9.01,9.81,9.01,9.54,9.54,145600
2016-03-08,9.46,9.6,8.5,8.51,8.51,224100
2016-03-09,8.83,9.27,8.13,8.58,8.58,172500
2016-03-10,8.53,8.74,7.575,7.96,7.96,214000
2016-03-11,8.05,8.88,7.81,8.19,8.19,101000
2016-03-14,8.19,8.525,8.12,8.24,8.24,83300
2016-03-15,8.11,8.25,7.84,7.89,7.89,241600
2016-03-16,7.82,7.93,7.32,7.45,7.45,90600
2016-03-17,7.45,7.45,6.84,6.88,6.88,175300
2016-03-18,6.94,7.467,6.88,7.17,7.17,299000
2016-03-21,7.14,7.86,7.08,7.44,7.44,151800
2016-03-22,7.66,8.26,7.66,7.85,7.85,160000
2016-03-23,7.85,8.0,7.101,7.19,7.19,121700
2016-03-24,7.1,7.48,6.9,7.35,7.35,160200
2016-03-28,7.4,7.79,6.88,6.98,6.98,496400
2016-03-29,6.91,7.79,6.9,7.5,7.5,297600
2016-03-30,7.6,8.103,7.32,7.54,7.54,193400
2016-03-31,7.87,8.02,7.41,7.77,7.77,312200
2016-04-01,7.67,8.08,7.57,7.78,7.78,175500
2016-04-04,7.85,8.27,7.78,7.83,7.83,187500
2016-04-05,7.73,7.94,7.39,7.42,7.42,208700
2016-04-06,7.43,8.09,7.42,8.08,8.08,141700
2016-04-07,7.99,8.31,7.59,7.96,7.96,261700
2016-04-08,8.07,8.2,7.79,7.95,7.95,146500
2016-04-11,8.02,8.15,7.7,7.76,7.76,78800
2016-04-12,7.8,8.0,7.575,7.74,7.74,81600
2016-04-13,7.82,8.17,7.66,8.08,8.08,105400
2016-04-14,8.09,8.59,8.05,8.26,8.26,84500
2016-04-15,8.19,8.38,8.01,8.23,8.23,74200
2016-04-18,8.21,8.63,8.137,8.23,8.23,71900
2016-04-19,8.29,8.37,7.8,8.07,8.07,94900
2016-04-20,8.09,8.24,7.85,8.05,8.05,44100
2016-04-21,8.12,8.69,8.05,8.68,8.68,134000
2016-04-22,8.76,8.859,8.45,8.85,8.85,93100
2016-04-25,8.9,9.04,8.5,8.65,8.65,73400
2016-04-26,8.7,8.754,8.26,8.37,8.37,86300
2016-04-27,8.41,8.54,8.11,8.24,8.24,79500
2016-04-28,8.22,8.31,8.0,8.05,8.05,124000
2016-04-29,8.0,8.25,7.92,8.01,8.01,94600
2016-05-02,7.94,8.27,7.79,8.18,8.18,84100
2016-05-03,8.08,8.93,8.08,8.31,8.31,106900
2016-05-04,8.18,8.22,7.72,7.75,7.75,107200
2016-05-05,7.86,7.865,7.545,7.64,7.64,88500
2016-05-06,7.63,7.71,7.23,7.27,7.27,82800
2016-05-09,7.24,7.78,7.123,7.66,7.66,65200
2016-05-10,7.15,7.4,6.85,7.25,7.25,159700
2016-05-11,7.23,7.37,6.93,6.99,6.99,68700
2016-05-12,7.06,7.06,6.36,6.48,6.48,171100
2016-05-13,6.46,6.79,6.39,6.79,6.79,88400
2016-05-16,6.87,7.32,6.87,7.3,7.3,84200
2016-05-17,7.28,7.56,7.09,7.17,7.17,93600
2016-05-18,7.13,7.73,7.1,7.67,7.67,65600
2016-05-19,7.63,7.85,7.35,7.52,7.52,55900
2016-05-20,7.59,7.9,7.517,7.86,7.86,67500
2016-05-23,7.85,8.32,7.78,7.96,7.96,59800
2016-05-24,8.48,8.48,8.04,8.38,8.38,73800
2016-05-25,8.45,8.83,8.33,8.8,8.8,75900
2016-05-26,8.78,8.875,8.55,8.7,8.7,59800
2016-05-27,8.78,9.04,8.7,8.85,8.85,55300
2016-05-31,8.96,9.23,8.86,9.15,9.15,128100
2016-06-01,9.07,9.18,8.97,9.16,9.16,84300
2016-06-02,9.13,9.37,9.01,9.27,9.27,62100
2016-06-03,9.26,9.26,8.72,9.03,9.03,83200
2016-06-06,9.06,9.6,8.98,9.59,9.59,185300
2016-06-07,9.66,9.81,8.98,9.01,9.01,133100
2016-06-08,9.03,9.32,8.776,9.19,9.19,74600
2016-06-09,9.1,9.42,8.61,8.66,8.66,79500
2016-06-10,8.52,8.71,8.04,8.23,8.23,113500
2016-06-13,8.23,8.99,8.08,8.69,8.69,129200
2016-06-14,8.71,9.04,8.51,8.76,8.76,74300
2016-06-15,8.77,9.01,8.35,8.4,8.4,99000
2016-06-16,8.35,8.66,8.22,8.64,8.64,126800
2016-06-17,8.66,8.66,7.98,8.13,8.13,210000
2016-06-20,8.31,8.53,8.2,8.46,8.46,90800
2016-06-21,8.47,8.47,7.96,8.13,8.13,61200
2016-06-22,8.13,8.25,7.65,7.88,7.88,128900
2016-06-23,8.04,8.3,7.89,8.27,8.27,85100
2016-06-24,7.76,8.22,7.75,8.04,8.04,754800
2016-06-27,7.89,8.13,7.71,7.78,7.78,104100
2016-06-28,7.94,8.42,7.73,8.27,8.27,95500
2016-06-29,8.43,8.55,8.25,8.45,8.45,107000
2016-06-30,8.46,8.75,8.45,8.73,8.73,66900
2016-07-01,8.68,8.99,8.66,8.93,8.93,61300
2016-07-05,8.81,8.82,8.42,8.59,8.59,55900
2016-07-06,8.46,8.9,8.44,8.88,8.88,41300
2016-07-07,8.89,9.08,8.89,9.05,9.05,45700
2016-07-08,9.06,9.35,8.97,9.26,9.26,66800
2016-07-11,9.33,9.5,9.17,9.35,9.35,35000
2016-07-12,9.47,9.57,9.322,9.39,9.39,46200
2016-07-13,9.49,9.52,8.94,8.96,8.96,36700
2016-07-14,9.12,9.12,8.67,8.75,8.75,86000
2016-07-15,8.89,10.89,8.85,9.99,9.99,722000
2016-07-18,10.0,10.14,9.62,9.97,9.97,199500
2016-07-19,9.96,10.26,9.478,9.73,9.73,212000
2016-07-20,9.76,9.97,9.5,9.93,9.93,45700
2016-07-21,10.07,11.07,10.05,10.55,10.55,248900
2016-07-22,10.71,10.86,10.46,10.6,10.6,202900
2016-07-25,10.61,10.71,10.19,10.38,10.38,191700
2016-07-26,10.35,10.7,10.177,10.66,10.66,323400
2016-07-27,10.69,10.89,10.505,10.8,10.8,129200
2016-07-28,10.8,10.86,10.54,10.62,10.62,106000
2016-07-29,10.58,10.75,10.38,10.68,10.68,109200
2016-08-01,10.8,10.9,10.46,10.5,10.5,107400
2016-08-02,10.55,10.69,10.28,10.44,10.44,58100
2016-08-03,10.44,10.48,10.25,10.44,10.44,71000
2016-08-04,10.47,10.587,10.24,10.29,10.29,62100
2016-08-05,10.34,10.49,10.23,10.27,10.27,133400
2016-08-08,10.39,10.618,10.2,10.29,10.29,77200
2016-08-09,10.18,10.3,9.95,10.2,10.2,93400
2016-08-10,10.26,10.34,9.66,9.9,9.9,110000
2016-08-11,9.94,10.16,9.774,10.05,10.05,72600
2016-08-12,10.06,10.15,10.0,10.08,10.08,69700
2016-08-15,10.15,10.44,10.15,10.35,10.35,94300
2016-08-16,10.35,10.57,10.235,10.35,10.35,275000
2016-08-17,10.36,10.48,9.995,10.34,10.34,112200
2016-08-18,10.27,10.54,10.27,10.42,10.42,57800
2016-08-19,10.4,10.4,9.85,9.9,9.9,125000
2016-08-22,9.98,10.28,9.86,10.06,10.06,112000
2016-08-23,10.18,10.199,9.81,10.0,10.0,179000
2016-08-24,10.03,10.46,9.47,9.61,9.61,270300
2016-08-25,9.64,10.29,9.64,10.06,10.06,200600
