Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,19.1,19.6,18.0,18.299999,18.299999,2437800
2016-01-05,18.6,18.9,18.1,18.6,18.6,1502700
2016-01-06,18.200001,18.6,17.5,17.5,17.5,1911900
2016-01-07,17.200001,17.4,16.200001,16.299999,16.299999,2394900
2016-01-08,16.5,18.0,16.5,16.5,16.5,2269500
2016-01-11,16.700001,17.4,13.0,14.5,14.5,4421300
2016-01-12,14.7,15.8,14.2,15.7,15.7,315700
2016-01-13,17.299999,17.299999,15.4,16.200001,16.200001,483100
2016-01-14,16.6,17.1,15.4,16.6,16.6,272500
2016-01-15,16.0,16.6,15.2,16.5,16.5,3145900
2016-01-19,16.700001,16.799999,14.7,15.5,15.5,2134300
2016-01-20,14.9,16.700001,14.4,16.700001,16.700001,2363800
2016-01-21,16.700001,17.6,16.200001,16.6,16.6,2206200
2016-01-22,16.6,17.1,16.4,17.0,17.0,1374200
2016-01-25,16.9,17.5,16.4,16.5,16.5,2354600
2016-01-26,16.700001,16.799999,15.4,16.299999,16.299999,1422600
2016-01-27,16.200001,16.6,15.0,15.2,15.2,171300
2016-01-28,15.1,15.5,14.5,14.6,14.6,137000
2016-01-29,14.4,15.6,14.3,15.1,15.1,1510900
2016-02-01,15.5,15.8,14.8,15.2,15.2,1679000
2016-02-02,15.1,15.5,14.3,14.4,14.4,1813100
2016-02-03,14.4,15.0,13.2,14.5,14.5,3494400
2016-02-04,14.6,16.5,14.5,16.1,16.1,2292200
2016-02-05,15.7,16.6,15.4,15.7,15.7,2315000
2016-02-08,15.3,15.9,14.3,15.0,15.0,2889400
2016-02-09,14.9,15.9,14.4,15.2,15.2,1778300
2016-02-10,15.2,15.9,14.6,14.8,14.8,163200
2016-02-11,14.5,14.8,13.9,14.7,14.7,206300
2016-02-12,14.8,15.2,14.1,15.2,15.2,1379000
2016-02-16,15.1,16.0,15.0,15.8,15.8,1520200
2016-02-17,15.8,16.5,15.6,16.4,16.4,1752300
2016-02-18,16.4,16.5,15.1,15.2,15.2,1561600
2016-02-19,15.2,16.1,14.8,16.1,16.1,1458100
2016-02-22,16.1,16.4,15.9,16.200001,16.200001,1097000
2016-02-23,16.0,16.200001,14.6,14.6,14.6,1354200
2016-02-24,14.5,15.2,14.2,15.1,15.1,2161500
2016-02-25,15.0,15.5,14.7,15.0,15.0,1240900
2016-02-26,14.9,15.3,14.8,15.3,15.3,97100
2016-02-29,15.4,15.5,14.5,14.9,14.9,2190200
2016-03-01,14.4,15.3,13.5,15.3,15.3,3948100
2016-03-02,15.0,15.6,14.7,15.5,15.5,2686500
2016-03-03,15.2,15.9,15.2,15.6,15.6,1392500
2016-03-04,15.8,15.8,14.9,15.1,15.1,2336600
2016-03-07,14.9,15.9,14.8,15.9,15.9,1391200
2016-03-08,15.4,16.299999,15.0,15.0,15.0,1465300
2016-03-09,15.2,15.6,14.6,15.4,15.4,1267500
2016-03-10,15.4,15.6,14.6,14.6,14.6,2154300
2016-03-11,14.8,15.2,14.5,15.0,15.0,2072600
2016-03-14,14.6,15.7,14.6,15.3,15.3,3151000
2016-03-15,15.0,15.3,14.4,14.4,14.4,2813500
2016-03-16,14.5,14.8,13.9,14.1,14.1,2502400
2016-03-17,14.2,15.5,13.6,15.3,15.3,4173700
2016-03-18,15.5,17.0,15.0,16.5,16.5,8491000
2016-03-21,16.4,18.200001,16.200001,17.799999,17.799999,3003400
2016-03-22,17.6,19.5,17.5,19.4,19.4,2305000
2016-03-23,19.4,20.5,17.799999,17.9,17.9,2680000
2016-03-24,17.799999,19.0,17.299999,18.299999,18.299999,1420500
2016-03-28,18.5,18.9,18.200001,18.299999,18.299999,2369000
2016-03-29,18.200001,18.9,17.200001,18.6,18.6,1458400
2016-03-30,19.0,19.9,18.700001,19.1,19.1,1502000
2016-03-31,19.299999,19.799999,19.200001,19.700001,19.700001,1504800
2016-04-01,19.799999,20.200001,19.299999,19.799999,19.799999,1696600
2016-04-04,19.700001,20.6,19.6,20.1,20.1,1452800
2016-04-05,20.1,20.4,19.200001,19.299999,19.299999,1448300
2016-04-06,19.6,20.299999,19.299999,20.200001,20.200001,1989600
2016-04-07,20.0,20.299999,19.6,20.0,20.0,1579600
2016-04-08,20.299999,20.4,18.6,19.0,19.0,1461600
2016-04-11,19.0,19.6,18.4,18.4,18.4,872100
2016-04-12,19.9,20.4,18.6,18.9,18.9,3254500
2016-04-13,19.299999,19.5,18.700001,19.1,19.1,158100
2016-04-14,18.9,19.200001,18.6,18.700001,18.700001,994600
2016-04-15,18.6,19.1,18.4,18.5,18.5,123400
2016-04-18,18.5,19.1,18.200001,18.799999,18.799999,1223900
2016-04-19,18.700001,18.799999,18.200001,18.200001,18.200001,1067400
2016-04-20,18.1,18.700001,18.0,18.4,18.4,705300
2016-04-21,18.4,18.799999,18.200001,18.799999,18.799999,1523000
2016-04-22,18.5,19.200001,18.4,18.5,18.5,1573600
2016-04-25,18.5,18.799999,18.0,18.0,18.0,863100
2016-04-26,18.1,18.299999,17.299999,17.700001,17.700001,2948600
2016-04-27,17.799999,18.4,17.4,17.9,17.9,2103800
2016-04-28,18.299999,18.299999,17.700001,17.700001,17.700001,2073000
2016-04-29,17.9,18.0,17.200001,17.200001,17.200001,1983600
2016-05-02,17.200001,17.299999,16.4,17.1,17.1,1804600
2016-05-03,16.6,17.299999,16.200001,16.200001,16.200001,1372200
2016-05-04,16.200001,16.799999,15.6,15.8,15.8,1732400
2016-05-05,15.9,16.200001,15.2,15.8,15.8,2003700
