Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.13,4.18,4.06,4.09,4.09,2164800
2016-01-05,4.12,4.17,4.07,4.14,4.14,1337800
2016-01-06,4.1,4.1,3.88,3.91,3.91,1917600
2016-01-07,3.83,3.86,3.69,3.76,3.76,2607200
2016-01-08,3.77,3.85,3.63,3.64,3.64,2077300
2016-01-11,3.68,3.71,3.45,3.49,3.49,3112400
2016-01-12,3.56,3.73,3.4,3.58,3.58,2838700
2016-01-13,3.55,3.62,3.29,3.31,3.31,2334600
2016-01-14,3.31,3.4,3.18,3.35,3.35,2435300
2016-01-15,3.24,3.4,3.14,3.38,3.38,2968800
2016-01-19,3.43,3.48,3.09,3.21,3.21,4386100
2016-01-20,3.13,3.35,2.99,3.32,3.32,4064000
2016-01-21,3.3,3.36,3.2,3.22,3.22,2622900
2016-01-22,3.27,3.44,3.23,3.33,3.33,1668400
2016-01-25,3.3,3.46,3.21,3.21,3.21,2446100
2016-01-26,3.22,3.28,3.14,3.23,3.23,1755300
2016-01-27,3.21,3.28,3.07,3.1,3.1,3032000
2016-01-28,3.12,3.14,2.97,3.02,3.02,4674000
2016-01-29,3.0,3.15,2.96,3.09,3.09,4029300
2016-02-01,3.07,3.1,2.94,3.05,3.05,5356200
2016-02-02,2.78,3.16,2.78,3.05,3.05,4441600
2016-02-03,3.03,3.04,2.87,2.91,2.91,4963100
2016-02-04,2.86,3.17,2.86,3.02,3.02,2322500
2016-02-05,3.0,3.05,2.89,2.91,2.91,2601000
2016-02-08,2.88,2.94,2.59,2.62,2.62,2954400
2016-02-09,2.53,2.64,2.42,2.5,2.5,3019000
2016-02-10,2.52,2.66,2.5,2.5,2.5,2950900
2016-02-11,2.45,2.57,2.38,2.55,2.55,2160100
2016-02-12,2.57,2.63,2.43,2.62,2.62,1854900
2016-02-16,2.68,2.84,2.67,2.83,2.83,1884400
2016-02-17,2.85,2.91,2.77,2.89,2.89,1772700
2016-02-18,2.91,2.92,2.76,2.77,2.77,1323100
2016-02-19,2.76,2.84,2.72,2.84,2.84,1202200
2016-02-22,2.89,2.93,2.68,2.71,2.71,2366100
2016-02-23,2.7,2.73,2.57,2.57,2.57,1797400
2016-02-24,2.54,2.62,2.44,2.6,2.6,1632700
2016-02-25,2.6,2.64,2.53,2.61,2.61,1482000
2016-02-26,2.61,2.66,2.55,2.6,2.6,1459600
2016-02-29,2.6,2.66,2.51,2.51,2.51,1761700
2016-03-01,2.52,2.68,2.5,2.68,2.68,1455600
2016-03-02,2.67,2.9,2.66,2.9,2.9,2726800
2016-03-03,2.92,3.02,2.87,2.96,2.96,2042700
2016-03-04,2.96,3.1,2.89,3.0,3.0,2053900
2016-03-07,3.0,3.22,2.96,3.16,3.16,2334600
2016-03-08,3.15,3.18,2.94,2.96,2.96,2017100
2016-03-09,2.97,3.0,2.84,2.86,2.86,1010500
2016-03-10,2.86,2.98,2.78,2.79,2.79,1157000
2016-03-11,2.82,2.9,2.8,2.9,2.9,933500
2016-03-14,2.9,3.0,2.87,2.92,2.92,907900
2016-03-15,2.9,2.91,2.73,2.73,2.73,1431300
2016-03-16,2.7,2.77,2.57,2.6,2.6,1392300
