Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.97,6.05,5.85,5.98,5.98,985800
2016-01-05,5.94,6.04,5.755,5.87,5.87,724800
2016-01-06,5.74,5.837,5.34,5.45,5.45,1284100
2016-01-07,5.18,5.41,5.005,5.3,5.3,2218200
2016-01-08,5.38,5.66,5.26,5.36,5.36,1052200
2016-01-11,5.36,5.49,4.86,5.04,5.04,1259600
2016-01-12,5.04,5.28,4.8,4.98,4.98,1358400
2016-01-13,4.95,5.12,4.61,4.65,4.65,1000100
2016-01-14,4.64,4.91,4.41,4.79,4.79,948000
2016-01-15,4.63,4.75,4.41,4.58,4.58,1196600
2016-01-19,4.7,4.75,3.84,3.84,3.84,2461700
2016-01-20,3.7,4.1,3.26,3.98,3.98,1886500
2016-01-21,4.06,4.09,3.75,4.0,4.0,893400
2016-01-22,4.08,4.3,3.96,4.19,4.19,777000
2016-01-25,4.16,4.25,3.83,3.84,3.84,937900
2016-01-26,3.84,3.84,3.55,3.735,3.735,964200
2016-01-27,3.72,3.79,3.58,3.64,3.64,616300
2016-01-28,3.69,3.69,3.4,3.48,3.48,791100
2016-01-29,3.48,3.6,3.355,3.48,3.48,843800
2016-02-01,3.45,3.5,3.32,3.45,3.45,546600
2016-02-02,3.41,3.44,3.2,3.25,3.25,819400
2016-02-03,3.26,3.4,3.12,3.4,3.4,1047300
2016-02-04,3.4,3.86,3.351,3.69,3.69,928300
2016-02-05,3.73,3.73,3.46,3.46,3.46,792600
2016-02-08,3.4,3.416,3.14,3.24,3.24,769200
2016-02-09,3.27,3.4,3.11,3.18,3.18,805500
2016-02-10,3.4,3.62,3.2,3.21,3.21,943500
2016-02-11,3.14,3.36,3.07,3.3,3.3,885500
2016-02-12,3.32,3.39,3.22,3.36,3.36,599000
2016-02-16,3.4,3.64,3.4,3.56,3.56,748300
2016-02-17,3.6,3.96,3.58,3.94,3.94,765000
2016-02-18,3.92,3.983,3.74,3.78,3.78,723000
2016-02-19,3.81,4.005,3.7,3.94,3.94,703800
2016-02-22,3.98,4.17,3.953,4.09,4.09,643500
2016-02-23,4.09,4.17,3.86,3.88,3.88,533100
2016-02-24,3.87,3.87,3.57,3.83,3.83,565700
2016-02-25,3.86,3.91,3.72,3.86,3.86,445500
2016-02-26,3.89,3.97,3.84,3.97,3.97,386600
2016-02-29,3.96,4.1,3.87,3.9,3.9,547700
2016-03-01,3.9,4.14,3.866,4.14,4.14,640100
2016-03-02,4.14,4.48,4.1,4.43,4.43,735000
2016-03-03,4.38,4.5,4.19,4.24,4.24,815400
2016-03-04,4.2,4.545,4.16,4.33,4.33,582600
2016-03-07,4.32,5.0,4.291,4.76,4.76,865300
2016-03-08,4.78,4.95,4.55,4.59,4.59,914400
2016-03-09,4.66,4.745,4.39,4.48,4.48,570700
2016-03-10,4.45,4.59,4.25,4.35,4.35,484400
2016-03-11,4.59,4.59,4.25,4.49,4.49,371700
2016-03-14,4.46,4.68,4.44,4.51,4.51,387600
2016-03-15,4.35,4.51,4.17,4.22,4.22,694400
2016-03-16,4.19,4.29,4.1,4.21,4.21,345000
2016-03-17,4.2,4.28,4.04,4.21,4.21,451000
2016-03-18,4.31,4.53,4.12,4.53,4.53,854000
2016-03-21,4.48,4.68,4.32,4.5,4.5,436700
2016-03-22,4.44,4.89,4.35,4.82,4.82,455600
2016-03-23,4.79,4.99,4.39,4.4,4.4,548000
2016-03-24,4.25,4.68,4.25,4.57,4.57,354500
2016-03-28,4.6,4.6,4.416,4.47,4.47,320600
2016-03-29,4.43,4.99,4.26,4.91,4.91,685400
2016-03-30,5.0,5.13,4.72,4.74,4.74,652800
2016-03-31,4.72,4.91,4.7,4.82,4.82,392100
2016-04-01,4.76,4.953,4.68,4.9,4.9,518900
2016-04-04,4.9,5.3,4.9,5.03,5.03,977500
2016-04-05,4.98,5.25,4.9,5.1,5.1,382800
2016-04-06,5.15,5.3,5.08,5.25,5.25,477300
2016-04-07,5.25,5.42,5.18,5.34,5.34,475900
2016-04-08,5.48,5.48,5.01,5.19,5.19,831200
2016-04-11,5.22,5.44,5.136,5.16,5.16,480100
2016-04-12,5.2,5.283,5.05,5.26,5.26,337100
