Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.25,13.05,12.11,12.92,12.92,413500
2016-01-05,12.7,13.47,12.58,12.77,12.77,314900
2016-01-06,12.6,12.96,12.45,12.51,12.51,239900
2016-01-07,12.4,12.59,11.87,12.01,12.01,236900
2016-01-08,11.65,11.7,9.75,10.22,10.22,2735900
2016-01-11,10.32,10.73,9.72,9.86,9.86,607900
2016-01-12,9.95,10.32,9.75,10.13,10.13,259400
2016-01-13,10.12,10.35,9.72,9.76,9.76,385600
2016-01-14,9.92,10.63,9.61,10.33,10.33,872700
2016-01-15,9.96,10.28,9.68,10.04,10.04,170500
2016-01-19,10.23,10.23,9.78,9.86,9.86,268300
2016-01-20,9.71,10.56,9.62,10.3,10.3,222300
2016-01-21,10.33,10.49,10.14,10.25,10.25,201000
2016-01-22,10.38,10.78,9.83,10.41,10.41,158800
2016-01-25,10.79,10.79,10.03,10.09,10.09,171400
2016-01-26,10.05,10.47,9.9,10.43,10.43,139400
2016-01-27,10.22,10.45,9.73,9.84,9.84,98900
2016-01-28,9.89,9.94,9.45,9.77,9.77,174200
2016-01-29,9.75,10.33,9.75,10.16,10.16,144900
2016-02-01,10.12,10.37,9.68,10.21,10.21,147700
2016-02-02,10.42,10.5,9.61,9.79,9.79,214100
2016-02-03,9.83,9.86,9.08,9.51,9.51,159700
2016-02-04,9.36,9.86,9.35,9.51,9.51,63300
2016-02-05,9.41,9.5,9.08,9.35,9.35,109700
2016-02-08,9.19,9.35,8.86,9.19,9.19,162700
2016-02-09,8.89,9.45,8.89,9.25,9.25,277200
2016-02-10,9.4,9.68,9.12,9.41,9.41,228700
2016-02-11,9.25,9.34,8.67,9.21,9.21,170300
2016-02-12,9.16,9.39,8.9,9.05,9.05,270200
2016-02-16,9.61,9.85,9.2,9.36,9.36,244800
2016-02-17,9.45,9.7,9.18,9.4,9.4,352700
2016-02-18,9.46,10.2,9.26,9.96,9.96,232900
2016-02-19,9.94,9.94,9.26,9.65,9.65,155200
2016-02-22,9.73,9.85,9.51,9.65,9.65,96900
2016-02-23,9.56,9.72,9.18,9.25,9.25,151300
2016-02-24,9.09,9.29,8.87,9.1,9.1,178000
2016-02-25,9.1,9.26,9.06,9.19,9.19,156800
2016-02-26,9.24,9.45,8.98,9.07,9.07,165300
2016-02-29,9.03,9.22,8.7,8.73,8.73,147300
2016-03-01,8.92,8.92,7.56,7.85,7.85,864500
2016-03-02,8.0,8.88,8.0,8.6,8.6,426800
2016-03-03,8.74,8.77,8.05,8.23,8.23,325700
2016-03-04,8.18,8.94,8.18,8.68,8.68,321700
2016-03-07,8.8,8.85,8.57,8.67,8.67,165100
2016-03-08,8.75,8.75,8.1,8.23,8.23,264000
2016-03-09,8.19,8.31,7.87,8.05,8.05,173400
2016-03-10,9.0,9.0,8.21,8.69,8.69,558300
2016-03-11,8.81,9.58,8.73,9.44,9.44,448900
2016-03-14,9.54,10.67,9.54,10.24,10.24,521600
2016-03-15,10.25,10.78,9.83,10.21,10.21,644900
2016-03-16,10.23,10.98,10.23,10.4,10.4,585900
2016-03-17,10.76,11.24,10.49,11.09,11.09,506700
2016-03-18,11.3,11.3,10.64,10.82,10.82,626400
2016-03-21,10.64,11.44,10.5,11.19,11.19,281500
