Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,17.6,17.950001,15.22,15.9,15.9,1445000
2016-01-05,16.1,16.200001,15.3,16.15,16.15,337600
2016-01-06,15.87,16.43,15.3,16.18,16.18,321500
2016-01-07,15.7,16.57,15.485,15.94,15.94,334700
2016-01-08,16.549999,17.09,16.02,16.23,16.23,517300
2016-01-11,16.26,16.799999,14.58,16.0,16.0,645100
2016-01-12,16.23,16.691,15.51,16.530001000000002,16.530001000000002,283900
2016-01-13,16.530001000000002,17.440001000000002,16.162001,16.309998999999998,16.309998999999998,543200
2016-01-14,16.440001000000002,18.09,15.68,17.58,17.58,463500
2016-01-15,16.709999,17.540001,16.43,16.809998999999998,16.809998999999998,408000
2016-01-19,17.08,17.610001,16.511,16.91,16.91,247500
2016-01-20,16.5,17.969998999999998,16.110001,17.59,17.59,331900
2016-01-21,17.5,18.33,16.700001,16.85,16.85,360700
2016-01-22,17.219998999999998,18.035,16.965,17.82,17.82,305600
2016-01-25,17.559998999999998,18.049999,16.68,16.969998999999998,16.969998999999998,439500
2016-01-26,17.059998999999998,17.870001000000002,16.389999,17.110001,17.110001,246400
2016-01-27,17.01,17.42,15.0,15.35,15.35,553300
2016-01-28,15.45,15.75,14.76,14.99,14.99,318200
2016-01-29,15.0,16.129998999999998,15.0,15.93,15.93,205600
2016-02-01,15.85,17.18,15.82,16.65,16.65,235400
2016-02-02,12.75,14.01,11.45,13.66,13.66,1765700
2016-02-03,13.14,13.869,12.465,13.24,13.24,983300
2016-02-04,13.19,14.3,12.91,13.39,13.39,773700
2016-02-05,13.25,13.35,11.13,11.23,11.23,1007100
2016-02-08,11.13,11.63,9.15,9.51,9.51,1090700
2016-02-09,9.41,10.51,8.86,10.07,10.07,656500
2016-02-10,9.87,10.59,9.19,10.47,10.47,776300
2016-02-11,10.17,11.12,9.73,10.56,10.56,462600
2016-02-12,10.59,11.03,9.92,10.96,10.96,339300
2016-02-16,11.36,11.75,11.03,11.46,11.46,334400
2016-02-17,11.55,13.46,11.5,12.55,12.55,664600
2016-02-18,12.63,12.77,12.2,12.4,12.4,202800
