Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.07,10.18,9.68,9.8,9.8,647400
2016-01-05,9.85,10.04,9.65,9.71,9.71,346300
2016-01-06,9.96,10.24,9.58,9.65,9.65,1086800
2016-01-07,9.4,9.54,8.92,9.07,9.07,937300
2016-01-08,9.18,9.27,8.48,8.5,8.5,873900
2016-01-11,8.6,8.83,7.63,7.79,7.79,845900
2016-01-12,7.93,8.09,7.52,8.08,8.08,859700
2016-01-13,8.06,8.18,7.27,7.42,7.42,673600
2016-01-14,7.49,7.94,6.95,7.66,7.66,720500
2016-01-15,7.39,7.6,7.22,7.46,7.46,932200
2016-01-19,7.61,7.74,6.86,6.99,6.99,821600
2016-01-20,6.82,7.63,6.54,7.55,7.55,966200
2016-01-21,7.47,7.95,7.01,7.03,7.03,1257000
2016-01-22,7.23,7.77,6.92,7.4,7.4,978700
2016-01-25,7.37,7.81,7.25,7.49,7.49,1029200
2016-01-26,7.61,7.69,7.05,7.29,7.29,745500
2016-01-27,7.16,7.41,6.91,7.0,7.0,911900
2016-01-28,7.05,7.18,6.65,6.79,6.79,834600
2016-01-29,6.81,7.11,6.71,6.97,6.97,927700
2016-02-01,6.94,7.09,6.65,6.9,6.9,824200
2016-02-02,6.8,6.85,6.44,6.51,6.51,808600
2016-02-03,6.54,6.72,6.2,6.53,6.53,661000
2016-02-04,6.49,6.95,6.4,6.5,6.5,939400
2016-02-05,6.62,6.75,6.09,6.14,6.14,1352500
2016-02-08,2.4,2.43,1.76,1.78,1.78,9305400
2016-02-09,1.79,2.09,1.78,1.89,1.89,4916200
2016-02-10,1.84,1.99,1.78,1.8,1.8,1838500
2016-02-11,1.75,1.75,1.64,1.66,1.66,2138900
2016-02-12,1.71,1.74,1.63,1.71,1.71,1832900
2016-02-16,1.78,1.95,1.76,1.86,1.86,1973400
2016-02-17,1.95,2.21,1.81,2.17,2.17,2818000
2016-02-18,2.25,2.27,2.02,2.04,2.04,1544900
2016-02-19,2.04,2.11,2.0,2.06,2.06,1056000
2016-02-22,2.09,2.2,2.09,2.16,2.16,1340600
2016-02-23,2.02,2.14,1.89,1.9,1.9,1077100
2016-02-24,1.82,1.95,1.74,1.9,1.9,1642600
2016-02-25,1.85,2.04,1.81,1.98,1.98,1143000
2016-02-26,2.03,2.28,1.96,2.21,2.21,1176500
2016-02-29,2.19,2.2,1.89,1.99,1.99,1908500
2016-03-01,2.01,2.13,1.95,2.13,2.13,2745100
2016-03-02,2.11,2.57,2.09,2.51,2.51,2239400
2016-03-03,2.5,2.9,2.48,2.61,2.61,3673700
2016-03-04,2.62,2.85,2.54,2.58,2.58,2151700
2016-03-07,2.98,3.24,2.85,2.98,2.98,4897900
2016-03-08,3.12,3.15,2.75,2.87,2.87,2959900
2016-03-09,2.91,2.99,2.68,2.76,2.76,1599700
2016-03-10,2.8,2.81,2.61,2.67,2.67,753800
2016-03-11,2.71,2.84,2.68,2.83,2.83,1086600
2016-03-14,2.81,2.9,2.7,2.79,2.79,961100
2016-03-15,2.76,2.76,2.51,2.55,2.55,1315700
2016-03-16,2.44,2.58,2.37,2.44,2.44,1368500
2016-03-17,2.45,2.64,2.36,2.59,2.59,1344400
2016-03-18,2.62,2.74,2.5,2.63,2.63,2308900
2016-03-21,2.64,2.85,2.63,2.76,2.76,829100
2016-03-22,2.76,2.95,2.74,2.87,2.87,940200
2016-03-23,2.87,2.97,2.61,2.62,2.62,1221600
2016-03-24,2.6,2.81,2.56,2.79,2.79,1085600
2016-03-28,2.8,2.84,2.62,2.76,2.76,818100
2016-03-29,2.74,2.75,2.48,2.71,2.71,1086600
2016-03-30,2.75,2.87,2.69,2.74,2.74,1079900
2016-03-31,2.73,2.89,2.73,2.83,2.83,1540900
2016-04-01,2.82,2.93,2.77,2.83,2.83,875700
2016-04-04,2.85,2.93,2.76,2.8,2.8,906400
2016-04-05,2.77,2.82,2.7,2.72,2.72,955900
2016-04-06,2.72,2.81,2.67,2.8,2.8,1650700
2016-04-07,2.79,2.94,2.73,2.84,2.84,1554400
2016-04-08,2.87,2.91,2.84,2.88,2.88,1280300
2016-04-11,2.89,3.0,2.87,2.9,2.9,877300
2016-04-12,2.89,2.95,2.75,2.83,2.83,748600
2016-04-13,2.89,2.97,2.83,2.89,2.89,1023900
2016-04-14,2.89,2.99,2.87,2.97,2.97,770300
2016-04-15,2.95,3.1,2.93,3.1,3.1,1021700
2016-04-18,3.11,3.2,3.03,3.06,3.06,804800
2016-04-19,3.09,3.14,2.99,3.07,3.07,1130800
2016-04-20,3.09,3.19,3.05,3.13,3.13,951400
2016-04-21,3.1,3.5,3.08,3.36,3.36,1939600
2016-04-22,3.38,3.55,3.3,3.45,3.45,1115600
2016-04-25,3.47,3.73,3.46,3.63,3.63,1244100
2016-04-26,3.67,3.73,3.1,3.42,3.42,2145700
2016-04-27,3.41,3.41,3.21,3.32,3.32,986200
2016-04-28,3.32,3.44,3.22,3.32,3.32,764600
2016-04-29,3.31,3.4,3.14,3.26,3.26,938300
2016-05-02,3.29,3.44,3.17,3.43,3.43,956500
2016-05-03,3.42,3.42,3.19,3.24,3.24,687200
2016-05-04,3.2,3.29,2.97,3.0,3.0,1014800
2016-05-05,2.67,2.98,2.49,2.73,2.73,1909900
2016-05-06,2.68,2.87,2.63,2.84,2.84,880400
2016-05-09,2.91,3.18,2.82,3.06,3.06,747100
2016-05-10,3.13,3.13,2.93,2.96,2.96,844800
2016-05-11,2.95,3.07,2.83,2.83,2.83,573700
2016-05-12,2.84,2.89,2.75,2.84,2.84,702000
2016-05-13,2.83,2.97,2.74,2.91,2.91,637000
2016-05-16,2.94,3.14,2.94,3.06,3.06,668100
2016-05-17,3.05,3.18,3.03,3.05,3.05,657200
2016-05-18,3.04,3.15,2.97,3.08,3.08,590000
2016-05-19,3.07,3.17,2.97,3.13,3.13,672700
2016-05-20,3.14,3.34,3.09,3.32,3.32,990900
2016-05-23,3.32,3.49,3.21,3.22,3.22,714600
2016-05-24,3.25,3.38,3.14,3.35,3.35,861300
2016-05-25,3.4,3.49,3.27,3.35,3.35,585500
2016-05-26,3.35,3.39,3.25,3.36,3.36,459600
2016-05-27,3.36,3.39,3.23,3.38,3.38,834900
2016-05-31,3.4,3.46,3.33,3.39,3.39,608900
2016-06-01,3.37,3.49,3.2,3.45,3.45,1030600
2016-06-02,3.46,3.6,3.45,3.59,3.59,647700
2016-06-03,3.59,3.7,3.52,3.6,3.6,826700
2016-06-06,3.61,3.83,3.46,3.77,3.77,833500
2016-06-07,3.74,4.03,3.74,3.83,3.83,1347500
2016-06-08,3.83,3.94,3.75,3.88,3.88,706100
2016-06-09,3.85,3.87,3.36,3.38,3.38,1301500
2016-06-10,3.33,3.35,2.95,3.05,3.05,1605500
2016-06-13,3.02,3.14,3.0,3.05,3.05,1003500
2016-06-14,3.03,3.06,2.82,2.91,2.91,595400
2016-06-15,2.91,3.04,2.86,2.99,2.99,745700
2016-06-16,2.96,2.96,2.74,2.88,2.88,872500
2016-06-17,2.91,2.91,2.78,2.8,2.8,866600
2016-06-20,2.84,2.92,2.78,2.85,2.85,338800
2016-06-21,2.86,2.86,2.71,2.77,2.77,386700
2016-06-22,2.78,2.89,2.74,2.81,2.81,386100
2016-06-23,2.84,2.94,2.78,2.94,2.94,371600
2016-06-24,2.67,2.86,2.6,2.84,2.84,802300
2016-06-27,2.79,2.82,2.64,2.66,2.66,673300
2016-06-28,2.69,2.86,2.69,2.81,2.81,569700
2016-06-29,2.89,2.94,2.77,2.91,2.91,481700
2016-06-30,2.92,2.94,2.8,2.84,2.84,408800
2016-07-01,2.83,2.98,2.82,2.94,2.94,330300
2016-07-05,3.05,3.17,2.85,2.93,2.93,515500
2016-07-06,2.9,3.03,2.83,2.99,2.99,290500
2016-07-07,2.99,3.03,2.9,2.99,2.99,279700
2016-07-08,3.0,3.12,2.95,3.09,3.09,488800
2016-07-11,3.11,3.14,3.0,3.07,3.07,394800
2016-07-12,3.09,3.13,3.03,3.07,3.07,457600
2016-07-13,3.09,3.09,2.9,2.91,2.91,571600
2016-07-14,2.96,2.98,2.85,2.87,2.87,489100
2016-07-15,2.9,2.97,2.86,2.96,2.96,317000
2016-07-18,2.96,3.03,2.88,3.02,3.02,301800
2016-07-19,3.01,3.02,2.87,2.88,2.88,333200
2016-07-20,2.9,3.04,2.87,2.97,2.97,504800
2016-07-21,3.0,3.09,2.95,2.98,2.98,434100
2016-07-22,2.99,3.09,2.95,3.08,3.08,392100
2016-07-25,3.08,3.08,2.99,3.04,3.04,295400
2016-07-26,3.03,3.1,2.98,3.0,3.0,356800
2016-07-27,3.02,3.43,3.02,3.41,3.41,1887300
2016-07-28,3.41,3.49,3.3,3.46,3.46,1032300
2016-07-29,3.47,3.64,3.4,3.62,3.62,906600
2016-08-01,3.62,3.74,3.56,3.7,3.7,652600
2016-08-02,3.69,3.83,3.61,3.77,3.77,757400
2016-08-03,3.77,4.25,3.73,4.03,4.03,2172500
2016-08-04,4.22,4.22,3.87,4.0,4.0,1881600
2016-08-05,4.1,4.21,4.02,4.14,4.14,1104000
2016-08-08,4.21,4.22,4.06,4.19,4.19,720000
2016-08-09,4.2,5.1,4.18,4.95,4.95,3950400
2016-08-10,4.98,5.15,4.83,5.0,5.0,2685800
2016-08-11,5.03,5.08,4.93,5.03,5.03,1496100
2016-08-12,5.2,5.8,5.0,5.04,5.04,6049800
2016-08-15,5.11,5.19,4.68,4.72,4.72,2130800
2016-08-16,4.64,4.81,4.33,4.37,4.37,1414200
2016-08-17,4.14,4.4,3.95,4.31,4.31,1323500
2016-08-18,4.28,4.47,4.19,4.36,4.36,812200
2016-08-19,4.36,4.47,4.28,4.33,4.33,584400
2016-08-22,4.34,4.57,4.22,4.45,4.45,544400
2016-08-23,4.5,4.82,4.44,4.64,4.64,1008100
2016-08-24,4.65,4.84,4.34,4.39,4.39,1177800
2016-08-25,4.3,4.4,3.98,4.1,4.1,1624500
2016-08-26,4.1,4.23,4.06,4.18,4.18,627500
2016-08-29,4.15,4.28,4.08,4.15,4.15,476100
2016-08-30,4.15,4.25,4.11,4.13,4.13,334300
2016-08-31,4.11,4.18,4.01,4.11,4.11,700100
