Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,19.530001000000002,20.25,18.700001,19.0,19.0,444200
2016-01-05,19.16,19.85,18.808001,19.450001,19.450001,249400
2016-01-06,18.969998999999998,19.32,18.280001000000002,18.49,18.49,441300
2016-01-07,18.08,18.25,16.16,16.35,16.35,560700
2016-01-08,16.49,17.18,15.811,15.93,15.93,373900
2016-01-11,15.45,15.839,13.258,13.78,13.78,510300
2016-01-12,14.05,15.0,13.47,14.08,14.08,372900
2016-01-13,14.39,14.39,12.63,12.65,12.65,326400
2016-01-14,12.7,13.399,11.8,12.96,12.96,540500
2016-01-15,12.35,12.755,11.76,12.69,12.69,426300
2016-01-19,12.7,12.71,11.17,11.81,11.81,605600
2016-01-20,11.54,13.67,11.34,12.97,12.97,791400
2016-01-21,12.99,13.455,11.76,12.18,12.18,1193900
2016-01-22,12.8,13.195,12.34,12.53,12.53,397800
2016-01-25,12.43,13.43,12.153,12.72,12.72,582500
2016-01-26,12.84,12.98,11.97,12.68,12.68,359300
2016-01-27,12.62,12.84,11.77,11.9,11.9,327700
2016-01-28,12.1,12.13,10.751,10.92,10.92,537500
2016-01-29,10.87,11.39,10.66,11.3,11.3,311300
2016-02-01,11.08,11.87,10.81,11.49,11.49,287300
2016-02-02,11.27,11.39,10.75,10.99,10.99,294000
2016-02-03,11.06,11.25,9.8,10.16,10.16,507500
2016-02-04,10.13,11.605,10.08,11.17,11.17,310900
2016-02-05,11.44,11.44,10.45,10.5,10.5,254100
2016-02-08,10.33,10.39,9.2,9.25,9.25,465000
2016-02-09,9.11,9.82,8.77,9.4,9.4,268000
2016-02-10,9.46,10.0,9.36,9.51,9.51,282200
2016-02-11,9.0,9.43,8.91,9.16,9.16,327300
2016-02-12,9.39,9.72,8.94,9.66,9.66,258100
2016-02-16,9.82,10.33,9.82,10.28,10.28,309100
2016-02-17,10.41,10.8,10.01,10.58,10.58,316600
2016-02-18,10.65,10.725,9.801,9.84,9.84,335700
2016-02-19,9.78,10.16,9.35,9.93,9.93,483400
2016-02-22,10.32,11.3,10.17,10.62,10.62,670700
2016-02-23,10.6,10.63,9.58,9.61,9.61,397900
2016-02-24,9.5,9.86,8.81,9.78,9.78,416500
2016-02-25,9.51,9.901,9.0,9.18,9.18,410200
2016-02-26,9.18,9.5,9.03,9.16,9.16,330400
2016-02-29,9.12,9.44,8.98,9.02,9.02,275000
2016-03-01,9.09,9.75,8.801,9.69,9.69,547200
2016-03-02,9.65,10.64,9.65,10.45,10.45,493300
2016-03-03,10.46,10.96,10.17,10.53,10.53,382400
2016-03-04,10.52,11.08,10.1,10.62,10.62,380900
2016-03-07,10.6,11.44,10.36,11.14,11.14,401800
2016-03-08,11.05,11.24,9.93,9.93,9.93,396900
2016-03-09,10.02,10.08,9.08,9.58,9.58,252500
2016-03-10,9.64,10.19,8.95,9.14,9.14,336500
2016-03-11,9.25,9.64,9.15,9.62,9.62,211200
2016-03-14,9.54,10.3,9.5,10.03,10.03,251000
2016-03-15,9.5,9.77,8.01,8.09,8.09,1469500
2016-03-16,8.06,8.4,7.684,7.79,7.79,523400
2016-03-17,7.75,7.94,7.24,7.71,7.71,728600
2016-03-18,7.73,8.17,7.65,8.14,8.14,538900
2016-03-21,8.14,8.92,8.14,8.67,8.67,407100
2016-03-22,8.4,9.15,8.4,8.82,8.82,309000
2016-03-23,8.82,9.01,7.68,7.76,7.76,481000
2016-03-24,7.69,8.66,7.51,8.07,8.07,342400
2016-03-28,8.12,8.26,7.68,7.91,7.91,190100
2016-03-29,7.82,8.65,7.57,8.64,8.64,277700
2016-03-30,8.7,9.24,8.53,8.77,8.77,399400
2016-03-31,8.66,9.48,8.66,9.35,9.35,379200
2016-04-01,9.25,10.12,9.07,10.02,10.02,338900
2016-04-04,10.07,10.692,10.04,10.11,10.11,330500
2016-04-05,10.08,10.95,10.08,10.41,10.41,415700
2016-04-06,10.49,11.325,10.41,11.19,11.19,410700
2016-04-07,11.1,11.5,10.75,10.8,10.8,282600
2016-04-08,11.06,11.06,10.45,10.63,10.63,238500
2016-04-11,10.8,11.04,10.44,10.54,10.54,267500
2016-04-12,10.55,11.09,10.32,10.81,10.81,241500
2016-04-13,11.0,11.82,10.86,11.71,11.71,385100
