Date,Open,High,Low,Close,Adj Close,Volume
2016-07-20,19.0,19.0,15.05,15.13,15.13,2737400
2016-07-21,15.08,15.45,14.5,15.16,15.16,410700
2016-07-22,15.0,15.1,14.7,15.0,15.0,324200
2016-07-25,15.0,15.114,14.7,14.88,14.88,138300
2016-07-26,14.83,14.97,14.67,14.97,14.97,77000
2016-07-27,14.96,14.96,14.81,14.95,14.95,42000
2016-07-28,14.925,14.99,14.8,14.95,14.95,41200
2016-07-29,14.83,14.9,14.7,14.72,14.72,46500
2016-08-01,14.73,15.198,14.69,15.17,15.17,39200
2016-08-02,15.25,15.519,14.74,15.16,15.16,48200
2016-08-03,15.08,15.2,14.84,15.05,15.05,31200
2016-08-04,15.25,15.25,14.81,15.04,15.04,12400
2016-08-05,14.905,15.25,14.9,15.0,15.0,16600
2016-08-08,15.0,15.43,15.0,15.27,15.27,31000
2016-08-09,15.4,15.4,15.0,15.08,15.08,7800
2016-08-10,15.04,15.25,15.01,15.15,15.15,17700
2016-08-11,15.01,15.2,14.77,14.97,14.97,27700
2016-08-12,14.86,14.86,13.06,14.7,14.7,45700
2016-08-15,14.7,15.25,14.7,14.8,14.8,53300
2016-08-16,14.95,14.95,14.32,14.51,14.51,20800
2016-08-17,14.5,14.786,14.34,14.5,14.5,14300
2016-08-18,14.38,14.88,14.17,14.59,14.59,21500
2016-08-19,14.7,14.826,14.4,14.4,14.4,11500
2016-08-22,14.4,14.95,14.4,14.93,14.93,27600
2016-08-23,14.85,15.09,14.595,14.8,14.8,25700
2016-08-24,15.09,15.2,14.9,15.03,15.03,40000
2016-08-25,15.05,15.39,15.03,15.24,15.24,21600
2016-08-26,15.24,15.47,14.61,15.1,15.1,144800
2016-08-29,15.215,15.485,15.21,15.34,15.34,16100
2016-08-30,15.34,15.5,15.11,15.16,15.16,23200
2016-08-31,15.5,17.23,15.18,15.64,15.64,169500
2016-09-01,15.46,16.25,14.5,14.99,14.99,55200
2016-09-02,15.02,15.2,14.64,14.86,14.86,59300
2016-09-06,14.74,14.74,14.5,14.65,14.65,16800
2016-09-07,14.53,15.45,14.51,15.15,15.15,38700
