Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.42,7.7,7.12,7.44,7.44,175000
2016-01-05,7.66,7.84,7.33,7.79,7.79,155000
2016-01-06,7.43,7.69,6.84,7.04,7.04,227200
2016-01-07,6.9,6.95,6.38,6.41,6.41,304700
2016-01-08,6.6,6.72,5.95,5.98,5.98,249100
2016-01-11,5.99,6.27,5.354,5.59,5.59,356900
2016-01-12,5.65,6.16,5.44,5.79,5.79,173700
2016-01-13,5.86,5.911,4.99,5.0,5.0,282200
2016-01-14,5.09,5.47,4.72,5.36,5.36,317700
2016-01-15,4.86,5.06,4.76,4.8,4.8,284800
2016-01-19,4.9,4.98,4.44,4.71,4.71,257400
2016-01-20,4.49,5.6,4.36,5.37,5.37,308900
2016-01-21,5.42,5.82,5.236,5.5,5.5,135300
2016-01-22,5.69,5.82,5.48,5.65,5.65,157400
2016-01-25,5.58,5.94,5.5,5.54,5.54,75400
2016-01-26,5.58,5.67,5.23,5.52,5.52,88500
2016-01-27,5.48,5.66,5.2,5.22,5.22,85200
2016-01-28,5.31,5.48,4.86,4.94,4.94,147800
2016-01-29,4.94,5.312,4.89,5.0,5.0,159400
2016-02-01,4.93,5.005,4.78,4.94,4.94,77600
2016-02-02,4.83,5.01,4.79,4.99,4.99,69900
2016-02-03,5.19,5.19,4.541,4.66,4.66,202200
2016-02-04,4.59,5.16,4.59,4.83,4.83,134600
2016-02-05,4.79,4.92,4.72,4.76,4.76,59600
2016-02-08,4.67,4.67,4.42,4.62,4.62,84700
2016-02-09,4.51,4.752,4.37,4.53,4.53,129100
2016-02-10,4.57,4.88,4.44,4.47,4.47,100000
2016-02-11,4.32,4.84,4.31,4.79,4.79,89900
2016-02-12,4.97,5.14,4.67,5.08,5.08,87100
2016-02-16,5.18,5.66,5.18,5.59,5.59,89600
2016-02-17,5.66,6.09,5.65,5.91,5.91,147100
2016-02-18,5.93,5.93,5.72,5.74,5.74,40000
2016-02-19,5.69,5.82,5.37,5.59,5.59,77000
2016-02-22,5.78,6.05,5.6,5.97,5.97,86700
2016-02-23,5.94,6.4,5.79,5.82,5.82,119100
2016-02-24,5.58,6.19,5.53,6.1,6.1,82100
2016-02-25,6.09,6.1,5.79,5.93,5.93,38000
2016-02-26,6.0,6.19,5.83,6.13,6.13,92700
2016-02-29,6.17,6.25,5.9,5.94,5.94,56200
2016-03-01,6.02,6.22,5.83,6.18,6.18,83800
2016-03-02,6.18,6.41,6.18,6.35,6.35,98300
2016-03-03,6.35,6.4,6.23,6.36,6.36,65700
2016-03-04,6.39,6.62,6.28,6.46,6.46,139800
2016-03-07,6.41,6.56,6.27,6.47,6.47,156300
2016-03-08,6.4,6.4,5.97,6.09,6.09,596600
2016-03-09,6.13,6.87,5.926,6.45,6.45,209200
2016-03-10,6.52,6.52,6.05,6.17,6.17,97300
2016-03-11,6.25,6.45,6.22,6.37,6.37,52400
2016-03-14,6.32,6.729,6.22,6.49,6.49,54400
2016-03-15,6.75,6.75,5.532,5.69,5.69,125000
2016-03-16,5.97,6.0,5.4,5.56,5.56,56100
2016-03-17,5.53,5.71,5.18,5.62,5.62,86900
2016-03-18,5.65,5.9,5.46,5.87,5.87,75000
2016-03-21,5.87,6.2,5.84,5.93,5.93,140300
2016-03-22,5.84,6.04,5.65,5.79,5.79,141600
2016-03-23,5.73,5.94,5.31,5.37,5.37,61600
2016-03-24,5.28,5.45,5.205,5.24,5.24,63700
2016-03-28,5.28,5.56,4.93,5.18,5.18,99000
2016-03-29,5.14,5.72,5.07,5.64,5.64,82700
2016-03-30,5.79,6.0,5.45,5.6,5.6,57600
2016-03-31,5.61,5.89,5.61,5.68,5.68,65800
2016-04-01,5.56,5.95,5.56,5.92,5.92,66800
2016-04-04,6.02,6.08,5.86,5.87,5.87,62700
2016-04-05,5.8,6.04,5.65,5.66,5.66,91400
2016-04-06,5.69,6.02,5.69,6.0,6.0,93100
2016-04-07,5.93,6.084,5.77,5.82,5.82,96100
2016-04-08,5.94,6.16,5.59,5.67,5.67,59600
2016-04-11,5.74,5.93,5.66,5.78,5.78,84400
2016-04-12,5.8,5.891,5.62,5.68,5.68,75900
2016-04-13,5.73,5.97,5.686,5.81,5.81,92400
2016-04-14,5.85,5.94,5.7,5.86,5.86,66200
2016-04-15,5.81,5.92,5.73,5.89,5.89,44200
2016-04-18,5.7,5.95,5.7,5.74,5.74,59300
2016-04-19,5.79,5.83,5.69,5.7,5.7,71500
2016-04-20,5.7,5.83,5.62,5.66,5.66,34300
2016-04-21,5.65,5.94,5.63,5.9,5.9,78700
2016-04-22,5.88,5.99,5.88,5.92,5.92,60200
2016-04-25,5.89,5.99,5.73,5.79,5.79,61800
2016-04-26,5.8,5.8,5.42,5.55,5.55,91900
2016-04-27,5.54,5.68,5.35,5.36,5.36,45100
2016-04-28,5.33,5.76,5.27,5.49,5.49,78700
2016-04-29,5.48,5.65,5.3,5.33,5.33,97100
2016-05-02,5.39,5.41,5.11,5.33,5.33,75400
2016-05-03,5.27,5.32,5.01,5.03,5.03,65400
2016-05-04,5.02,5.17,4.56,4.7,4.7,149500
2016-05-05,4.71,4.71,4.5,4.5,4.5,80300
2016-05-06,4.46,4.61,4.43,4.55,4.55,47200
2016-05-09,4.55,5.035,4.48,4.76,4.76,103600
2016-05-10,4.83,4.95,4.56,4.66,4.66,53100
2016-05-11,4.53,4.74,4.42,4.47,4.47,114100
2016-05-12,4.5,4.5,4.1,4.21,4.21,122900
2016-05-13,4.21,4.4,4.07,4.26,4.26,73000
2016-05-16,4.23,4.51,4.23,4.42,4.42,73200
2016-05-17,4.43,4.69,4.25,4.27,4.27,84800
2016-05-18,4.22,4.41,4.21,4.35,4.35,91500
2016-05-19,4.31,4.35,4.12,4.25,4.25,60500
2016-05-20,4.32,4.49,4.32,4.39,4.39,43600
2016-05-23,4.39,4.69,4.39,4.59,4.59,61300
2016-05-24,4.62,4.8,4.54,4.72,4.72,55200
2016-05-25,4.8,5.12,4.77,5.07,5.07,99900
2016-05-26,5.095,5.115,4.95,5.0,5.0,33300
2016-05-27,5.02,5.17,4.9,5.0,5.0,64700
2016-05-31,5.0,5.4,5.0,5.24,5.24,95800
2016-06-01,5.24,5.43,5.13,5.3,5.3,54600
2016-06-02,5.271,5.4,5.24,5.4,5.4,40600
2016-06-03,5.4,5.46,5.1,5.42,5.42,65800
2016-06-06,5.49,6.0,5.44,5.88,5.88,113700
2016-06-07,5.86,5.92,5.6,5.71,5.71,60000
2016-06-08,5.704,5.704,5.42,5.45,5.45,35400
2016-06-09,5.39,5.4,5.01,5.05,5.05,66600
2016-06-10,5.0,5.0,4.77,4.8,4.8,88000
2016-06-13,4.76,5.03,4.73,4.76,4.76,51100
2016-06-14,4.73,4.89,4.7,4.76,4.76,41800
2016-06-15,4.81,4.92,4.75,4.79,4.79,38600
2016-06-16,4.75,4.75,4.63,4.71,4.71,72500
2016-06-17,4.73,4.73,4.29,4.29,4.29,164500
2016-06-20,4.57,4.68,4.25,4.26,4.26,119500
2016-06-21,4.3,4.45,4.16,4.24,4.24,142400
2016-06-22,4.16,4.3,4.13,4.16,4.16,208300
2016-06-23,4.24,4.28,4.12,4.21,4.21,157000
2016-06-24,4.0,4.15,3.91,3.96,3.96,1390200
2016-06-27,3.95,4.0,3.6,3.69,3.69,220300
2016-06-28,3.78,4.11,3.78,3.97,3.97,200500
2016-06-29,4.08,4.08,3.75,3.8,3.8,131100
2016-06-30,3.84,3.88,3.62,3.71,3.71,111700
2016-07-01,3.74,3.85,3.695,3.81,3.81,152400
2016-07-05,3.81,3.83,3.55,3.83,3.83,131600
2016-07-06,3.76,3.855,3.72,3.81,3.81,101300
2016-07-07,3.77,3.81,3.58,3.61,3.61,384100
2016-07-08,3.65,3.75,3.55,3.63,3.63,224900
2016-07-11,3.69,3.7,3.43,3.45,3.45,382800
2016-07-12,3.51,3.55,3.33,3.38,3.38,430100
2016-07-13,3.41,3.53,3.31,3.41,3.41,259800
2016-07-14,3.44,3.47,3.24,3.44,3.44,411900
2016-07-15,3.48,3.6,3.35,3.43,3.43,955300
2016-07-18,3.46,3.61,3.35,3.49,3.49,2707500
2016-07-19,3.52,3.55,2.89,2.99,2.99,1384400
2016-07-20,2.99,3.17,2.87,3.08,3.08,470200
2016-07-21,3.14,3.27,3.01,3.07,3.07,491900
2016-07-22,3.14,3.22,3.05,3.15,3.15,215200
2016-07-25,3.28,3.38,3.15,3.17,3.17,190500
2016-07-26,3.18,3.27,3.1,3.23,3.23,163000
2016-07-27,3.3,3.36,3.2,3.29,3.29,170700
2016-07-28,3.26,3.293,3.16,3.2,3.2,176100
2016-07-29,3.17,3.2,3.02,3.17,3.17,166100
2016-08-01,3.21,3.25,3.08,3.15,3.15,177600
2016-08-02,3.14,3.17,2.87,3.0,3.0,394100
2016-08-03,3.0,3.23,2.99,3.14,3.14,290100
2016-08-04,3.16,3.23,3.121,3.14,3.14,124100
2016-08-05,3.18,3.45,3.14,3.43,3.43,739600
2016-08-08,3.44,3.55,3.33,3.34,3.34,413400
2016-08-09,3.33,3.419,3.21,3.26,3.26,178300
2016-08-10,3.15,3.29,3.0,3.05,3.05,259300
2016-08-11,3.06,3.17,3.0,3.08,3.08,83700
2016-08-12,3.09,3.17,3.08,3.15,3.15,98200
2016-08-15,3.17,3.35,3.131,3.28,3.28,165700
2016-08-16,3.27,3.3,3.1,3.14,3.14,110000
2016-08-17,3.12,3.28,3.021,3.27,3.27,105100
2016-08-18,3.28,3.35,3.223,3.31,3.31,240200
2016-08-19,3.29,3.35,3.25,3.31,3.31,130100
2016-08-22,3.34,3.44,3.3,3.35,3.35,118100
2016-08-23,3.39,3.4,3.14,3.26,3.26,151200
2016-08-24,3.25,3.39,3.12,3.14,3.14,142500
2016-08-25,3.15,3.26,3.11,3.16,3.16,68600
2016-08-26,3.19,3.23,3.09,3.14,3.14,50100
2016-08-29,3.14,3.19,3.09,3.18,3.18,28200
2016-08-30,3.18,3.25,3.15,3.2,3.2,31000
2016-08-31,3.22,3.22,3.05,3.1,3.1,191600
2016-09-01,3.1,3.15,3.02,3.08,3.08,38900
2016-09-02,3.07,3.11,3.02,3.08,3.08,35200
2016-09-06,3.06,3.13,3.01,3.02,3.02,164400
2016-09-07,3.0,3.2,3.0,3.16,3.16,111600
2016-09-08,3.16,3.24,3.14,3.22,3.22,73400
2016-09-09,3.15,3.22,3.05,3.07,3.07,45200
2016-09-12,3.07,3.19,3.04,3.1,3.1,226800
2016-09-13,3.08,3.09,3.0,3.01,3.01,161800
2016-09-14,3.01,3.23,2.941,3.02,3.02,109400
2016-09-15,3.01,3.02,2.94,2.98,2.98,87200
2016-09-16,2.96,3.05,2.95,3.0,3.0,140400
2016-09-19,3.03,3.16,2.972,3.07,3.07,242300
2016-09-20,3.13,3.22,3.04,3.17,3.17,201500
2016-09-21,3.18,3.2,3.02,3.18,3.18,142200
2016-09-22,3.19,3.2,3.11,3.18,3.18,95400
2016-09-23,3.2,3.2,2.98,3.0,3.0,157300
2016-09-26,3.01,3.18,3.01,3.15,3.15,127800
2016-09-27,3.18,3.2,3.05,3.13,3.13,90400
2016-09-28,3.15,3.16,3.11,3.14,3.14,96700
2016-09-29,3.1,3.15,3.03,3.06,3.06,80900
2016-09-30,3.06,3.29,3.04,3.25,3.25,264800
2016-10-03,3.31,3.58,3.3,3.47,3.47,716000
2016-10-04,3.5,3.66,3.33,3.38,3.38,428900
2016-10-05,3.42,3.469,3.35,3.39,3.39,152800
2016-10-06,3.379,3.379,3.06,3.26,3.26,669500
2016-10-07,3.3,3.302,3.065,3.13,3.13,296800
2016-10-10,3.17,3.24,3.16,3.2,3.2,157100
2016-10-11,3.21,3.21,3.03,3.08,3.08,204300
2016-10-12,3.12,3.15,2.95,2.96,2.96,357100
2016-10-13,2.96,3.04,2.9,2.97,2.97,176400
2016-10-14,3.0,3.045,2.95,2.96,2.96,240500
2016-10-17,2.95,3.0,2.9,3.0,3.0,85800
2016-10-18,3.0,3.05,2.95,3.0,3.0,84100
2016-10-19,2.95,3.0,2.9,3.0,3.0,69500
2016-10-20,2.95,3.05,2.95,3.0,3.0,184900
2016-10-21,3.0,3.0,2.95,3.0,3.0,162300
2016-10-24,3.0,3.1,2.95,2.95,2.95,88900
2016-10-25,2.5,2.55,2.25,2.4,2.4,924400
2016-10-26,2.4,2.4,2.25,2.3,2.3,251500
2016-10-27,2.3,2.55,2.2,2.55,2.55,441000
2016-10-28,2.55,2.85,2.425,2.85,2.85,227500
2016-10-31,2.85,2.85,2.65,2.75,2.75,92300
2016-11-01,2.75,2.75,2.55,2.6,2.6,78100
2016-11-02,2.6,2.7,2.5,2.5,2.5,71800
2016-11-03,2.55,2.55,2.5,2.5,2.5,111200
2016-11-04,2.6,2.6,2.55,2.55,2.55,35500
2016-11-07,2.6,2.6,2.55,2.6,2.6,37800
2016-11-08,2.55,2.558,2.5,2.5,2.5,42200
2016-11-09,2.5,2.8,2.5,2.75,2.75,168000
2016-11-10,3.0,3.0,2.85,2.95,2.95,133800
2016-11-11,3.0,3.495,2.97,3.3,3.3,427800
2016-11-14,3.3,3.4,3.15,3.15,3.15,174000
2016-11-15,3.2,3.35,3.05,3.35,3.35,185400
2016-11-16,3.35,3.45,3.15,3.25,3.25,672200
2016-11-17,3.3,3.4,3.2,3.25,3.25,153800
2016-11-18,3.4,3.5,3.3,3.35,3.35,277300
2016-11-21,3.45,3.45,3.3,3.35,3.35,188700
2016-11-22,3.3,3.45,3.2,3.4,3.4,200000
2016-11-23,3.4,3.5,3.3,3.4,3.4,243100
2016-11-25,3.4,3.5,3.35,3.45,3.45,86200
2016-11-28,3.5,3.542,3.3,3.4,3.4,96800
2016-11-29,3.35,3.4,3.3,3.35,3.35,72900
2016-11-30,3.45,3.525,3.395,3.5,3.5,250500
2016-12-01,3.55,3.55,3.25,3.25,3.25,148200
2016-12-02,3.25,3.4,3.2,3.4,3.4,93200
2016-12-05,3.45,3.85,3.425,3.8,3.8,387900
2016-12-06,3.85,3.85,3.4,3.4,3.4,310100
2016-12-07,3.35,3.4,2.9,3.25,3.25,327800
2016-12-08,3.3,3.3,3.1,3.2,3.2,66900
2016-12-09,3.25,3.6,3.195,3.5,3.5,262600
2016-12-12,3.45,3.45,3.14,3.2,3.2,269600
2016-12-13,3.2,3.2,3.0,3.1,3.1,184100
2016-12-14,3.1,3.345,3.0,3.2,3.2,112600
2016-12-15,3.225,3.3,3.2,3.3,3.3,69800
2016-12-16,3.35,3.4,3.15,3.2,3.2,84900
2016-12-19,3.25,3.3,3.05,3.2,3.2,110400
2016-12-20,3.2,3.25,3.05,3.05,3.05,147100
2016-12-21,3.9,4.25,3.5,3.65,3.65,6098900
2016-12-22,3.55,3.6,3.35,3.5,3.5,504300
2016-12-23,3.45,3.6,3.3,3.5,3.5,181300
2016-12-27,3.55,3.6,3.35,3.4,3.4,166700
2016-12-28,3.35,3.5,3.15,3.15,3.15,159800
2016-12-29,3.2,3.25,3.15,3.2,3.2,98200
2016-12-30,3.25,3.445,3.2,3.25,3.25,143800
2017-01-03,3.35,3.6,3.25,3.6,3.6,308600
2017-01-04,3.65,3.65,3.5,3.65,3.65,165600
2017-01-05,3.75,4.0,3.705,3.95,3.95,346300
2017-01-06,3.95,4.45,3.9,4.45,4.45,582600
2017-01-09,4.5,4.8,4.15,4.35,4.35,586300
2017-01-10,4.4,4.7,4.3,4.55,4.55,279800
2017-01-11,4.55,4.65,4.25,4.45,4.45,156500
2017-01-12,4.35,4.65,4.25,4.6,4.6,258800
2017-01-13,4.6,5.0,4.6,4.9,4.9,395900
2017-01-17,5.0,5.1,4.75,4.85,4.85,239900
2017-01-18,4.8,4.85,4.45,4.5,4.5,230200
2017-01-19,4.5,4.525,4.0,4.25,4.25,325300
2017-01-20,4.2,4.3,4.1,4.25,4.25,107900
2017-01-23,4.25,4.5,4.25,4.4,4.4,121200
2017-01-24,4.6,4.8,4.45,4.75,4.75,177100
