Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.74,17.0,16.07,16.690001000000002,16.690001000000002,346300
2016-01-05,16.73,17.6,16.610001,17.540001,17.540001,358700
2016-01-06,17.200001,17.690001000000002,16.719998999999998,16.91,16.91,609800
2016-01-07,16.43,16.549999,14.95,15.04,15.04,518100
2016-01-08,15.46,16.290001,14.51,14.92,14.92,471800
2016-01-11,15.01,15.011,13.03,13.53,13.53,443800
2016-01-12,13.68,14.235,13.25,13.52,13.52,265000
2016-01-13,13.74,13.95,11.0,11.31,11.31,545000
2016-01-14,11.39,11.775,10.13,11.15,11.15,575700
2016-01-15,10.54,12.19,10.5,11.95,11.95,493100
2016-01-19,11.98,12.28,10.71,10.97,10.97,372100
2016-01-20,10.4,11.66,10.27,11.45,11.45,326800
2016-01-21,11.43,11.76,10.91,11.01,11.01,190800
2016-01-22,11.33,11.65,10.92,11.65,11.65,268200
2016-01-25,11.63,11.92,10.96,11.03,11.03,195000
2016-01-26,10.93,11.07,10.02,10.83,10.83,286800
2016-01-27,10.8,11.02,10.08,10.16,10.16,205600
2016-01-28,10.27,10.36,9.3,9.44,9.44,500600
2016-01-29,9.53,9.825,8.78,9.0,9.0,548300
2016-02-01,9.0,9.13,8.297,8.58,8.58,843200
2016-02-02,8.51,8.88,8.4,8.6,8.6,467100
2016-02-03,8.71,9.05,8.26,8.82,8.82,444300
2016-02-04,8.72,9.44,8.52,8.7,8.7,243600
2016-02-05,8.62,8.78,7.83,7.88,7.88,358500
2016-02-08,7.75,7.75,6.51,6.95,6.95,606700
2016-02-09,6.84,7.59,6.8,7.17,7.17,320200
2016-02-10,7.21,7.31,6.68,7.15,7.15,489900
2016-02-11,6.94,7.355,6.78,7.21,7.21,286000
2016-02-12,7.3,7.48,6.82,7.46,7.46,311700
2016-02-16,7.64,8.0,7.4,7.47,7.47,268400
2016-02-17,7.52,8.12,7.31,8.07,8.07,443600
2016-02-18,8.1,8.304,7.19,7.3,7.3,473400
2016-02-19,7.3,7.65,7.16,7.6,7.6,164700
2016-02-22,7.66,7.842,7.38,7.41,7.41,228000
2016-02-23,7.37,7.6,6.99,6.99,6.99,315200
2016-02-24,6.95,7.2,6.7,7.17,7.17,214000
2016-02-25,7.13,7.208,6.76,6.91,6.91,350700
2016-02-26,4.35,4.97,4.26,4.76,4.76,3693100
2016-02-29,4.55,5.23,4.54,4.92,4.92,1202300
2016-03-01,5.05,5.18,4.9,5.09,5.09,688600
2016-03-02,5.09,5.85,5.09,5.82,5.82,678600
2016-03-03,5.86,5.95,5.321,5.64,5.64,474000
2016-03-04,5.65,5.65,5.3,5.39,5.39,387800
2016-03-07,5.37,5.81,5.29,5.53,5.53,392500
2016-03-08,5.47,5.75,5.02,5.13,5.13,506500
2016-03-09,5.2,5.47,5.0,5.3,5.3,278200
2016-03-10,5.41,5.49,5.06,5.23,5.23,406300
2016-03-11,5.2,5.28,4.51,4.76,4.76,1408000
2016-03-14,5.12,5.6,4.91,5.03,5.03,1196600
2016-03-15,5.02,5.03,4.54,4.67,4.67,759800
2016-03-16,4.75,4.83,4.64,4.75,4.75,611100
2016-03-17,4.76,5.0,4.64,4.96,4.96,666600
2016-03-18,5.04,5.27,4.84,5.17,5.17,646700
2016-03-21,5.35,6.51,5.35,6.27,6.27,3153200
2016-03-22,6.14,6.7,6.02,6.52,6.52,1038400
2016-03-23,6.52,6.75,5.67,5.77,5.77,854700
2016-03-24,5.68,6.37,5.4,5.84,5.84,797100
2016-03-28,5.97,6.05,5.55,5.74,5.74,357000
2016-03-29,5.67,6.125,5.46,6.07,6.07,526900
2016-03-30,6.14,6.54,5.77,6.0,6.0,633500
2016-03-31,6.0,6.39,5.97,6.22,6.22,481500
2016-04-01,6.21,6.78,6.129,6.6,6.6,638100
2016-04-04,6.68,7.355,6.57,6.84,6.84,696000
