Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.95,7.96,7.15,7.23,7.23,123000
2016-01-05,7.11,7.36,6.68,6.81,6.81,378400
2016-01-06,6.49,6.91,5.55,5.75,5.75,539800
2016-01-07,5.63,5.63,5.13,5.15,5.15,313000
2016-01-08,5.25,5.25,4.77,4.77,4.77,192200
2016-01-11,4.86,4.86,4.36,4.54,4.54,357400
2016-01-12,4.78,4.91,4.47,4.65,4.65,210200
2016-01-13,4.62,4.68,4.04,4.08,4.08,209900
2016-01-14,4.12,4.73,3.93,4.07,4.07,254300
2016-01-15,3.93,4.0,3.8,3.99,3.99,176900
2016-01-19,4.04,4.26,3.86,3.96,3.96,95100
2016-01-20,3.87,4.2,3.82,4.11,4.11,108400
2016-01-21,4.07,4.1,3.85,3.96,3.96,489800
2016-01-22,4.02,4.16,3.91,4.13,4.13,119300
2016-01-25,4.06,4.27,4.04,4.1,4.1,51700
2016-01-26,4.02,4.24,3.96,4.12,4.12,55700
2016-01-27,4.1,4.26,3.78,3.8,3.8,132600
2016-01-28,3.85,3.87,3.61,3.66,3.66,178500
2016-01-29,3.67,3.83,3.61,3.72,3.72,136100
2016-02-01,3.7,3.79,3.63,3.75,3.75,104900
2016-02-02,3.68,3.83,3.65,3.75,3.75,94800
2016-02-03,3.79,3.86,3.5,3.65,3.65,553000
2016-02-04,3.63,3.95,3.57,3.7,3.7,86300
2016-02-05,3.67,4.0,3.54,3.6,3.6,103000
2016-02-08,3.52,3.52,3.25,3.29,3.29,88400
2016-02-09,3.3,4.06,3.23,3.56,3.56,1064400
2016-02-10,3.55,3.91,3.55,3.62,3.62,104700
2016-02-11,3.55,3.68,3.44,3.52,3.52,52700
2016-02-12,3.58,3.68,3.41,3.67,3.67,55200
2016-02-16,3.71,3.91,3.62,3.7,3.7,104100
2016-02-17,3.72,3.81,3.58,3.66,3.66,102500
2016-02-18,3.66,3.66,3.48,3.54,3.54,41300
2016-02-19,3.54,3.74,3.51,3.71,3.71,45800
2016-02-22,3.74,3.75,3.55,3.57,3.57,49700
2016-02-23,3.53,3.66,3.26,3.31,3.31,47500
2016-02-24,3.27,3.46,3.18,3.4,3.4,49100
2016-02-25,3.43,3.48,3.25,3.32,3.32,39600
2016-02-26,3.34,3.35,3.28,3.3,3.3,50200
2016-02-29,3.31,3.4,3.19,3.29,3.29,109400
2016-03-01,3.35,3.51,3.3,3.46,3.46,150500
2016-03-02,3.49,3.6,3.39,3.48,3.48,356000
2016-03-03,3.49,3.53,3.39,3.47,3.47,66400
2016-03-04,3.49,3.54,3.38,3.44,3.44,145900
2016-03-07,3.44,3.59,3.44,3.57,3.57,168300
2016-03-08,3.57,3.57,3.34,3.34,3.34,999600
2016-03-09,3.37,3.4,3.14,3.21,3.21,144500
2016-03-10,3.25,3.37,3.15,3.27,3.27,77600
2016-03-11,3.08,3.59,3.08,3.48,3.48,683200
2016-03-14,3.46,3.56,3.42,3.48,3.48,156100
2016-03-15,3.39,3.5,2.97,3.01,3.01,179000
2016-03-16,2.98,3.0,2.68,2.7,2.7,133800
2016-03-17,2.67,2.74,2.5,2.7,2.7,415400
2016-03-18,2.65,2.74,2.57,2.62,2.62,412300
2016-03-21,2.59,2.69,2.59,2.68,2.68,319300
2016-03-22,2.66,2.75,2.5,2.55,2.55,158800
2016-03-23,2.53,2.59,2.28,2.36,2.36,195400
2016-03-24,2.35,2.41,2.26,2.36,2.36,110700
2016-03-28,2.38,2.4,2.22,2.24,2.24,132800
2016-03-29,2.27,2.47,2.16,2.4,2.4,149800
2016-03-30,2.4,2.56,2.31,2.34,2.34,114500
2016-03-31,2.34,2.55,2.18,2.49,2.49,1236600
2016-04-01,2.48,2.68,2.42,2.61,2.61,202600
2016-04-04,2.62,2.85,2.59,2.7,2.7,195500
2016-04-05,2.7,2.8,2.64,2.71,2.71,131900
2016-04-06,2.72,3.1,2.72,3.08,3.08,164100
2016-04-07,3.11,3.24,2.78,2.8,2.8,165300
2016-04-08,2.87,2.87,2.51,2.59,2.59,181300
2016-04-11,2.5,2.63,2.44,2.58,2.58,321500
2016-04-12,2.55,2.63,2.48,2.56,2.56,139100
2016-04-13,2.56,2.63,2.46,2.6,2.6,186200
2016-04-14,2.53,2.61,2.48,2.52,2.52,121900
2016-04-15,2.52,2.56,2.36,2.46,2.46,92700
2016-04-18,2.46,2.5,2.38,2.45,2.45,157800
2016-04-19,2.48,2.6,2.31,2.31,2.31,146400
2016-04-20,2.41,2.61,2.32,2.57,2.57,968300
2016-04-21,2.59,2.75,2.59,2.62,2.62,258600
2016-04-22,2.62,2.75,2.54,2.72,2.72,408600
2016-04-25,2.72,2.75,2.37,2.5,2.5,211400
2016-04-26,2.5,2.52,2.35,2.47,2.47,109800
2016-04-27,2.48,2.49,2.34,2.4,2.4,121300
2016-04-28,2.41,2.53,2.38,2.44,2.44,183400
2016-04-29,2.43,2.54,2.37,2.4,2.4,107800
2016-05-02,2.45,2.45,2.31,2.38,2.38,78000
2016-05-03,2.37,2.45,2.23,2.23,2.23,126400
2016-05-04,2.23,2.4,2.0,2.04,2.04,176000
2016-05-05,2.0,2.14,1.92,2.05,2.05,127600
2016-05-06,2.04,2.2,1.99,2.03,2.03,114900
2016-05-09,2.06,2.16,2.0,2.1,2.1,58100
2016-05-10,3.78,3.93,2.7,2.99,2.99,15075600
2016-05-11,3.02,4.86,2.9,4.6,4.6,20721600
2016-05-12,4.67,4.67,3.82,3.98,3.98,6092100
2016-05-13,3.98,4.13,3.7,3.82,3.82,2243300
2016-05-16,3.93,4.29,3.8,4.03,4.03,2176400
2016-05-17,4.06,4.26,3.76,3.85,3.85,1541000
2016-05-18,3.85,4.82,3.81,4.77,4.77,3318400
2016-05-19,4.8,5.19,4.15,4.37,4.37,4218200
2016-05-20,4.41,4.51,4.18,4.28,4.28,875300
2016-05-23,4.37,4.98,4.23,4.37,4.37,1836700
2016-05-24,4.38,4.47,4.2,4.37,4.37,860600
2016-05-25,4.38,4.66,4.25,4.48,4.48,761600
2016-05-26,4.52,4.59,4.35,4.42,4.42,618800
2016-05-27,4.41,5.6,4.4,5.2,5.2,3659300
2016-05-31,5.19,5.69,5.18,5.39,5.39,3504900
2016-06-01,5.56,5.6,4.77,4.96,4.96,3602300
2016-06-02,4.92,5.23,4.79,5.17,5.17,1002400
2016-06-03,5.09,5.24,4.93,5.08,5.08,573100
2016-06-06,5.09,5.5,5.0,5.4,5.4,732500
2016-06-07,5.32,5.64,5.24,5.48,5.48,925000
2016-06-08,5.46,5.59,5.32,5.5,5.5,671300
2016-06-09,5.44,5.55,5.32,5.37,5.37,468700
2016-06-10,5.23,5.51,5.2,5.39,5.39,437300
2016-06-13,5.29,5.49,5.24,5.32,5.32,243000
2016-06-14,5.3,5.45,5.15,5.28,5.28,288500
2016-06-15,5.3,5.53,5.06,5.33,5.33,385000
2016-06-16,5.28,5.29,4.73,4.8,4.8,1338500
2016-06-17,4.83,4.91,4.58,4.75,4.75,891600
2016-06-20,4.79,4.85,4.51,4.57,4.57,521300
2016-06-21,4.57,4.57,4.29,4.48,4.48,565000
2016-06-22,4.35,4.72,4.25,4.43,4.43,463100
2016-06-23,4.49,4.69,4.38,4.68,4.68,297400
2016-06-24,4.31,4.57,4.21,4.49,4.49,822000
2016-06-27,4.43,4.59,4.31,4.36,4.36,194900
2016-06-28,4.41,4.67,4.33,4.52,4.52,304100
2016-06-29,4.59,4.62,4.27,4.47,4.47,693800
2016-06-30,4.49,4.56,4.28,4.49,4.49,208900
2016-07-01,4.5,4.79,4.42,4.74,4.74,225500
2016-07-05,4.68,4.74,4.51,4.63,4.63,198200
2016-07-06,4.62,4.9,4.58,4.74,4.74,244100
2016-07-07,4.77,4.91,4.67,4.82,4.82,250000
2016-07-08,4.86,4.9,4.74,4.8,4.8,207700
2016-07-11,4.81,4.87,4.64,4.77,4.77,207300
2016-07-12,4.8,4.87,4.72,4.76,4.76,107100
2016-07-13,4.79,4.85,4.63,4.65,4.65,110500
2016-07-14,4.68,4.69,4.42,4.52,4.52,123100
2016-07-15,4.55,4.55,4.4,4.54,4.54,184000
2016-07-18,4.53,4.78,4.45,4.76,4.76,96600
2016-07-19,4.75,4.78,4.5,4.52,4.52,96400
2016-07-20,4.53,4.66,4.5,4.64,4.64,139100
2016-07-21,4.66,4.78,4.55,4.68,4.68,135700
2016-07-22,4.66,4.7,4.57,4.63,4.63,60000
2016-07-25,4.62,4.76,4.4,4.45,4.45,119000
2016-07-26,4.44,4.6,4.42,4.55,4.55,78700
2016-07-27,4.57,4.7,4.42,4.7,4.7,87600
2016-07-28,4.69,4.75,4.61,4.69,4.69,82600
2016-07-29,4.7,4.72,4.52,4.7,4.7,77500
2016-08-01,4.7,4.82,4.63,4.67,4.67,106000
2016-08-02,4.6,4.71,4.51,4.63,4.63,89900
2016-08-03,4.57,4.72,4.31,4.47,4.47,166900
2016-08-04,4.48,4.51,4.39,4.42,4.42,126300
2016-08-05,4.41,4.63,4.38,4.49,4.49,239000
2016-08-08,4.48,4.58,4.35,4.37,4.37,114600
2016-08-09,4.61,4.61,4.16,4.24,4.24,193700
2016-08-10,4.23,4.54,4.03,4.12,4.12,174400
2016-08-11,4.13,4.23,3.95,4.11,4.11,171500
2016-08-12,4.1,4.35,4.06,4.32,4.32,190900
2016-08-15,4.32,4.5,4.28,4.37,4.37,176500
2016-08-16,4.36,4.48,4.36,4.45,4.45,106000
2016-08-17,4.44,4.66,4.32,4.6,4.6,158400
2016-08-18,4.54,4.83,4.54,4.71,4.71,194200
2016-08-19,4.69,4.7,4.52,4.66,4.66,88100
2016-08-22,4.67,4.8,4.6,4.64,4.64,72600
2016-08-23,4.71,4.72,4.59,4.61,4.61,56900
2016-08-24,4.6,4.8,4.53,4.64,4.64,246300
2016-08-25,4.55,4.89,4.45,4.84,4.84,219800
2016-08-26,4.91,5.27,4.8,5.0,5.0,232300
2016-08-29,5.01,5.12,4.74,4.92,4.92,123600
2016-08-30,4.94,5.42,4.88,5.26,5.26,227800
2016-08-31,5.27,5.34,4.84,5.0,5.0,286100
2016-09-01,5.02,5.31,4.88,5.29,5.29,222600
2016-09-02,4.85,4.99,4.17,4.22,4.22,1021600
2016-09-06,4.2,4.48,4.2,4.44,4.44,300600
2016-09-07,4.21,4.53,4.21,4.48,4.48,140400
2016-09-08,4.45,4.7,4.41,4.68,4.68,192800
2016-09-09,4.61,4.72,4.29,4.32,4.32,256900
2016-09-12,4.3,4.47,4.3,4.45,4.45,224200
2016-09-13,4.41,4.5,4.25,4.31,4.31,112800
2016-09-14,4.41,4.53,4.35,4.47,4.47,126500
2016-09-15,4.49,4.66,4.48,4.61,4.61,112200
2016-09-16,4.61,4.75,4.57,4.64,4.64,198400
2016-09-19,4.67,4.79,4.62,4.63,4.63,115400
2016-09-20,5.01,5.17,4.89,5.14,5.14,415700
2016-09-21,5.18,5.28,5.08,5.16,5.16,197700
2016-09-22,5.22,5.25,5.01,5.2,5.2,144500
2016-09-23,5.2,5.28,5.14,5.21,5.21,110100
2016-09-26,5.22,5.28,5.15,5.25,5.25,109500
2016-09-27,5.28,5.95,5.28,5.87,5.87,420100
2016-09-28,5.86,5.87,5.56,5.64,5.64,261100
2016-09-29,5.65,5.77,5.52,5.54,5.54,122900
2016-09-30,5.57,6.2,5.51,6.04,6.04,381600
2016-10-03,6.13,6.38,6.01,6.18,6.18,229600
2016-10-04,6.23,6.33,5.94,6.05,6.05,139200
2016-10-05,6.06,6.35,5.8,6.3,6.3,174100
2016-10-06,6.26,6.28,6.02,6.21,6.21,152100
2016-10-07,6.21,6.27,6.05,6.18,6.18,102500
2016-10-10,6.24,6.47,6.2,6.36,6.36,138200
2016-10-11,6.3,6.44,6.08,6.19,6.19,98000
2016-10-12,6.18,6.21,5.83,5.85,5.85,85400
2016-10-13,5.8,5.9,5.74,5.79,5.79,116700
2016-10-14,5.86,5.9,5.45,5.8,5.8,150000
2016-10-17,5.79,5.92,5.19,5.81,5.81,102900
2016-10-18,6.01,6.38,5.92,6.16,6.16,190900
2016-10-19,6.16,6.16,5.9,5.98,5.98,77700
2016-10-20,5.99,6.3,5.96,6.28,6.28,203300
2016-10-21,6.25,6.35,6.16,6.25,6.25,262700
2016-10-24,6.3,6.3,6.14,6.23,6.23,195200
2016-10-25,6.24,6.24,6.09,6.22,6.22,219100
2016-10-26,6.18,6.28,6.12,6.2,6.2,76500
2016-10-27,6.26,6.54,6.03,6.37,6.37,280400
2016-10-28,6.34,6.34,6.0,6.28,6.28,196100
2016-10-31,6.22,6.26,5.93,5.98,5.98,210900
2016-11-01,6.02,6.19,5.74,6.17,6.17,105100
2016-11-02,6.14,6.17,5.92,6.07,6.07,94800
2016-11-03,6.06,6.07,5.52,5.59,5.59,272800
2016-11-04,5.63,6.29,5.52,6.19,6.19,211300
2016-11-07,6.31,6.84,6.17,6.72,6.72,383500
2016-11-08,6.36,6.92,6.26,6.83,6.83,292100
2016-11-09,6.97,8.0,6.52,7.92,7.92,961700
2016-11-10,8.0,8.27,7.67,7.74,7.74,401100
2016-11-11,7.74,8.15,7.71,8.05,8.05,449700
2016-11-14,8.13,8.14,7.5,7.66,7.66,342200
2016-11-15,7.65,7.88,7.5,7.78,7.78,283200
2016-11-16,7.74,7.98,7.63,7.89,7.89,239000
2016-11-17,7.95,8.0,7.75,7.94,7.94,130600
2016-11-18,7.95,8.0,7.81,7.98,7.98,279100
2016-11-21,8.01,8.15,7.88,8.13,8.13,185300
2016-11-22,8.15,8.37,7.6,8.1,8.1,275800
2016-11-23,7.93,8.23,7.62,8.13,8.13,120500
2016-11-25,8.13,8.24,7.87,8.14,8.14,62000
2016-11-28,8.09,8.15,7.94,8.03,8.03,197700
2016-11-29,8.03,8.1,7.86,7.94,7.94,210300
2016-11-30,7.95,8.05,7.55,7.84,7.84,196600
2016-12-01,7.9,8.03,7.71,7.85,7.85,330500
2016-12-02,7.84,8.39,7.81,8.16,8.16,537100
2016-12-05,8.2,8.73,7.89,8.08,8.08,475900
2016-12-06,8.07,8.21,7.91,8.12,8.12,172500
2016-12-07,7.98,7.99,7.32,7.73,7.73,331500
2016-12-08,7.72,7.94,7.45,7.6,7.6,555100
2016-12-09,7.68,8.05,7.68,7.91,7.91,252900
2016-12-12,7.87,8.14,7.62,8.03,8.03,115600
2016-12-13,8.04,8.14,7.67,7.75,7.75,163900
2016-12-14,7.78,8.0,7.75,7.93,7.93,89300
2016-12-15,7.9,8.29,7.76,8.22,8.22,251800
2016-12-16,8.26,9.1,8.25,9.0,9.0,787500
2016-12-19,8.87,8.97,8.5,8.57,8.57,284300
2016-12-20,8.61,8.83,7.62,8.49,8.49,363400
2016-12-21,8.26,8.31,8.01,8.02,8.02,127500
2016-12-22,8.03,9.0,7.25,7.56,7.56,852400
2016-12-23,7.54,8.27,7.54,8.15,8.15,335200
2016-12-27,8.18,8.38,7.97,7.99,7.99,98700
2016-12-28,8.03,8.12,7.72,7.79,7.79,80300
2016-12-29,7.8,7.95,7.71,7.77,7.77,61500
2016-12-30,7.5,7.99,7.25,7.4,7.4,487700
2017-01-03,7.5,7.9,7.33,7.82,7.82,267500
2017-01-04,7.53,8.58,7.53,8.19,8.19,402100
2017-01-05,8.22,8.39,7.68,7.7,7.7,249600
2017-01-06,7.75,8.12,7.59,8.03,8.03,270700
2017-01-09,7.92,8.22,7.88,8.2,8.2,164500
2017-01-10,8.25,8.47,8.25,8.41,8.41,240100
2017-01-11,8.41,8.5,7.87,8.0,8.0,200500
2017-01-12,8.01,8.01,7.72,7.96,7.96,137000
2017-01-13,7.99,8.26,7.91,7.94,7.94,102200
2017-01-17,7.81,7.87,7.54,7.77,7.77,157700
2017-01-18,7.82,7.99,7.73,7.98,7.98,147500
2017-01-19,7.95,7.98,7.75,7.88,7.88,191600
2017-01-20,7.88,7.95,7.39,7.56,7.56,290500
2017-01-23,7.57,7.66,7.31,7.35,7.35,139800
2017-01-24,7.33,7.38,7.06,7.28,7.28,158500
2017-01-25,7.39,7.54,7.26,7.38,7.38,95400
2017-01-26,7.38,7.41,7.08,7.16,7.16,97600
2017-01-27,7.15,7.28,7.11,7.26,7.26,47300
2017-01-30,7.26,7.28,6.95,7.16,7.16,102700
2017-01-31,7.13,7.3,7.03,7.27,7.27,147200
2017-02-01,7.33,7.42,7.27,7.32,7.32,76900
2017-02-02,7.34,7.34,7.1,7.16,7.16,81900
2017-02-03,7.21,7.28,7.1,7.23,7.23,74500
2017-02-06,7.2,7.35,7.12,7.14,7.14,117600
2017-02-07,7.17,7.17,6.58,6.67,6.67,234000
2017-02-08,6.63,7.11,6.45,6.47,6.47,133900
2017-02-09,6.46,6.78,6.34,6.75,6.75,92000
2017-02-10,6.73,6.79,6.39,6.68,6.68,111800
2017-02-13,6.74,6.83,6.52,6.59,6.59,70200
2017-02-14,6.62,6.84,6.62,6.75,6.75,163400
2017-02-15,6.71,6.8,6.48,6.74,6.74,170400
2017-02-16,6.76,6.84,6.59,6.83,6.83,109100
2017-02-17,6.82,7.21,6.75,7.04,7.04,128000
2017-02-21,7.35,7.35,7.11,7.17,7.17,139200
2017-02-22,7.15,7.15,6.5,6.55,6.55,232600
2017-02-23,6.55,6.59,6.25,6.33,6.33,141100
2017-02-24,6.34,6.4,6.13,6.26,6.26,163800
2017-02-27,6.28,6.5,6.22,6.44,6.44,133200
2017-02-28,6.45,6.75,6.37,6.62,6.62,115700
2017-03-01,6.73,6.9,6.44,6.82,6.82,82800
2017-03-02,6.81,7.08,6.77,6.99,6.99,130200
2017-03-03,6.98,7.12,6.84,6.95,6.95,85300
2017-03-06,6.91,6.98,6.76,6.85,6.85,89000
2017-03-07,6.79,6.9,6.58,6.62,6.62,66000
2017-03-08,6.61,6.9,6.61,6.69,6.69,79100
2017-03-09,6.7,6.87,6.57,6.72,6.72,58700
2017-03-10,6.74,6.74,6.51,6.67,6.67,94100
2017-03-13,6.68,6.8,6.52,6.74,6.74,70200
2017-03-14,6.7,6.77,6.54,6.69,6.69,71900
2017-03-15,6.72,7.35,6.68,7.31,7.31,126300
2017-03-16,7.35,7.81,7.16,7.64,7.64,157600
2017-03-17,7.61,7.88,7.52,7.68,7.68,160700
2017-03-20,7.67,7.84,7.5,7.66,7.66,67900
2017-03-21,7.67,7.67,7.13,7.3,7.3,116000
2017-03-22,7.44,7.67,7.11,7.16,7.16,95000
2017-03-23,7.15,7.24,7.0,7.08,7.08,277600
2017-03-24,7.08,7.61,7.08,7.4,7.4,173200
2017-03-27,7.29,7.74,7.21,7.7,7.7,173500
2017-03-28,7.62,7.75,7.08,7.21,7.21,106700
