Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6.19,6.27,6.03,6.24,6.24,1182500
2016-01-05,6.49,6.66,6.28,6.4,6.4,1778600
2016-01-06,6.35,6.35,6.14,6.2,6.2,819100
2016-01-07,6.11,6.11,5.85,5.94,5.94,1215700
2016-01-08,5.94,6.11,5.83,5.84,5.84,867200
2016-01-11,5.89,5.94,5.59,5.62,5.62,1666400
2016-01-12,5.67,5.79,5.33,5.51,5.51,2118000
2016-01-13,5.51,5.62,5.28,5.29,5.29,1129200
2016-01-14,5.31,5.6,5.29,5.53,5.53,1340900
2016-01-15,5.39,5.43,5.16,5.36,5.36,1161000
2016-01-19,5.41,5.49,5.2,5.23,5.23,940200
2016-01-20,5.13,5.53,5.0,5.52,5.52,1524700
2016-01-21,5.52,5.83,5.48,5.64,5.64,1359300
2016-01-22,5.69,5.75,5.5,5.57,5.57,909100
2016-01-25,5.55,5.58,5.31,5.32,5.32,940800
2016-01-26,5.39,5.42,5.18,5.39,5.39,985900
2016-01-27,5.35,5.42,5.1,5.19,5.19,962200
2016-01-28,5.2,5.8,4.98,5.26,5.26,5483700
2016-01-29,5.33,5.51,5.28,5.43,5.43,1509600
2016-02-01,5.42,5.49,5.27,5.32,5.32,1441700
2016-02-02,5.27,5.36,5.16,5.29,5.29,1175200
2016-02-03,5.38,5.45,5.19,5.33,5.33,1507700
2016-02-04,5.32,5.46,5.31,5.38,5.38,1702400
2016-02-05,5.52,5.55,5.29,5.43,5.43,2661500
2016-02-08,5.4,5.72,5.32,5.69,5.69,2593400
2016-02-09,6.3,6.44,6.0,6.02,6.02,8702200
2016-02-10,6.02,6.07,5.62,5.66,5.66,3183800
2016-02-11,5.58,5.6,5.03,5.2,5.2,3212700
2016-02-12,5.25,5.37,4.98,5.11,5.11,1653900
2016-02-16,5.15,5.22,4.85,5.0,5.0,1788900
2016-02-17,5.25,5.33,4.98,5.29,5.29,1799600
2016-02-18,5.33,5.41,5.18,5.33,5.33,1236800
2016-02-19,5.32,5.4,5.21,5.36,5.36,1111500
2016-02-22,5.4,5.45,5.07,5.09,5.09,1234800
2016-02-23,5.03,5.12,4.96,5.07,5.07,997800
2016-02-24,5.04,5.14,4.81,5.1,5.1,1252200
2016-02-25,5.09,5.2,4.86,4.98,4.98,1105800
2016-02-26,5.0,5.11,4.96,5.08,5.08,966200
2016-02-29,5.07,5.15,4.87,4.9,4.9,797000
2016-03-01,4.95,5.07,4.81,5.06,5.06,1356300
2016-03-02,5.04,5.3,5.04,5.26,5.26,1016400
2016-03-03,5.44,5.67,5.35,5.65,5.65,2450500
2016-03-04,5.75,5.96,5.62,5.72,5.72,1626300
2016-03-07,5.69,5.81,5.57,5.63,5.63,1091200
2016-03-08,5.59,5.61,5.3,5.32,5.32,910300
2016-03-09,5.25,5.96,5.25,5.66,5.66,3033200
2016-03-10,5.69,5.82,5.44,5.49,5.49,1129500
2016-03-11,5.58,5.67,5.42,5.65,5.65,1597000
2016-03-14,5.62,5.89,5.62,5.7,5.7,1062700
2016-03-15,5.66,6.15,5.66,5.99,5.99,4621400
2016-03-16,6.1,6.17,5.61,5.79,5.79,2385000
2016-03-17,5.82,5.88,5.5,5.78,5.78,1152600
2016-03-18,5.82,5.99,5.69,5.95,5.95,1670600
2016-03-21,6.02,6.11,5.97,5.99,5.99,1696400
2016-03-22,6.02,6.1,6.01,6.01,6.01,849600
2016-03-23,6.01,6.13,5.79,5.8,5.8,785800
2016-03-24,5.75,5.82,5.62,5.78,5.78,710400
2016-03-28,5.77,5.85,5.68,5.79,5.79,684300
2016-03-29,5.79,5.99,5.6,5.95,5.95,830500
2016-03-30,5.99,6.05,5.69,5.88,5.88,1083000
2016-03-31,5.91,5.98,5.85,5.93,5.93,654900
2016-04-01,5.91,6.03,5.86,6.0,6.0,850300
2016-04-04,5.99,6.25,5.93,6.15,6.15,1740000
2016-04-05,6.1,6.3,6.1,6.16,6.16,1233600
2016-04-06,6.19,6.4,6.09,6.4,6.4,1559600
2016-04-07,6.39,6.49,6.32,6.38,6.38,1408000
2016-04-08,6.4,6.48,6.06,6.15,6.15,1100200
2016-04-11,6.22,6.3,6.05,6.1,6.1,794200
2016-04-12,6.13,6.31,6.0,6.3,6.3,707900
2016-04-13,6.36,6.36,6.17,6.22,6.22,713600
2016-04-14,6.25,6.49,6.17,6.46,6.46,1468800
2016-04-15,6.47,6.68,6.39,6.6,6.6,1811700
2016-04-18,6.63,6.67,6.35,6.43,6.43,878400
2016-04-19,6.43,6.5,6.32,6.35,6.35,815100
2016-04-20,6.32,6.58,6.28,6.52,6.52,928800
2016-04-21,6.52,6.71,6.5,6.65,6.65,1639800
2016-04-22,6.75,6.89,6.56,6.65,6.65,1019300
2016-04-25,6.69,6.7,6.44,6.48,6.48,858300
2016-04-26,6.52,6.54,6.26,6.45,6.45,1402500
2016-04-27,6.42,6.58,6.32,6.47,6.47,790900
2016-04-28,6.41,6.61,6.4,6.42,6.42,723800
2016-04-29,6.43,6.47,6.16,6.26,6.26,950000
2016-05-02,6.26,6.29,6.11,6.24,6.24,983500
2016-05-03,6.22,6.31,6.11,6.17,6.17,1080800
2016-05-04,5.86,5.91,5.42,5.83,5.83,2070900
2016-05-05,5.89,5.89,5.55,5.63,5.63,1113100
2016-05-06,5.58,5.63,5.5,5.51,5.51,934500
2016-05-09,5.45,5.83,5.45,5.73,5.73,1021700
2016-05-10,5.72,5.8,5.58,5.64,5.64,750000
2016-05-11,5.61,5.72,5.44,5.44,5.44,830900
2016-05-12,5.44,5.52,5.11,5.22,5.22,1534300
2016-05-13,5.22,5.45,5.21,5.31,5.31,781600
2016-05-16,5.29,5.46,5.27,5.43,5.43,671100
2016-05-17,5.42,5.42,5.13,5.18,5.18,1056500
2016-05-18,5.17,5.28,5.14,5.2,5.2,743400
2016-05-19,5.18,5.26,5.07,5.07,5.07,889900
2016-05-20,5.1,5.2,4.9,5.2,5.2,1520700
2016-05-23,5.5,5.62,5.33,5.4,5.4,1814500
2016-05-24,5.4,5.56,5.33,5.53,5.53,1006700
2016-05-25,5.54,5.75,5.52,5.63,5.63,976500
2016-05-26,5.62,5.67,5.54,5.55,5.55,804500
2016-05-27,5.55,5.62,5.44,5.51,5.51,723200
2016-05-31,5.51,5.61,5.49,5.56,5.56,1554800
2016-06-01,5.54,5.7,5.53,5.66,5.66,908100
2016-06-02,5.66,5.76,5.64,5.69,5.69,737700
2016-06-03,5.68,5.7,5.5,5.52,5.52,603300
2016-06-06,5.54,5.78,5.47,5.74,5.74,893200
2016-06-07,5.75,6.16,5.74,6.03,6.03,2096100
2016-06-08,6.03,6.13,5.99,6.08,6.08,898700
2016-06-09,6.05,6.08,5.94,5.97,5.97,829700
2016-06-10,5.89,6.17,5.78,6.09,6.09,1211800
2016-06-13,6.03,6.18,5.96,6.09,6.09,1284200
2016-06-14,6.07,6.13,5.92,5.96,5.96,739600
2016-06-15,5.96,6.03,5.88,5.9,5.9,617200
2016-06-16,5.88,5.93,5.73,5.9,5.9,651900
2016-06-17,5.9,5.9,5.67,5.7,5.7,1094600
2016-06-20,6.37,6.37,6.05,6.14,6.14,3393600
2016-06-21,6.15,6.2,5.9,6.04,6.04,1110600
2016-06-22,6.03,6.23,5.99,6.09,6.09,689500
2016-06-23,6.1,6.29,6.04,6.29,6.29,967800
2016-06-24,6.0,6.15,5.93,6.03,6.03,1612400
2016-06-27,5.95,6.0,5.76,5.87,5.87,1005500
2016-06-28,5.91,6.02,5.9,5.99,5.99,1302200
2016-06-29,6.03,6.33,5.98,6.25,6.25,1268600
2016-06-30,6.27,6.3,6.11,6.24,6.24,1080500
2016-07-01,6.22,6.3,6.17,6.27,6.27,591800
2016-07-05,6.27,6.37,6.23,6.27,6.27,701500
