Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.23,15.4,14.75,14.99,14.99,1512800
2016-01-05,15.0,15.61,14.86,15.47,15.47,1472200
2016-01-06,15.32,15.32,14.03,14.31,14.31,1797700
2016-01-07,13.89,14.0,13.02,13.17,13.17,2104600
2016-01-08,13.38,13.69,12.68,12.73,12.73,1578600
2016-01-11,12.88,12.94,11.02,11.73,11.73,2248100
2016-01-12,11.88,12.72,11.26,12.14,12.14,2059700
2016-01-13,12.26,12.41,10.62,10.67,10.67,1971100
2016-01-14,10.79,11.19,9.66,10.84,10.84,3041100
2016-01-15,10.44,11.19,10.0,11.14,11.14,7749200
2016-01-19,11.71,11.82,10.37,10.5,10.5,3472000
2016-01-20,10.28,11.49,9.92,11.27,11.27,3050100
2016-01-21,11.32,12.16,11.13,11.43,11.43,2596700
2016-01-22,11.72,11.92,10.94,11.3,11.3,2462400
2016-01-25,11.13,11.37,10.68,10.69,10.69,2434600
2016-01-26,10.59,10.69,9.81,9.99,9.99,4254500
2016-01-27,10.0,10.1,9.41,9.6,9.6,2946400
2016-01-28,9.61,9.81,8.4,8.45,8.45,4462700
2016-01-29,8.45,8.73,7.92,8.3,8.3,4186000
2016-02-01,8.39,8.39,7.75,8.19,8.19,3789000
2016-02-02,8.07,8.11,7.21,7.47,7.47,4826600
2016-02-03,7.53,7.69,6.75,7.24,7.24,4258600
2016-02-04,7.13,7.83,6.77,7.38,7.38,4711400
2016-02-05,7.35,7.54,6.7,7.26,7.26,7445700
2016-02-08,7.09,7.15,6.67,6.84,6.84,4205700
2016-02-09,6.65,7.34,6.5,6.98,6.98,3367600
2016-02-10,7.06,7.25,6.43,6.45,6.45,4225600
2016-02-11,6.32,6.92,6.25,6.74,6.74,3147700
2016-02-12,6.82,7.33,6.57,7.25,7.25,2917500
2016-02-16,7.48,7.73,7.18,7.69,7.69,3724300
2016-02-17,7.76,7.89,7.26,7.49,7.49,3418300
2016-02-18,7.5,7.58,6.73,7.0,7.0,2970700
2016-02-19,7.01,7.08,6.75,7.0,7.0,2137100
2016-02-22,7.16,7.28,6.68,7.01,7.01,3227100
