Date,Open,High,Low,Close,Adj Close,Volume
2017-07-05,24.9,24.959999,24.84,24.959999,24.959999,181500.0
2017-07-06,24.950001,24.98,24.860001,24.93,24.93,124200.0
2017-07-07,24.940001000000002,24.98,24.790001,24.93,24.93,341100.0
2017-07-10,24.93,24.98,24.870001000000002,24.93,24.93,178500.0
2017-07-11,24.93,24.950001,24.85,24.950001,24.950001,108200.0
2017-07-12,24.959999,24.99,24.871,24.92,24.92,363000.0
2017-07-13,,,,,,
2017-07-14,,,,,,
2017-07-17,,,,,,
2017-07-18,,,,,,
2017-07-19,,,,,,
2017-07-20,9.5,11.88,9.26,11.25,11.25,1406100.0
2017-07-21,11.47,11.47,10.55,10.81,10.81,207200.0
2017-07-24,11.24,11.24,10.25,10.815,10.815,112500.0
2017-07-25,11.46,11.46,10.25,10.75,10.75,240300.0
2017-07-26,10.7,11.154,10.263,10.44,10.44,45400.0
2017-07-27,10.5,10.973,10.343,10.69,10.69,56400.0
2017-07-28,10.67,10.85,10.56,10.75,10.75,32700.0
2017-07-31,10.8,10.988,10.61,10.78,10.78,38300.0
2017-08-01,10.7,11.0,10.591,10.84,10.84,28800.0
2017-08-02,10.7,11.28,10.651,11.22,11.22,34300.0
2017-08-03,11.3,11.3,10.7,10.9,10.9,20800.0
2017-08-04,10.61,11.25,10.61,11.25,11.25,12600.0
2017-08-07,11.25,11.25,11.01,11.19,11.19,7400.0
2017-08-08,11.05,11.15,10.97,11.04,11.04,17900.0
2017-08-09,11.0,11.172,11.0,11.14,11.14,17700.0
2017-08-10,11.11,12.565,11.0,12.14,12.14,32900.0
2017-08-11,12.0,12.165,11.135,11.82,11.82,18000.0
2017-08-14,11.7,12.38,11.7,12.25,12.25,61400.0
2017-08-15,12.58,12.966,12.33,12.5,12.5,43500.0
2017-08-16,13.0,13.0,11.78,12.07,12.07,39700.0
2017-08-17,11.61,12.2,11.49,11.82,11.82,75600.0
2017-08-18,11.8,12.5,11.8,12.46,12.46,19500.0
2017-08-21,12.77,13.57,12.151,13.57,13.57,50300.0
2017-08-22,13.74,15.22,13.51,14.78,14.78,77500.0
2017-08-23,14.99,16.360001,14.99,15.78,15.78,132400.0
2017-08-24,16.5,16.799999,15.18,15.61,15.61,76600.0
2017-08-25,15.7,15.825,13.41,14.74,14.74,55800.0
2017-08-28,14.01,16.0,14.01,15.67,15.67,48500.0
2017-08-29,15.48,16.5,15.19,15.92,15.92,54400.0
2017-08-30,15.86,16.299999,15.06,16.02,16.02,53600.0
2017-08-31,16.35,16.35,15.17,15.2,15.2,73400.0
2017-09-01,15.24,17.41,15.01,17.41,17.41,86000.0
2017-09-05,17.5,19.26,16.809998999999998,19.209999,19.209999,197600.0
2017-09-06,19.690001000000002,20.93,18.700001,20.280001000000002,20.280001000000002,226200.0
2017-09-07,20.280001000000002,22.0,19.771998999999997,22.0,22.0,252400.0
2017-09-08,22.379998999999998,24.75,21.93,23.309998999999998,23.309998999999998,312300.0
2017-09-11,23.299999,24.709999,22.5,24.040001,24.040001,190300.0
2017-09-12,26.0,27.040001,23.5,26.0,26.0,196800.0
2017-09-13,25.530001000000002,26.889999,25.035,26.389999,26.389999,138500.0
2017-09-14,26.799999,29.393998999999997,26.5,28.309998999999998,28.309998999999998,231500.0
2017-09-15,28.549999,29.455,23.955,24.68,24.68,1139000.0
2017-09-18,24.639999,25.496,21.07,21.870001000000002,21.870001000000002,319100.0
2017-09-19,21.950001,24.645,21.875,24.299999,24.299999,134700.0
2017-09-20,24.299999,24.299999,23.209999,23.940001000000002,23.940001000000002,56700.0
2017-09-21,24.02,26.85,23.85,26.67,26.67,96500.0
2017-09-22,26.459999,26.700001,25.111,25.719998999999998,25.719998999999998,57300.0
2017-09-25,25.76,26.59,24.4,26.540001,26.540001,38500.0
2017-09-26,26.66,26.799999,25.822001,26.469998999999998,26.469998999999998,37500.0
2017-09-27,24.540001,25.76,23.620001000000002,24.639999,24.639999,114800.0
2017-09-28,24.610001,24.620001000000002,23.75,24.379998999999998,24.379998999999998,42300.0
2017-09-29,24.74,24.74,24.1,24.49,24.49,41000.0
2017-10-02,24.75,26.450001,24.296,26.4,26.4,58400.0
2017-10-03,26.549999,27.940001000000002,25.990999,26.790001,26.790001,50300.0
2017-10-04,26.5,26.780001000000002,24.780001000000002,25.83,25.83,65200.0
2017-10-05,25.969998999999998,26.66,25.459999,26.49,26.49,29200.0
2017-10-06,26.67,26.76,25.844998999999998,26.440001000000002,26.440001000000002,45400.0
2017-10-09,26.360001,26.620001000000002,25.24,25.969998999999998,25.969998999999998,30000.0
2017-10-10,26.25,29.5,25.709999,29.09,29.09,121600.0
2017-10-11,29.110001,31.889999,28.41,31.48,31.48,97500.0
2017-10-12,31.5,31.5,28.75,29.08,29.08,63700.0
2017-10-13,29.0,30.125,27.57,27.83,27.83,40400.0
2017-10-16,28.23,28.299999,27.561001,27.93,27.93,50600.0
2017-10-17,27.870001000000002,27.982,27.110001,27.280001000000002,27.280001000000002,23100.0
2017-10-18,27.280001000000002,27.280001000000002,25.17,25.370001000000002,25.370001000000002,39900.0
2017-10-19,25.08,25.49,24.67,25.16,25.16,48900.0
2017-10-20,25.33,25.98,25.0,25.299999,25.299999,38800.0
2017-10-23,24.98,25.0,22.9,22.92,22.92,55400.0
2017-10-24,23.290001,24.49,23.0,23.290001,23.290001,68700.0
2017-10-25,23.299999,24.24,23.290001,23.4,23.4,35100.0
2017-10-26,23.41,24.0,23.200001,23.76,23.76,16100.0
2017-10-27,24.25,24.25,22.309998999999998,22.469998999999998,22.469998999999998,36900.0
2017-10-30,22.49,24.559998999999998,22.49,23.940001000000002,23.940001000000002,54300.0
2017-10-31,24.35,24.35,20.48,20.48,20.48,49200.0
2017-11-01,20.84,24.059998999999998,20.84,23.15,23.15,67200.0
2017-11-02,23.23,23.23,21.18,21.809998999999998,21.809998999999998,40700.0
2017-11-03,21.450001,22.76,20.9,22.200001,22.200001,42500.0
2017-11-06,22.200001,22.25,21.32,21.790001,21.790001,23000.0
2017-11-07,21.83,22.450001,20.309998999999998,20.620001000000002,20.620001000000002,28800.0
2017-11-08,20.5,21.49,20.5,21.27,21.27,21500.0
2017-11-09,21.35,22.0,20.74,21.809998999999998,21.809998999999998,21000.0
2017-11-10,21.370001000000002,22.149,21.02,21.23,21.23,32400.0
2017-11-13,21.25,21.25,20.360001,21.16,21.16,23100.0
2017-11-14,20.26,20.709999,19.070999,19.18,19.18,75900.0
2017-11-15,19.34,19.646998999999997,17.66,17.940001000000002,17.940001000000002,53500.0
2017-11-16,17.940001000000002,19.759001,17.940001000000002,18.860001,18.860001,40500.0
2017-11-17,18.700001,19.174999,18.209999,18.34,18.34,41000.0
2017-11-20,18.379998999999998,18.860001,18.145,18.75,18.75,27000.0
2017-11-21,18.93,19.5,18.450001,18.719998999999998,18.719998999999998,25400.0
2017-11-22,18.969998999999998,19.49,18.700001,19.459999,19.459999,24900.0
2017-11-24,20.0,20.24,19.59,19.9,19.9,16000.0
2017-11-27,20.049999,20.52,19.530001000000002,19.75,19.75,45200.0
2017-11-28,19.43,20.35,19.01,19.799999,19.799999,55700.0
2017-11-29,19.690001000000002,20.17,19.16,19.83,19.83,53200.0
2017-11-30,20.030001000000002,20.030001000000002,18.870001000000002,19.139999,19.139999,44000.0
2017-12-01,19.0,19.110001,18.379998999999998,18.73,18.73,28800.0
2017-12-04,18.58,19.879,17.014999,17.129998999999998,17.129998999999998,93200.0
2017-12-05,17.18,18.049999,17.110001,17.9,17.9,42300.0
2017-12-06,18.129998999999998,19.049999,17.611,18.969998999999998,18.969998999999998,23900.0
2017-12-07,19.17,19.99,18.940001000000002,19.85,19.85,41900.0
2017-12-08,20.0,20.889999,19.5,20.5,20.5,57400.0
2017-12-11,20.82,23.209999,20.65,22.75,22.75,147100.0
2017-12-12,22.9,24.24,22.504998999999998,23.940001000000002,23.940001000000002,107000.0
2017-12-13,23.940001000000002,24.959999,23.32,23.940001000000002,23.940001000000002,179200.0
2017-12-14,24.309998999999998,24.57,23.190001000000002,23.98,23.98,133900.0
2017-12-15,23.91,24.514999,22.35,22.65,22.65,577100.0
2017-12-18,22.950001,23.764999,21.530001000000002,22.709999,22.709999,92300.0
2017-12-19,22.85,22.9,20.889999,21.120001000000002,21.120001000000002,51400.0
2017-12-20,21.299999,24.389999,21.299999,23.940001000000002,23.940001000000002,82800.0
2017-12-21,24.09,24.389999,23.452,23.92,23.92,43300.0
2017-12-22,24.040001,24.040001,22.424999,22.959999,22.959999,30300.0
2017-12-26,22.99,23.049999,22.52,22.91,22.91,29200.0
2017-12-27,23.0,23.24,22.5,22.84,22.84,41800.0
2017-12-28,23.0,23.0,22.280001000000002,22.709999,22.709999,32500.0
2017-12-29,23.0,23.0,21.6,22.030001000000002,22.030001000000002,30600.0
