Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.76,9.2,8.53,8.63,8.63,9128300
2016-01-05,8.76,9.44,8.7,9.3,9.3,7055000
2016-01-06,9.46,9.72,8.95,9.01,9.01,5944000
2016-01-07,8.78,8.88,8.22,8.3,8.3,4577500
2016-01-08,8.85,8.85,7.57,8.06,8.06,4620800
2016-01-11,8.22,8.52,7.6,8.06,8.06,2979900
2016-01-12,8.18,8.47,7.34,7.86,7.86,3153600
2016-01-13,7.85,8.0,7.03,7.1,7.1,2785900
2016-01-14,7.04,7.34,6.38,7.28,7.28,3005700
2016-01-15,6.71,7.17,6.6,7.17,7.17,2060500
2016-01-19,7.56,8.37,7.47,7.75,7.75,4969600
2016-01-20,7.5,9.12,7.45,8.92,8.92,5134100
2016-01-21,8.91,9.05,8.32,8.54,8.54,3289600
2016-01-22,8.6,9.12,8.6,8.97,8.97,2167900
2016-01-25,8.57,9.34,8.5,8.6,8.6,2303000
2016-01-26,8.61,9.0,8.1,8.82,8.82,1933000
2016-01-27,8.68,8.87,8.3,8.5,8.5,1660300
2016-01-28,8.5,8.59,7.7,7.95,7.95,2978200
2016-01-29,7.96,8.24,7.53,7.7,7.7,2089800
2016-02-01,7.72,7.84,7.41,7.56,7.56,1642800
2016-02-02,7.56,7.66,7.27,7.34,7.34,1472500
2016-02-03,7.43,7.64,6.95,7.21,7.21,1673400
2016-02-04,7.26,7.88,7.1,7.3,7.3,1877600
2016-02-05,7.28,7.34,6.9,6.93,6.93,1930200
2016-02-08,6.8,7.0,6.36,6.42,6.42,2165000
2016-02-09,6.35,6.78,6.15,6.72,6.72,1671100
2016-02-10,6.77,7.35,6.6,7.01,7.01,1532700
2016-02-11,6.78,7.43,6.7,7.11,7.11,1896500
2016-02-12,7.18,7.34,6.9,7.27,7.27,1387400
2016-02-16,7.5,7.67,7.35,7.45,7.45,1501300
2016-02-17,7.63,7.97,7.28,7.83,7.83,2223200
2016-02-18,7.84,7.84,7.07,7.1,7.1,2270200
2016-02-19,7.14,7.73,7.0,7.63,7.63,2054700
2016-02-22,5.61,5.61,4.52,4.55,4.55,19247800
2016-02-23,4.62,4.79,4.46,4.46,4.46,5376900
2016-02-24,4.37,5.05,4.36,5.03,5.03,4776200
2016-02-25,5.06,5.21,4.99,5.05,5.05,3049800
2016-02-26,5.03,5.05,4.7,4.72,4.72,2371200
2016-02-29,4.51,4.73,4.41,4.61,4.61,3086800
2016-03-01,4.58,5.02,4.48,4.95,4.95,3553700
2016-03-02,4.95,5.24,4.86,5.16,5.16,2723100
2016-03-03,5.2,5.45,5.14,5.16,5.16,2095000
2016-03-04,5.15,5.44,5.02,5.17,5.17,1744600
2016-03-07,5.17,5.72,5.14,5.45,5.45,3231900
2016-03-08,5.44,5.6,5.19,5.36,5.36,2944400
2016-03-09,5.37,5.42,5.0,5.13,5.13,1867900
2016-03-10,5.19,5.45,5.01,5.15,5.15,1178600
2016-03-11,5.25,5.4,5.02,5.39,5.39,1243400
2016-03-14,5.39,5.6,5.28,5.49,5.49,1018300
2016-03-15,5.42,5.48,5.05,5.08,5.08,1210800
2016-03-16,5.08,5.19,4.76,4.93,4.93,1214100
2016-03-17,5.01,5.13,4.76,5.09,5.09,1454400
2016-03-18,5.13,5.24,4.88,5.21,5.21,2861900
2016-03-21,5.2,5.4,5.08,5.15,5.15,1568700
2016-03-22,5.1,5.27,4.75,5.16,5.16,1774600
2016-03-23,5.14,5.17,4.76,4.76,4.76,1686200
2016-03-24,4.71,4.98,4.62,4.86,4.86,1014500
2016-03-28,4.94,4.94,4.65,4.71,4.71,861500
2016-03-29,4.71,5.03,4.63,4.96,4.96,1111000
2016-03-30,5.0,5.19,4.9,4.97,4.97,1702000
2016-03-31,4.95,5.19,4.8,5.11,5.11,1409800
2016-04-01,5.07,5.35,4.98,5.23,5.23,1096900
2016-04-04,5.26,5.48,5.14,5.27,5.27,1233700
2016-04-05,5.21,5.31,5.08,5.13,5.13,594500
2016-04-06,5.15,5.5,5.1,5.5,5.5,1230000
2016-04-07,5.48,5.74,5.4,5.63,5.63,1182300
2016-04-08,5.73,5.75,5.51,5.54,5.54,1799100
2016-04-11,5.56,5.72,5.55,5.61,5.61,1136400
2016-04-12,5.6,5.6,5.32,5.46,5.46,921300
2016-04-13,5.49,5.74,5.44,5.67,5.67,1152700
2016-04-14,5.66,5.84,5.6,5.68,5.68,785800
2016-04-15,5.69,6.11,5.41,5.9,5.9,2686700
2016-04-18,5.91,6.37,5.8,6.3,6.3,2152000
2016-04-19,6.34,6.47,6.12,6.3,6.3,1820800
2016-04-20,6.3,6.46,5.99,6.01,6.01,1492900
2016-04-21,5.98,6.27,5.96,6.21,6.21,1097900
2016-04-22,6.24,6.35,6.1,6.27,6.27,868600
2016-04-25,6.25,6.37,6.13,6.17,6.17,709700
2016-04-26,6.15,6.27,5.85,6.03,6.03,800400
2016-04-27,5.99,6.24,5.83,5.99,5.99,778100
2016-04-28,5.97,6.2,5.87,6.02,6.02,1146200
2016-04-29,6.01,6.22,5.84,5.98,5.98,1095600
2016-05-02,5.96,6.14,5.81,5.89,5.89,1097300
2016-05-03,5.81,5.86,5.62,5.64,5.64,808600
2016-05-04,5.62,5.81,5.33,5.43,5.43,848400
2016-05-05,5.45,5.58,5.22,5.24,5.24,774900
2016-05-06,5.19,5.4,5.06,5.12,5.12,776900
2016-05-09,4.94,6.1,4.9,4.91,4.91,6520000
2016-05-10,4.96,5.0,4.56,4.9,4.9,1807900
2016-05-11,4.88,4.95,4.75,4.75,4.75,589400
2016-05-12,4.85,4.88,4.55,4.57,4.57,1414900
2016-05-13,4.56,4.68,4.46,4.55,4.55,968300
2016-05-16,4.58,4.83,4.51,4.73,4.73,1376100
2016-05-17,4.72,4.87,4.62,4.63,4.63,800900
2016-05-18,4.59,4.79,4.59,4.65,4.65,771100
2016-05-19,4.64,4.78,4.46,4.52,4.52,990200
2016-05-20,4.54,4.75,4.45,4.71,4.71,1042600
2016-05-23,4.72,4.96,4.71,4.73,4.73,1021400
2016-05-24,4.75,4.85,4.67,4.74,4.74,711600
2016-05-25,4.77,4.88,4.73,4.82,4.82,915600
2016-05-26,4.83,4.83,4.68,4.79,4.79,486400
2016-05-27,4.8,4.83,4.7,4.79,4.79,505600
2016-05-31,4.8,5.0,4.8,4.9,4.9,799300
2016-06-01,4.91,5.0,4.8,4.92,4.92,709500
2016-06-02,4.91,5.06,4.89,4.99,4.99,1076000
2016-06-03,4.98,5.0,4.76,4.78,4.78,851600
2016-06-06,4.81,5.0,4.71,4.98,4.98,1044800
2016-06-07,4.93,4.95,4.73,4.74,4.74,898600
2016-06-08,4.74,4.79,4.65,4.79,4.79,859400
2016-06-09,4.77,4.77,4.58,4.58,4.58,655600
2016-06-10,4.5,4.58,4.11,4.14,4.14,1685800
2016-06-13,4.12,4.14,3.87,3.94,3.94,1263800
2016-06-14,3.95,4.08,3.86,3.9,3.9,751200
2016-06-15,3.92,4.1,3.87,3.93,3.93,677700
2016-06-16,3.91,3.93,3.8,3.86,3.86,539900
2016-06-17,3.87,3.89,3.71,3.72,3.72,1228300
2016-06-20,3.78,3.9,3.76,3.78,3.78,599200
2016-06-21,3.78,3.8,3.63,3.69,3.69,500200
2016-06-22,3.69,3.86,3.6,3.73,3.73,451300
2016-06-23,3.77,3.82,3.69,3.79,3.79,543500
2016-06-24,3.6,3.74,3.57,3.73,3.73,2136800
2016-06-27,3.7,3.72,3.5,3.56,3.56,1235000
2016-06-28,3.67,3.84,3.62,3.81,3.81,1439700
2016-06-29,3.9,4.04,3.83,4.02,4.02,1027200
2016-06-30,4.03,4.04,3.9,3.93,3.93,479800
2016-07-01,3.9,4.15,3.9,4.06,4.06,752100
2016-07-05,4.02,4.02,3.81,3.84,3.84,395000
2016-07-06,3.81,4.0,3.76,3.95,3.95,393000
2016-07-07,3.97,4.07,3.94,4.03,4.03,303500
2016-07-08,4.06,4.1,3.92,3.99,3.99,424000
2016-07-11,4.0,4.01,3.89,3.93,3.93,350300
2016-07-12,3.95,3.98,3.83,3.86,3.86,571300
2016-07-13,3.9,3.95,3.8,3.8,3.8,404300
2016-07-14,3.82,3.88,3.71,3.81,3.81,428500
2016-07-15,3.81,4.06,3.76,4.02,4.02,675600
2016-07-18,4.03,4.09,3.91,4.05,4.05,452800
2016-07-19,4.04,4.04,3.89,3.92,3.92,430800
2016-07-20,3.93,4.12,3.88,4.1,4.1,505500
2016-07-21,4.12,4.27,4.09,4.12,4.12,462400
2016-07-22,4.1,4.23,4.02,4.12,4.12,223800
2016-07-25,4.12,4.19,4.01,4.06,4.06,268000
2016-07-26,4.06,4.09,4.01,4.02,4.02,187100
2016-07-27,4.05,4.22,3.98,4.18,4.18,325200
2016-07-28,4.18,4.21,4.01,4.02,4.02,408700
2016-07-29,4.01,4.12,3.96,3.99,3.99,443100
2016-08-01,4.01,4.19,3.99,4.08,4.08,329200
2016-08-02,4.07,4.09,3.88,3.96,3.96,660400
2016-08-03,3.95,4.23,3.92,4.23,4.23,623900
