Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.74,19.02,15.58,18.309998999999998,18.309998999999998,242100
2016-01-05,18.33,19.690001000000002,18.24,18.799999,18.799999,127400
2016-01-06,18.67,18.889999,17.74,18.360001,18.360001,206600
2016-01-07,18.0,18.139999,16.75,16.85,16.85,208800
2016-01-08,16.85,17.1,15.94,16.02,16.02,411600
2016-01-11,16.24,16.92,15.72,16.57,16.57,420400
2016-01-12,16.639999,17.379998999999998,16.17,16.77,16.77,138800
2016-01-13,16.889999,17.09,16.469998999999998,16.780001000000002,16.780001000000002,177400
2016-01-14,16.77,17.139999,15.81,16.59,16.59,116400
2016-01-15,16.08,16.379998999999998,15.91,16.26,16.26,103700
2016-01-19,15.84,16.24,14.603,14.94,14.94,383700
2016-01-20,14.76,15.82,14.54,15.66,15.66,461000
2016-01-21,15.63,16.83,15.09,15.2,15.2,170500
2016-01-22,14.9,16.190001000000002,14.59,16.07,16.07,232100
2016-01-25,16.01,16.26,15.49,16.09,16.09,177000
2016-01-26,16.24,16.33,15.59,16.1,16.1,81200
2016-01-27,15.92,16.23,15.47,15.84,15.84,194500
2016-01-28,16.0,16.0,15.1,15.4,15.4,174400
2016-01-29,15.4,16.030001000000002,14.92,15.27,15.27,117500
2016-02-01,15.19,15.43,14.55,15.12,15.12,168500
2016-02-02,14.92,15.108,14.61,14.84,14.84,169500
2016-02-03,15.0,15.158,13.977,14.49,14.49,123100
2016-02-04,14.57,15.32,14.3,14.68,14.68,115000
2016-02-05,14.65,14.65,14.15,14.2,14.2,126500
2016-02-08,14.08,14.435,13.05,13.31,13.31,140200
2016-02-09,13.17,13.6,12.53,13.29,13.29,104300
2016-02-10,13.47,14.46,13.14,13.18,13.18,84300
2016-02-11,12.84,13.34,12.16,13.09,13.09,106400
2016-02-12,13.22,13.53,12.83,13.51,13.51,95800
2016-02-16,13.67,14.09,13.47,14.02,14.02,103000
2016-02-17,14.16,14.46,13.72,14.06,14.06,95700
2016-02-18,14.04,14.54,13.48,13.5,13.5,125200
2016-02-19,13.48,13.59,13.121,13.28,13.28,195400
2016-02-22,13.46,13.73,13.18,13.62,13.62,105900
2016-02-23,13.6,13.81,12.87,13.18,13.18,80500
2016-02-24,13.06,13.335,12.4,13.02,13.02,127900
2016-02-25,13.06,13.68,12.59,13.3,13.3,115400
2016-02-26,13.37,13.46,12.7,13.13,13.13,97300
2016-02-29,13.01,13.53,12.75,12.86,12.86,178200
2016-03-01,12.89,14.288,12.89,14.21,14.21,177900
2016-03-02,14.33,14.75,14.21,14.59,14.59,147300
2016-03-03,14.66,14.8,13.7,14.25,14.25,147100
2016-03-04,14.19,14.19,13.29,13.41,13.41,141500
2016-03-07,13.3,14.4,13.2,13.95,13.95,125500
2016-03-08,13.92,13.995,12.79,12.87,12.87,212200
2016-03-09,12.86,13.08,12.27,12.75,12.75,134200
2016-03-10,12.92,13.18,12.57,12.8,12.8,76800
2016-03-11,12.93,13.35,12.55,13.05,13.05,92000
2016-03-14,12.94,13.42,12.94,13.11,13.11,95000
2016-03-15,12.95,12.95,12.31,12.41,12.41,58300
2016-03-16,12.36,13.08,12.158,12.91,12.91,124900
2016-03-17,12.85,13.16,12.3,12.99,12.99,141200
2016-03-18,13.09,13.5,12.895,13.04,13.04,265400
2016-03-21,13.04,13.76,12.672,13.49,13.49,82900
2016-03-22,13.4,13.8,13.4,13.68,13.68,65000
2016-03-23,13.62,13.72,12.9,12.92,12.92,114900
2016-03-24,12.84,13.24,12.28,12.95,12.95,75200
2016-03-28,12.88,12.99,12.57,12.77,12.77,76000
2016-03-29,12.71,13.63,12.47,13.45,13.45,106600
2016-03-30,13.52,13.81,12.796,13.18,13.18,97200
2016-03-31,13.16,13.82,13.06,13.66,13.66,321100
2016-04-01,13.5,14.0,13.33,13.82,13.82,206300
2016-04-04,13.89,14.44,13.745,14.19,14.19,130800
2016-04-05,14.16,14.24,13.77,13.92,13.92,71400
2016-04-06,14.0,14.72,13.675,14.22,14.22,172700
2016-04-07,14.09,14.39,13.895,14.16,14.16,72400
2016-04-08,14.34,14.34,13.35,13.9,13.9,100000
2016-04-11,14.03,14.16,13.38,13.4,13.4,58700
2016-04-12,13.31,13.72,13.03,13.09,13.09,131600
2016-04-13,13.18,13.66,12.8,13.54,13.54,127200
2016-04-14,13.5,13.88,13.02,13.72,13.72,103200
2016-04-15,13.65,13.78,13.36,13.57,13.57,58900
2016-04-18,13.56,13.84,13.405,13.64,13.64,139500
2016-04-19,13.7,14.07,13.55,13.78,13.78,129300
2016-04-20,13.89,14.21,13.65,13.84,13.84,108700
2016-04-21,13.86,14.14,13.79,13.86,13.86,129000
2016-04-22,13.95,15.31,13.72,14.63,14.63,346900
2016-04-25,14.64,15.53,14.64,15.19,15.19,224400
2016-04-26,15.33,15.36,14.03,14.48,14.48,128000
2016-04-27,14.38,14.39,13.9,14.09,14.09,85400
2016-04-28,14.09,14.68,13.838,14.31,14.31,118600
2016-04-29,14.16,14.43,13.69,13.94,13.94,75800
2016-05-02,14.1,14.38,13.7,14.35,14.35,117400
2016-05-03,14.18,14.31,13.57,13.63,13.63,74300
2016-05-04,13.55,13.694,13.331,13.62,13.62,124000
2016-05-05,13.2,13.35,11.537,12.01,12.01,337200
2016-05-06,11.84,11.935,10.75,10.85,10.85,276200
2016-05-09,10.89,11.16,10.5,10.75,10.75,469900
2016-05-10,10.84,11.0,10.3,10.67,10.67,284400
2016-05-11,10.77,11.09,10.55,10.55,10.55,149300
2016-05-12,10.54,10.59,9.81,10.13,10.13,189800
2016-05-13,10.24,11.32,10.22,11.13,11.13,154300
2016-05-16,11.19,11.69,10.9,11.63,11.63,178300
2016-05-17,11.7,12.64,11.67,12.26,12.26,214600
2016-05-18,12.17,12.79,12.03,12.6,12.6,167000
2016-05-19,12.5,12.742,11.82,12.19,12.19,118500
2016-05-20,12.31,12.77,12.12,12.76,12.76,81500
2016-05-23,12.83,13.13,12.66,12.84,12.84,66900
2016-05-24,12.93,13.48,12.84,13.28,13.28,65600
2016-05-25,13.34,13.47,12.83,13.35,13.35,66400
2016-05-26,13.39,13.39,13.11,13.27,13.27,115600
2016-05-27,13.21,13.44,13.11,13.42,13.42,86600
2016-05-31,13.53,13.646,13.26,13.31,13.31,65100
2016-06-01,13.3,13.61,13.19,13.59,13.59,91500
2016-06-02,13.55,13.93,13.32,13.4,13.4,95900
2016-06-03,13.4,13.955,13.18,13.42,13.42,61200
2016-06-06,13.42,13.655,13.03,13.58,13.58,54800
2016-06-07,13.59,13.76,13.04,13.46,13.46,54100
2016-06-08,13.5,13.725,13.26,13.3,13.3,69700
2016-06-09,13.25,13.32,12.92,12.96,12.96,75500
2016-06-10,12.77,12.89,12.17,12.46,12.46,69600
2016-06-13,12.31,12.73,12.03,12.09,12.09,81400
2016-06-14,12.17,12.36,11.51,11.8,11.8,96900
2016-06-15,11.82,12.11,11.74,11.77,11.77,114500
2016-06-16,11.66,11.69,11.34,11.54,11.54,103200
2016-06-17,11.58,11.65,11.17,11.37,11.37,159300
2016-06-20,11.58,11.867,9.8,10.4,10.4,756100
2016-06-21,10.53,10.96,10.37,10.79,10.79,166700
2016-06-22,10.74,11.45,10.6,10.99,10.99,201700
2016-06-23,11.07,11.375,10.79,11.32,11.32,106500
2016-06-24,10.89,11.03,10.51,10.69,10.69,403300
2016-06-27,10.53,10.93,10.2,10.58,10.58,128600
2016-06-28,10.71,11.15,10.67,11.01,11.01,107400
2016-06-29,11.18,11.38,10.89,11.29,11.29,123900
2016-06-30,11.35,11.66,11.12,11.23,11.23,98400
2016-07-01,11.67,12.1,10.96,11.2,11.2,348200
2016-07-05,11.2,11.63,11.03,11.46,11.46,142700
2016-07-06,11.35,11.95,11.35,11.67,11.67,100700
2016-07-07,11.63,11.83,11.51,11.79,11.79,78700
2016-07-08,11.85,12.22,11.56,11.8,11.8,127900
2016-07-11,11.84,12.117,11.67,11.96,11.96,189100
2016-07-12,11.99,12.05,11.88,11.9,11.9,109000
2016-07-13,11.96,12.09,11.67,11.73,11.73,119100
2016-07-14,11.82,11.82,11.12,11.2,11.2,107600
2016-07-15,11.32,11.84,11.32,11.62,11.62,109000
2016-07-18,11.69,11.92,11.36,11.89,11.89,176400
2016-07-19,11.93,12.13,11.35,11.53,11.53,101600
2016-07-20,11.64,12.06,11.36,11.94,11.94,81900
2016-07-21,11.86,12.269,11.79,11.88,11.88,66300
2016-07-22,11.91,12.01,11.72,11.86,11.86,29500
2016-07-25,11.87,11.88,11.59,11.7,11.7,62800
2016-07-26,11.7,11.86,11.57,11.7,11.7,58400
2016-07-27,11.74,12.02,11.69,11.93,11.93,47600
2016-07-28,11.96,12.13,11.54,11.77,11.77,68600
2016-07-29,11.7,11.7,11.21,11.49,11.49,109100
2016-08-01,11.45,11.92,11.4,11.82,11.82,111700
2016-08-02,11.82,11.95,11.585,11.71,11.71,70700
2016-08-03,11.64,12.075,11.64,12.01,12.01,67100
2016-08-04,12.05,12.28,11.64,11.67,11.67,35700
2016-08-05,11.75,12.13,11.611,12.0,12.0,63700
2016-08-08,11.98,11.98,11.61,11.65,11.65,90400
2016-08-09,11.86,11.97,11.318,11.62,11.62,81000
2016-08-10,11.62,11.62,10.5,10.91,10.91,217200
2016-08-11,10.9,11.2,10.81,11.01,11.01,92400
2016-08-12,11.09,11.1,10.94,10.99,10.99,84600
2016-08-15,11.05,11.35,11.05,11.27,11.27,49100
2016-08-16,11.27,11.47,10.921,11.01,11.01,116100
2016-08-17,10.99,11.01,10.67,10.99,10.99,71900
2016-08-18,10.99,11.11,10.75,11.0,11.0,86900
2016-08-19,11.0,11.04,10.79,10.96,10.96,63100
2016-08-22,10.94,11.07,10.37,10.81,10.81,114500
2016-08-23,10.93,11.01,10.77,10.94,10.94,81900
2016-08-24,10.88,11.08,10.525,10.64,10.64,129900
2016-08-25,10.69,11.285,10.48,10.63,10.63,201500
2016-08-26,10.63,10.91,10.1,10.14,10.14,101300
2016-08-29,10.13,10.33,9.64,9.66,9.66,110700
2016-08-30,9.71,10.72,9.66,10.47,10.47,561900
2016-08-31,10.47,10.73,9.59,9.72,9.72,154700
2016-09-01,9.68,9.74,9.47,9.71,9.71,149200
2016-09-02,9.76,10.01,9.51,9.68,9.68,101400
2016-09-06,9.73,10.01,9.5,9.87,9.87,85300
2016-09-07,9.96,10.094,9.85,9.98,9.98,81400
2016-09-08,10.0,10.325,9.73,10.03,10.03,168000
2016-09-09,9.9,10.1,9.8,9.83,9.83,107000
2016-09-12,9.76,10.07,9.73,10.06,10.06,79900
2016-09-13,9.88,9.965,9.7,9.85,9.85,96600
2016-09-14,9.88,10.19,9.86,9.99,9.99,100900
2016-09-15,9.9,10.14,9.832,10.01,10.01,72000
2016-09-16,10.02,10.41,10.02,10.33,10.33,163600
2016-09-19,10.37,10.48,10.19,10.36,10.36,143200
2016-09-20,10.45,10.64,10.27,10.53,10.53,100900
2016-09-21,10.51,10.753,10.28,10.42,10.42,118600
2016-09-22,10.41,10.53,10.11,10.46,10.46,215500
2016-09-23,10.49,10.6,10.15,10.15,10.15,87800
2016-09-26,10.05,10.5,10.05,10.31,10.31,89000
2016-09-27,10.34,10.38,10.14,10.22,10.22,105400
2016-09-28,10.21,10.33,9.9,9.92,9.92,106400
2016-09-29,9.89,9.95,9.61,9.73,9.73,138900
2016-09-30,9.73,10.28,9.58,10.11,10.11,91500
2016-10-03,10.07,10.21,9.99,10.14,10.14,81200
2016-10-04,10.11,10.28,10.09,10.13,10.13,47100
2016-10-05,10.2,10.23,9.99,10.0,10.0,109000
2016-10-06,10.0,10.15,9.91,9.98,9.98,79700
2016-10-07,9.99,10.0,9.73,9.85,9.85,72600
2016-10-10,9.8,10.11,9.8,10.0,10.0,52900
2016-10-11,9.85,10.0,9.71,9.76,9.76,107200
2016-10-12,9.73,9.88,9.34,9.41,9.41,194200
2016-10-13,9.37,9.63,9.24,9.25,9.25,53900
2016-10-14,9.29,9.85,8.83,8.9,8.9,103300
2016-10-17,8.9,9.03,8.65,8.86,8.86,76700
2016-10-18,9.01,9.41,8.844,8.97,8.97,50400
2016-10-19,9.0,9.29,8.8,9.0,9.0,105200
2016-10-20,9.0,9.437,8.91,9.37,9.37,74900
2016-10-21,9.3,9.62,9.14,9.5,9.5,117700
2016-10-24,9.45,9.5,8.83,8.94,8.94,98500
2016-10-25,8.87,8.965,8.48,8.61,8.61,73000
2016-10-26,8.62,8.79,8.41,8.46,8.46,83000
2016-10-27,8.6,8.6,8.3,8.32,8.32,77900
2016-10-28,8.28,8.36,8.05,8.19,8.19,82200
2016-10-31,8.25,8.25,7.62,7.72,7.72,138500
2016-11-01,7.78,7.9,7.5,7.86,7.86,97100
2016-11-02,7.89,7.97,7.56,7.75,7.75,67200
2016-11-03,7.79,7.81,7.5,7.51,7.51,96100
2016-11-04,7.55,7.98,7.51,7.89,7.89,75100
2016-11-07,8.0,8.12,7.86,8.11,8.11,63200
2016-11-08,8.39,8.42,7.79,8.2,8.2,128800
2016-11-09,8.96,9.93,8.5,9.58,9.58,336300
2016-11-10,10.26,10.5,9.73,9.92,9.92,228700
2016-11-11,9.85,9.89,9.541,9.67,9.67,202000
2016-11-14,9.77,10.05,9.66,9.83,9.83,175200
2016-11-15,9.94,9.94,9.51,9.72,9.72,88000
2016-11-16,9.77,10.4,9.6,9.92,9.92,285200
2016-11-17,10.06,10.5,10.06,10.21,10.21,189900
2016-11-18,10.11,10.2,9.75,9.86,9.86,254000
2016-11-21,9.9,10.06,9.8,10.03,10.03,90900
2016-11-22,10.09,10.09,9.32,9.44,9.44,126200
2016-11-23,9.31,9.64,9.0,9.43,9.43,112200
2016-11-25,9.5,9.67,9.09,9.57,9.57,42700
2016-11-28,9.57,9.57,9.28,9.31,9.31,58000
2016-11-29,9.36,9.6,9.29,9.35,9.35,42400
2016-11-30,9.41,9.604,8.967,9.04,9.04,54900
2016-12-01,9.11,9.22,8.63,8.68,8.68,100800
2016-12-02,8.59,8.93,8.56,8.75,8.75,78500
2016-12-05,8.7,9.02,8.7,8.94,8.94,101500
2016-12-06,8.98,9.01,8.73,8.81,8.81,92300
2016-12-07,8.68,8.9,7.93,8.79,8.79,108400
2016-12-08,8.79,9.06,8.55,8.91,8.91,80100
2016-12-09,8.96,9.23,8.88,8.92,8.92,111900
2016-12-12,8.8,8.87,8.05,8.1,8.1,213400
2016-12-13,8.23,8.69,7.38,7.98,7.98,178900
2016-12-14,7.98,8.06,7.11,7.97,7.97,543600
2016-12-15,8.0,8.19,7.79,8.01,8.01,249900
2016-12-16,8.05,8.66,8.05,8.52,8.52,932500
2016-12-19,8.48,8.98,8.48,8.93,8.93,133400
2016-12-20,8.9,9.23,8.81,9.09,9.09,106800
2016-12-21,8.93,9.41,8.51,9.37,9.37,98800
2016-12-22,9.3,9.67,9.061,9.54,9.54,116500
2016-12-23,9.54,10.14,9.54,10.1,10.1,94300
2016-12-27,10.08,10.259,9.95,10.1,10.1,137900
2016-12-28,10.11,10.25,10.02,10.12,10.12,202900
2016-12-29,10.21,10.529,10.13,10.3,10.3,96500
2016-12-30,10.294,10.44,10.17,10.29,10.29,112000
2017-01-03,10.35,11.11,10.23,10.74,10.74,173500
