Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.66,1.66,1.57,1.61,1.61,49400
2016-01-05,1.61,1.62,1.5,1.536,1.536,74400
2016-01-06,1.54,1.55,1.34,1.418,1.418,199100
2016-01-07,1.37,1.436,1.33,1.4,1.4,87600
2016-01-08,1.45,1.49,1.35,1.44,1.44,56600
2016-01-11,1.44,1.53,1.44,1.49,1.49,69800
2016-01-12,1.52,1.53,1.43,1.48,1.48,76100
2016-01-13,1.43,1.45,1.351,1.36,1.36,62300
2016-01-14,1.35,1.35,1.08,1.24,1.24,133900
2016-01-15,1.18,1.22,1.11,1.11,1.11,24200
2016-01-19,1.12,1.123,1.01,1.08,1.08,110700
2016-01-20,1.04,1.22,1.04,1.21,1.21,53100
2016-01-21,1.21,1.48,1.21,1.412,1.412,121200
2016-01-22,1.51,1.56,1.47,1.5,1.5,116500
2016-01-25,1.5,1.5,1.42,1.42,1.42,94000
2016-01-26,1.43,1.49,1.41,1.41,1.41,47500
2016-01-27,1.42,1.452,1.4,1.42,1.42,17400
2016-01-28,1.46,1.47,1.24,1.3,1.3,99300
2016-01-29,1.31,1.5,1.3,1.41,1.41,154000
2016-02-01,1.42,1.585,1.28,1.33,1.33,217400
2016-02-02,1.32,1.41,1.29,1.3,1.3,18200
2016-02-03,1.295,1.295,1.207,1.218,1.218,15000
2016-02-04,1.23,1.3,1.21,1.24,1.24,38400
2016-02-05,1.24,1.33,1.24,1.25,1.25,3700
2016-02-08,1.26,1.263,1.2,1.21,1.21,27500
2016-02-09,1.2,1.21,1.04,1.17,1.17,36200
2016-02-10,1.19,1.22,1.02,1.05,1.05,49100
2016-02-11,1.09,1.23,1.01,1.2,1.2,95900
2016-02-12,1.2,1.3,1.02,1.16,1.16,100100
2016-02-16,1.2,1.22,1.07,1.21,1.21,112700
2016-02-17,1.27,1.34,1.23,1.28,1.28,37500
2016-02-18,1.28,1.28,1.18,1.19,1.19,26700
2016-02-19,1.22,1.47,1.22,1.38,1.38,134200
2016-02-22,1.6,1.6,1.38,1.41,1.41,139400
2016-02-23,1.461,1.49,1.23,1.3,1.3,74600
2016-02-24,1.3,1.43,1.24,1.3,1.3,60600
2016-02-25,1.33,1.49,1.31,1.47,1.47,80800
2016-02-26,1.5,1.51,1.33,1.36,1.36,70700
2016-02-29,1.39,1.48,1.33,1.35,1.35,21300
2016-03-01,1.38,1.47,1.3,1.34,1.34,20400
2016-03-02,1.32,1.46,1.21,1.46,1.46,126400
2016-03-03,1.48,1.55,1.45,1.5,1.5,56600
2016-03-04,1.52,1.71,1.49,1.65,1.65,99800
2016-03-07,1.71,1.95,1.66,1.82,1.82,281500
2016-03-08,1.85,1.85,1.63,1.7,1.7,123600
2016-03-09,1.73,1.73,1.64,1.72,1.72,32700
2016-03-10,1.73,1.82,1.68,1.69,1.69,33300
2016-03-11,1.71,1.78,1.71,1.75,1.75,38500
2016-03-14,1.76,1.85,1.71,1.75,1.75,39400
2016-03-15,1.77,1.84,1.736,1.83,1.83,71700
2016-03-16,1.8,1.84,1.75,1.8,1.8,38700
2016-03-17,1.76,1.84,1.75,1.75,1.75,46500
2016-03-18,1.79,1.81,1.74,1.77,1.77,35700
2016-03-21,1.8,1.82,1.783,1.8,1.8,27200
2016-03-22,1.8,1.84,1.79,1.82,1.82,30100
2016-03-23,1.83,1.87,1.82,1.87,1.87,79000
2016-03-24,1.8,1.88,1.75,1.86,1.86,26000
2016-03-28,1.85,1.86,1.75,1.8,1.8,36900
2016-03-29,1.8,1.83,1.79,1.79,1.79,16300
2016-03-30,1.843,1.88,1.79,1.8,1.8,30700
2016-03-31,1.76,1.87,1.76,1.81,1.81,31000
2016-04-01,1.81,1.86,1.8,1.8,1.8,42200
2016-04-04,1.78,1.84,1.78,1.84,1.84,34200
2016-04-05,1.85,1.91,1.82,1.91,1.91,57200
2016-04-06,1.93,2.01,1.91,2.0,2.0,155500
2016-04-07,2.01,2.01,1.91,2.0,2.0,61800
2016-04-08,1.997,2.18,1.985,2.14,2.14,320500
2016-04-11,2.18,2.39,2.15,2.37,2.37,355300
2016-04-12,2.49,2.73,2.45,2.59,2.59,557100
2016-04-13,2.63,2.668,2.33,2.36,2.36,333200
2016-04-14,2.41,2.436,2.3,2.35,2.35,94000
