Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.86,2.89,2.67,2.76,2.76,502100
2016-01-05,2.78,2.8,2.7,2.75,2.75,218200
2016-01-06,2.7,2.74,2.52,2.59,2.59,361300
2016-01-07,2.53,2.56,2.3,2.36,2.36,436800
2016-01-08,2.38,2.43,2.15,2.21,2.21,361900
2016-01-11,2.21,2.25,1.96,2.11,2.11,512100
2016-01-12,2.14,2.26,2.0,2.13,2.13,314600
2016-01-13,2.15,2.21,1.9,1.91,1.91,357600
2016-01-14,1.96,2.02,1.6,1.93,1.93,653700
2016-01-15,1.86,1.89,1.67,1.88,1.88,418000
2016-01-19,1.97,1.98,1.73,1.76,1.76,261700
2016-01-20,1.74,1.92,1.62,1.86,1.86,509300
2016-01-21,1.82,1.92,1.72,1.82,1.82,305100
2016-01-22,1.87,1.94,1.76,1.8,1.8,632900
2016-01-25,1.81,1.9,1.79,1.81,1.81,243600
2016-01-26,1.85,1.95,1.7,1.8,1.8,248100
2016-01-27,1.8,1.84,1.7,1.7,1.7,254600
2016-01-28,1.73,1.76,1.61,1.61,1.61,440300
2016-01-29,1.61,1.73,1.55,1.64,1.64,470500
2016-02-01,1.63,1.75,1.61,1.67,1.67,369700
2016-02-02,1.67,1.68,1.57,1.59,1.59,322700
2016-02-03,1.63,1.63,1.45,1.49,1.49,434000
2016-02-04,1.5,1.65,1.48,1.57,1.57,192200
2016-02-05,1.57,1.57,1.41,1.42,1.42,404500
2016-02-08,1.43,1.46,1.28,1.29,1.29,515100
2016-02-09,1.29,1.41,1.28,1.32,1.32,364800
2016-02-10,1.32,1.4,1.28,1.28,1.28,385600
2016-02-11,1.26,1.36,1.25,1.32,1.32,301400
2016-02-12,1.38,1.48,1.28,1.44,1.44,348200
2016-02-16,1.5,1.55,1.44,1.54,1.54,287000
2016-02-17,1.56,1.59,1.47,1.55,1.55,297700
2016-02-18,1.58,1.59,1.5,1.5,1.5,277400
2016-02-19,1.51,1.55,1.42,1.52,1.52,244900
2016-02-22,1.55,1.58,1.5,1.54,1.54,236000
2016-02-23,1.56,1.58,1.42,1.43,1.43,218000
2016-02-24,1.46,1.55,1.44,1.54,1.54,212400
2016-02-25,1.54,1.55,1.44,1.46,1.46,226500
2016-02-26,1.46,1.52,1.44,1.49,1.49,188400
2016-02-29,1.5,1.5,1.34,1.37,1.37,486200
2016-03-01,1.41,1.5,1.35,1.5,1.5,425200
2016-03-02,1.53,1.73,1.5,1.66,1.66,822700
2016-03-03,1.69,1.97,1.67,1.79,1.79,576800
2016-03-04,1.8,1.88,1.72,1.76,1.76,480100
2016-03-07,1.75,1.8,1.72,1.77,1.77,301100
2016-03-08,1.74,1.78,1.65,1.68,1.68,366500
2016-03-09,1.68,1.71,1.65,1.68,1.68,182400
2016-03-10,1.72,1.74,1.54,1.55,1.55,320600
2016-03-11,1.56,1.59,1.48,1.58,1.58,316600
2016-03-14,1.58,1.65,1.55,1.6,1.6,211700
2016-03-15,1.62,1.68,1.49,1.51,1.51,357700
2016-03-16,1.51,1.56,1.47,1.51,1.51,218300
2016-03-17,1.5,1.58,1.48,1.55,1.55,357000
2016-03-18,1.57,1.58,1.5,1.51,1.51,910200
2016-03-21,1.51,1.6,1.48,1.54,1.54,254400
2016-03-22,1.52,1.61,1.51,1.6,1.6,495800
2016-03-23,1.63,1.67,1.47,1.47,1.47,353600
2016-03-24,1.48,1.52,1.42,1.5,1.5,203900
2016-03-28,1.55,1.56,1.45,1.46,1.46,267700
2016-03-29,1.46,1.53,1.42,1.51,1.51,230700
2016-03-30,1.55,1.58,1.5,1.55,1.55,312400
2016-03-31,1.6,1.65,1.55,1.61,1.61,678100
2016-04-01,1.61,1.65,1.55,1.63,1.63,210400
2016-04-04,1.68,1.7,1.65,1.66,1.66,295600
2016-04-05,1.67,1.68,1.62,1.62,1.62,192100
2016-04-06,1.62,1.7,1.61,1.68,1.68,355200
2016-04-07,1.68,1.69,1.63,1.65,1.65,195100
2016-04-08,1.68,1.68,1.57,1.65,1.65,335700
2016-04-11,1.68,1.69,1.61,1.64,1.64,233800
2016-04-12,1.65,1.7,1.6,1.69,1.69,253600
2016-04-13,1.7,1.79,1.66,1.76,1.76,727800
2016-04-14,1.77,2.12,1.75,2.07,2.07,841400
2016-04-15,2.03,2.11,1.96,1.99,1.99,626400
2016-04-18,2.0,2.22,1.95,2.16,2.16,510400
2016-04-19,2.2,2.21,2.0,2.1,2.1,576200
2016-04-20,2.14,2.14,2.03,2.07,2.07,359700
2016-04-21,2.09,2.11,2.03,2.11,2.11,258000
2016-04-22,2.12,2.23,2.07,2.23,2.23,348900
2016-04-25,2.22,2.23,2.12,2.15,2.15,287000
2016-04-26,2.15,2.15,1.97,2.09,2.09,292300
2016-04-27,2.11,2.17,2.03,2.14,2.14,318500
2016-04-28,2.14,2.17,2.03,2.03,2.03,310400
2016-04-29,2.06,2.07,1.95,2.0,2.0,535900
2016-05-02,2.03,2.06,1.95,2.01,2.01,154100
2016-05-03,1.99,2.0,1.91,1.92,1.92,229600
2016-05-04,1.92,1.96,1.84,1.85,1.85,255100
2016-05-05,1.89,1.89,1.77,1.79,1.79,133600
2016-05-06,1.81,1.9,1.76,1.79,1.79,301300
2016-05-09,1.81,1.99,1.81,1.86,1.86,346200
2016-05-10,1.9,1.96,1.82,1.92,1.92,148900
2016-05-11,1.94,1.95,1.82,1.82,1.82,171000
2016-05-12,1.86,1.87,1.69,1.76,1.76,542500
2016-05-13,1.77,1.8,1.67,1.68,1.68,1080800
2016-05-16,1.71,1.75,1.7,1.71,1.71,364700
2016-05-17,1.73,1.77,1.64,1.66,1.66,349400
2016-05-18,1.63,1.7,1.6,1.65,1.65,192300
2016-05-19,1.66,1.72,1.6,1.62,1.62,279100
2016-05-20,1.64,1.71,1.62,1.65,1.65,408900
2016-05-23,1.68,1.74,1.66,1.7,1.7,299400
2016-05-24,1.74,1.8,1.71,1.76,1.76,470700
2016-05-25,1.79,1.84,1.77,1.8,1.8,400400
2016-05-26,1.76,1.81,1.69,1.71,1.71,335800
2016-05-27,1.72,1.73,1.68,1.7,1.7,260700
2016-05-31,1.68,1.8,1.67,1.75,1.75,390000
2016-06-01,1.8,1.89,1.8,1.85,1.85,620900
2016-06-02,1.87,1.99,1.87,1.97,1.97,687300
2016-06-03,2.0,2.05,1.85,1.87,1.87,634100
2016-06-06,1.85,1.91,1.8,1.86,1.86,405600
2016-06-07,1.86,1.93,1.82,1.85,1.85,467700
2016-06-08,1.87,1.93,1.8,1.89,1.89,592500
2016-06-09,1.88,1.9,1.76,1.79,1.79,548300
2016-06-10,1.76,1.77,1.68,1.69,1.69,614000
2016-06-13,1.69,1.77,1.63,1.63,1.63,403900
2016-06-14,1.63,1.71,1.61,1.61,1.61,332000
2016-06-15,1.63,1.68,1.61,1.63,1.63,352100
2016-06-16,1.73,1.73,1.6,1.65,1.65,577400
2016-06-17,1.66,1.66,1.57,1.58,1.58,724200
2016-06-20,1.62,1.66,1.54,1.58,1.58,425500
2016-06-21,1.58,1.61,1.51,1.54,1.54,459200
2016-06-22,1.55,1.65,1.54,1.58,1.58,340800
2016-06-23,1.62,1.68,1.58,1.66,1.66,345300
2016-06-24,1.58,1.64,1.55,1.62,1.62,1009800
2016-06-27,1.58,1.63,1.47,1.47,1.47,718800
2016-06-28,1.5,1.6,1.49,1.55,1.55,566700
2016-06-29,1.62,1.62,1.55,1.56,1.56,414300
2016-06-30,1.58,1.59,1.53,1.56,1.56,284000
2016-07-01,1.57,1.59,1.52,1.57,1.57,260800
2016-07-05,1.57,1.64,1.51,1.53,1.53,414600
2016-07-06,1.53,1.6,1.52,1.55,1.55,233100
2016-07-07,1.57,1.67,1.54,1.63,1.63,757500
2016-07-08,1.65,1.71,1.62,1.7,1.7,591600
2016-07-11,1.73,1.79,1.68,1.7,1.7,417800
2016-07-12,1.7,1.71,1.64,1.7,1.7,433700
2016-07-13,1.7,1.7,1.6,1.6,1.6,308700
2016-07-14,1.62,1.62,1.57,1.6,1.6,322300
2016-07-15,1.64,1.7,1.6,1.68,1.68,317700
2016-07-18,1.7,1.72,1.67,1.69,1.69,166300
2016-07-19,1.7,1.7,1.58,1.59,1.59,348000
2016-07-20,1.59,1.64,1.58,1.59,1.59,264200
2016-07-21,1.59,1.66,1.56,1.57,1.57,208400
2016-07-22,1.59,1.62,1.57,1.59,1.59,144700
2016-07-25,1.6,1.61,1.56,1.59,1.59,424600
2016-07-26,1.59,1.75,1.57,1.68,1.68,900600
2016-07-27,1.7,1.81,1.68,1.76,1.76,665200
2016-07-28,1.76,1.83,1.72,1.74,1.74,302200
2016-07-29,1.73,1.77,1.68,1.68,1.68,393500
2016-08-01,1.7,1.75,1.67,1.74,1.74,219400
2016-08-02,1.75,1.76,1.7,1.72,1.72,177900
2016-08-03,1.72,1.79,1.72,1.79,1.79,315500
2016-08-04,1.79,1.79,1.64,1.66,1.66,345600
2016-08-05,1.66,1.77,1.65,1.76,1.76,344000
2016-08-08,1.73,1.79,1.7,1.77,1.77,170700
2016-08-09,1.74,1.81,1.74,1.81,1.81,209800
2016-08-10,1.8,1.81,1.71,1.71,1.71,231000
2016-08-11,1.71,1.75,1.65,1.74,1.74,170100
2016-08-12,1.74,1.75,1.69,1.73,1.73,123800
2016-08-15,1.72,1.8,1.71,1.78,1.78,173000
2016-08-16,1.75,1.78,1.71,1.73,1.73,147700
2016-08-17,1.73,1.75,1.68,1.69,1.69,159300
2016-08-18,1.68,1.74,1.68,1.73,1.73,128800
2016-08-19,1.73,1.75,1.7,1.73,1.73,196900
2016-08-22,1.72,1.76,1.71,1.74,1.74,230200
2016-08-23,1.76,1.82,1.74,1.79,1.79,293700
2016-08-24,1.8,1.92,1.63,1.67,1.67,670500
2016-08-25,1.67,1.77,1.65,1.7,1.7,325700
2016-08-26,1.71,1.75,1.67,1.69,1.69,168200
2016-08-29,1.67,1.75,1.66,1.72,1.72,186600
2016-08-30,1.75,1.77,1.73,1.75,1.75,259100
2016-08-31,1.75,1.78,1.72,1.76,1.76,345900
2016-09-01,1.75,1.75,1.7,1.71,1.71,148400
2016-09-02,1.74,1.74,1.7,1.73,1.73,96400
2016-09-06,1.71,1.76,1.7,1.76,1.76,146800
2016-09-07,1.97,1.97,1.84,1.84,1.84,612100
2016-09-08,1.85,1.93,1.84,1.9,1.9,516000
2016-09-09,1.9,1.98,1.84,1.85,1.85,1342600
2016-09-12,1.81,1.93,1.8,1.92,1.92,471100
2016-09-13,1.89,1.91,1.81,1.84,1.84,310400
2016-09-14,1.86,1.9,1.81,1.81,1.81,269300
2016-09-15,1.82,1.89,1.81,1.89,1.89,325400
2016-09-16,1.91,2.03,1.85,2.02,2.02,1045700
2016-09-19,2.04,2.15,2.0,2.11,2.11,1493900
2016-09-20,2.13,2.45,2.13,2.37,2.37,1543800
2016-09-21,2.37,2.4,2.18,2.36,2.36,1068500
2016-09-22,2.36,2.54,2.29,2.53,2.53,1345400
2016-09-23,2.53,2.53,2.39,2.48,2.48,2262500
2016-09-26,2.42,2.48,2.39,2.43,2.43,406200
2016-09-27,2.43,2.51,2.36,2.5,2.5,703400
2016-09-28,2.48,2.53,2.42,2.5,2.5,573600
2016-09-29,2.45,2.5,2.41,2.47,2.47,931300
2016-09-30,2.46,2.64,2.45,2.61,2.61,1293900
2016-10-03,2.64,2.72,2.61,2.67,2.67,758600
2016-10-04,2.66,2.75,2.65,2.74,2.74,804600
2016-10-05,2.72,3.06,2.65,3.0,3.0,1694900
