Date,Open,High,Low,Close,Adj Close,Volume
2016-10-19,15.0,16.32,14.01,14.09,14.09,1884300
2016-10-20,14.06,14.23,13.85,13.94,13.94,355600
2016-10-21,14.0,14.179,13.75,13.82,13.82,113900
2016-10-24,14.05,14.148,13.9,14.01,14.01,100700
2016-10-25,14.15,14.5,14.01,14.41,14.41,85100
2016-10-26,14.99,14.99,14.38,14.8,14.8,117800
2016-10-27,15.47,17.49,14.966,15.82,15.82,228600
2016-10-28,16.4,17.0,16.375,16.74,16.74,119700
2016-10-31,17.5,18.879998999999998,17.07,18.25,18.25,256400
2016-11-01,18.68,18.74,17.75,17.950001,17.950001,119900
2016-11-02,18.74,18.740999,15.06,15.355,15.355,148700
2016-11-03,15.4,15.916,15.02,15.32,15.32,143100
2016-11-04,15.5,15.5,15.0,15.2,15.2,54900
2016-11-07,16.27,16.27,15.05,15.21,15.21,46000
2016-11-08,15.2,16.107,15.2,15.89,15.89,97800
2016-11-09,15.89,16.9,15.89,16.27,16.27,73900
2016-11-10,16.76,18.190001000000002,16.5,16.84,16.84,37900
2016-11-11,18.33,18.33,17.065001000000002,17.5,17.5,89300
2016-11-14,18.17,18.200001,17.1,17.6,17.6,74500
2016-11-15,17.74,18.58,17.079,18.15,18.15,100800
2016-11-16,18.75,21.610001,18.525,21.58,21.58,192400
2016-11-17,21.75,23.969998999999998,20.9,21.799999,21.799999,185700
2016-11-18,21.780001000000002,23.302999,20.0,20.5,20.5,71000
2016-11-21,20.540001,21.49,20.531,20.799999,20.799999,84800
2016-11-22,21.129998999999998,21.49,20.0,20.07,20.07,47100
2016-11-23,20.1,20.433001,18.063999,19.34,19.34,72400
2016-11-25,19.959999,20.5,19.959999,20.4,20.4,14100
2016-11-28,21.43,21.98,20.549999,20.559998999999998,20.559998999999998,59800
2016-11-29,21.200001,23.25,20.559998999999998,23.07,23.07,62100
2016-11-30,23.0,23.25,21.115,21.82,21.82,108800
2016-12-01,21.67,21.700001,19.98,19.98,19.98,115200
2016-12-02,20.5,21.003,19.0,19.030001000000002,19.030001000000002,70400
2016-12-05,19.1,21.017,19.1,20.940001000000002,20.940001000000002,46100
2016-12-06,21.68,22.379998999999998,20.332001,22.23,22.23,61400
2016-12-07,21.799999,22.0,20.540001,20.889999,20.889999,85000
2016-12-08,20.9,21.540001,20.27,21.1,21.1,60200
2016-12-09,21.290001,21.966998999999998,20.1,20.77,20.77,37800
2016-12-12,21.01,21.499001,20.08,20.360001,20.360001,34400
2016-12-13,20.0,21.129998999999998,19.15,19.6,19.6,105700
2016-12-14,19.120001000000002,19.878,18.629998999999998,19.110001,19.110001,62600
2016-12-15,19.200001,19.799999,18.76,19.18,19.18,36400
2016-12-16,20.280001000000002,20.280001000000002,19.047001,19.52,19.52,41500
2016-12-19,19.85,21.0,19.698999,20.549999,20.549999,58000
