Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,20.34,20.940001000000002,19.15,20.459999,20.459999,110400
2016-01-05,20.48,20.559998999999998,19.07,19.43,19.43,73400
2016-01-06,19.030001000000002,19.67,16.799999,16.969998999999998,16.969998999999998,82800
2016-01-07,16.799999,17.635,15.27,15.52,15.52,99400
2016-01-08,15.69,16.0,13.69,14.21,14.21,90700
2016-01-11,14.17,15.1,13.71,14.32,14.32,93900
2016-01-12,14.72,15.69,14.35,15.5,15.5,74100
2016-01-13,15.53,17.200001,14.21,14.36,14.36,113900
2016-01-14,14.54,15.2,13.38,14.05,14.05,45300
2016-01-15,13.59,14.45,12.81,13.25,13.25,24900
2016-01-19,13.5,15.39,12.25,12.61,12.61,47100
2016-01-20,12.13,15.445,12.13,14.84,14.84,116100
2016-01-21,14.59,15.58,14.39,14.46,14.46,79400
2016-01-22,14.97,15.41,13.11,14.0,14.0,38200
2016-01-25,13.98,14.99,13.838,14.65,14.65,144000
2016-01-26,14.9,16.65,14.54,16.23,16.23,69600
2016-01-27,16.16,16.879998999999998,14.43,15.1,15.1,112000
2016-01-28,15.12,15.67,14.26,15.18,15.18,45600
2016-01-29,15.22,16.01,14.505,15.71,15.71,84500
2016-02-01,15.4,16.450001,14.61,15.86,15.86,61000
2016-02-02,15.64,16.0,14.506,16.0,16.0,86900
2016-02-03,16.08,16.93,15.315,15.68,15.68,81000
2016-02-04,15.59,16.700001,15.19,15.45,15.45,23300
2016-02-05,15.28,16.42,14.28,14.72,14.72,47800
2016-02-08,14.55,15.965,12.89,13.45,13.45,39200
2016-02-09,13.21,13.58,12.565,13.4,13.4,68200
2016-02-10,13.35,13.98,12.86,13.03,13.03,20500
2016-02-11,12.71,13.0,11.95,11.98,11.98,62100
2016-02-12,12.02,12.965,11.48,12.05,12.05,83400
2016-02-16,12.19,15.005,11.78,12.5,12.5,87300
2016-02-17,12.64,13.24,11.48,12.72,12.72,143400
2016-02-18,12.68,13.03,12.16,12.73,12.73,35900
2016-02-19,12.69,12.989,11.91,12.91,12.91,27900
2016-02-22,13.02,13.83,12.67,13.17,13.17,31400
2016-02-23,13.21,13.4,12.56,12.69,12.69,50700
2016-02-24,12.5,12.93,12.21,12.75,12.75,28400
2016-02-25,13.28,13.35,12.49,13.35,13.35,14800
2016-02-26,13.498,16.0,13.29,14.44,14.44,88000
2016-02-29,14.43,14.7,12.77,12.9,12.9,84700
2016-03-01,13.01,14.236,12.76,14.06,14.06,89900
2016-03-02,13.72,14.29,13.43,14.27,14.27,88700
2016-03-03,13.91,14.24,13.26,13.75,13.75,116400
2016-03-04,13.91,14.18,13.281,13.66,13.66,120300
2016-03-07,13.28,13.86,12.9,13.22,13.22,66900
2016-03-08,13.407,13.407,12.69,12.82,12.82,69700
2016-03-09,13.09,13.18,12.51,12.67,12.67,27900
2016-03-10,12.89,13.2,12.23,12.49,12.49,35100
2016-03-11,13.01,14.05,12.3,13.17,13.17,63400
2016-03-14,12.93,13.62,12.68,12.84,12.84,53600
