Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.22,10.34,9.85,10.0,10.0,403000
2016-01-05,10.09,10.71,9.95,10.6,10.6,540300
2016-01-06,10.44,10.44,9.86,9.94,9.94,375200
2016-01-07,9.77,10.1,9.55,9.82,9.82,445900
2016-01-08,9.85,10.06,9.41,9.47,9.47,351900
2016-01-11,9.57,9.57,8.71,8.96,8.96,480100
2016-01-12,8.99,9.66,8.99,9.63,9.63,710800
2016-01-13,9.65,9.74,8.73,8.82,8.82,557800
2016-01-14,8.92,9.0,8.29,8.79,8.79,515800
2016-01-15,8.54,8.75,8.26,8.72,8.72,409900
2016-01-19,8.85,9.0,7.88,8.16,8.16,536000
2016-01-20,7.97,8.14,7.32,8.08,8.08,832500
2016-01-21,8.1,8.32,7.79,8.06,8.06,384500
2016-01-22,8.15,8.28,7.83,7.98,7.98,300100
2016-01-25,7.94,8.22,7.8,8.11,8.11,301900
2016-01-26,8.13,8.18,7.71,8.01,8.01,287900
2016-01-27,7.98,8.1,7.72,7.8,7.8,261300
2016-01-28,7.85,7.85,7.28,7.3,7.3,338400
2016-01-29,7.29,7.7,7.22,7.7,7.7,398000
2016-02-01,7.61,7.72,7.42,7.56,7.56,347700
2016-02-02,7.46,7.59,7.31,7.49,7.49,369000
2016-02-03,7.53,7.59,6.89,7.22,7.22,609300
2016-02-04,7.17,7.49,7.05,7.24,7.24,345500
2016-02-05,7.19,7.38,6.9,6.91,6.91,440200
2016-02-08,6.86,6.94,6.37,6.48,6.48,528400
2016-02-09,6.38,6.79,6.29,6.59,6.59,447800
2016-02-10,6.62,7.04,6.47,7.0,7.0,588700
2016-02-11,6.85,7.0,6.59,6.85,6.85,285700
2016-02-12,6.92,7.03,6.66,7.02,7.02,359100
2016-02-16,7.12,7.21,6.83,7.06,7.06,387900
2016-02-17,7.21,7.21,6.54,6.79,6.79,770100
2016-02-18,6.82,6.99,6.41,6.51,6.51,611800
2016-02-19,6.47,6.85,6.39,6.77,6.77,288000
2016-02-22,6.84,7.0,6.72,6.74,6.74,383600
2016-02-23,6.71,6.82,6.54,6.67,6.67,499400
2016-02-24,6.58,6.76,6.49,6.66,6.66,410000
2016-02-25,6.66,6.72,6.39,6.61,6.61,316600
2016-02-26,6.65,6.87,6.55,6.85,6.85,466700
2016-02-29,6.81,7.01,6.25,6.3,6.3,571700
2016-03-01,6.32,6.61,6.13,6.39,6.39,476800
2016-03-02,6.35,6.62,6.17,6.55,6.55,265700
2016-03-03,6.58,6.86,6.39,6.5,6.5,364000
2016-03-04,6.52,6.55,6.12,6.27,6.27,620400
2016-03-07,6.23,6.68,6.15,6.58,6.58,255100
2016-03-08,6.56,6.78,6.29,6.4,6.4,387500
2016-03-09,6.4,6.61,6.05,6.32,6.32,304900
2016-03-10,6.36,6.47,6.06,6.24,6.24,374100
2016-03-11,6.32,6.38,6.08,6.36,6.36,239800
2016-03-14,6.33,6.53,6.3,6.36,6.36,265700
2016-03-15,6.3,6.31,6.06,6.25,6.25,439400
2016-03-16,6.19,6.32,6.04,6.17,6.17,355200
2016-03-17,6.17,6.28,6.07,6.19,6.19,404300
2016-03-18,6.1,6.5,6.0,6.21,6.21,1165300
2016-03-21,6.19,6.67,6.14,6.54,6.54,347900
2016-03-22,6.54,6.83,6.42,6.71,6.71,286600
2016-03-23,6.68,6.83,6.27,6.53,6.53,396800
2016-03-24,6.47,6.69,6.36,6.66,6.66,244500
2016-03-28,6.65,6.71,6.31,6.52,6.52,286600
2016-03-29,6.53,6.97,6.37,6.83,6.83,304500
2016-03-30,6.8,7.0,6.54,6.73,6.73,316200
2016-03-31,6.79,7.23,6.71,7.05,7.05,587500
2016-04-01,6.99,7.24,6.92,7.19,7.19,169100
2016-04-04,7.29,7.76,7.29,7.53,7.53,332300
2016-04-05,7.52,7.59,7.16,7.18,7.18,258300
2016-04-06,7.14,7.87,7.13,7.71,7.71,286700
2016-04-07,7.7,7.91,7.5,7.8,7.8,239900
2016-04-08,7.93,7.93,7.64,7.71,7.71,207100
2016-04-11,7.7,7.8,7.62,7.76,7.76,230300
2016-04-12,7.89,7.89,7.64,7.79,7.79,196500
2016-04-13,7.84,8.01,7.71,7.96,7.96,175800
2016-04-14,7.97,8.13,7.86,7.97,7.97,131300
2016-04-15,7.91,8.07,7.84,8.0,8.0,175200
2016-04-18,7.96,8.3,7.86,8.21,8.21,237100
2016-04-19,8.23,8.26,8.1,8.17,8.17,214600
2016-04-20,8.17,8.45,8.0,8.39,8.39,308300
2016-04-21,8.35,8.47,8.21,8.36,8.36,255200
2016-04-22,8.34,8.58,8.28,8.53,8.53,293200
2016-04-25,8.49,8.64,8.38,8.44,8.44,133400
2016-04-26,8.44,8.44,8.02,8.1,8.1,259700
