Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.94,3.99,3.87,3.92,3.92,222200
2016-01-05,3.95,3.99,3.89,3.91,3.91,127900
2016-01-06,3.93,3.93,3.7,3.73,3.73,380000
2016-01-07,3.65,3.72,3.51,3.57,3.57,345200
2016-01-08,3.58,3.65,3.47,3.51,3.51,296800
2016-01-11,3.55,3.56,3.28,3.32,3.32,310900
2016-01-12,3.4,3.49,3.26,3.37,3.37,270800
2016-01-13,3.37,3.45,2.95,2.97,2.97,527700
2016-01-14,2.91,3.06,2.91,2.95,2.95,527900
2016-01-15,2.88,2.93,2.65,2.93,2.93,329800
2016-01-19,2.81,3.0,2.77,2.82,2.82,221700
2016-01-20,2.78,2.99,2.68,2.93,2.93,278000
2016-01-21,3.31,3.5,3.15,3.42,3.42,719200
2016-01-22,3.5,3.58,3.42,3.58,3.58,319100
2016-01-25,3.58,3.64,3.45,3.47,3.47,251200
2016-01-26,3.5,3.55,3.33,3.52,3.52,219800
2016-01-27,3.52,3.52,3.27,3.28,3.28,268900
2016-01-28,3.3,3.37,3.21,3.34,3.34,152700
2016-01-29,3.38,3.5,3.23,3.35,3.35,191900
2016-02-01,3.34,3.38,3.15,3.3,3.3,109500
2016-02-02,3.27,3.29,3.15,3.22,3.22,148900
2016-02-03,3.24,3.24,2.98,3.07,3.07,219500
2016-02-04,3.07,3.28,3.07,3.18,3.18,118900
2016-02-05,3.18,3.18,3.01,3.02,3.02,164200
2016-02-08,2.98,3.0,2.76,2.82,2.82,391000
2016-02-09,2.79,2.98,2.72,2.92,2.92,199400
2016-02-10,2.93,3.12,2.85,2.89,2.89,206700
2016-02-11,2.82,2.95,2.78,2.92,2.92,159200
2016-02-12,2.97,3.1,2.81,3.1,3.1,199000
2016-02-16,3.13,3.2,3.08,3.14,3.14,231600
2016-02-17,3.17,3.29,3.12,3.28,3.28,130700
2016-02-18,3.24,3.35,2.99,3.03,3.03,697000
2016-02-19,3.03,3.29,2.97,3.23,3.23,233700
2016-02-22,3.3,3.36,3.16,3.2,3.2,166000
2016-02-23,3.17,3.28,3.06,3.08,3.08,176000
2016-02-24,3.06,3.15,2.96,3.12,3.12,90400
2016-02-25,3.1,3.2,3.01,3.09,3.09,91000
2016-02-26,3.08,3.15,3.02,3.05,3.05,237900
2016-02-29,3.08,3.16,3.01,3.01,3.01,119300
2016-03-01,3.05,3.11,2.98,3.09,3.09,170200
2016-03-02,3.08,3.3,3.04,3.27,3.27,260700
2016-03-03,3.24,3.3,3.11,3.29,3.29,264300
2016-03-04,3.31,3.58,3.23,3.38,3.38,265300
2016-03-07,3.39,3.8,3.39,3.78,3.78,250700
2016-03-08,3.77,3.77,3.5,3.53,3.53,234100
2016-03-09,3.57,3.59,3.41,3.56,3.56,98400
2016-03-10,3.57,3.66,3.41,3.43,3.43,99600
2016-03-11,3.47,3.6,3.35,3.55,3.55,117600
2016-03-14,3.52,3.66,3.48,3.59,3.59,107900
2016-03-15,3.52,3.57,3.33,3.35,3.35,187300
2016-03-16,3.33,3.46,3.26,3.32,3.32,93500
2016-03-17,3.31,3.48,3.09,3.2,3.2,228100
2016-03-18,3.22,3.33,3.17,3.29,3.29,284800
2016-03-21,3.29,3.41,3.28,3.37,3.37,139800
2016-03-22,3.36,3.5,3.27,3.45,3.45,116400
2016-03-23,3.41,3.5,3.1,3.13,3.13,176800
2016-03-24,3.14,3.29,3.03,3.19,3.19,71000
2016-03-28,3.19,3.19,3.07,3.13,3.13,124500
2016-03-29,3.08,3.3,3.06,3.3,3.3,225900
2016-03-30,3.34,3.41,3.26,3.3,3.3,154700
2016-03-31,3.3,3.36,3.09,3.1,3.1,496700
2016-04-01,3.1,3.34,3.1,3.27,3.27,179700
2016-04-04,3.24,3.39,3.21,3.36,3.36,139100
2016-04-05,3.32,3.34,3.2,3.21,3.21,124800
2016-04-06,3.22,3.48,3.22,3.47,3.47,247500
2016-04-07,3.47,3.48,3.32,3.38,3.38,148800
2016-04-08,3.43,3.46,3.3,3.36,3.36,143900
2016-04-11,3.37,3.48,3.37,3.39,3.39,66400
2016-04-12,3.42,3.63,3.35,3.53,3.53,177500
2016-04-13,3.57,3.95,3.46,3.83,3.83,449800
2016-04-14,3.86,3.98,3.69,3.88,3.88,219000
2016-04-15,3.87,3.97,3.85,3.96,3.96,101800
2016-04-18,3.98,3.99,3.86,3.92,3.92,96300
2016-04-19,3.9,3.98,3.77,3.87,3.87,177700
2016-04-20,3.94,4.14,3.82,4.05,4.05,137900
2016-04-21,4.09,4.33,3.96,4.1,4.1,352500
2016-04-22,4.07,4.18,4.04,4.12,4.12,136100
2016-04-25,4.12,4.17,4.01,4.14,4.14,92100
2016-04-26,4.11,4.14,4.0,4.11,4.11,93700
2016-04-27,4.08,4.19,4.02,4.08,4.08,95800
2016-04-28,4.03,4.19,4.01,4.07,4.07,84900
2016-04-29,4.05,4.15,3.8,3.9,3.9,590900
2016-05-02,3.89,3.95,3.75,3.9,3.9,150500
2016-05-03,3.84,3.9,3.74,3.77,3.77,143100
2016-05-04,3.61,3.69,3.43,3.5,3.5,253600
2016-05-05,3.49,3.49,3.33,3.35,3.35,190100
2016-05-06,3.34,3.43,3.28,3.3,3.3,317400
2016-05-09,3.3,3.7,3.3,3.47,3.47,274800
2016-05-10,3.53,3.64,3.45,3.51,3.51,119400
2016-05-11,3.51,3.6,3.36,3.37,3.37,128600
2016-05-12,3.4,3.49,3.25,3.3,3.3,175200
2016-05-13,3.36,3.44,3.34,3.42,3.42,151900
2016-05-16,3.44,3.53,3.39,3.48,3.48,79500
2016-05-17,3.52,3.52,3.36,3.48,3.48,187200
