Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.66,16.01,15.07,15.28,15.28,238500
2016-01-05,15.38,15.95,14.86,15.12,15.12,311900
2016-01-06,13.36,13.54,10.86,11.54,11.54,3276900
2016-01-07,9.5,11.51,9.32,11.07,11.07,7859200
2016-01-08,11.07,11.49,10.52,10.71,10.71,1030200
2016-01-11,10.87,11.03,9.76,10.2,10.2,766500
2016-01-12,10.35,10.81,9.72,10.27,10.27,715100
2016-01-13,10.79,11.0,9.63,9.82,9.82,826000
2016-01-14,9.89,10.91,9.43,10.55,10.55,672600
2016-01-15,10.19,10.29,9.53,9.93,9.93,1091900
2016-01-19,10.17,10.24,8.95,9.57,9.57,772200
2016-01-20,9.38,10.54,8.96,10.18,10.18,474400
2016-01-21,10.1,10.9,9.87,10.29,10.29,516400
2016-01-22,10.62,10.62,10.12,10.4,10.4,447300
2016-01-25,10.32,10.88,10.02,10.3,10.3,434500
2016-01-26,10.42,10.42,9.37,9.99,9.99,348700
2016-01-27,9.99,10.19,8.93,9.17,9.17,601300
2016-01-28,9.36,9.42,8.9,9.02,9.02,637400
2016-01-29,9.02,9.25,8.27,9.09,9.09,2461800
2016-02-01,9.13,9.42,8.91,9.17,9.17,372600
2016-02-02,9.0,9.32,8.5,8.93,8.93,526000
2016-02-03,8.99,9.04,8.3,8.85,8.85,446100
2016-02-04,8.76,10.28,8.76,9.59,9.59,455500
2016-02-05,9.47,9.77,9.19,9.35,9.35,557200
2016-02-08,9.49,9.81,8.91,8.98,8.98,599200
2016-02-09,8.81,9.56,8.75,9.29,9.29,365100
2016-02-10,9.32,10.0,8.79,9.3,9.3,443500
2016-02-11,9.04,9.24,8.67,8.9,8.9,562000
2016-02-12,9.09,9.59,8.61,9.54,9.54,330800
2016-02-16,9.7,10.09,9.48,10.08,10.08,366600
2016-02-17,10.19,10.43,9.85,10.22,10.22,388500
2016-02-18,10.3,10.31,9.21,9.26,9.26,372200
2016-02-19,9.2,9.49,8.82,9.49,9.49,323400
2016-02-22,9.61,9.85,9.37,9.55,9.55,254300
2016-02-23,9.45,9.65,8.88,8.89,8.89,327300
2016-02-24,8.75,9.26,8.48,9.22,9.22,288000
2016-02-25,9.2,9.57,8.82,8.95,8.95,245700
2016-02-26,9.03,9.46,8.9,9.21,9.21,283700
2016-02-29,9.18,9.56,8.71,8.79,8.79,403900
2016-03-01,8.88,9.17,8.64,9.17,9.17,309700
2016-03-02,9.09,9.62,8.8,9.52,9.52,430000
2016-03-03,9.49,10.28,9.16,9.64,9.64,278900
2016-03-04,9.7,10.23,9.45,9.6,9.6,286800
2016-03-07,9.55,10.48,9.34,10.26,10.26,362700
2016-03-08,10.3,10.3,9.33,9.39,9.39,409200
2016-03-09,9.54,9.76,8.5,9.51,9.51,674200
2016-03-10,9.43,10.15,9.35,9.92,9.92,568300
2016-03-11,10.03,10.35,9.67,10.31,10.31,352100
2016-03-14,10.95,11.9,10.75,11.09,11.09,681000
2016-03-15,10.92,10.92,9.9,10.21,10.21,349700
2016-03-16,10.2,10.46,9.66,9.86,9.86,200300
2016-03-17,9.89,10.24,9.3,10.02,10.02,359700
2016-03-18,10.09,11.0,9.99,10.96,10.96,651400
2016-03-21,10.91,11.39,10.81,11.08,11.08,367100
2016-03-22,11.04,11.89,10.77,11.67,11.67,380400
2016-03-23,11.54,11.85,10.5,10.51,10.51,235200
2016-03-24,10.41,10.83,9.88,10.72,10.72,266800
2016-03-28,10.82,10.85,10.18,10.49,10.49,142700
2016-03-29,10.43,11.38,10.01,11.32,11.32,374700
2016-03-30,11.44,12.35,11.32,11.51,11.51,363400
2016-03-31,11.62,12.94,11.62,12.12,12.12,596500
2016-04-01,12.01,12.52,11.69,11.89,11.89,363200
2016-04-04,11.91,12.66,11.8,12.33,12.33,432500
2016-04-05,12.4,13.41,12.11,12.34,12.34,596500
2016-04-06,12.49,13.37,12.42,13.2,13.2,570200
2016-04-07,13.05,13.46,12.44,12.71,12.71,352600
2016-04-08,12.97,13.08,12.24,12.4,12.4,306800
2016-04-11,12.48,12.81,11.85,12.15,12.15,272500
2016-04-12,12.12,12.4,11.79,12.35,12.35,268600
2016-04-13,12.46,13.0,12.39,12.85,12.85,256700
2016-04-14,12.94,13.13,12.6,12.7,12.7,252300
2016-04-15,12.63,13.0,12.52,12.88,12.88,178400
2016-04-18,12.6,12.92,12.39,12.71,12.71,267700
2016-04-19,12.71,12.72,11.85,12.12,12.12,243200
2016-04-20,12.18,12.62,11.93,12.11,12.11,195800
2016-04-21,12.04,12.58,11.99,12.38,12.38,248100
2016-04-22,12.48,12.6,12.05,12.59,12.59,270000
2016-04-25,12.62,12.75,12.1,12.12,12.12,174300
2016-04-26,12.23,12.24,10.97,11.03,11.03,317300
2016-04-27,11.0,11.33,10.3,11.16,11.16,397600
2016-04-28,11.05,11.58,10.82,11.06,11.06,220900
2016-04-29,11.0,11.35,10.32,10.42,10.42,309300
2016-05-02,10.51,10.9,10.28,10.67,10.67,422300
2016-05-03,10.52,10.68,9.86,9.88,9.88,419900
2016-05-04,9.65,9.68,9.09,9.5,9.5,578300
2016-05-05,9.6,10.14,8.84,9.07,9.07,387300
2016-05-06,8.96,9.44,8.96,9.33,9.33,234600
2016-05-09,9.04,10.3,8.84,10.16,10.16,385000
2016-05-10,10.27,10.28,9.48,9.68,9.68,317100
2016-05-11,9.66,9.88,9.23,9.25,9.25,212600
2016-05-12,9.34,9.76,8.77,8.96,8.96,250100
2016-05-13,8.97,9.19,8.81,9.0,9.0,206000
2016-05-16,9.07,9.72,9.07,9.58,9.58,240000
2016-05-17,9.46,9.88,9.3,9.47,9.47,351300
2016-05-18,9.36,9.97,9.36,9.82,9.82,195800
2016-05-19,9.74,10.0,9.18,9.33,9.33,236400
2016-05-20,9.39,10.04,9.35,9.94,9.94,204300
2016-05-23,9.95,10.41,9.95,10.25,10.25,195500
2016-05-24,10.35,10.77,10.27,10.69,10.69,252100
2016-05-25,10.77,11.19,10.52,10.8,10.8,265900
2016-05-26,10.82,10.82,10.48,10.55,10.55,123200
2016-05-27,10.62,10.88,10.38,10.86,10.86,143600
2016-05-31,10.99,11.38,10.65,11.06,11.06,379100
2016-06-01,11.0,11.9,10.82,11.82,11.82,829000
2016-06-02,11.81,13.02,11.81,12.88,12.88,475800
2016-06-03,12.75,12.96,12.12,12.16,12.16,533000
2016-06-06,12.26,13.0,11.9,12.9,12.9,449100
2016-06-07,12.74,13.46,12.34,12.58,12.58,455700
2016-06-08,12.65,13.11,12.43,12.99,12.99,210300
2016-06-09,12.82,12.95,12.2,12.26,12.26,208100
2016-06-10,12.02,12.26,11.64,11.87,11.87,408000
2016-06-13,11.72,11.9,11.39,11.5,11.5,304500
2016-06-14,11.47,11.89,10.94,11.36,11.36,388400
2016-06-15,11.51,12.19,11.3,11.85,11.85,340800
2016-06-16,11.85,12.03,11.54,11.79,11.79,446600
2016-06-17,11.85,12.07,11.4,11.44,11.44,899100
2016-06-20,10.97,11.58,10.34,10.96,10.96,946600
2016-06-21,10.99,11.19,10.64,10.92,10.92,645400
2016-06-22,10.94,11.25,10.53,10.72,10.72,635200
2016-06-23,10.91,10.96,10.19,10.44,10.44,567800
2016-06-24,10.0,10.28,9.62,9.85,9.85,1091400
2016-06-27,9.75,9.91,9.04,9.2,9.2,525100
2016-06-28,9.4,10.25,9.22,10.09,10.09,371200
2016-06-29,10.33,10.68,9.93,10.44,10.44,370200
2016-06-30,10.45,10.79,10.08,10.24,10.24,379000
2016-07-01,10.23,10.57,10.2,10.33,10.33,308600
2016-07-05,10.21,10.29,9.85,10.01,10.01,197500
2016-07-06,9.96,10.46,9.87,10.18,10.18,268600
2016-07-07,10.25,10.37,9.76,9.92,9.92,322500
2016-07-08,9.92,10.38,9.66,10.31,10.31,414000
2016-07-11,10.4,10.49,10.14,10.35,10.35,206900
