Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.959999,19.16,17.51,18.200001,18.200001,128400
2016-01-05,18.41,19.42,18.18,18.780001000000002,18.780001000000002,133800
2016-01-06,18.43,18.5,16.83,16.969998999999998,16.969998999999998,105500
2016-01-07,16.52,16.559998999999998,15.57,15.69,15.69,138800
2016-01-08,15.85,16.26,14.95,15.41,15.41,126500
2016-01-11,15.54,16.66,15.03,15.56,15.56,235000
2016-01-12,15.67,16.360001,15.04,15.67,15.67,98000
2016-01-13,15.92,16.16,15.19,15.32,15.32,121600
2016-01-14,15.38,16.01,14.53,15.81,15.81,135000
2016-01-15,15.29,15.66,15.0,15.61,15.61,102300
2016-01-19,15.88,15.88,14.7,14.98,14.98,211200
2016-01-20,14.67,16.219998999999998,14.38,15.86,15.86,118300
2016-01-21,15.85,16.549999,15.0,15.76,15.76,79000
2016-01-22,16.1,16.1,14.82,15.7,15.7,83100
2016-01-25,15.61,17.440001000000002,15.33,15.57,15.57,64000
2016-01-26,15.61,15.87,14.61,15.56,15.56,72000
2016-01-27,15.56,15.56,14.96,15.11,15.11,172900
2016-01-28,15.25,15.44,14.4,14.96,14.96,94700
2016-01-29,14.96,15.58,14.75,15.48,15.48,58800
2016-02-01,15.36,16.43,15.18,15.98,15.98,139600
2016-02-02,15.77,15.89,14.75,14.87,14.87,70500
2016-02-03,15.0,15.0,13.99,14.03,14.03,228700
2016-02-04,14.03,14.88,13.97,14.13,14.13,97500
2016-02-05,14.08,14.3,13.15,13.2,13.2,93100
2016-02-08,13.03,13.03,11.22,11.31,11.31,333800
2016-02-09,11.06,11.7,10.87,11.24,11.24,212900
2016-02-10,11.25,12.24,11.14,11.41,11.41,257100
2016-02-11,11.13,11.75,11.01,11.25,11.25,326900
2016-02-12,11.53,11.53,10.46,10.6,10.6,331700
2016-02-16,10.78,11.19,10.54,10.9,10.9,716200
2016-02-17,13.0,13.48,11.7,13.0,13.0,4612900
2016-02-18,12.77,13.07,11.88,11.91,11.91,708500
2016-02-19,11.8,11.8,10.52,10.91,10.91,756800
2016-02-22,10.93,11.05,10.65,10.9,10.9,349400
2016-02-23,10.9,11.24,10.19,10.42,10.42,668200
2016-02-24,10.15,10.55,9.57,9.86,9.86,632000
2016-02-25,9.88,10.1,9.55,9.81,9.81,207100
2016-02-26,9.96,10.02,9.54,9.75,9.75,186200
2016-02-29,9.84,9.94,9.39,9.46,9.46,272700
2016-03-01,9.49,9.66,9.25,9.46,9.46,308000
2016-03-02,9.47,10.11,9.28,10.02,10.02,343500
2016-03-03,10.0,10.45,9.97,10.08,10.08,345000
2016-03-04,10.13,10.2,9.71,9.74,9.74,206000
2016-03-07,9.72,11.0,9.65,10.81,10.81,398700
2016-03-08,10.8,11.04,9.97,10.04,10.04,239100
2016-03-09,10.15,10.3,9.66,10.08,10.08,194700
2016-03-10,10.15,10.35,9.66,9.71,9.71,268000
2016-03-11,9.67,9.76,8.23,8.97,8.97,581300
2016-03-14,8.92,9.82,8.92,9.72,9.72,166500
2016-03-15,9.56,9.6,8.4,8.44,8.44,228700
2016-03-16,8.44,8.49,8.19,8.28,8.28,190300
2016-03-17,8.3,8.71,7.56,8.12,8.12,274800
2016-03-18,8.18,8.65,7.68,8.47,8.47,409900
2016-03-21,8.44,8.9,8.28,8.59,8.59,128000
2016-03-22,8.58,9.39,8.48,9.03,9.03,223900
2016-03-23,8.96,9.23,8.42,8.65,8.65,334000
2016-03-24,8.54,9.05,8.31,8.81,8.81,248900
2016-03-28,8.87,8.92,8.17,8.55,8.55,271100
2016-03-29,8.49,9.1,8.15,9.01,9.01,153100
2016-03-30,9.09,9.56,8.66,9.0,9.0,143400
2016-03-31,9.0,9.47,8.91,9.2,9.2,115300
2016-04-01,9.12,9.49,8.93,9.42,9.42,69000
2016-04-04,9.65,11.21,9.58,10.95,10.95,582200
2016-04-05,10.98,11.55,10.51,11.0,11.0,384800
2016-04-06,11.01,12.9,11.01,12.3,12.3,397100
2016-04-07,12.19,12.78,11.73,12.24,12.24,375600
2016-04-08,12.45,12.45,11.51,11.76,11.76,146800
2016-04-11,11.87,12.2,11.63,11.79,11.79,276400
2016-04-12,11.78,12.03,11.49,11.86,11.86,201900
2016-04-13,11.99,12.4,11.87,12.31,12.31,210500
2016-04-14,12.35,12.75,12.12,12.65,12.65,93500
2016-04-15,12.56,12.97,12.49,12.85,12.85,127700
2016-04-18,12.8,13.48,12.64,13.39,13.39,191800
2016-04-19,13.36,13.36,12.5,12.56,12.56,144900
2016-04-20,12.6,12.86,12.37,12.41,12.41,106800
2016-04-21,12.4,13.64,12.3,13.12,13.12,161100
2016-04-22,13.14,13.24,12.68,12.76,12.76,110000
2016-04-25,12.82,12.82,12.48,12.58,12.58,126100
2016-04-26,12.6,12.67,11.83,12.15,12.15,120900
2016-04-27,12.11,12.19,10.54,10.61,10.61,316300
2016-04-28,10.6,11.19,10.27,10.76,10.76,88600
2016-04-29,10.82,10.92,10.18,10.4,10.4,113000
2016-05-02,10.42,10.76,10.01,10.63,10.63,136200
2016-05-03,10.83,11.39,10.4,11.28,11.28,234700
2016-05-04,11.27,11.35,10.03,10.19,10.19,170300
2016-05-05,10.05,10.74,9.73,10.11,10.11,142500
2016-05-06,9.99,10.3,9.64,9.75,9.75,128900
2016-05-09,9.82,10.35,9.73,10.18,10.18,72500
2016-05-10,10.29,10.29,9.67,10.04,10.04,74600
2016-05-11,10.08,10.12,9.38,9.42,9.42,120400
2016-05-12,9.47,9.66,8.52,8.59,8.59,277900
2016-05-13,9.27,9.27,8.16,8.75,8.75,226300
2016-05-16,8.83,9.78,8.77,9.67,9.67,247600
2016-05-17,9.65,10.03,9.47,9.6,9.6,158900
2016-05-18,9.93,10.91,9.91,10.24,10.24,177300
2016-05-19,10.23,10.64,9.45,9.68,9.68,147100
2016-05-20,9.79,10.7,9.6,10.49,10.49,128600
2016-05-23,10.49,10.98,10.24,10.6,10.6,105400
2016-05-24,10.75,11.68,10.6,11.54,11.54,166200
2016-05-25,11.61,12.3,11.41,11.45,11.45,358300
2016-05-26,12.66,17.35,12.66,17.23,17.23,2327000
2016-05-27,16.860001,16.879998999999998,14.67,15.53,15.53,1046600
2016-05-31,15.66,17.870001000000002,15.39,17.440001000000002,17.440001000000002,828000
2016-06-01,17.01,17.309998999999998,16.040001,16.83,16.83,576800
2016-06-02,16.93,17.24,16.48,17.049999,17.049999,412900
2016-06-03,16.99,16.99,15.8,16.120001000000002,16.120001000000002,376600
2016-06-06,16.07,17.15,15.85,16.73,16.73,341600
2016-06-07,16.610001,16.77,16.08,16.09,16.09,211300
2016-06-08,14.51,14.92,13.89,14.1,14.1,3588300
2016-06-09,14.08,14.39,14.02,14.03,14.03,539200
2016-06-10,14.01,14.2,13.8,13.83,13.83,490700
2016-06-13,14.1,14.35,13.75,13.89,13.89,358900
2016-06-14,13.86,14.13,13.13,13.75,13.75,682900
2016-06-15,13.84,14.0,13.64,13.72,13.72,189000
2016-06-16,13.53,13.99,13.1,13.91,13.91,287300
2016-06-17,14.0,14.05,13.25,13.28,13.28,300400
2016-06-20,13.65,14.35,13.28,14.02,14.02,349800
2016-06-21,14.1,14.18,13.4,13.77,13.77,294600
2016-06-22,13.57,14.35,13.49,13.82,13.82,318300
2016-06-23,14.08,15.0,13.99,14.84,14.84,479600
2016-06-24,14.3,14.84,13.84,13.93,13.93,1049300
2016-06-27,13.82,13.96,13.2,13.48,13.48,463000
2016-06-28,13.86,15.57,13.75,15.08,15.08,455300
2016-06-29,15.53,15.81,14.52,14.88,14.88,519900
2016-06-30,14.92,15.19,14.5,14.97,14.97,400100
2016-07-01,14.99,15.47,14.78,15.4,15.4,519200
2016-07-05,15.24,15.75,15.05,15.55,15.55,452900
2016-07-06,15.55,17.030001000000002,15.5,16.24,16.24,471000
2016-07-07,16.209999,16.43,15.3,15.79,15.79,370500
2016-07-08,15.77,16.309998999999998,15.47,16.25,16.25,233800
2016-07-11,16.360001,16.6,15.85,15.86,15.86,124500
2016-07-12,15.91,16.65,15.8,16.41,16.41,221900
2016-07-13,16.719998999999998,16.719998999999998,15.56,15.63,15.63,292100
2016-07-14,15.8,15.81,15.0,15.12,15.12,159400
2016-07-15,15.2,15.75,15.09,15.61,15.61,137900
2016-07-18,15.59,15.95,15.36,15.9,15.9,165800
2016-07-19,15.89,16.1,15.1,15.34,15.34,136800
2016-07-20,15.4,16.02,15.22,15.9,15.9,187700
2016-07-21,16.43,17.24,16.24,16.58,16.58,436300
2016-07-22,16.58,17.08,16.49,16.85,16.85,400700
2016-07-25,16.93,17.139999,16.15,16.610001,16.610001,304900
2016-07-26,16.51,16.84,16.25,16.57,16.57,183700
2016-07-27,16.709999,17.09,16.51,17.09,17.09,279700
2016-07-28,17.059998999999998,17.18,15.69,16.620001000000002,16.620001000000002,451500
2016-07-29,16.5,16.629998999999998,16.18,16.559998999999998,16.559998999999998,776900
2016-08-01,16.639999,16.91,16.08,16.51,16.51,295500
2016-08-02,16.33,16.67,15.97,16.34,16.34,135000
2016-08-03,16.190001000000002,16.75,16.139999,16.74,16.74,159500
2016-08-04,16.9,19.049999,16.889999,17.25,17.25,632600
2016-08-05,17.26,17.67,16.969998999999998,17.549999,17.549999,265100
2016-08-08,17.65,18.139999,17.559998999999998,17.75,17.75,229800
2016-08-09,17.83,18.030001000000002,17.48,17.969998999999998,17.969998999999998,269900
2016-08-10,17.969998999999998,18.09,16.809998999999998,16.870001000000002,16.870001000000002,292800
2016-08-11,16.98,17.25,16.870001000000002,17.16,17.16,288300
2016-08-12,17.18,17.540001,17.15,17.5,17.5,208200
2016-08-15,17.559998999999998,18.17,17.42,17.85,17.85,239200
2016-08-16,17.799999,18.26,17.68,17.73,17.73,164100
2016-08-17,17.709999,17.83,17.200001,17.809998999999998,17.809998999999998,190600
2016-08-18,17.77,18.17,17.559998999999998,17.74,17.74,150900
2016-08-19,17.690001000000002,18.08,17.6,17.799999,17.799999,83400
2016-08-22,17.92,18.379998999999998,17.74,18.0,18.0,157100
2016-08-23,18.110001,18.17,17.52,17.860001,17.860001,144300
2016-08-24,17.860001,18.209999,16.620001000000002,16.75,16.75,408500
2016-08-25,16.83,17.17,16.25,16.690001000000002,16.690001000000002,333600
2016-08-26,16.67,17.049999,16.59,16.969998999999998,16.969998999999998,185400
2016-08-29,17.049999,17.049999,16.6,16.84,16.84,146100
