Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,20.52,20.65,19.35,19.370001000000002,19.370001000000002,457800
2016-01-05,19.16,20.18,19.0,19.790001,19.790001,417100
2016-01-06,19.52,19.709999,18.42,18.5,18.5,267700
2016-01-07,17.9,18.0,16.02,17.049999,17.049999,534900
2016-01-08,17.209999,17.879998999999998,16.4,16.67,16.67,202900
2016-01-11,16.75,17.51,15.16,15.95,15.95,523500
2016-01-12,15.94,16.85,15.7,16.48,16.48,333100
2016-01-13,16.9,17.559998999999998,15.88,16.030001000000002,16.030001000000002,296400
2016-01-14,16.190001000000002,17.709999,15.43,17.200001,17.200001,359100
2016-01-15,16.6,16.959999,16.040001,16.74,16.74,215600
2016-01-19,16.709999,17.18,16.375,16.85,16.85,242100
2016-01-20,16.43,17.289,15.76,16.84,16.84,258400
2016-01-21,16.99,17.01,16.09,16.4,16.4,311000
2016-01-22,16.65,16.889999,15.24,15.61,15.61,469700
2016-01-25,15.61,15.92,14.75,14.98,14.98,342600
2016-01-26,15.25,15.25,13.77,14.53,14.53,270700
2016-01-27,14.67,14.67,13.82,14.14,14.14,300500
2016-01-28,14.2,14.37,13.42,13.76,13.76,271500
2016-01-29,13.8,14.63,13.73,14.59,14.59,265000
2016-02-01,14.58,15.2,14.01,15.03,15.03,295500
2016-02-02,14.73,15.09,14.23,14.86,14.86,236100
2016-02-03,14.93,15.21,14.26,14.99,14.99,256900
2016-02-04,15.07,15.77,14.716,15.28,15.28,170900
2016-02-05,15.18,15.27,14.62,14.89,14.89,233400
2016-02-08,14.63,14.635,13.34,13.86,13.86,290900
2016-02-09,13.59,14.42,13.485,13.71,13.71,157500
2016-02-10,13.75,15.08,13.75,14.22,14.22,193300
2016-02-11,13.92,14.525,13.52,14.14,14.14,144800
2016-02-12,14.24,14.48,13.84,14.22,14.22,179500
2016-02-16,14.52,14.695,14.0,14.18,14.18,353100
2016-02-17,14.35,15.15,13.96,15.01,15.01,235600
2016-02-18,15.07,15.07,14.03,14.17,14.17,184100
2016-02-19,14.2,15.1,13.76,15.02,15.02,271700
2016-02-22,15.4,16.16,14.804,15.51,15.51,319100
2016-02-23,15.22,15.48,14.4,14.47,14.47,246100
2016-02-24,14.83,15.67,13.57,14.85,14.85,476000
2016-02-25,14.97,15.134,14.26,14.34,14.34,176900
2016-02-26,14.39,15.31,14.25,15.01,15.01,290200
2016-02-29,15.15,15.65,14.77,14.83,14.83,171200
2016-03-01,14.91,15.92,14.75,15.78,15.78,265100
2016-03-02,15.77,16.99,15.3,16.969998999999998,16.969998999999998,311600
2016-03-03,16.92,17.48,16.860001,17.200001,17.200001,365500
2016-03-04,17.190001000000002,18.42,17.02,17.6,17.6,362600
2016-03-07,17.950001,18.98,17.67,18.66,18.66,409900
2016-03-08,19.620001000000002,19.620001000000002,18.129998999999998,18.209999,18.209999,390500
2016-03-09,18.219998999999998,18.533001000000002,16.83,17.370001000000002,17.370001000000002,306500
2016-03-10,17.6,17.85,16.52,16.73,16.73,193900
2016-03-11,16.870001000000002,17.719998999999998,16.605,17.469998999999998,17.469998999999998,312100
2016-03-14,17.65,18.43,17.559998999999998,18.209999,18.209999,221000
2016-03-15,18.33,18.375,16.42,16.65,16.65,212000
2016-03-16,16.83,17.0,15.99,16.459999,16.459999,238000
2016-03-17,16.33,16.530001000000002,15.3,16.190001000000002,16.190001000000002,165800
2016-03-18,16.32,17.620001000000002,15.85,16.6,16.6,259500
2016-03-21,16.530001000000002,17.799999,16.530001000000002,17.5,17.5,177600
2016-03-22,17.469998999999998,17.91,17.33,17.58,17.58,146400
2016-03-23,17.620001000000002,18.360001,16.77,16.809998999999998,16.809998999999998,151400
2016-03-24,16.77,17.450001,16.25,17.110001,17.110001,145000
2016-03-28,17.280001000000002,17.48,16.43,16.76,16.76,169700
2016-03-29,16.870001000000002,17.559998999999998,16.049999,17.49,17.49,322900
2016-03-30,18.0,18.5,17.155001000000002,17.209999,17.209999,183700
2016-03-31,17.360001,18.658001000000002,17.360001,18.18,18.18,194200
2016-04-01,18.02,18.5,17.65,18.25,18.25,130200
2016-04-04,18.33,19.108999,18.23,18.52,18.52,203300
2016-04-05,18.35,18.75,17.48,17.52,17.52,162600
2016-04-06,17.450001,18.940001000000002,17.450001,18.58,18.58,192100
2016-04-07,18.379998999999998,18.67,17.780001000000002,17.98,17.98,144500
2016-04-08,18.200001,18.469998999999998,17.299999,17.43,17.43,149600
2016-04-11,17.469998999999998,17.77,16.73,17.08,17.08,197600
2016-04-12,17.01,17.82,16.85,17.620001000000002,17.620001000000002,240700
2016-04-13,17.700001,18.500999,17.66,18.0,18.0,258000
2016-04-14,18.1,18.16,17.705,17.870001000000002,17.870001000000002,233000
2016-04-15,17.73,17.99,17.162001,17.51,17.51,214300
2016-04-18,17.5,17.66,17.040001,17.33,17.33,201600
2016-04-19,17.290001,17.99,17.25,17.49,17.49,250000
2016-04-20,17.559998999999998,17.705,16.886,17.43,17.43,384400
2016-04-21,17.43,18.030001000000002,17.0,17.459999,17.459999,256500
2016-04-22,17.540001,17.855,17.129998999999998,17.610001,17.610001,119500
2016-04-25,17.5,17.74,17.040001,17.209999,17.209999,93000
2016-04-26,17.190001000000002,17.207001,16.4,16.709999,16.709999,193500
2016-04-27,16.620001000000002,16.969998999999998,16.26,16.629998999999998,16.629998999999998,160300
2016-04-28,16.6,17.24,16.264999,16.540001,16.540001,141300
2016-04-29,16.530001000000002,16.530001000000002,15.79,15.95,15.95,167300
2016-05-02,15.8,16.25,15.52,16.24,16.24,120800
2016-05-03,16.129998999999998,16.129998999999998,15.1,15.23,15.23,177300
2016-05-04,16.84,17.82,16.299999,16.629998999999998,16.629998999999998,533000
2016-05-05,16.85,17.49,16.208,16.709999,16.709999,259500
2016-05-06,16.440001000000002,17.23,16.440001000000002,16.969998999999998,16.969998999999998,226500
2016-05-09,16.93,17.950001,16.93,17.469998999999998,17.469998999999998,206700
2016-05-10,17.68,17.83,17.059998999999998,17.200001,17.200001,109500
2016-05-11,17.07,17.1,16.4,16.459999,16.459999,225800
2016-05-12,16.43,16.662001,15.87,16.09,16.09,241600
2016-05-13,16.27,17.389999,16.07,17.27,17.27,129800
2016-05-16,17.52,17.959999,17.120001000000002,17.190001000000002,17.190001000000002,162000
2016-05-17,17.49,17.594998999999998,16.59,16.870001000000002,16.870001000000002,167600
2016-05-18,16.73,17.129998999999998,16.41,16.940001000000002,16.940001000000002,123300
2016-05-19,16.84,17.129998999999998,16.360001,16.6,16.6,111300
2016-05-20,16.700001,17.290001,16.305,17.25,17.25,101100
2016-05-23,17.129998999999998,17.73,17.129998999999998,17.43,17.43,90600
2016-05-24,17.66,18.74,17.33,18.67,18.67,222200
2016-05-25,18.799999,18.98,18.290001,18.66,18.66,155900
2016-05-26,18.700001,18.924999,18.25,18.280001000000002,18.280001000000002,190400
2016-05-27,18.26,18.67,18.1,18.5,18.5,113100
2016-05-31,18.620001000000002,19.42,18.51,18.85,18.85,227300
2016-06-01,18.709999,19.52,18.709999,19.5,19.5,226800
2016-06-02,19.370001000000002,21.639999,19.370001000000002,21.43,21.43,490000
2016-06-03,21.66,21.752001,20.309998999999998,20.65,20.65,384900
2016-06-06,20.77,22.379998999999998,20.309998999999998,21.530001000000002,21.530001000000002,376200
2016-06-07,21.4,21.4,20.620001000000002,20.709999,20.709999,239300
2016-06-08,20.719998999999998,21.75,20.33,21.48,21.48,208800
2016-06-09,21.25,21.530001000000002,20.0,20.08,20.08,196600
2016-06-10,19.969998999999998,20.0,18.77,18.91,18.91,268200
2016-06-13,18.67,19.120001000000002,18.120001000000002,18.530001000000002,18.530001000000002,216300
2016-06-14,18.42,18.690001000000002,18.030001000000002,18.49,18.49,106400
2016-06-15,18.610001,19.459999,18.353001000000003,19.23,19.23,178100
