Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.4,9.52,8.99,9.03,9.03,2146100
2016-01-05,9.11,9.6,8.94,9.21,9.21,1488700
2016-01-06,8.99,9.14,8.63,8.79,8.79,1590500
2016-01-07,8.63,8.63,7.92,8.05,8.05,2280500
2016-01-08,8.11,8.29,7.8,7.85,7.85,1348900
2016-01-11,7.71,8.05,6.96,7.31,7.31,1961000
2016-01-12,7.42,7.84,6.96,7.31,7.31,2155300
2016-01-13,7.37,7.57,6.5,6.54,6.54,2271800
2016-01-14,6.45,7.44,6.0,7.42,7.42,2372000
2016-01-15,6.85,7.55,6.69,7.36,7.36,3769200
2016-01-19,7.28,7.54,6.69,6.79,6.79,3211000
2016-01-20,6.58,7.43,6.31,7.22,7.22,2584500
2016-01-21,7.32,7.83,6.94,7.26,7.26,2884600
2016-01-22,7.5,7.67,7.3,7.51,7.51,2056200
2016-01-25,7.44,7.81,7.2,7.22,7.22,2358000
2016-01-26,7.3,7.31,6.65,6.84,6.84,2117900
2016-01-27,6.85,6.93,6.21,6.25,6.25,2126200
2016-01-28,6.33,6.43,5.71,5.78,5.78,2439500
2016-01-29,5.77,6.27,5.71,6.04,6.04,2475000
2016-02-01,6.03,6.21,5.78,6.13,6.13,1889000
2016-02-02,5.95,6.06,5.76,6.04,6.04,1875000
2016-02-03,6.1,6.19,5.64,5.85,5.85,2153800
2016-02-04,5.85,6.48,5.73,6.4,6.4,2601400
2016-02-05,6.37,6.37,5.84,5.99,5.99,2119900
2016-02-08,5.86,5.95,5.1,5.16,5.16,2417400
2016-02-09,5.14,5.64,5.0,5.28,5.28,1623600
2016-02-10,5.33,5.7,5.15,5.39,5.39,1686300
2016-02-11,5.17,5.41,5.09,5.24,5.24,1310400
2016-02-12,5.37,5.48,4.99,5.33,5.33,2445800
2016-02-16,5.5,5.82,5.37,5.82,5.82,2434500
2016-02-17,5.94,6.79,5.93,6.57,6.57,3377600
2016-02-18,6.64,6.96,6.42,6.45,6.45,2201100
2016-02-19,6.4,6.81,6.22,6.77,6.77,1527800
2016-02-22,6.91,7.25,6.91,7.16,7.16,2735000
2016-02-23,7.12,7.53,6.85,6.95,6.95,3545500
2016-02-24,6.86,7.07,6.25,6.56,6.56,2322700
2016-02-25,6.78,7.03,6.27,6.44,6.44,2760400
2016-02-26,5.94,6.32,5.76,6.23,6.23,2153700
2016-02-29,6.3,6.55,6.01,6.16,6.16,2545700
2016-03-01,6.39,6.87,6.27,6.85,6.85,4722300
2016-03-02,6.83,8.01,6.83,7.98,7.98,5772300
2016-03-03,8.0,8.15,7.29,7.68,7.68,2784800
2016-03-04,7.72,7.94,7.48,7.55,7.55,2284600
2016-03-07,7.42,8.48,7.21,8.24,8.24,2658500
2016-03-08,8.59,8.6,7.61,7.68,7.68,2812100
2016-03-09,7.78,7.97,7.17,7.5,7.5,2617300
2016-03-10,7.52,7.89,7.06,7.4,7.4,2013300
2016-03-11,7.57,8.02,7.33,7.91,7.91,1961900
2016-03-14,7.91,8.17,7.79,8.02,8.02,1680600
2016-03-15,7.85,7.9,7.44,7.5,7.5,2111500
2016-03-16,7.46,7.71,6.8,7.21,7.21,2100500
2016-03-17,7.2,7.49,6.9,7.27,7.27,2670400
2016-03-18,7.33,8.14,7.0,7.86,7.86,6894400
2016-03-21,7.82,8.39,7.64,7.73,7.73,2568800
2016-03-22,7.75,8.33,7.75,8.3,8.3,2840700
2016-03-23,8.27,8.44,7.64,7.65,7.65,1966200
2016-03-24,7.51,8.05,7.29,7.76,7.76,1630300
2016-03-28,7.91,7.91,7.52,7.68,7.68,1289900
2016-03-29,7.62,8.12,7.31,8.11,8.11,2253000
2016-03-30,8.05,8.58,7.85,7.99,7.99,3897800
2016-03-31,8.16,8.74,7.95,8.45,8.45,3444300
2016-04-01,8.38,9.83,8.28,8.69,8.69,9149400
2016-04-04,8.94,8.99,8.19,8.25,8.25,4237600
2016-04-05,8.1,8.49,7.81,8.41,8.41,2903200
2016-04-06,8.45,8.68,8.36,8.61,8.61,2609000
2016-04-07,8.44,8.7,8.1,8.25,8.25,3116700
2016-04-08,8.47,8.47,7.96,8.11,8.11,1983900
2016-04-11,8.14,8.19,7.76,7.82,7.82,1919200
2016-04-12,8.33,8.45,7.84,7.94,7.94,5846000
2016-04-13,8.06,8.25,7.83,8.15,8.15,2902500
2016-04-14,8.15,8.25,7.92,7.99,7.99,1815100
2016-04-15,7.96,8.0,7.69,7.75,7.75,2291600
2016-04-18,7.65,8.01,7.57,7.9,7.9,2101600
2016-04-19,7.9,7.91,7.48,7.6,7.6,2141700
2016-04-20,7.62,7.9,7.55,7.8,7.8,1551500
2016-04-21,7.77,8.1,7.74,8.03,8.03,2204300
2016-04-22,8.06,8.14,7.78,8.05,8.05,1570800
2016-04-25,8.02,8.4,8.0,8.11,8.11,1832000
2016-04-26,8.08,8.14,7.78,7.97,7.97,1664700
2016-04-27,7.91,7.91,7.65,7.78,7.78,1390300
2016-04-28,7.71,8.05,7.6,7.75,7.75,1593400
2016-04-29,7.7,7.83,7.36,7.47,7.47,1764200
2016-05-02,7.51,7.7,7.31,7.53,7.53,2940200
2016-05-03,7.4,7.51,7.05,7.07,7.07,1749700
2016-05-04,7.07,7.26,6.81,6.81,6.81,2083300
2016-05-05,6.87,6.91,6.51,6.53,6.53,1490900
2016-05-06,6.5,6.55,6.26,6.44,6.44,1608200
2016-05-09,6.4,6.77,6.4,6.61,6.61,2218000
2016-05-10,6.67,6.73,6.28,6.57,6.57,2828000
2016-05-11,6.53,7.02,6.5,6.57,6.57,1726700
2016-05-12,6.65,6.86,6.28,6.47,6.47,1837900
2016-05-13,6.45,6.62,6.26,6.34,6.34,1424100
2016-05-16,6.43,6.81,6.32,6.79,6.79,1628800
2016-05-17,6.77,6.89,6.58,6.61,6.61,1664900
2016-05-18,6.76,7.25,6.68,7.07,7.07,3484300
2016-05-19,7.03,7.23,6.75,6.91,6.91,1713600
2016-05-20,6.97,6.99,6.72,6.84,6.84,1492000
2016-05-23,6.84,7.0,6.79,6.92,6.92,1559000
2016-05-24,6.98,7.18,6.82,7.14,7.14,1823400
2016-05-25,7.19,7.25,7.03,7.1,7.1,1467300
2016-05-26,7.12,7.2,7.0,7.03,7.03,1740200
2016-05-27,7.03,7.12,6.94,7.06,7.06,1154900
2016-05-31,7.06,7.2,6.89,7.08,7.08,3944700
2016-06-01,7.05,7.27,7.01,7.18,7.18,4776300
2016-06-02,7.17,7.88,7.16,7.71,7.71,3408200
2016-06-03,7.67,7.81,7.16,7.17,7.17,3126200
2016-06-06,7.19,7.26,6.97,7.16,7.16,1855100
2016-06-07,7.22,7.28,7.04,7.04,7.04,1611400
2016-06-08,7.07,7.18,6.88,6.92,6.92,1803600
2016-06-09,6.83,7.01,6.7,6.71,6.71,1681600
2016-06-10,6.57,6.7,6.03,6.05,6.05,4279600
2016-06-13,6.02,6.26,5.81,5.86,5.86,1981600
2016-06-14,5.78,6.48,5.78,6.07,6.07,2432200
2016-06-15,6.11,6.3,6.09,6.1,6.1,1343200
2016-06-16,6.01,6.15,5.86,5.99,5.99,2238600
2016-06-17,6.03,6.06,5.61,5.62,5.62,4696100
2016-06-20,5.75,6.05,5.65,5.91,5.91,2021600
2016-06-21,5.91,5.97,5.62,5.76,5.76,2062700
2016-06-22,5.75,6.02,5.65,5.74,5.74,1467600
2016-06-23,5.81,5.93,5.6,5.91,5.91,2417400
2016-06-24,5.53,5.75,5.44,5.45,5.45,4063200
2016-06-27,5.32,5.51,4.98,5.0,5.0,2864700
2016-06-28,5.14,5.49,5.11,5.43,5.43,1972700
2016-06-29,5.55,5.55,5.26,5.42,5.42,2357300
2016-06-30,5.41,5.52,5.27,5.46,5.46,1649900
2016-07-01,5.47,5.75,5.38,5.74,5.74,1496900
2016-07-05,5.66,5.73,5.51,5.58,5.58,1247400
2016-07-06,5.5,5.69,5.42,5.68,5.68,1327600
2016-07-07,5.71,6.32,5.71,6.17,6.17,3834500
2016-07-08,6.25,6.34,5.87,6.0,6.0,2368800
2016-07-11,6.04,6.09,5.9,5.91,5.91,1552900
2016-07-12,6.02,6.09,5.9,6.0,6.0,2385100
2016-07-13,6.03,6.16,5.64,5.79,5.79,3061100
2016-07-14,5.88,5.93,5.66,5.69,5.69,3274500
2016-07-15,5.72,6.09,5.61,6.06,6.06,2231400
2016-07-18,6.06,6.16,5.94,6.12,6.12,1350400
2016-07-19,6.08,6.18,5.89,5.9,5.9,1373700
2016-07-20,6.0,6.13,5.95,6.07,6.07,1901900
2016-07-21,6.1,6.25,5.82,5.87,5.87,1713500
2016-07-22,5.9,6.02,5.81,6.0,6.0,1210900
2016-07-25,6.02,6.07,5.91,6.0,6.0,884700
2016-07-26,5.97,6.36,5.89,6.34,6.34,4687700
2016-07-27,6.42,7.3,6.39,7.13,7.13,5696000
2016-07-28,7.16,7.5,6.58,6.8,6.8,5539400
2016-07-29,6.78,6.78,6.45,6.72,6.72,2128000
2016-08-01,6.75,6.81,6.56,6.71,6.71,1939600
2016-08-02,6.68,6.8,6.28,6.52,6.52,2168800
2016-08-03,6.5,6.82,6.45,6.79,6.79,2332300
2016-08-04,6.79,7.23,6.78,6.82,6.82,2571800
2016-08-05,6.85,7.07,6.8,7.0,7.0,2244500
2016-08-08,7.0,7.1,6.84,6.94,6.94,1585500
2016-08-09,6.7,6.75,6.17,6.34,6.34,4166600
2016-08-10,6.25,6.36,6.06,6.28,6.28,1912300
2016-08-11,6.36,6.8,6.27,6.71,6.71,2325500
2016-08-12,6.66,6.95,6.61,6.94,6.94,1315400
2016-08-15,6.96,7.21,6.94,7.15,7.15,1982200
2016-08-16,7.14,7.21,6.96,7.0,7.0,1368500
2016-08-17,6.99,7.13,6.79,6.87,6.87,1227000
2016-08-18,6.84,7.03,6.76,7.01,7.01,874600
2016-08-19,7.0,7.17,6.92,7.02,7.02,1030400
2016-08-22,7.08,7.2,6.95,7.2,7.2,1317400
2016-08-23,7.22,7.56,7.21,7.37,7.37,2023500
2016-08-24,7.36,7.74,6.93,7.0,7.0,3087400
2016-08-25,7.01,7.29,6.6,6.98,6.98,3713400
2016-08-26,7.05,7.2,6.63,6.98,6.98,2598800
2016-08-29,7.01,7.1,6.65,7.01,7.01,1778200
2016-08-30,7.01,7.06,6.83,6.97,6.97,2173100
2016-08-31,6.97,6.97,6.65,6.69,6.69,2839600
2016-09-01,6.68,6.83,6.54,6.69,6.69,1276400
2016-09-02,6.7,6.85,6.6,6.75,6.75,1673900
2016-09-06,6.82,7.08,6.76,7.02,7.02,1910300
2016-09-07,7.04,7.17,6.83,7.05,7.05,2042500
2016-09-08,7.04,7.17,6.87,7.04,7.04,1588200
2016-09-09,6.92,6.96,6.53,6.53,6.53,2278500
2016-09-12,6.46,6.97,6.41,6.97,6.97,2230000
2016-09-13,6.83,7.02,6.67,6.78,6.78,1553400
2016-09-14,6.8,7.04,6.75,6.94,6.94,1325100
2016-09-15,6.97,7.15,6.85,7.07,7.07,1979100
2016-09-16,7.0,7.32,6.9,7.28,7.28,3772200
2016-09-19,7.34,7.94,7.32,7.64,7.64,3482000
2016-09-20,7.72,8.35,7.61,7.89,7.89,4665200
2016-09-21,8.0,8.08,7.63,7.94,7.94,2369900
2016-09-22,8.06,8.08,7.73,7.79,7.79,1921400
2016-09-23,7.78,7.94,7.55,7.63,7.63,1949600
2016-09-26,7.57,7.71,7.43,7.52,7.52,1212300
2016-09-27,7.5,7.8,7.42,7.8,7.8,1498300
2016-09-28,7.84,7.89,7.45,7.62,7.62,1506500
2016-09-29,7.6,7.69,7.07,7.07,7.07,3031900
2016-09-30,7.12,7.52,6.99,7.4,7.4,1839400
2016-10-03,7.31,7.37,7.03,7.33,7.33,1734200
2016-10-04,7.34,7.45,7.19,7.3,7.3,1723800
2016-10-05,7.32,7.71,7.22,7.51,7.51,1614400
2016-10-06,7.41,7.71,7.34,7.51,7.51,1774900
2016-10-07,7.56,7.74,7.5,7.71,7.71,1542900
2016-10-10,7.81,7.86,7.58,7.79,7.79,1794100
2016-10-11,7.71,7.78,7.47,7.55,7.55,2377200
2016-10-12,7.55,7.6,7.18,7.2,7.2,1755700
2016-10-13,7.28,7.34,7.04,7.22,7.22,1308700
2016-10-14,7.31,7.35,6.89,6.89,6.89,1594400
2016-10-17,6.9,7.03,6.68,6.94,6.94,1527900
2016-10-18,7.09,7.33,6.99,7.24,7.24,1481600
2016-10-19,7.27,7.29,7.09,7.15,7.15,948400
2016-10-20,7.13,7.57,7.09,7.57,7.57,1731800
2016-10-21,7.5,7.7,7.44,7.47,7.47,807000
2016-10-24,7.54,7.83,7.45,7.5,7.5,1576800
2016-10-25,7.52,7.64,7.42,7.52,7.52,1098700
2016-10-26,7.48,7.81,7.42,7.55,7.55,1099700
2016-10-27,7.64,7.68,7.42,7.48,7.48,1214900
2016-10-28,7.42,7.49,6.93,7.02,7.02,2215700
2016-10-31,7.06,7.22,6.88,6.9,6.9,1509500
2016-11-01,7.0,7.04,6.52,6.81,6.81,2179900
2016-11-02,6.83,6.88,6.47,6.47,6.47,1593800
2016-11-03,6.49,6.58,5.82,5.86,5.86,2764400
2016-11-04,5.86,6.3,5.77,6.14,6.14,2432500
2016-11-07,6.31,7.46,6.31,7.43,7.43,4383200
2016-11-08,7.35,7.91,7.29,7.89,7.89,3347700
2016-11-09,7.99,8.72,7.95,8.67,8.67,6139900
2016-11-10,8.67,9.15,8.47,8.87,8.87,4660800
2016-11-11,8.82,9.22,8.54,9.2,9.2,3725500
2016-11-14,9.25,9.35,8.94,9.3,9.3,2957200
2016-11-15,9.25,9.61,9.11,9.35,9.35,2258500
2016-11-16,9.28,9.34,8.77,8.79,8.79,2802900
2016-11-17,8.87,8.97,8.71,8.87,8.87,1725600
2016-11-18,8.9,8.96,8.58,8.75,8.75,2138000
2016-11-21,8.76,9.01,8.68,8.99,8.99,1411100
2016-11-22,9.06,9.17,8.76,8.98,8.98,1916900
2016-11-23,8.76,9.3,8.67,9.23,9.23,1959800
2016-11-25,9.28,9.28,8.74,8.9,8.9,1789700
2016-11-28,8.8,8.89,8.31,8.32,8.32,3777300
2016-11-29,6.39,6.74,6.3,6.51,6.51,12334100
2016-11-30,6.58,6.66,5.96,5.98,5.98,6881300
