Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.93,8.445,7.83,8.12,8.12,233600
2016-01-05,8.17,8.37,8.09,8.23,8.23,103100
2016-01-06,8.08,8.28,8.02,8.13,8.13,125900
2016-01-07,7.96,8.23,7.87,8.04,8.04,163000
2016-01-08,8.04,8.17,7.69,7.94,7.94,121800
2016-01-11,8.0,8.06,7.28,7.54,7.54,180400
2016-01-12,7.64,8.12,7.33,7.61,7.61,95000
2016-01-13,7.48,7.72,7.07,7.14,7.14,112900
2016-01-14,7.23,7.43,6.83,7.25,7.25,75800
2016-01-15,7.02,7.1,6.7,7.04,7.04,128600
2016-01-19,7.11,7.23,6.85,7.0,7.0,157600
2016-01-20,6.87,7.43,6.64,7.04,7.04,208900
2016-01-21,7.04,7.26,6.93,6.95,6.95,101000
2016-01-22,7.08,7.25,6.92,7.21,7.21,129400
2016-01-25,7.17,7.59,6.9,7.08,7.08,96300
2016-01-26,7.15,7.56,6.89,7.09,7.09,335600
2016-01-27,7.09,7.158,6.75,6.86,6.86,136600
2016-01-28,6.92,6.92,6.35,6.6,6.6,157500
2016-01-29,6.6,6.77,6.33,6.48,6.48,144600
2016-02-01,6.42,6.77,6.39,6.76,6.76,90300
2016-02-02,6.65,6.79,6.46,6.5,6.5,76100
2016-02-03,6.55,6.56,6.23,6.38,6.38,75300
2016-02-04,6.36,6.89,6.25,6.54,6.54,70400
2016-02-05,6.49,6.68,6.25,6.29,6.29,124200
2016-02-08,6.21,6.27,5.88,5.96,5.96,167700
2016-02-09,5.85,6.0,5.67,5.79,5.79,101100
2016-02-10,5.85,6.19,5.76,5.9,5.9,46200
2016-02-11,5.85,6.15,5.77,6.07,6.07,46500
2016-02-12,6.13,6.16,5.89,6.1,6.1,47000
2016-02-16,6.25,6.25,6.03,6.24,6.24,59600
2016-02-17,6.27,6.32,5.91,6.16,6.16,120600
2016-02-18,6.17,6.17,5.71,5.74,5.74,105500
2016-02-19,5.72,5.95,5.72,5.87,5.87,72600
2016-02-22,5.88,5.94,5.64,5.69,5.69,122000
2016-02-23,5.7,5.87,5.63,5.76,5.76,67500
2016-02-24,5.65,5.83,5.62,5.79,5.79,48000
2016-02-25,5.8,5.83,5.6,5.69,5.69,32200
2016-02-26,5.71,5.81,5.6,5.78,5.78,50500
2016-02-29,5.77,5.925,5.7,5.73,5.73,80900
2016-03-01,5.78,5.9,5.7,5.9,5.9,60600
2016-03-02,5.96,6.21,5.685,6.05,6.05,68500
2016-03-03,6.04,6.28,5.73,5.9,5.9,61500
2016-03-04,5.86,6.0,5.735,5.88,5.88,68400
2016-03-07,5.84,6.41,5.77,6.28,6.28,283500
2016-03-08,6.22,6.22,5.8,5.94,5.94,130800
2016-03-09,5.95,6.11,5.81,5.89,5.89,54700
2016-03-10,5.96,6.041,5.67,5.75,5.75,89500
2016-03-11,5.8,5.96,5.7,5.91,5.91,55700
2016-03-14,5.91,6.27,5.91,6.15,6.15,82300
2016-03-15,6.01,6.03,5.79,5.84,5.84,89200
2016-03-16,5.82,5.9,5.54,5.79,5.79,92700
2016-03-17,5.77,6.0,5.48,5.92,5.92,76300
2016-03-18,5.98,6.05,5.802,6.03,6.03,193400
2016-03-21,6.0,6.26,5.975,6.12,6.12,57800
2016-03-22,6.11,6.34,6.11,6.28,6.28,70300
2016-03-23,6.29,6.4,6.01,6.05,6.05,47800
2016-03-24,6.0,6.28,5.85,5.98,5.98,43900
2016-03-28,6.01,6.09,5.73,5.95,5.95,49600
2016-03-29,5.93,6.64,5.87,6.54,6.54,86800
2016-03-30,6.6,6.79,6.47,6.56,6.56,55000
2016-03-31,6.63,6.75,6.48,6.52,6.52,91500
2016-04-01,6.48,6.8,6.45,6.79,6.79,48500
2016-04-04,6.85,7.27,6.85,7.22,7.22,67000
2016-04-05,7.2,7.32,7.11,7.18,7.18,50800
2016-04-06,7.19,7.67,7.16,7.49,7.49,109900
2016-04-07,7.43,7.6,7.31,7.32,7.32,58700
2016-04-08,7.41,7.41,6.81,6.86,6.86,57200
2016-04-11,6.91,6.95,6.43,6.46,6.46,55100
2016-04-12,6.42,6.56,6.28,6.36,6.36,34000
2016-04-13,6.4,6.71,6.29,6.65,6.65,58400
2016-04-14,6.73,7.02,6.53,6.84,6.84,57200
2016-04-15,6.79,7.01,6.72,6.9,6.9,33400
2016-04-18,6.91,7.07,6.84,6.94,6.94,52400
2016-04-19,6.99,7.07,6.7,6.91,6.91,30700
2016-04-20,6.91,7.11,6.9,7.03,7.03,52800
2016-04-21,6.97,7.24,6.96,7.07,7.07,59100
2016-04-22,7.06,7.32,6.95,7.17,7.17,36600
2016-04-25,7.22,7.22,6.85,6.91,6.91,50300
2016-04-26,6.86,6.96,6.61,6.79,6.79,53300
2016-04-27,6.78,6.925,6.59,6.67,6.67,37900
2016-04-28,6.68,6.9,6.54,6.58,6.58,51500
2016-04-29,6.6,6.6,6.2,6.31,6.31,54100
2016-05-02,6.38,6.42,6.01,6.39,6.39,64100
2016-05-03,6.36,7.07,6.36,6.75,6.75,174200
2016-05-04,6.68,6.91,6.45,6.49,6.49,86300
2016-05-05,6.52,6.63,6.23,6.3,6.3,43900
2016-05-06,6.28,6.38,6.0,6.03,6.03,47400
2016-05-09,6.08,6.5,6.08,6.41,6.41,60800
2016-05-10,6.49,7.14,6.41,6.6,6.6,253500
2016-05-11,6.77,6.77,6.13,6.13,6.13,52000
2016-05-12,6.18,6.18,5.75,5.92,5.92,75400
2016-05-13,5.97,6.05,5.85,5.96,5.96,37100
2016-05-16,6.03,6.9,5.98,6.84,6.84,216700
2016-05-17,6.81,6.84,6.3,6.41,6.41,116500
2016-05-18,6.35,6.6,6.26,6.51,6.51,74300
2016-05-19,6.53,6.58,6.27,6.4,6.4,48700
2016-05-20,6.4,6.84,6.4,6.8,6.8,96800
2016-05-23,6.81,6.98,6.76,6.84,6.84,170400
2016-05-24,6.89,6.98,6.84,6.93,6.93,115200
2016-05-25,6.99,7.12,6.84,6.99,6.99,77900
2016-05-26,7.0,7.08,6.8,7.0,7.0,66800
2016-05-27,7.02,7.17,6.79,7.15,7.15,48900
2016-05-31,7.2,7.38,7.04,7.29,7.29,88200
2016-06-01,7.21,7.3,7.09,7.21,7.21,64600
2016-06-02,7.14,7.325,7.1,7.25,7.25,90100
2016-06-03,7.26,7.29,7.07,7.22,7.22,65900
2016-06-06,7.27,7.36,7.02,7.17,7.17,92200
2016-06-07,7.13,7.415,7.0,7.11,7.11,89300
2016-06-08,7.15,7.19,7.0,7.09,7.09,137900
2016-06-09,7.05,7.11,6.83,6.9,6.9,117700
2016-06-10,6.87,6.87,6.62,6.66,6.66,115600
2016-06-13,6.63,6.8,6.17,6.2,6.2,498100
2016-06-14,6.14,6.57,6.01,6.15,6.15,228700
2016-06-15,6.21,6.455,5.97,6.01,6.01,170100
2016-06-16,5.96,6.11,5.96,6.01,6.01,189800
2016-06-17,6.0,6.26,5.95,5.97,5.97,303900
2016-06-20,6.12,6.13,5.97,5.98,5.98,178300
2016-06-21,6.0,6.27,5.7,6.05,6.05,376400
2016-06-22,6.07,6.39,5.995,6.2,6.2,257700
2016-06-23,6.3,6.39,6.13,6.14,6.14,178500
2016-06-24,6.0,6.11,5.75,6.07,6.07,2398200
2016-06-27,6.02,6.25,5.9,6.0,6.0,295900
2016-06-28,6.11,6.27,5.88,5.96,5.96,434600
2016-06-29,6.05,6.47,5.98,6.4,6.4,135600
2016-06-30,6.42,6.49,6.22,6.35,6.35,93300
2016-07-01,6.32,6.65,6.32,6.6,6.6,174500
2016-07-05,6.63,6.82,6.46,6.55,6.55,145600
2016-07-06,6.5,6.79,6.22,6.5,6.5,100600
2016-07-07,6.5,6.53,6.16,6.4,6.4,116300
2016-07-08,6.43,6.67,6.26,6.59,6.59,71600
2016-07-11,6.59,6.94,6.4,6.73,6.73,330700
2016-07-12,6.84,6.9,6.54,6.59,6.59,127300
2016-07-13,6.62,6.818,6.29,6.32,6.32,155000
2016-07-14,6.4,6.84,6.35,6.77,6.77,536800
2016-07-15,6.8,6.9,6.74,6.87,6.87,81900
2016-07-18,6.9,7.13,6.74,7.08,7.08,113400
2016-07-19,7.08,7.1,6.835,6.95,6.95,122600
2016-07-20,6.99,7.2,6.85,7.03,7.03,70200
2016-07-21,7.06,7.39,6.69,7.1,7.1,129400
2016-07-22,7.12,7.15,6.96,7.1,7.1,63400
2016-07-25,7.09,7.22,6.97,7.2,7.2,185400
2016-07-26,7.14,7.31,7.0,7.24,7.24,202100
2016-07-27,7.27,7.47,7.05,7.42,7.42,161100
2016-07-28,7.43,8.21,7.35,8.17,8.17,368300
2016-07-29,8.06,8.79,8.02,8.52,8.52,446800
2016-08-01,8.51,8.676,7.92,8.01,8.01,268600
2016-08-02,7.96,8.11,7.78,7.88,7.88,104800
2016-08-03,7.86,8.29,7.76,8.24,8.24,103100
2016-08-04,8.32,8.59,8.106,8.14,8.14,140500
2016-08-05,8.17,8.31,8.01,8.2,8.2,99600
2016-08-08,8.25,8.25,7.87,7.89,7.89,67100
2016-08-09,7.83,8.24,7.701,8.14,8.14,86800
2016-08-10,7.61,8.38,7.56,8.16,8.16,159100
2016-08-11,8.2,8.6,8.03,8.44,8.44,172200
2016-08-12,8.39,8.55,8.33,8.55,8.55,121900
2016-08-15,8.62,8.76,8.41,8.66,8.66,262100
2016-08-16,8.67,8.72,8.42,8.6,8.6,74900
2016-08-17,8.56,8.73,8.33,8.66,8.66,70900
2016-08-18,8.69,8.78,8.62,8.73,8.73,54400
2016-08-19,8.7,8.73,8.59,8.7,8.7,48900
2016-08-22,8.73,8.92,8.57,8.8,8.8,74000
2016-08-23,8.77,8.861,8.68,8.8,8.8,48800
2016-08-24,8.81,8.96,8.27,8.4,8.4,92800
