Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.81,5.95,5.47,5.87,5.87,40200
2016-01-05,6.03,6.03,5.76,5.81,5.81,27900
2016-01-06,5.68,5.97,5.46,5.48,5.48,21700
2016-01-07,5.39,5.48,5.18,5.22,5.22,23900
2016-01-08,5.62,5.62,5.18,5.19,5.19,9100
2016-01-11,5.34,5.34,4.95,5.01,5.01,13100
2016-01-12,5.19,5.36,4.96,4.96,4.96,27100
2016-01-13,5.08,5.11,4.53,4.53,4.53,45500
2016-01-14,4.5,4.89,4.31,4.77,4.77,25000
2016-01-15,4.67,4.78,4.23,4.27,4.27,30200
2016-01-19,4.64,4.87,4.5,4.61,4.61,32400
2016-01-20,4.54,5.05,4.5,4.82,4.82,8700
2016-01-21,5.09,5.18,5.09,5.14,5.14,9500
2016-01-22,5.17,5.29,4.94,5.05,5.05,6300
2016-01-25,5.04,5.3,5.04,5.17,5.17,6800
2016-01-26,5.18,5.24,4.74,4.81,4.81,8100
2016-01-27,4.78,5.05,4.68,5.01,5.01,31200
2016-01-28,5.23,5.33,5.02,5.04,5.04,13700
2016-01-29,5.13,5.22,4.65,4.71,4.71,40700
2016-02-01,4.65,4.7,4.5,4.66,4.66,12500
2016-02-02,4.52,4.88,4.51,4.59,4.59,14600
2016-02-03,4.49,4.5,4.06,4.35,4.35,35700
2016-02-04,4.19,4.68,4.17,4.42,4.42,20700
2016-02-05,4.56,4.56,4.27,4.28,4.28,5200
2016-02-08,4.29,4.35,4.04,4.09,4.09,30100
2016-02-09,4.04,4.4,3.98,4.07,4.07,17600
2016-02-10,4.09,4.34,3.98,3.98,3.98,16000
2016-02-11,4.13,4.13,3.7,3.81,3.81,29400
2016-02-12,3.85,4.08,3.78,3.91,3.91,1300
2016-02-16,4.01,4.9,3.95,4.9,4.9,110300
2016-02-17,4.92,5.15,4.65,5.15,5.15,19000
2016-02-18,5.13,5.75,5.0,5.36,5.36,117800
2016-02-19,5.38,5.49,5.09,5.22,5.22,15200
2016-02-22,5.3,5.3,4.71,4.97,4.97,48700
2016-02-23,5.04,5.13,4.85,4.95,4.95,7500
2016-02-24,4.9,5.02,4.64,4.98,4.98,20200
2016-02-25,4.99,5.38,4.69,4.75,4.75,9800
2016-02-26,4.75,4.87,4.6,4.74,4.74,38100
2016-02-29,4.59,4.6,4.54,4.54,4.54,2800
2016-03-01,4.49,4.62,4.45,4.5,4.5,9100
2016-03-02,4.85,4.85,4.28,4.39,4.39,56900
2016-03-03,4.49,4.5,4.37,4.37,4.37,3900
2016-03-04,4.37,5.38,4.37,5.18,5.18,73600
2016-03-07,5.25,6.53,5.15,6.1,6.1,64800
2016-03-08,6.5,6.55,5.89,6.17,6.17,44200
2016-03-09,6.29,6.29,5.72,5.95,5.95,18600
2016-03-10,5.86,5.97,5.38,5.64,5.64,36600
2016-03-11,5.59,5.92,5.46,5.67,5.67,6200
2016-03-14,5.42,6.0,5.42,5.71,5.71,6200
2016-03-15,5.41,5.82,5.33,5.63,5.63,142800
2016-03-16,5.66,6.1,5.48,5.91,5.91,11600
2016-03-17,6.0,6.11,5.81,5.99,5.99,7700
2016-03-18,5.9,6.12,5.9,6.06,6.06,7700
2016-03-21,6.04,6.34,5.97,6.18,6.18,19000
2016-03-22,6.23,6.42,6.19,6.25,6.25,224500
2016-03-23,5.98,6.3,5.95,6.01,6.01,12800
2016-03-24,5.63,6.04,5.59,6.04,6.04,5900
2016-03-28,6.14,6.14,5.8,5.89,5.89,2900
2016-03-29,5.8,6.38,5.77,6.1,6.1,21500
2016-03-30,6.21,6.45,5.79,5.85,5.85,8300
2016-03-31,6.27,6.31,5.85,5.96,5.96,14900
2016-04-01,5.98,6.4,5.98,6.31,6.31,7300
2016-04-04,6.36,6.41,6.24,6.27,6.27,8100
2016-04-05,6.06,6.3,6.06,6.12,6.12,6400
2016-04-06,6.2,6.44,6.2,6.3,6.3,56400
2016-04-07,6.26,6.6,6.18,6.51,6.51,18000
