Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.0,16.139999,15.51,15.98,15.366789,1234800
2016-01-05,15.99,16.02,15.51,15.85,15.241776999999999,1325300
2016-01-06,15.57,16.190001000000002,15.57,16.110001,15.4918,1424400
2016-01-07,15.87,15.96,15.6,15.6,15.001370000000001,1067700
2016-01-08,15.71,15.82,15.36,15.41,14.818660999999999,682400
2016-01-11,15.47,15.58,14.98,15.11,14.530173000000001,907900
2016-01-12,15.26,15.35,15.06,15.28,14.69365,508800
2016-01-13,15.34,15.37,14.8,14.94,14.366696,586200
2016-01-14,15.09,15.39,14.88,15.19,14.607104000000001,836900
2016-01-15,14.78,15.03,14.64,14.92,14.347465,2391500
2016-01-19,14.88,15.06,14.75,14.95,14.376311999999999,1124200
2016-01-20,14.81,15.03,14.5,14.88,14.308998999999998,1077900
2016-01-21,14.79,14.9,14.62,14.71,14.145523,812900
2016-01-22,14.88,15.03,14.83,14.95,14.376311999999999,814000
2016-01-25,14.98,15.23,14.95,15.01,14.434010999999998,673400
2016-01-26,14.94,15.0,14.76,14.96,14.385929999999998,311800
2016-01-27,14.99,15.15,14.62,14.66,14.097442000000001,475900
2016-01-28,14.87,14.92,14.15,14.2,13.655092999999999,805200
2016-01-29,14.54,14.87,14.28,14.52,13.962814999999999,1790200
2016-02-01,14.87,14.96,14.45,14.58,14.020512,1072100
2016-02-02,14.69,14.8,14.15,14.35,13.799337,1886700
2016-02-03,14.52,14.7,14.07,14.7,14.135905,1399700
2016-02-04,14.68,15.0,14.52,14.78,14.212837,1604400
2016-02-05,14.69,15.42,14.21,15.29,14.703266000000001,4087400
2016-02-08,14.89,14.89,14.29,14.44,13.885882999999998,1843500
2016-02-09,14.34,14.84,14.34,14.57,14.010895999999999,907400
2016-02-10,14.69,14.92,14.51,14.56,14.00128,679000
2016-02-11,14.58,14.72,14.37,14.49,13.933966,719400
2016-02-12,14.48,14.7,14.3,14.67,14.107057999999999,629100
2016-02-16,14.73,15.15,14.61,15.02,14.443627,617200
2016-02-17,15.21,15.39,15.07,15.35,14.760964000000001,661900
2016-02-18,15.4,15.5,15.09,15.14,14.559022,755100
2016-02-19,15.02,15.29,14.95,15.16,14.578254999999999,458400
2016-02-22,15.21,15.29,15.04,15.24,14.655185999999999,563500
2016-02-23,15.21,15.48,15.17,15.31,14.7225,476300
2016-02-24,15.0,15.39,14.82,15.37,14.780195999999998,817300
2016-02-25,15.43,15.68,15.33,15.64,15.039836,1383000
2016-02-26,15.56,15.68,15.48,15.62,15.020601999999998,603000
2016-02-29,15.59,15.94,15.53,15.6,15.001370000000001,2143200
2016-03-01,15.5,15.56,15.29,15.45,14.857126999999998,656100
2016-03-02,15.26,15.59,15.24,15.49,14.895591,817300
2016-03-03,15.5,15.69,15.32,15.49,14.895591,842800
2016-03-04,15.77,15.77,15.15,15.22,14.635953,1461500
2016-03-07,15.28,15.54,15.21,15.36,14.770579000000001,2781400
2016-03-08,15.54,15.58,15.26,15.42,14.828278,3601300
2016-03-09,15.39,15.4,15.18,15.22,14.635953,519900
2016-03-10,15.31,15.51,14.98,15.1,14.520557,689100
2016-03-11,15.2,15.4,15.15,15.35,14.760964000000001,593600
2016-03-14,15.22,15.49,15.2,15.34,14.751348000000002,794400
2016-03-15,15.22,15.25,14.99,15.05,14.472477,589400
2016-03-16,15.0,15.16,14.94,15.09,14.510942000000002,439800
2016-03-17,15.14,15.27,14.99,15.12,14.53979,350000
2016-03-18,15.12,15.25,15.04,15.17,14.587871,1290300
2016-03-21,15.24,15.39,15.11,15.15,14.568638,1554800
2016-03-22,15.06,15.33,15.06,15.24,14.655185999999999,1317200
2016-03-23,15.37,15.47,15.13,15.15,14.568638,715100
2016-03-24,15.05,15.34,15.01,15.07,14.491708,798600
2016-03-28,15.08,15.31,15.05,15.09,14.510942000000002,278800
2016-03-29,15.1,15.24,15.04,15.22,14.635953,1680300
2016-03-30,15.48,15.66,15.47,15.54,14.943673,867000
2016-03-31,15.49,15.63,15.32,15.47,14.876358999999999,1742500
2016-04-01,15.07,15.56,15.07,15.47,14.876358999999999,912200
2016-04-04,15.74,15.77,15.47,15.5,14.905209,2651300
2016-04-05,15.47,15.54,15.3,15.33,14.741731,1744600
2016-04-06,15.35,15.44,15.33,15.44,14.84751,3479300
2016-04-07,15.54,15.76,15.46,15.6,15.001370000000001,3141000
2016-04-08,15.75,15.75,15.53,15.6,15.001370000000001,4480200
2016-04-11,15.61,15.68,15.44,15.48,14.885975,1175600
2016-04-12,15.32,15.5,15.2,15.46,14.866743,1529300
2016-04-13,15.33,15.51,15.09,15.4,14.809044,1365900
2016-04-14,15.42,15.61,15.28,15.5,14.905209,1248600
2016-04-15,15.42,15.42,15.23,15.28,14.69365,1334700
2016-04-18,15.35,15.56,15.32,15.54,14.943673,1626400
2016-04-19,15.6,15.7,15.5,15.58,14.982138,1421600
2016-04-20,15.54,15.67,15.43,15.48,14.885975,1213100
2016-04-21,15.51,15.84,15.51,15.76,15.155231,2919500
2016-04-22,15.74,15.99,15.7,15.89,15.280242000000001,1802600
2016-04-25,15.83,16.059998999999998,15.74,16.049999,15.434101,2820600
2016-04-26,16.02,16.030001000000002,15.84,15.93,15.318707,1847700
2016-04-27,15.96,16.08,15.83,15.92,15.309091,629700
2016-04-28,15.8,15.88,15.58,15.77,15.164847,1585900
2016-04-29,15.75,15.8,15.59,15.72,15.116767000000001,1186500
2016-05-02,15.64,15.91,15.64,15.9,15.289859,1799900
2016-05-03,15.77,15.91,15.66,15.86,15.251392000000001,1756200
2016-05-04,15.69,15.71,15.21,15.24,14.655185999999999,2458700
2016-05-05,15.29,15.31,15.09,15.26,14.674417000000002,1264900
2016-05-06,15.24,15.24,14.8,14.91,14.337848000000001,796500
2016-05-09,14.95,15.15,14.95,15.01,14.434010999999998,751600
2016-05-10,15.07,15.17,14.97,15.07,14.491708,797000
2016-05-11,15.0,15.05,14.88,14.9,14.328232,521300
2016-05-12,14.97,15.02,14.83,14.88,14.308998999999998,1139300
2016-05-13,14.8,14.88,14.68,14.78,14.212837,681400
2016-05-16,14.76,14.94,14.69,14.9,14.328232,847400
2016-05-17,14.86,14.88,14.54,14.6,14.039745000000002,551900
2016-05-18,14.7,14.79,14.64,14.77,14.203221,743700
2016-05-19,14.71,14.74,14.45,14.54,13.982045999999999,576200
2016-05-20,14.67,14.97,14.67,14.84,14.270535,435600
2016-05-23,15.0,15.33,14.99,15.23,14.645569,4041600
2016-05-24,15.14,15.65,15.12,15.57,14.972522,2701800
2016-05-25,15.62,15.83,15.62,15.79,15.184079,1006800
2016-05-26,15.84,16.030001000000002,15.79,15.97,15.357173000000001,1607100
2016-05-27,15.99,16.16,15.87,16.1,15.482184,1526100
2016-05-31,16.110001,16.59,16.110001,16.530001000000002,15.895682999999998,2073300
2016-06-01,16.49,16.969998999999998,16.450001,16.959999,16.309181,1785100
2016-06-02,16.52,16.85,16.389999,16.84,16.34704,1150200
2016-06-03,16.77,17.0,16.66,16.91,16.414991,2856800
2016-06-06,16.91,17.17,16.83,17.17,16.667379,1030700
2016-06-07,17.17,17.4,17.110001,17.299999,16.793573000000002,1597600
2016-06-08,17.290001,17.309998999999998,17.16,17.299999,16.793573000000002,1809300
2016-06-09,17.120001000000002,17.25,17.059998999999998,17.190001000000002,16.686795999999998,1923500
2016-06-10,16.9,17.059998999999998,16.83,16.959999,16.463528,1202800
2016-06-13,16.68,16.74,16.540001,16.610001,16.123772,1237900
2016-06-14,16.35,16.35,16.110001,16.17,15.696653,882400
2016-06-15,16.139999,16.18,15.92,15.94,15.473385999999998,659600
