Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.93,17.51,16.49,16.639999,16.639999,1083600
2016-01-05,16.639999,17.200001,16.26,16.389999,16.389999,880900
2016-01-06,16.01,16.17,15.58,15.77,15.77,1101200
2016-01-07,15.25,15.36,14.79,15.0,15.0,1324100
2016-01-08,15.0,15.44,14.6,14.85,14.85,1107400
2016-01-11,14.8,14.9,11.87,12.37,12.37,3712200
2016-01-12,12.5,13.07,11.69,12.22,12.22,2055500
2016-01-13,12.38,12.46,10.03,10.06,10.06,3346100
2016-01-14,10.16,10.52,8.75,10.21,10.21,3389200
2016-01-15,9.74,10.19,9.17,10.1,10.1,1750200
2016-01-19,10.31,10.49,8.65,9.14,9.14,2433100
2016-01-20,8.81,10.07,8.27,9.75,9.75,3610300
2016-01-21,9.6,10.25,9.39,9.8,9.8,1715000
2016-01-22,10.16,10.47,10.05,10.38,10.38,1509500
2016-01-25,10.26,10.55,9.83,9.83,9.83,1957100
2016-01-26,9.81,9.92,9.01,9.59,9.59,1371000
2016-01-27,9.54,9.74,8.76,8.88,8.88,2093100
2016-01-28,9.04,9.08,8.3,8.56,8.56,1675200
2016-01-29,8.48,8.82,8.16,8.8,8.8,2249100
2016-02-01,8.94,9.06,8.32,8.71,8.71,1936700
2016-02-02,8.6,8.6,7.95,8.11,8.11,2209200
2016-02-03,8.07,8.15,7.49,8.11,8.11,2210500
2016-02-04,7.97,8.89,7.85,8.27,8.27,1663800
2016-02-05,8.21,8.44,7.75,7.9,7.9,2040400
2016-02-08,7.77,7.8,7.1,7.32,7.32,1920000
2016-02-09,7.11,7.53,7.0,7.28,7.28,1364700
2016-02-10,7.35,7.88,7.12,7.17,7.17,1477300
2016-02-11,7.0,7.62,6.96,7.43,7.43,2101900
2016-02-12,7.62,7.62,7.11,7.54,7.54,2369600
2016-02-16,7.76,7.97,7.63,7.86,7.86,1751600
2016-02-17,7.93,8.64,7.93,8.59,8.59,2510900
2016-02-18,8.64,8.64,8.05,8.06,8.06,1628700
2016-02-19,8.0,8.32,7.77,8.3,8.3,1176800
2016-02-22,8.44,8.5,7.96,8.19,8.19,1328900
2016-02-23,8.09,8.29,7.76,7.76,7.76,1253600
2016-02-24,7.63,7.93,7.18,7.91,7.91,1320100
2016-02-25,7.99,8.19,7.66,7.81,7.81,1322000
2016-02-26,7.91,8.27,7.83,8.25,8.25,1667400
2016-02-29,8.23,8.44,8.06,8.13,8.13,1960000
2016-03-01,8.72,9.64,8.49,8.74,8.74,5332400
2016-03-02,8.73,9.72,8.7,9.44,9.44,3942800
2016-03-03,9.47,9.69,9.29,9.47,9.47,1916000
2016-03-04,9.45,9.94,9.26,9.59,9.59,1851600
2016-03-07,9.46,9.81,9.25,9.57,9.57,2503700
2016-03-08,9.45,9.47,8.81,8.83,8.83,1844100
2016-03-09,8.87,9.04,8.26,8.96,8.96,2806400
2016-03-10,9.01,9.23,8.24,8.53,8.53,2203300
2016-03-11,8.6,9.05,8.46,9.03,9.03,2305100
2016-03-14,9.02,9.46,8.94,9.32,9.32,1532900
2016-03-15,9.18,9.24,8.36,8.42,8.42,1731700
2016-03-16,8.33,8.55,7.83,8.06,8.06,2036500
2016-03-17,8.0,8.22,7.52,8.1,8.1,2244400
2016-03-18,8.16,8.54,7.9,8.39,8.39,2818100
2016-03-21,8.37,9.29,8.3,9.08,9.08,2406000
2016-03-22,9.02,9.43,9.0,9.31,9.31,1711700
2016-03-23,9.29,9.53,8.84,8.93,8.93,2031500
2016-03-24,8.84,9.18,8.53,8.87,8.87,1149400
2016-03-28,8.97,9.13,8.56,8.66,8.66,1246500
2016-03-29,8.61,8.95,8.25,8.93,8.93,2016100
2016-03-30,9.06,9.7,9.06,9.26,9.26,2455500
2016-03-31,9.32,9.84,9.27,9.47,9.47,2030200
2016-04-01,9.33,9.91,9.23,9.75,9.75,1445000
2016-04-04,9.79,10.67,9.79,10.13,10.13,2321000
2016-04-05,10.03,10.39,9.87,10.03,10.03,1412900
2016-04-06,10.07,11.04,10.07,11.04,11.04,2203100
2016-04-07,10.99,11.45,10.61,11.03,11.03,2723800
2016-04-08,11.3,11.39,10.74,11.0,11.0,1728000
2016-04-11,11.08,11.29,10.78,10.84,10.84,1360100
2016-04-12,10.85,11.1,10.63,11.02,11.02,1174300
2016-04-13,11.13,11.77,11.06,11.76,11.76,1454100
2016-04-14,11.99,12.33,11.67,11.82,11.82,1410300
2016-04-15,11.75,12.05,11.47,11.97,11.97,1463500
2016-04-18,11.87,12.17,11.72,12.0,12.0,1392100
2016-04-19,12.09,12.21,11.31,11.72,11.72,1990700
2016-04-20,11.83,12.12,11.61,11.9,11.9,1422800
2016-04-21,11.83,12.32,11.75,12.05,12.05,1329500
2016-04-22,12.04,12.17,11.68,11.99,11.99,1080400
2016-04-25,12.0,12.31,11.88,11.92,11.92,1009000
2016-04-26,11.91,11.93,10.85,11.22,11.22,1750400
2016-04-27,11.06,11.1,10.59,10.95,10.95,1593500
2016-04-28,10.91,11.32,10.68,10.84,10.84,1277900
2016-04-29,10.79,10.98,10.47,10.55,10.55,1238600
2016-05-02,10.63,10.85,10.26,10.85,10.85,1294300
2016-05-03,10.67,10.72,10.18,10.22,10.22,1246100
2016-05-04,10.11,10.12,9.82,9.9,9.9,1555900
2016-05-05,9.99,10.1,9.44,9.63,9.63,1000900
2016-05-06,9.5,9.9,9.25,9.5,9.5,1337200
2016-05-09,9.51,9.9,9.49,9.72,9.72,1496900
2016-05-10,10.34,10.54,9.37,9.85,9.85,2586500
2016-05-11,9.81,9.81,8.62,8.63,8.63,2720800
2016-05-12,8.74,8.82,8.22,8.57,8.57,1861400
2016-05-13,8.51,8.91,8.45,8.74,8.74,1254600
2016-05-16,8.83,9.23,8.72,9.08,9.08,1545200
2016-05-17,9.0,9.29,8.79,8.83,8.83,1329100
2016-05-18,8.8,9.26,8.79,9.07,9.07,1092100
2016-05-19,9.0,9.3,8.77,8.91,8.91,960300
2016-05-20,8.96,9.22,8.92,9.15,9.15,1254600
2016-05-23,9.15,9.49,9.08,9.32,9.32,1020300
2016-05-24,9.42,9.73,9.39,9.7,9.7,1481000
2016-05-25,9.83,10.1,9.68,10.07,10.07,1217800
2016-05-26,10.05,10.1,9.77,9.89,9.89,1056000
2016-05-27,9.9,10.05,9.79,10.0,10.0,638800
2016-05-31,9.96,10.38,9.89,10.06,10.06,2008600
2016-06-01,9.98,10.14,9.76,9.96,9.96,2173200
2016-06-02,9.96,10.39,9.96,10.39,10.39,1935600
2016-06-03,10.35,10.35,9.59,9.63,9.63,2235200
2016-06-06,9.62,9.62,8.6,9.5,9.5,2551100
2016-06-07,9.4,9.41,8.88,9.17,9.17,1538900
2016-06-08,9.2,9.27,8.91,9.21,9.21,1291400
2016-06-09,9.08,9.23,8.91,8.97,8.97,1660600
2016-06-10,8.79,8.97,8.6,8.75,8.75,1586900
2016-06-13,8.65,8.92,8.62,8.67,8.67,1494400
2016-06-14,8.66,8.89,8.61,8.88,8.88,1446700
2016-06-15,8.98,9.28,8.82,9.05,9.05,1172300
2016-06-16,8.99,9.08,8.69,9.07,9.07,1270900
2016-06-17,9.09,9.09,8.47,8.52,8.52,2058400
2016-06-20,8.67,8.86,8.51,8.7,8.7,1355800
2016-06-21,8.71,8.71,8.42,8.6,8.6,1253800
2016-06-22,8.6,9.05,8.42,8.63,8.63,1133000
2016-06-23,8.74,9.21,8.67,9.19,9.19,1431800
2016-06-24,8.71,9.1,8.44,8.44,8.44,2171400
2016-06-27,8.36,8.48,7.7,7.78,7.78,2584100
2016-06-28,7.94,8.18,7.91,8.17,8.17,1475800
2016-06-29,8.33,8.47,8.09,8.43,8.43,1186900
2016-06-30,8.43,8.76,8.3,8.63,8.63,1279200
2016-07-01,8.62,9.14,8.59,9.13,9.13,1216200
2016-07-05,8.97,9.0,8.43,8.56,8.56,1196500
2016-07-06,8.5,8.89,8.44,8.88,8.88,1233700
