Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.27,13.39,12.73,12.81,12.81,915000
2016-01-05,12.88,13.25,12.62,12.85,12.85,648100
2016-01-06,12.62,12.96,11.87,12.02,12.02,1098000
2016-01-07,11.72,11.73,10.84,10.97,10.97,1275500
2016-01-08,11.08,11.57,10.65,10.78,10.78,816100
2016-01-11,10.86,10.86,9.46,9.85,9.85,1214800
2016-01-12,10.03,10.41,9.8,10.37,10.37,992500
2016-01-13,10.43,10.43,9.26,9.35,9.35,1245100
2016-01-14,9.4,10.19,8.68,9.77,9.77,925700
2016-01-15,9.42,9.56,9.07,9.51,9.51,1094300
2016-01-19,9.68,9.95,8.96,9.1,9.1,969500
2016-01-20,8.88,9.82,8.65,9.54,9.54,1417100
2016-01-21,9.57,10.13,9.38,9.49,9.49,1146300
2016-01-22,9.74,10.22,9.35,9.8,9.8,937200
2016-01-25,9.7,10.08,9.09,9.65,9.65,1031900
2016-01-26,9.76,9.8,9.04,9.18,9.18,1026200
2016-01-27,9.15,9.5,8.5,8.64,8.64,1408100
2016-01-28,8.82,8.89,8.25,8.58,8.58,1141400
2016-01-29,8.23,8.82,7.8,8.49,8.49,2144900
2016-02-01,8.24,8.37,7.55,8.08,8.08,2549200
2016-02-02,7.96,8.07,7.75,8.02,8.02,1379500
2016-02-03,8.06,8.11,7.38,7.62,7.62,1670300
2016-02-04,7.63,8.37,7.63,7.98,7.98,1581200
2016-02-05,7.92,8.19,7.59,7.64,7.64,1346600
2016-02-08,7.44,7.57,6.98,7.12,7.12,1039300
2016-02-09,6.94,7.44,6.78,7.13,7.13,743300
2016-02-10,7.23,7.52,6.99,7.02,7.02,661000
2016-02-11,6.83,7.22,6.77,7.09,7.09,854800
2016-02-12,7.24,7.35,6.77,7.28,7.28,1030400
2016-02-16,7.42,7.6,7.3,7.57,7.57,672300
2016-02-17,7.68,8.08,7.61,7.8,7.8,727000
2016-02-18,7.86,8.03,7.3,7.32,7.32,728700
2016-02-19,7.25,7.65,7.1,7.58,7.58,677700
2016-02-22,7.69,7.8,7.41,7.54,7.54,678300
2016-02-23,7.51,7.61,7.14,7.15,7.15,742200
2016-02-24,7.07,7.33,6.83,7.3,7.3,746300
2016-02-25,7.31,7.48,7.04,7.12,7.12,756500
2016-02-26,7.16,7.3,6.97,7.21,7.21,888200
2016-02-29,7.25,7.56,7.07,7.28,7.28,1378600
2016-03-01,7.34,7.58,7.09,7.56,7.56,1217700
2016-03-02,7.57,8.37,7.56,8.25,8.25,1337800
2016-03-03,8.28,8.48,8.12,8.19,8.19,842600
2016-03-04,8.16,8.59,8.05,8.27,8.27,785800
2016-03-07,8.25,8.96,8.08,8.91,8.91,907100
2016-03-08,9.5,9.71,8.48,8.54,8.54,1319900
2016-03-09,8.55,8.65,8.02,8.24,8.24,960700
2016-03-10,8.2,8.36,7.62,7.68,7.68,992100
2016-03-11,7.78,7.94,7.36,7.87,7.87,959800
2016-03-14,7.84,8.34,7.81,8.24,8.24,973600
2016-03-15,8.1,8.2,7.37,7.5,7.5,1188700
2016-03-16,7.44,7.56,7.14,7.35,7.35,653000
2016-03-17,7.31,7.53,6.79,7.41,7.41,1525200
2016-03-18,7.46,7.78,7.21,7.75,7.75,1575200
2016-03-21,7.73,8.09,7.62,7.92,7.92,848400
2016-03-22,7.87,8.51,7.86,8.5,8.5,1120800
2016-03-23,8.49,8.87,7.8,7.81,7.81,1044100
2016-03-24,7.76,8.02,7.49,7.85,7.85,703800
2016-03-28,7.95,8.04,7.61,7.67,7.67,432300
2016-03-29,7.65,8.21,7.37,8.2,8.2,906200
2016-03-30,8.27,8.73,8.16,8.26,8.26,747500
2016-03-31,8.31,8.84,8.27,8.52,8.52,979400
2016-04-01,8.46,8.99,8.38,8.91,8.91,892600
2016-04-04,8.94,9.63,8.94,9.29,9.29,1065200
2016-04-05,9.16,9.45,9.01,9.01,9.01,1022100
2016-04-06,9.04,9.78,9.03,9.76,9.76,1116000
2016-04-07,9.65,9.75,9.26,9.45,9.45,765000
2016-04-08,9.63,9.68,8.91,9.1,9.1,781900
2016-04-11,9.14,9.33,8.92,9.01,9.01,671300
2016-04-12,9.01,9.16,8.61,8.86,8.86,1043000
2016-04-13,8.99,9.28,8.81,9.22,9.22,769600
2016-04-14,9.22,9.3,9.11,9.25,9.25,664800
2016-04-15,9.2,9.33,9.04,9.19,9.19,845000
