Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2.96,3.02,2.86,2.96,2.96,776000
2016-01-05,2.99,3.02,2.86,2.97,2.97,485200
2016-01-06,2.93,2.94,2.75,2.78,2.78,722100
2016-01-07,2.74,2.77,2.5,2.53,2.53,709200
2016-01-08,2.56,2.6,2.14,2.29,2.29,1011400
2016-01-11,2.32,2.4,2.04,2.08,2.08,1459800
2016-01-12,2.11,2.22,1.77,1.9,1.9,2067300
2016-01-13,1.9,2.01,1.9,1.92,1.92,692700
2016-01-14,1.94,2.02,1.75,1.99,1.99,1082700
2016-01-15,1.93,1.97,1.82,1.95,1.95,762800
2016-01-19,1.98,2.0,1.81,1.82,1.82,1317900
2016-01-20,1.81,1.91,1.68,1.89,1.89,1022200
2016-01-21,1.87,1.99,1.81,1.87,1.87,530400
2016-01-22,1.9,1.99,1.86,1.98,1.98,628700
2016-01-25,1.98,2.07,1.88,1.88,1.88,619600
2016-01-26,1.89,1.97,1.79,1.87,1.87,521600
2016-01-27,1.88,1.88,1.78,1.8,1.8,433200
2016-01-28,1.84,1.84,1.7,1.78,1.78,412700
2016-01-29,1.78,1.91,1.78,1.88,1.88,517000
2016-02-01,1.87,1.94,1.76,1.85,1.85,386900
2016-02-02,1.81,1.9,1.76,1.77,1.77,687900
2016-02-03,1.79,1.8,1.61,1.72,1.72,723100
2016-02-04,1.65,1.95,1.65,1.82,1.82,726200
2016-02-05,2.06,2.49,2.06,2.2,2.2,9877500
2016-02-08,2.18,2.18,1.95,1.97,1.97,1754100
2016-02-09,1.93,2.15,1.81,2.07,2.07,1722500
2016-02-10,2.04,2.21,1.87,1.98,1.98,1199000
2016-02-11,1.96,2.05,1.9,2.03,2.03,733000
2016-02-12,2.05,2.08,1.9,2.06,2.06,599500
2016-02-16,2.11,2.24,2.07,2.23,2.23,728900
2016-02-17,2.24,2.3,2.16,2.29,2.29,563500
2016-02-18,2.29,2.34,2.2,2.21,2.21,528700
2016-02-19,2.2,2.27,2.04,2.24,2.24,445000
2016-02-22,2.27,2.27,2.14,2.18,2.18,699000
2016-02-23,2.15,2.23,2.03,2.04,2.04,454300
2016-02-24,2.0,2.12,1.91,2.11,2.11,733000
2016-02-25,2.11,2.14,2.0,2.07,2.07,421600
2016-02-26,2.04,2.18,2.03,2.18,2.18,488800
2016-02-29,2.17,2.32,2.17,2.26,2.26,1018400
2016-03-01,2.27,2.34,2.21,2.33,2.33,486600
2016-03-02,2.33,2.46,2.27,2.44,2.44,524900
2016-03-03,2.42,2.5,2.35,2.43,2.43,718800
2016-03-04,2.45,2.56,2.38,2.53,2.53,902800
2016-03-07,2.51,2.66,2.49,2.62,2.62,933500
2016-03-08,2.66,2.66,2.5,2.51,2.51,832600
2016-03-09,2.52,2.58,2.4,2.53,2.53,558000
2016-03-10,2.55,2.63,2.38,2.47,2.47,313900
2016-03-11,2.48,2.56,2.39,2.55,2.55,461700
2016-03-14,2.55,2.68,2.54,2.65,2.65,674300
2016-03-15,2.3,2.57,2.22,2.56,2.56,3058400
2016-03-16,2.48,2.63,2.48,2.6,2.6,970000
2016-03-17,2.6,2.7,2.52,2.66,2.66,1016600
2016-03-18,2.65,2.73,2.56,2.63,2.63,1477600
2016-03-21,2.6,2.8,2.6,2.65,2.65,988400
2016-03-22,2.64,2.75,2.64,2.72,2.72,648600
2016-03-23,2.74,2.79,2.48,2.48,2.48,745200
2016-03-24,2.47,2.54,2.26,2.47,2.47,544400
2016-03-28,2.49,2.54,2.37,2.42,2.42,465900
2016-03-29,2.39,2.5,2.34,2.5,2.5,739500
2016-03-30,2.51,2.62,2.44,2.51,2.51,575100
2016-03-31,2.49,2.59,2.47,2.5,2.5,670900
2016-04-01,2.47,2.63,2.43,2.62,2.62,576600
2016-04-04,2.64,2.8,2.6,2.62,2.62,373500
2016-04-05,2.6,2.68,2.57,2.63,2.63,359700
2016-04-06,2.63,2.74,2.63,2.74,2.74,504200
2016-04-07,2.73,2.8,2.65,2.68,2.68,682800
2016-04-08,2.72,2.72,2.59,2.66,2.66,407200
2016-04-11,2.7,2.74,2.6,2.64,2.64,240300
2016-04-12,2.64,2.65,2.52,2.62,2.62,215800
2016-04-13,2.64,2.75,2.57,2.73,2.73,325000
2016-04-14,2.74,2.88,2.71,2.86,2.86,452100
2016-04-15,2.83,2.9,2.8,2.84,2.84,271600
2016-04-18,2.95,3.0,2.76,2.95,2.95,825900
2016-04-19,2.99,3.04,2.86,2.95,2.95,1132200
2016-04-20,2.93,3.09,2.81,2.97,2.97,1359500
2016-04-21,2.95,3.08,2.95,3.01,3.01,1853300
2016-04-22,3.0,3.22,2.95,3.22,3.22,1343300
2016-04-25,3.22,3.41,3.18,3.28,3.28,1639900
2016-04-26,3.3,3.37,3.2,3.33,3.33,861300
2016-04-27,3.34,3.74,3.3,3.69,3.69,2187900
2016-04-28,3.68,3.86,3.6,3.79,3.79,3008100
2016-04-29,3.74,3.77,3.39,3.55,3.55,2489300
2016-05-02,3.63,3.69,3.43,3.68,3.68,1720100
2016-05-03,3.68,3.76,3.42,3.75,3.75,1441700
2016-05-04,3.7,3.77,3.54,3.74,3.74,1521600
2016-05-05,3.73,3.76,3.41,3.46,3.46,1468400
2016-05-06,3.7,3.92,3.54,3.62,3.62,1953000
2016-05-09,3.65,3.88,3.51,3.86,3.86,1370900
2016-05-10,3.88,3.9,3.72,3.85,3.85,1582100
2016-05-11,3.86,3.98,3.8,3.87,3.87,1042700
2016-05-12,3.85,3.85,3.59,3.61,3.61,1274500
2016-05-13,3.59,3.81,3.59,3.72,3.72,836300
2016-05-16,3.75,3.9,3.73,3.88,3.88,941800
2016-05-17,3.83,3.98,3.77,3.81,3.81,868700
2016-05-18,3.79,3.96,3.77,3.85,3.85,884400
2016-05-19,3.83,4.25,3.79,4.17,4.17,3093300
2016-05-20,4.2,4.24,3.97,4.14,4.14,1860400
2016-05-23,4.12,4.26,4.1,4.21,4.21,1139300
2016-05-24,4.24,4.36,4.17,4.29,4.29,2336800
2016-05-25,4.33,4.6,4.29,4.54,4.54,1777500
2016-05-26,4.57,4.61,4.23,4.33,4.33,2278700
2016-05-27,4.35,4.65,4.27,4.62,4.62,1607100
2016-05-31,4.68,4.88,4.58,4.84,4.84,2245500
2016-06-01,4.87,5.0,4.58,4.99,4.99,2908800
2016-06-02,5.0,5.44,4.91,5.3,5.3,5173600
2016-06-03,4.39,4.64,3.94,4.52,4.52,15093700
2016-06-06,4.52,4.53,3.83,3.9,3.9,8424900
2016-06-07,3.86,4.03,3.84,3.88,3.88,2419500
2016-06-08,3.88,3.91,3.35,3.66,3.66,3486500
2016-06-09,3.6,3.63,2.91,3.13,3.13,7933400
2016-06-10,2.99,3.12,2.97,3.05,3.05,3550300
2016-06-13,3.01,3.12,2.96,2.97,2.97,1616400
2016-06-14,2.94,3.23,2.93,3.05,3.05,1569000
2016-06-15,3.07,3.1,2.95,2.97,2.97,981200
2016-06-16,2.92,2.95,2.78,2.81,2.81,2044800
2016-06-17,2.8,2.87,2.59,2.61,2.61,4477400
2016-06-20,2.58,2.65,2.49,2.53,2.53,2721100
2016-06-21,2.39,2.49,2.22,2.48,2.48,4181800
2016-06-22,2.39,2.56,2.27,2.4,2.4,3058400
2016-06-23,2.41,2.52,2.31,2.5,2.5,3111300
2016-06-24,2.36,2.46,2.1,2.17,2.17,13369500
2016-06-27,2.17,2.17,1.95,2.0,2.0,2737700
2016-06-28,2.18,2.23,2.05,2.18,2.18,2013800
2016-06-29,2.19,2.28,2.11,2.25,2.25,2352600
2016-06-30,2.25,2.32,2.22,2.32,2.32,2456400
2016-07-01,2.33,2.41,2.3,2.36,2.36,1901900
2016-07-05,2.35,2.43,2.28,2.4,2.4,2860500
2016-07-06,2.39,2.45,2.34,2.39,2.39,1248400
2016-07-07,2.43,2.5,2.32,2.37,2.37,980800
2016-07-08,2.35,2.5,2.31,2.48,2.48,1082600
2016-07-11,2.48,2.49,2.26,2.3,2.3,1775800
2016-07-12,2.32,2.33,2.26,2.3,2.3,936500
2016-07-13,2.31,2.32,2.16,2.18,2.18,779400
2016-07-14,2.19,2.22,2.09,2.2,2.2,899800
2016-07-15,2.22,2.28,2.19,2.28,2.28,567700
2016-07-18,2.3,2.32,2.22,2.31,2.31,494000
2016-07-19,2.29,2.32,2.23,2.27,2.27,1054800
2016-07-20,2.28,2.56,2.25,2.52,2.52,1502400
2016-07-21,2.55,2.6,2.47,2.59,2.59,1612000
2016-07-22,2.59,2.75,2.57,2.68,2.68,1431100
2016-07-25,2.68,2.75,2.5,2.59,2.59,1228700
2016-07-26,2.58,2.71,2.56,2.64,2.64,972800
2016-07-27,2.66,2.7,2.52,2.65,2.65,856100
2016-07-28,2.64,2.69,2.54,2.61,2.61,1307100
2016-07-29,2.6,2.68,2.56,2.65,2.65,746700
2016-08-01,2.66,2.84,2.63,2.8,2.8,1138300
2016-08-02,2.79,2.83,2.64,2.69,2.69,1052400
2016-08-03,2.7,2.8,2.64,2.8,2.8,617200
2016-08-04,2.81,2.84,2.74,2.84,2.84,647700
2016-08-05,2.85,3.03,2.82,2.99,2.99,1009900
2016-08-08,2.97,3.1,2.89,2.96,2.96,1059600
2016-08-09,3.0,3.04,2.91,2.94,2.94,404400
2016-08-10,2.94,3.01,2.75,2.75,2.75,690900
2016-08-11,2.76,2.91,2.71,2.84,2.84,518400
2016-08-12,2.83,2.95,2.78,2.92,2.92,414500
2016-08-15,2.92,3.15,2.92,3.07,3.07,1347500
2016-08-16,3.06,3.07,2.77,2.8,2.8,1957800
2016-08-17,2.8,2.88,2.68,2.87,2.87,968700
2016-08-18,2.75,3.15,2.75,2.9,2.9,1338800
2016-08-19,2.9,2.98,2.87,2.89,2.89,658200
2016-08-22,2.91,2.99,2.87,2.98,2.98,489200
2016-08-23,3.0,3.04,2.9,2.97,2.97,951100
2016-08-24,2.97,3.03,2.75,2.76,2.76,963900
2016-08-25,2.76,2.87,2.72,2.76,2.76,683600
2016-08-26,2.78,2.9,2.6,2.72,2.72,1078300
2016-08-29,2.71,2.77,2.65,2.71,2.71,546100
2016-08-30,2.72,2.8,2.72,2.76,2.76,459100
2016-08-31,2.76,2.79,2.65,2.77,2.77,866800
2016-09-01,2.78,2.78,2.6,2.68,2.68,719100
2016-09-02,2.72,2.76,2.66,2.74,2.74,544700
2016-09-06,2.77,2.87,2.7,2.83,2.83,599300
2016-09-07,2.81,2.91,2.77,2.86,2.86,501900
2016-09-08,2.85,2.99,2.79,2.99,2.99,816300
2016-09-09,2.93,2.97,2.74,2.74,2.74,967500
2016-09-12,2.67,2.88,2.66,2.88,2.88,961900
2016-09-13,2.83,2.88,2.72,2.85,2.85,699700
2016-09-14,2.85,3.0,2.72,3.0,3.0,702900
