Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,17.709999,18.6,17.16,17.24,17.24,511300
2016-01-05,17.379998999999998,17.6,16.809998999999998,17.129998999999998,17.129998999999998,352000
2016-01-06,16.719998999999998,17.09,16.15,16.5,16.5,342900
2016-01-07,15.98,16.35,15.76,16.16,16.16,611100
2016-01-08,16.18,16.790001,15.98,16.08,16.08,631900
2016-01-11,16.24,16.24,15.16,15.29,15.29,777400
2016-01-12,15.44,16.15,15.18,16.129998999999998,16.129998999999998,667700
2016-01-13,16.219998999999998,16.370001000000002,14.88,14.95,14.95,560500
2016-01-14,15.01,15.55,14.32,15.16,15.16,395900
2016-01-15,14.64,14.72,13.85,14.3,14.3,548700
2016-01-19,14.56,14.56,13.23,13.44,13.44,497600
2016-01-20,13.09,13.84,12.54,13.63,13.63,625800
2016-01-21,13.63,13.8,12.9,12.92,12.92,497600
2016-01-22,13.24,13.34,12.77,13.27,13.27,585400
2016-01-25,13.17,13.83,12.59,13.4,13.4,591700
2016-01-26,13.58,13.77,12.71,13.62,13.62,804100
2016-01-27,13.67,13.77,13.0,13.04,13.04,546100
2016-01-28,13.18,13.23,12.32,12.82,12.82,564100
2016-01-29,12.74,13.23,12.66,13.2,13.2,602200
2016-02-01,13.1,13.68,12.97,13.54,13.54,519300
2016-02-02,13.3,13.3,12.64,13.08,13.08,654300
2016-02-03,13.17,13.19,12.5,12.85,12.85,526800
2016-02-04,13.2,13.79,12.76,13.38,13.38,533200
2016-02-05,13.34,13.69,12.64,12.78,12.78,705700
2016-02-08,12.46,13.04,12.07,12.33,12.33,743700
2016-02-09,12.03,13.17,11.89,12.75,12.75,491900
2016-02-10,13.01,13.47,12.65,12.81,12.81,341100
2016-02-11,12.46,12.98,11.99,12.79,12.79,533300
2016-02-12,12.96,13.1,12.44,13.06,13.06,317400
2016-02-16,13.27,13.75,13.16,13.32,13.32,343600
2016-02-17,13.46,13.96,13.39,13.48,13.48,548200
2016-02-18,13.52,13.58,12.67,12.69,12.69,425700
2016-02-19,12.62,13.06,12.37,12.94,12.94,496000
2016-02-22,13.17,13.5,13.06,13.34,13.34,322800
2016-02-23,13.13,13.5,12.49,12.52,12.52,385600
2016-02-24,12.31,12.51,11.84,12.39,12.39,440000
2016-02-25,12.42,12.64,11.49,11.61,11.61,575300
2016-02-26,11.63,12.23,11.42,12.1,12.1,492700
2016-02-29,12.38,13.29,12.04,12.23,12.23,759700
2016-03-01,12.28,12.7,11.49,11.8,11.8,1194300
2016-03-02,11.72,12.89,11.56,12.88,12.88,623300
2016-03-03,12.86,12.93,12.33,12.58,12.58,482100
2016-03-04,12.58,13.03,12.28,12.45,12.45,377100
2016-03-07,12.39,13.31,12.12,13.3,13.3,447100
2016-03-08,13.25,13.54,12.39,12.39,12.39,441800
2016-03-09,12.53,12.8,11.61,12.32,12.32,374100
2016-03-10,12.26,12.7,11.43,11.91,11.91,345600
2016-03-11,11.99,12.2,11.75,12.03,12.03,301200
2016-03-14,12.0,12.64,11.96,12.42,12.42,256600
2016-03-15,12.45,12.81,11.67,11.69,11.69,468400
2016-03-16,11.68,11.85,11.11,11.36,11.36,359100
2016-03-17,11.32,11.49,10.53,11.35,11.35,410300
2016-03-18,11.44,11.94,10.92,11.86,11.86,829800
2016-03-21,11.81,12.41,11.69,12.14,12.14,271200
2016-03-22,12.04,12.94,12.04,12.92,12.92,387000
2016-03-23,12.82,13.08,11.63,11.65,11.65,314800
2016-03-24,11.52,12.13,11.23,11.77,11.77,233700
2016-03-28,11.88,12.23,11.52,11.53,11.53,178800
2016-03-29,11.47,12.33,11.08,12.3,12.3,313200
2016-03-30,12.49,13.35,12.08,12.32,12.32,376400
2016-03-31,12.3,13.07,12.3,12.67,12.67,474000
2016-04-01,12.6,12.98,12.38,12.66,12.66,554900
2016-04-04,12.72,13.2,12.72,12.84,12.84,524900
2016-04-05,12.71,13.11,12.58,12.66,12.66,470800
2016-04-06,12.71,13.65,12.71,13.64,13.64,719600
2016-04-07,13.58,13.89,13.13,13.67,13.67,557600
2016-04-08,13.91,13.93,12.62,12.79,12.79,376400
2016-04-11,12.87,13.07,12.27,12.3,12.3,314000
2016-04-12,12.3,12.71,12.13,12.64,12.64,368500
2016-04-13,12.75,13.25,12.54,13.14,13.14,354500
2016-04-14,13.16,13.6,13.03,13.15,13.15,300300
2016-04-15,13.15,13.25,12.86,13.16,13.16,185900
2016-04-18,13.07,13.59,12.97,13.55,13.55,222400
2016-04-19,13.51,13.8,13.32,13.48,13.48,284000
2016-04-20,13.54,13.77,13.21,13.38,13.38,261200
2016-04-21,13.31,14.05,13.27,13.87,13.87,335600
2016-04-22,13.87,14.29,13.61,14.26,14.26,292300
2016-04-25,14.27,14.53,13.66,13.75,13.75,283100
2016-04-26,13.72,13.72,12.81,12.93,12.93,445000
2016-04-27,12.84,12.84,12.21,12.61,12.61,396400
2016-04-28,12.62,13.08,12.32,12.46,12.46,263200
2016-04-29,12.38,12.5,12.02,12.15,12.15,231800
2016-05-02,12.27,12.5,11.81,12.45,12.45,237500
2016-05-03,12.24,12.48,11.71,11.74,11.74,310700
2016-05-04,11.72,11.75,10.97,11.07,11.07,386600
2016-05-05,11.14,11.14,10.39,10.98,10.98,527800
2016-05-06,10.89,11.21,10.79,11.11,11.11,222800
2016-05-09,11.18,11.89,11.1,11.73,11.73,269200
2016-05-10,11.83,12.32,11.24,11.6,11.6,227100
2016-05-11,11.57,11.8,11.1,11.15,11.15,176100
2016-05-12,11.25,11.25,10.48,10.72,10.72,302200
2016-05-13,10.68,11.06,10.57,10.79,10.79,362100
2016-05-16,10.91,11.28,10.91,11.02,11.02,351500
2016-05-17,10.99,11.22,10.75,10.86,10.86,374600
2016-05-18,10.79,11.36,10.61,10.99,10.99,349700
2016-05-19,10.94,11.31,10.56,10.85,10.85,332200
2016-05-20,10.9,11.28,10.69,11.2,11.2,393400
2016-05-23,11.19,11.52,11.18,11.34,11.34,525200
2016-05-24,11.49,11.87,11.26,11.81,11.81,443400
2016-05-25,11.9,12.1,11.66,11.96,11.96,355900
2016-05-26,11.99,12.01,11.76,11.88,11.88,341200
2016-05-27,11.94,11.94,11.64,11.83,11.83,323200
2016-05-31,11.64,11.98,11.55,11.8,11.8,852700
2016-06-01,11.77,11.99,11.62,11.89,11.89,1267900
