Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,10.44,10.71,10.24,10.32,10.32,1215000
2016-01-05,10.37,10.54,10.26,10.4,10.4,606600
2016-01-06,10.29,10.33,9.97,10.0,10.0,657300
2016-01-07,9.9,10.22,9.49,9.77,9.77,734400
2016-01-08,9.81,10.25,9.59,9.81,9.81,665400
2016-01-11,9.81,9.81,9.81,9.81,9.81,0
2016-01-12,9.53,10.05,8.05,8.43,8.43,1367100
2016-01-13,8.37,8.79,8.18,8.23,8.23,793000
2016-01-14,8.24,9.07,7.56,8.93,8.93,835300
2016-01-15,8.64,9.2,8.26,9.05,9.05,888500
2016-01-19,9.0,9.15,8.16,8.37,8.37,766800
2016-01-20,8.21,8.95,7.9,8.67,8.67,723600
2016-01-21,8.71,9.78,8.51,9.47,9.47,494400
2016-01-22,9.66,10.41,9.42,9.97,9.97,395400
2016-01-25,9.86,10.49,9.75,9.85,9.85,278200
2016-01-26,9.79,10.14,9.39,9.97,9.97,280600
2016-01-27,9.92,10.1,9.54,9.61,9.61,442400
2016-01-28,9.74,10.14,9.09,9.22,9.22,325100
2016-01-29,9.17,10.02,9.13,10.02,10.02,572200
2016-02-01,9.94,10.0,9.47,9.82,9.82,791200
2016-02-02,9.63,9.9,9.38,9.69,9.69,1167000
2016-02-03,9.69,9.79,8.93,9.1,9.1,1148200
2016-02-04,10.92,11.72,10.0,11.1,11.1,2308700
2016-02-05,11.05,11.73,10.34,11.03,11.03,1619900
2016-02-08,10.93,11.22,10.41,11.0,11.0,657800
2016-02-09,10.85,11.27,10.52,10.98,10.98,653800
2016-02-10,10.82,11.22,10.56,10.93,10.93,887600
2016-02-11,9.95,11.18,9.47,11.13,11.13,531500
2016-02-12,11.28,12.11,10.92,11.99,11.99,857200
2016-02-16,12.48,12.89,12.09,12.64,12.64,1095100
2016-02-17,12.71,13.21,12.7,12.85,12.85,708800
2016-02-18,12.84,12.99,11.89,11.97,11.97,894200
2016-02-19,11.91,12.49,11.69,12.28,12.28,573300
2016-02-22,12.5,12.5,10.84,11.27,11.27,1131700
2016-02-23,11.25,11.72,11.16,11.42,11.42,529300
2016-02-24,11.24,11.56,10.8,11.44,11.44,538900
2016-02-25,11.45,11.6,10.92,11.53,11.53,323300
2016-02-26,11.63,11.92,11.52,11.62,11.62,380600
2016-02-29,11.51,12.01,11.04,11.72,11.72,607900
2016-03-01,11.74,11.94,11.13,11.48,11.48,1277500
2016-03-02,11.58,12.06,11.14,11.93,11.93,726600
2016-03-03,11.95,12.31,11.89,12.13,12.13,418000
2016-03-04,12.17,12.47,11.84,12.02,12.02,408000
2016-03-07,11.98,12.6,11.95,12.53,12.53,520000
2016-03-08,12.51,12.51,11.99,11.99,11.99,366100
2016-03-09,12.04,12.38,11.82,12.2,12.2,660900
2016-03-10,12.3,12.33,11.04,12.05,12.05,306600
2016-03-11,12.14,12.44,11.97,12.42,12.42,541000
2016-03-14,12.25,12.59,11.67,12.26,12.26,842900
2016-03-15,12.16,12.27,11.22,11.36,11.36,670700
2016-03-16,11.37,11.63,11.02,11.26,11.26,584800
2016-03-17,11.23,11.36,11.02,11.16,11.16,632100
2016-03-18,11.24,12.32,11.21,12.23,12.23,2130600
2016-03-21,12.18,12.45,11.98,12.12,12.12,431500
2016-03-22,12.11,12.36,11.89,12.2,12.2,541700
2016-03-23,12.32,12.43,11.7,11.76,11.76,522800
2016-03-24,11.63,12.18,11.45,11.84,11.84,534300
2016-03-28,11.92,12.09,11.34,11.65,11.65,979200
2016-03-29,11.55,12.3,11.42,12.29,12.29,1361700
2016-03-30,12.41,12.61,12.1,12.38,12.38,1337300
2016-03-31,12.4,12.73,12.36,12.59,12.59,768500
2016-04-01,12.48,13.0,12.3,12.83,12.83,1039500
2016-04-04,12.9,13.45,12.88,13.21,13.21,849800
2016-04-05,13.12,13.47,12.79,13.27,13.27,506900
2016-04-06,13.24,13.76,13.16,13.5,13.5,547100
2016-04-07,13.46,13.69,13.32,13.43,13.43,922200
2016-04-08,13.52,13.52,13.07,13.18,13.18,388100
2016-04-11,13.25,13.48,12.82,12.92,12.92,395500
2016-04-12,12.89,13.18,12.55,13.09,13.09,378100
2016-04-13,13.13,13.39,12.98,13.16,13.16,880600
2016-04-14,13.2,13.42,12.88,13.3,13.3,489500
2016-04-15,13.36,13.47,13.13,13.4,13.4,615600
2016-04-18,13.33,13.79,13.21,13.73,13.73,526200
2016-04-19,13.59,14.08,13.54,13.77,13.77,559300
2016-04-20,13.7,14.15,13.59,13.76,13.76,402300
2016-04-21,13.73,13.94,13.66,13.75,13.75,507600
2016-04-22,13.7,13.99,13.53,13.75,13.75,429300
2016-04-25,13.76,13.85,13.55,13.73,13.73,307900
2016-04-26,13.89,13.94,13.56,13.64,13.64,462100
2016-04-27,13.7,13.71,12.33,12.47,12.47,1167700
2016-04-28,12.43,12.7,12.2,12.35,12.35,827400
2016-04-29,12.68,13.07,11.95,12.34,12.34,917900
2016-05-02,12.4,12.41,11.39,12.01,12.01,1269300
2016-05-03,11.96,12.18,11.72,11.74,11.74,575800
2016-05-04,11.7,11.84,11.45,11.61,11.61,414000
2016-05-05,11.59,11.72,11.39,11.53,11.53,276400
2016-05-06,11.54,11.85,11.41,11.82,11.82,631200
2016-05-09,11.64,11.86,11.58,11.7,11.7,442000
2016-05-10,11.77,11.93,11.3,11.31,11.31,853600
2016-05-11,11.29,11.45,11.12,11.13,11.13,453500
2016-05-12,11.12,11.2,10.69,10.75,10.75,631700
2016-05-13,10.61,10.84,10.48,10.7,10.7,827600
2016-05-16,10.75,10.96,10.46,10.66,10.66,761800
2016-05-17,10.57,10.84,10.46,10.57,10.57,809100
