Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.43,11.54,11.02,11.07,11.07,1317600
2016-01-05,11.11,11.42,11.08,11.39,11.39,978500
2016-01-06,11.23,11.31,10.94,11.07,11.07,932500
2016-01-07,10.88,11.06,10.59,10.59,10.59,1122400
2016-01-08,10.78,11.28,10.71,10.8,10.8,1440200
2016-01-11,10.83,10.98,10.31,10.6,10.6,1375300
2016-01-12,10.64,11.24,10.55,11.02,11.02,1619700
2016-01-13,11.06,11.11,10.36,10.44,10.44,1328400
2016-01-14,10.5,10.52,9.95,10.24,10.24,1709300
2016-01-15,9.91,10.11,9.53,10.02,10.02,1291500
2016-01-19,10.16,10.25,9.45,9.6,9.6,728300
2016-01-20,9.47,10.01,9.02,9.87,9.87,938500
2016-01-21,9.85,10.16,9.6,9.93,9.93,806000
2016-01-22,10.07,10.15,9.69,9.87,9.87,798700
2016-01-25,9.77,9.95,9.37,9.51,9.51,935600
2016-01-26,9.53,9.7,9.06,9.47,9.47,820300
2016-01-27,9.46,9.73,9.25,9.29,9.29,710200
2016-01-28,9.39,9.48,8.84,9.26,9.26,1331900
2016-01-29,9.27,9.46,8.94,9.23,9.23,1243000
2016-02-01,9.12,9.43,8.94,9.18,9.18,899800
2016-02-02,9.1,9.31,8.78,8.86,8.86,1091900
2016-02-03,8.89,9.05,8.25,8.77,8.77,1319800
2016-02-04,8.73,9.27,8.57,9.08,9.08,1750700
2016-02-05,9.05,9.18,8.19,8.43,8.43,3156600
2016-02-08,8.35,8.71,7.35,7.8,7.8,1661800
2016-02-09,7.65,8.16,7.51,7.97,7.97,995300
2016-02-10,8.05,8.25,7.83,7.89,7.89,1537700
2016-02-11,7.75,8.15,7.53,8.08,8.08,1398700
2016-02-12,8.15,8.46,8.02,8.37,8.37,1530100
2016-02-16,8.48,8.57,8.27,8.55,8.55,1056000
2016-02-17,8.71,9.24,8.62,8.76,8.76,1127600
2016-02-18,9.41,9.45,8.52,8.59,8.59,2826700
2016-02-19,8.76,9.1,8.24,9.06,9.06,3461500
2016-02-22,9.12,9.64,9.02,9.31,9.31,2414400
2016-02-23,9.27,9.63,8.79,8.84,8.84,2687700
2016-02-24,8.81,8.88,8.18,8.84,8.84,2245500
2016-02-25,8.85,9.43,8.85,9.2,9.2,1652000
2016-02-26,9.28,9.62,9.21,9.58,9.58,1503700
2016-02-29,9.61,9.71,9.45,9.65,9.65,1936700
2016-03-01,9.75,10.25,9.6,10.24,10.24,2690300
2016-03-02,10.19,10.66,9.99,10.64,10.64,3128000
2016-03-03,10.62,10.74,10.37,10.71,10.71,1694300
2016-03-04,10.69,10.96,10.49,10.92,10.92,2015400
2016-03-07,10.88,11.48,10.49,11.3,11.3,1783500
2016-03-08,11.24,11.3,10.95,11.0,11.0,1637100
2016-03-09,11.06,11.35,9.98,10.76,10.76,1354800
2016-03-10,10.8,11.06,10.46,10.51,10.51,1128800
2016-03-11,10.59,10.86,10.48,10.84,10.84,1673500
2016-03-14,10.77,11.35,10.73,10.91,10.91,1037600
2016-03-15,10.87,10.95,10.45,10.46,10.46,1323600
2016-03-16,10.47,10.49,10.1,10.36,10.36,1043300
2016-03-17,10.33,10.54,9.93,10.2,10.2,1202200
2016-03-18,10.31,10.54,10.16,10.26,10.26,2928700
2016-03-21,10.27,10.75,9.99,10.11,10.11,2601800
2016-03-22,10.08,10.95,10.08,10.81,10.81,1373000
2016-03-23,10.72,10.97,10.27,10.27,10.27,840800
2016-03-24,10.18,10.64,10.07,10.39,10.39,665900
2016-03-28,10.48,10.48,10.1,10.11,10.11,741500
2016-03-29,10.05,10.43,9.9,10.42,10.42,1099600
2016-03-30,10.5,10.92,10.44,10.47,10.47,1038400
2016-03-31,10.52,11.14,10.43,10.94,10.94,2040400
2016-04-01,10.9,11.26,10.74,11.2,11.2,1790300
2016-04-04,11.26,11.56,11.16,11.23,11.23,1670100
2016-04-05,11.11,11.2,10.78,10.79,10.79,978500
2016-04-06,11.29,11.98,11.15,11.74,11.74,3629700
2016-04-07,11.69,11.83,11.2,11.45,11.45,1404800
2016-04-08,11.62,11.66,11.13,11.28,11.28,750000
2016-04-11,11.33,11.49,10.91,11.02,11.02,884800
2016-04-12,11.01,11.52,11.01,11.42,11.42,1190700
2016-04-13,11.48,11.59,11.16,11.42,11.42,1052500
2016-04-14,11.42,11.5,11.23,11.35,11.35,676300
2016-04-15,11.3,11.49,11.19,11.27,11.27,952300
2016-04-18,11.19,11.66,11.16,11.63,11.63,2558600
2016-04-19,11.62,11.62,11.01,11.03,11.03,1154800
2016-04-20,11.05,11.18,10.3,10.71,10.71,1534900
2016-04-21,10.6,10.81,10.13,10.81,10.81,1062300
2016-04-22,10.85,11.0,10.38,10.84,10.84,959500
2016-04-25,10.83,10.96,10.66,10.85,10.85,829300
2016-04-26,10.4,10.9,9.06,10.25,10.25,10089200
2016-04-27,10.12,10.74,10.1,10.49,10.49,3727900
2016-04-28,10.49,11.07,10.28,10.83,10.83,3043800
2016-04-29,10.8,10.85,10.43,10.45,10.45,1398400
2016-05-02,10.47,10.77,10.31,10.76,10.76,977700
