Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,137.830002,138.899994,135.350006,137.259995,137.259995,501500
2016-01-05,138.350006,139.550003,136.029999,137.389999,137.389999,561200
2016-01-06,135.550003,136.08999599999999,132.220001,132.740005,132.740005,631600
2016-01-07,130.0,132.190002,128.41000400000001,129.08999599999999,129.08999599999999,473500
2016-01-08,128.96000700000002,131.740005,127.709999,128.0,128.0,818500
2016-01-11,128.96000700000002,129.690002,120.879997,123.58000200000001,123.58000200000001,698100
2016-01-12,123.809998,131.649994,123.809998,129.96000700000002,129.96000700000002,1088600
2016-01-13,131.050003,132.619995,122.040001,122.93,122.93,802200
2016-01-14,122.720001,128.25,119.110001,126.489998,126.489998,673000
2016-01-15,122.660004,126.099998,120.93,124.400002,124.400002,708500
2016-01-19,126.190002,127.089996,119.16999799999999,120.68,120.68,649400
2016-01-20,118.66999799999999,130.369995,116.150002,128.610001,128.610001,985000
2016-01-21,127.610001,132.96000700000002,125.639999,130.16000400000001,130.16000400000001,906900
2016-01-22,132.850006,133.699997,130.509995,132.820007,132.820007,556600
2016-01-25,132.03999299999998,133.970001,131.009995,131.399994,131.399994,522700
2016-01-26,132.050003,134.119995,128.199997,132.649994,132.649994,404400
2016-01-27,131.850006,133.119995,127.300003,128.21000700000002,128.21000700000002,651200
2016-01-28,130.190002,130.970001,123.010002,124.599998,124.599998,659400
2016-01-29,124.739998,128.860001,124.739998,128.740005,128.740005,853200
2016-02-01,128.550003,130.53999299999998,125.540001,127.239998,127.239998,783100
2016-02-02,126.349998,127.110001,121.629997,122.0,122.0,441100
2016-02-03,122.760002,124.0,118.75,123.449997,123.449997,777000
2016-02-04,123.07,126.58000200000001,122.07,124.870003,124.870003,477000
2016-02-05,124.66999799999999,126.239998,121.190002,121.769997,121.769997,507200
2016-02-08,119.470001,121.620003,111.959999,114.160004,114.160004,672900
2016-02-09,111.370003,118.980003,109.059998,116.699997,116.699997,726100
2016-02-10,116.629997,120.860001,112.949997,116.489998,116.489998,738600
2016-02-11,112.300003,116.739998,108.5,112.720001,112.720001,938300
2016-02-12,113.050003,115.75,109.440002,113.779999,113.779999,591400
2016-02-16,115.629997,119.870003,114.360001,119.0,119.0,570900
2016-02-17,120.779999,127.129997,120.779999,122.790001,122.790001,509300
2016-02-18,123.239998,125.489998,121.43,121.639999,121.639999,383400
2016-02-19,120.41999799999999,123.709999,119.540001,123.07,123.07,432400
2016-02-22,124.230003,126.529999,123.860001,125.449997,125.449997,576500
2016-02-23,124.959999,126.019997,120.110001,121.91999799999999,121.91999799999999,679300
2016-02-24,120.0,122.220001,114.83000200000001,121.83000200000001,121.83000200000001,895400
2016-02-25,121.91999799999999,124.5,120.230003,123.360001,123.360001,612300
2016-02-26,124.720001,126.290001,122.58000200000001,125.0,125.0,596500
2016-02-29,123.480003,124.199997,121.209999,121.58000200000001,121.58000200000001,693700
2016-03-01,121.41999799999999,124.16999799999999,120.16999799999999,123.709999,123.709999,733700
2016-03-02,123.400002,126.879997,122.629997,125.82,125.82,579900
2016-03-03,124.91999799999999,127.5,124.839996,125.459999,125.459999,560900
2016-03-04,125.440002,126.389999,123.010002,123.760002,123.760002,593800
2016-03-07,122.779999,128.559998,122.599998,127.839996,127.839996,570800
2016-03-08,126.040001,129.479996,125.5,125.959999,125.959999,602900
2016-03-09,126.279999,127.959999,125.150002,126.559998,126.559998,422400
2016-03-10,127.730003,129.0,126.769997,127.779999,127.779999,505600
2016-03-11,128.699997,133.820007,128.119995,133.800003,133.800003,627600
2016-03-14,133.429993,134.419998,130.009995,130.08999599999999,130.08999599999999,605400
2016-03-15,129.169998,130.0,120.019997,120.849998,120.849998,876400
2016-03-16,121.370003,123.41999799999999,118.860001,120.970001,120.970001,649600
2016-03-17,121.190002,121.910004,116.360001,118.650002,118.650002,869200
2016-03-18,118.650002,120.050003,117.25,118.300003,118.300003,1023400
2016-03-21,118.07,120.290001,117.860001,119.209999,119.209999,693100
2016-03-22,118.16999799999999,123.150002,117.75,122.360001,122.360001,668200
2016-03-23,122.139999,123.139999,120.160004,121.110001,121.110001,521400
2016-03-24,120.110001,121.860001,116.91999799999999,118.589996,118.589996,680600
2016-03-28,119.690002,120.260002,115.660004,118.129997,118.129997,424300
2016-03-29,117.599998,121.519997,115.510002,120.949997,120.949997,472300
2016-03-30,121.540001,128.279999,121.379997,124.029999,124.029999,1292100
2016-03-31,123.599998,132.050003,123.599998,130.550003,130.550003,932400
2016-04-01,130.0,136.669998,129.0,133.820007,133.820007,713700
2016-04-04,133.720001,138.25,132.130005,135.550003,135.550003,560300
2016-04-05,133.470001,135.139999,131.990005,133.740005,133.740005,564200
2016-04-06,134.25,141.220001,133.78999299999998,140.990005,140.990005,901300
2016-04-07,140.899994,142.940002,138.78999299999998,140.070007,140.070007,957300
2016-04-08,141.149994,142.070007,138.28999299999998,140.009995,140.009995,560600
2016-04-11,140.25,141.139999,137.050003,138.190002,138.190002,619900
2016-04-12,136.979996,139.759995,135.5,139.669998,139.669998,996900
2016-04-13,146.979996,153.0,144.119995,147.33999599999999,147.33999599999999,1968800
2016-04-14,147.350006,147.429993,144.429993,146.28999299999998,146.28999299999998,883400
2016-04-15,145.78999299999998,146.350006,143.419998,144.78999299999998,144.78999299999998,625000
2016-04-18,144.690002,148.479996,144.509995,147.770004,147.770004,760300
2016-04-19,149.0,151.190002,146.699997,149.520004,149.520004,905500
2016-04-20,150.520004,152.75,146.809998,151.020004,151.020004,783600
2016-04-21,151.770004,156.509995,151.300003,156.119995,156.119995,791500
2016-04-22,155.509995,157.429993,153.619995,157.16000400000001,157.16000400000001,625900
2016-04-25,160.0,160.0,153.020004,154.550003,154.550003,672600
2016-04-26,153.889999,155.070007,150.46000700000002,154.66000400000001,154.66000400000001,618300
2016-04-27,154.050003,154.28999299999998,151.020004,152.970001,152.970001,434800
2016-04-28,151.580002,153.940002,150.979996,152.0,152.0,398200
2016-04-29,152.240005,152.679993,146.729996,150.699997,150.699997,507900
2016-05-02,151.25,152.679993,149.33999599999999,152.570007,152.570007,396900
2016-05-03,152.229996,153.979996,149.360001,152.470001,152.470001,469800
2016-05-04,150.020004,150.490005,146.08999599999999,148.580002,148.580002,494500
2016-05-05,149.009995,149.009995,145.470001,145.75,145.75,1174400
2016-05-06,144.96000700000002,148.279999,139.75,144.350006,144.350006,733400
2016-05-09,145.130005,149.08999599999999,145.130005,147.690002,147.690002,767800
2016-05-10,148.779999,148.990005,145.020004,147.820007,147.820007,955400
2016-05-11,154.550003,155.949997,148.529999,148.759995,148.759995,1890300
2016-05-12,149.490005,150.360001,142.279999,145.229996,145.229996,1148600
