Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.07,13.61,12.81,13.46,13.46,335500
2016-01-05,13.47,13.97,13.115,13.7,13.7,215800
2016-01-06,13.19,13.2,10.52,11.59,11.59,1139000
2016-01-07,10.87,10.87,9.94,9.95,9.95,592300
2016-01-08,10.27,10.97,9.355,9.44,9.44,340400
2016-01-11,9.43,10.065,8.0,8.12,8.12,557900
2016-01-12,8.15,8.835,7.78,8.16,8.16,297800
2016-01-13,8.32,8.87,6.82,6.94,6.94,359600
2016-01-14,7.02,7.29,6.077,6.84,6.84,574400
2016-01-15,6.58,6.7,6.365,6.54,6.54,484100
2016-01-19,6.66,6.75,5.97,6.39,6.39,442600
2016-01-20,5.76,7.08,5.76,6.82,6.82,737300
2016-01-21,6.81,7.83,6.52,7.29,7.29,430200
2016-01-22,7.47,7.47,6.74,7.0,7.0,396500
2016-01-25,6.98,7.24,6.73,6.77,6.77,193400
2016-01-26,6.83,6.96,6.18,6.68,6.68,292500
2016-01-27,6.61,6.78,6.295,6.33,6.33,178400
2016-01-28,6.36,6.41,5.69,5.94,5.94,377800
2016-01-29,5.94,6.33,5.83,6.22,6.22,284700
2016-02-01,6.15,6.285,5.9,6.07,6.07,277100
2016-02-02,5.99,6.0,5.58,5.84,5.84,318400
2016-02-03,5.84,5.95,5.43,5.88,5.88,309200
2016-02-04,5.88,6.64,5.81,5.96,5.96,357200
2016-02-05,5.98,6.3,5.43,5.76,5.76,540700
2016-02-08,5.65,5.76,5.25,5.45,5.45,360700
2016-02-09,5.35,5.913,4.83,5.8,5.8,260200
2016-02-10,5.83,6.084,5.33,5.34,5.34,293100
2016-02-11,5.18,5.49,5.04,5.33,5.33,255300
2016-02-12,5.39,5.72,5.39,5.55,5.55,297800
2016-02-16,5.64,5.87,5.59,5.83,5.83,291400
2016-02-17,5.89,6.7,5.89,6.46,6.46,428200
2016-02-18,6.51,6.53,6.07,6.1,6.1,322300
2016-02-19,6.03,6.31,5.78,6.13,6.13,207400
2016-02-22,6.2,6.36,6.16,6.24,6.24,196000
2016-02-23,6.16,6.2,5.81,5.82,5.82,147200
2016-02-24,5.72,5.97,5.5,5.91,5.91,163800
2016-02-25,5.9,5.97,5.54,5.8,5.8,123700
2016-02-26,5.85,6.17,5.85,6.09,6.09,190400
2016-02-29,6.1,6.28,5.89,5.9,5.9,139200
2016-03-01,5.94,6.395,5.9,6.37,6.37,225600
2016-03-02,6.42,7.095,6.34,6.93,6.93,342200
2016-03-03,6.9,7.63,6.9,7.33,7.33,275900
2016-03-04,7.46,8.18,7.22,7.88,7.88,325600
2016-03-07,7.8,8.45,7.25,8.42,8.42,301800
2016-03-08,8.35,8.45,7.43,7.84,7.84,350700
2016-03-09,7.84,7.9,7.28,7.62,7.62,193600
2016-03-10,7.61,7.755,7.15,7.35,7.35,174900
2016-03-11,7.53,8.17,7.26,7.9,7.9,237300
2016-03-14,8.08,9.22,8.08,8.87,8.87,362600
2016-03-15,8.28,8.42,7.11,7.67,7.67,658600
2016-03-16,7.71,8.33,7.56,7.69,7.69,348000
2016-03-17,7.7,7.95,7.37,7.76,7.76,382300
2016-03-18,7.83,8.38,7.74,8.32,8.32,471900
2016-03-21,8.28,9.18,8.02,8.9,8.9,297200
