Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.58,8.85,8.24,8.6,8.6,84200
2016-01-05,8.9,8.9,8.04,8.15,8.15,28600
2016-01-06,8.15,8.15,6.91,7.09,7.09,46800
2016-01-07,7.02,7.105,6.68,6.93,6.93,26500
2016-01-08,6.89,7.89,6.7,6.98,6.98,29900
2016-01-11,7.02,7.71,6.75,6.98,6.98,74500
2016-01-12,7.08,7.48,6.97,7.09,7.09,16100
2016-01-13,7.1,7.18,6.73,6.79,6.79,19000
2016-01-14,6.767,6.767,5.96,6.47,6.47,28500
2016-01-15,6.5,6.65,5.76,5.97,5.97,108100
2016-01-19,6.55,6.55,5.31,5.6,5.6,108900
2016-01-20,5.7,5.97,4.68,4.86,4.86,123300
2016-01-21,4.66,5.08,4.57,4.67,4.67,27400
2016-01-22,5.35,5.711,5.05,5.2,5.2,88600
2016-01-25,5.3,5.671,5.1,5.27,5.27,22800
2016-01-26,5.22,5.72,4.88,5.37,5.37,34200
2016-01-27,5.16,5.52,4.75,4.77,4.77,50600
2016-01-28,4.78,5.25,4.524,4.67,4.67,39300
2016-01-29,4.61,5.21,4.61,4.8,4.8,23100
2016-02-01,5.18,5.18,4.52,4.53,4.53,37900
2016-02-02,4.59,4.99,4.51,4.51,4.51,15200
2016-02-03,4.52,4.99,4.22,4.22,4.22,88800
2016-02-04,4.3,4.3,4.0,4.0,4.0,10000
2016-02-05,4.0,4.2,3.23,3.92,3.92,48000
2016-02-08,3.61,4.3,3.61,3.69,3.69,17100
2016-02-09,3.6,4.05,3.22,3.26,3.26,8000
2016-02-10,3.66,3.96,3.25,3.48,3.48,216200
2016-02-11,3.61,3.75,3.41,3.41,3.41,20500
2016-02-12,3.52,3.6,3.23,3.59,3.59,80300
2016-02-16,3.6,3.71,3.53,3.59,3.59,7000
2016-02-17,3.6,4.15,3.51,4.01,4.01,26200
2016-02-18,4.0,4.14,4.0,4.1,4.1,3600
2016-02-19,4.05,4.54,4.05,4.2,4.2,7900
2016-02-22,4.31,4.72,4.2,4.71,4.71,14100
2016-02-23,4.78,5.0,4.4,4.48,4.48,8400
