Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.07,13.33,12.97,13.15,13.15,532200
2016-01-05,13.16,13.45,13.03,13.33,13.33,374200
2016-01-06,13.09,13.23,12.24,12.34,12.34,540100
2016-01-07,12.05,12.13,11.6,11.75,11.75,532300
2016-01-08,11.75,12.06,11.21,11.24,11.24,600900
2016-01-11,11.25,11.41,10.44,10.67,10.67,544800
2016-01-12,10.83,11.25,10.33,11.06,11.06,761900
2016-01-13,11.13,11.29,10.24,10.33,10.33,555900
2016-01-14,10.36,10.82,9.82,10.58,10.58,673600
2016-01-15,10.13,10.46,9.81,10.28,10.28,465900
2016-01-19,10.46,10.52,9.47,9.72,9.72,380500
2016-01-20,9.49,10.4,9.3,10.23,10.23,454700
2016-01-21,10.19,10.56,9.93,10.06,10.06,594700
2016-01-22,10.38,10.55,9.91,10.52,10.52,446700
2016-01-25,10.52,11.1,10.31,10.36,10.36,543100
2016-01-26,10.52,10.52,9.57,10.36,10.36,697500
2016-01-27,10.36,11.0,10.03,10.29,10.29,689900
2016-01-28,10.45,10.45,9.65,9.7,9.7,524400
2016-01-29,9.77,10.21,9.68,10.19,10.19,513600
2016-02-01,10.14,10.39,9.84,10.27,10.27,668800
2016-02-02,10.13,10.27,9.31,9.54,9.54,632700
2016-02-03,9.68,9.68,8.89,9.29,9.29,673100
2016-02-04,9.29,10.05,9.29,9.47,9.47,719200
2016-02-05,9.37,9.4,8.62,8.73,8.73,781300
2016-02-08,8.6,8.63,8.08,8.14,8.14,893400
2016-02-09,7.99,8.27,7.7,8.02,8.02,935200
2016-02-10,8.05,8.5,8.02,8.2,8.2,539900
2016-02-11,7.96,8.48,7.65,8.38,8.38,599500
2016-02-12,8.44,8.88,8.21,8.84,8.84,606300
2016-02-16,8.99,9.48,8.95,9.43,9.43,698900
2016-02-17,9.5,9.91,9.27,9.33,9.33,774900
2016-02-18,9.25,9.45,8.73,8.75,8.75,535200
2016-02-19,8.72,9.24,8.57,9.2,9.2,413600
2016-02-22,9.39,9.53,9.21,9.27,9.27,375600
2016-02-23,9.16,9.45,8.69,8.7,8.7,442400
2016-02-24,8.62,9.08,8.37,9.03,9.03,451800
2016-02-25,9.15,9.36,8.88,8.92,8.92,376400
2016-02-26,9.03,9.2,8.81,9.07,9.07,345700
2016-02-29,9.3,9.76,9.3,9.34,9.34,1134000
2016-03-01,9.84,11.07,9.55,10.85,10.85,2484000
2016-03-02,10.92,11.71,10.88,11.62,11.62,1438000
2016-03-03,11.7,11.7,11.14,11.25,11.25,777700
2016-03-04,11.26,11.62,10.96,11.0,11.0,1265600
2016-03-07,11.06,11.8,10.78,11.71,11.71,989400
2016-03-08,11.67,11.74,10.98,10.99,10.99,780600
2016-03-09,11.05,11.43,10.45,11.21,11.21,651300
2016-03-10,11.32,11.36,10.63,10.9,10.9,389000
2016-03-11,11.03,11.26,10.87,11.24,11.24,376100
2016-03-14,11.15,11.51,11.08,11.17,11.17,740200
2016-03-15,11.03,11.52,10.97,11.19,11.19,808700
2016-03-16,11.16,11.46,10.77,11.14,11.14,646500
2016-03-17,11.13,12.09,11.03,11.68,11.68,967600
2016-03-18,11.76,12.37,11.47,12.18,12.18,1593200
2016-03-21,12.33,12.55,11.97,12.03,12.03,832600
2016-03-22,11.9,12.39,11.83,12.24,12.24,604000
2016-03-23,12.25,12.42,11.69,11.75,11.75,1203400
2016-03-24,11.65,12.17,11.25,11.61,11.61,1054000
2016-03-28,11.61,11.78,11.29,11.59,11.59,672700
2016-03-29,11.54,11.95,11.28,11.85,11.85,720100
2016-03-30,12.07,12.43,11.88,12.3,12.3,904300
2016-03-31,12.49,12.5,11.91,11.95,11.95,824700
2016-04-01,11.96,12.53,11.71,12.49,12.49,972800
2016-04-04,12.61,13.26,12.2,12.81,12.81,853400
2016-04-05,12.68,12.99,12.6,12.76,12.76,528400
2016-04-06,12.86,13.71,12.77,13.69,13.69,856300
2016-04-07,13.6,14.18,13.4,14.03,14.03,1003600
2016-04-08,14.22,14.22,12.99,13.11,13.11,911600
2016-04-11,13.17,13.41,12.98,13.26,13.26,391300
2016-04-12,13.28,13.82,13.19,13.72,13.72,569700
2016-04-13,13.65,14.25,13.48,14.19,14.19,491800
2016-04-14,14.2,14.46,13.96,14.15,14.15,401100
2016-04-15,14.18,14.29,13.95,14.26,14.26,475900
2016-04-18,14.25,14.54,14.08,14.24,14.24,446200
2016-04-19,14.29,14.31,13.84,13.98,13.98,309300
2016-04-20,13.99,13.99,13.37,13.69,13.69,1033100
2016-04-21,13.66,14.29,13.6,14.22,14.22,640100
2016-04-22,14.23,14.3,13.9,14.18,14.18,333500
2016-04-25,14.14,14.48,14.07,14.33,14.33,337200
2016-04-26,14.31,14.4,13.91,14.16,14.16,508200
2016-04-27,13.88,14.1,13.64,13.94,13.94,345100
2016-04-28,13.75,14.36,13.55,13.96,13.96,506500
2016-04-29,14.1,14.39,13.69,13.81,13.81,568100
2016-05-02,13.86,14.31,13.54,14.25,14.25,598900
2016-05-03,13.55,14.01,12.75,13.02,13.02,906200
2016-05-04,12.94,12.97,12.0,12.02,12.02,966900
2016-05-05,12.16,12.37,11.74,12.26,12.26,547100
2016-05-06,12.06,12.44,11.89,12.22,12.22,693900
2016-05-09,12.29,12.69,12.26,12.6,12.6,346000
2016-05-10,12.57,12.68,12.37,12.64,12.64,500300
2016-05-11,12.55,12.85,12.3,12.32,12.32,1458900
2016-05-12,12.43,12.63,11.52,11.8,11.8,619600
2016-05-13,11.82,12.43,11.82,12.24,12.24,332500
2016-05-16,12.24,12.77,12.03,12.69,12.69,586300
2016-05-17,12.71,12.97,12.36,12.42,12.42,550900
2016-05-18,12.31,12.71,12.31,12.55,12.55,441000
2016-05-19,12.52,12.72,12.13,12.29,12.29,532200
2016-05-20,12.34,12.53,12.19,12.44,12.44,850700
2016-05-23,12.44,13.47,12.38,13.37,13.37,3530100
2016-05-24,13.32,13.74,12.61,12.93,12.93,999400
2016-05-25,12.95,13.46,12.94,13.37,13.37,625100
2016-05-26,13.38,13.65,13.23,13.46,13.46,430000
2016-05-27,13.42,13.68,13.28,13.68,13.68,437400
2016-05-31,13.61,14.23,13.53,14.21,14.21,871000
2016-06-01,14.16,14.75,14.08,14.54,14.54,961800
2016-06-02,14.55,14.9,14.44,14.9,14.9,755800
2016-06-03,14.89,14.89,14.31,14.62,14.62,498800
2016-06-06,14.68,15.17,14.35,15.11,15.11,495500
2016-06-07,14.89,15.07,14.55,14.64,14.64,464100
2016-06-08,14.74,14.8,14.46,14.73,14.73,325600
2016-06-09,14.6,14.84,14.35,14.45,14.45,476300
2016-06-10,14.43,14.72,13.96,14.55,14.55,713000
2016-06-13,14.43,14.91,14.38,14.66,14.66,494000
2016-06-14,14.61,14.86,13.78,14.0,14.0,655300
2016-06-15,14.09,14.2,13.65,13.77,13.77,1424500
2016-06-16,13.69,13.86,13.53,13.83,13.83,485700
2016-06-17,13.88,14.0,13.3,13.33,13.33,732400
2016-06-20,13.33,13.8,13.33,13.54,13.54,557000
2016-06-21,13.61,13.65,13.12,13.4,13.4,457300
2016-06-22,13.32,14.13,13.05,13.34,13.34,362400
2016-06-23,13.48,13.94,13.32,13.93,13.93,1564000
2016-06-24,13.04,13.87,13.01,13.65,13.65,1654600
2016-06-27,13.31,13.62,13.01,13.14,13.14,626100
2016-06-28,13.32,13.63,13.22,13.56,13.56,516100
2016-06-29,13.8,14.32,13.55,14.21,14.21,821400
2016-06-30,14.38,14.43,14.03,14.35,14.35,1144400
2016-07-01,14.43,14.75,14.36,14.41,14.41,642800
2016-07-05,14.23,14.6,13.83,14.45,14.45,589100
2016-07-06,14.4,14.65,14.19,14.51,14.51,698200
2016-07-07,14.6,14.82,14.5,14.76,14.76,519800
2016-07-08,14.8,15.12,14.7,15.03,15.03,559200
