Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.15,7.35,7.05,7.25,7.25,3520100
2016-01-05,5.25,5.8,3.5,3.75,3.75,48466400
2016-01-06,3.45,4.15,3.2,3.65,3.65,23551200
2016-01-07,3.65,3.8,3.25,3.45,3.45,9272500
2016-01-08,3.5,3.75,3.3,3.3,3.3,6665300
2016-01-11,3.35,3.45,3.3,3.35,3.35,10255700
2016-01-12,3.4,3.9,3.35,3.85,3.85,1705000
2016-01-13,4.0,4.95,3.9,4.1,4.1,2648000
2016-01-14,4.5,4.55,4.25,4.55,4.55,1595500
2016-01-15,4.55,4.7,4.35,4.65,4.65,7956800
2016-01-19,4.55,4.75,3.9,3.9,3.9,4832700
2016-01-20,3.65,4.05,3.45,3.95,3.95,4570500
2016-01-21,4.35,4.5,3.65,3.7,3.7,6363100
2016-01-22,4.05,4.25,3.95,4.15,4.15,3888300
2016-01-25,4.0,4.3,3.75,3.75,3.75,5608700
2016-01-26,3.85,4.9,3.8,4.6,4.6,11221300
2016-01-27,4.8,5.9,4.8,5.25,5.25,3666800
2016-01-28,5.3,5.45,4.5,4.5,4.5,1243200
2016-01-29,4.65,5.0,4.55,5.0,5.0,3652900
2016-02-01,5.0,5.5,4.75,5.5,5.5,6449600
2016-02-02,5.45,5.5,5.0,5.0,5.0,4335900
2016-02-03,5.35,5.35,4.55,4.95,4.95,4287400
2016-02-04,4.5,4.95,4.3,4.9,4.9,5402900
2016-02-05,4.85,5.1,4.7,4.85,4.85,2824300
2016-02-08,4.8,4.8,4.35,4.35,4.35,4012400
2016-02-09,4.4,5.0,4.25,4.85,4.85,4771800
2016-02-10,4.75,5.2,4.5,4.65,4.65,803600
2016-02-11,4.65,5.2,4.55,4.6,4.6,724500
2016-02-12,5.0,5.05,4.6,4.9,4.9,2751700
2016-02-16,5.0,5.05,4.65,4.95,4.95,4223500
2016-02-17,5.0,5.05,4.7,5.0,5.0,3615800
2016-02-18,5.0,5.0,4.6,4.6,4.6,3505400
2016-02-19,4.6,4.95,4.5,4.9,4.9,2849400
