Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.58,14.69,14.06,14.21,14.21,743500
2016-01-05,14.38,15.06,14.18,14.25,14.25,579200
2016-01-06,14.1,14.52,13.43,13.55,13.55,608000
2016-01-07,13.25,13.93,13.16,13.56,13.56,991400
2016-01-08,13.95,15.15,13.77,14.48,14.48,1793400
2016-01-11,14.67,14.67,13.13,13.3,13.3,1477900
2016-01-12,13.45,14.11,13.22,13.81,13.81,1161600
2016-01-13,13.83,14.5,12.67,13.0,13.0,1951500
2016-01-14,13.03,13.69,12.48,13.32,13.32,1103800
2016-01-15,12.86,13.05,12.41,13.0,13.0,978900
2016-01-19,13.21,13.4,12.52,12.76,12.76,773300
2016-01-20,12.59,13.4,12.4,13.23,13.23,981800
2016-01-21,13.25,13.41,12.8,12.93,12.93,583000
2016-01-22,13.15,13.56,12.25,13.55,13.55,500800
2016-01-25,13.44,13.7,12.88,13.3,13.3,676700
2016-01-26,13.33,13.45,12.76,13.24,13.24,480700
2016-01-27,13.24,13.44,12.58,12.65,12.65,601900
2016-01-28,12.71,13.07,12.08,12.28,12.28,744500
2016-01-29,12.3,12.9,11.84,12.42,12.42,672900
2016-02-01,12.3,12.79,12.15,12.59,12.59,515500
2016-02-02,12.52,12.6,12.29,12.45,12.45,552200
2016-02-03,12.54,12.6,11.9,12.26,12.26,452200
2016-02-04,12.19,12.71,12.05,12.42,12.42,406600
2016-02-05,12.33,12.47,11.52,11.77,11.77,624300
2016-02-08,11.65,11.75,10.9,11.0,11.0,517100
2016-02-09,10.86,11.35,10.53,10.83,10.83,477900
2016-02-10,10.99,11.33,10.39,10.45,10.45,937600
2016-02-11,10.36,10.69,10.0,10.48,10.48,724700
2016-02-12,10.62,10.62,9.91,10.45,10.45,935100
2016-02-16,10.51,11.43,10.48,11.4,11.4,590800
2016-02-17,11.46,11.61,11.13,11.51,11.51,614200
2016-02-18,10.47,11.38,9.85,9.92,9.92,1290200
2016-02-19,9.65,9.67,9.05,9.6,9.6,968900
2016-02-22,9.65,10.53,9.62,10.31,10.31,1107700
2016-02-23,10.24,10.43,9.59,9.61,9.61,780500
2016-02-24,9.55,9.55,8.99,9.12,9.12,918400
2016-02-25,9.19,9.43,9.02,9.24,9.24,608200
2016-02-26,9.3,9.5,9.04,9.26,9.26,415600
2016-02-29,9.18,9.23,8.33,8.4,8.4,1091200
2016-03-01,8.5,8.78,8.02,8.55,8.55,1549900
2016-03-02,8.56,9.29,8.56,9.1,9.1,1019900
2016-03-03,9.08,9.19,8.63,8.65,8.65,602600
2016-03-04,8.63,8.77,8.42,8.46,8.46,609800
2016-03-07,8.38,8.81,8.3,8.66,8.66,841500
2016-03-08,8.6,8.66,8.23,8.27,8.27,691300
2016-03-09,8.27,8.63,8.02,8.59,8.59,654300
2016-03-10,8.65,8.9,8.25,8.35,8.35,457100
2016-03-11,8.35,8.6,8.35,8.56,8.56,464200
2016-03-14,8.56,9.02,8.43,8.85,8.85,527900
2016-03-15,8.69,8.71,8.19,8.21,8.21,672300
2016-03-16,8.22,8.34,8.13,8.26,8.26,538800
2016-03-17,8.23,8.47,7.86,8.34,8.34,532000
2016-03-18,8.38,8.71,8.05,8.63,8.63,1053000
2016-03-21,8.56,8.89,8.3,8.78,8.78,594700
2016-03-22,8.78,9.38,8.78,9.37,9.37,681600
2016-03-23,9.36,9.72,8.61,8.62,8.62,676300
2016-03-24,8.59,8.78,8.35,8.51,8.51,459400
2016-03-28,8.54,8.75,8.28,8.45,8.45,410000
2016-03-29,8.4,9.11,8.16,9.08,9.08,689600
2016-03-30,9.15,9.46,8.55,8.91,8.91,611300
2016-03-31,8.95,9.34,8.92,9.24,9.24,544500
2016-04-01,9.18,9.4,8.96,9.37,9.37,436400
2016-04-04,9.4,9.75,9.35,9.51,9.51,484700
2016-04-05,9.43,9.51,9.16,9.31,9.31,531600
2016-04-06,9.35,9.97,9.25,9.94,9.94,510100
2016-04-07,9.85,10.1,9.57,9.72,9.72,509500
2016-04-08,9.86,9.98,9.18,9.44,9.44,512000
2016-04-11,9.48,9.5,9.23,9.38,9.38,402500
2016-04-12,9.35,9.35,8.86,9.33,9.33,464700
2016-04-13,9.38,9.8,9.25,9.78,9.78,399000
2016-04-14,9.81,9.82,9.47,9.69,9.69,243500
2016-04-15,9.63,9.7,9.39,9.57,9.57,311100
2016-04-18,9.55,9.74,9.36,9.69,9.69,340500
2016-04-19,9.66,9.79,9.45,9.61,9.61,307000
2016-04-20,9.65,9.73,9.11,9.29,9.29,477500
2016-04-21,9.23,9.83,9.19,9.82,9.82,473200
2016-04-22,9.85,9.92,9.44,9.82,9.82,408000
2016-04-25,9.83,10.08,9.75,9.78,9.78,483200
2016-04-26,9.76,9.76,9.02,9.31,9.31,607900
2016-04-27,9.27,9.4,9.12,9.3,9.3,297600
2016-04-28,9.22,9.46,9.0,9.32,9.32,492000
2016-04-29,9.25,9.64,9.22,9.51,9.51,609100
2016-05-02,9.58,9.78,9.26,9.76,9.76,646100
2016-05-03,9.48,9.62,8.82,9.19,9.19,1042100
2016-05-04,9.08,9.7,8.97,9.48,9.48,818200
2016-05-05,9.53,9.57,9.14,9.4,9.4,577700
2016-05-06,9.3,9.46,9.2,9.37,9.37,702400
2016-05-09,9.41,10.3,9.37,10.04,10.04,703500
2016-05-10,10.13,10.29,9.93,10.22,10.22,545000
2016-05-11,10.19,10.3,9.72,9.77,9.77,480100
2016-05-12,9.84,9.95,9.39,9.55,9.55,633800
2016-05-13,9.53,10.06,9.53,9.83,9.83,516200
2016-05-16,9.91,10.18,9.78,9.99,9.99,646300
2016-05-17,9.93,10.26,9.84,9.95,9.95,610600
2016-05-18,9.87,10.4,9.86,10.25,10.25,462400
2016-05-19,10.2,10.38,9.95,10.07,10.07,335700
2016-05-20,10.11,10.44,10.11,10.41,10.41,451600
2016-05-23,10.42,10.95,10.42,10.55,10.55,391000
2016-05-24,10.64,11.0,10.56,10.97,10.97,440100
2016-05-25,11.02,11.38,10.98,11.1,11.1,436900
2016-05-26,11.11,11.2,10.88,10.9,10.9,350600
