Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7.45,7.56,7.05,7.21,7.21,84300
2016-01-05,7.24,7.3,6.91,7.19,7.19,84300
2016-01-06,7.1,7.27,6.8,6.99,6.99,68000
2016-01-07,6.82,6.97,6.45,6.62,6.62,92800
2016-01-08,6.68,6.756,6.21,6.26,6.26,79800
2016-01-11,6.27,6.414,5.9,6.28,6.28,150500
2016-01-12,6.31,6.48,5.95,6.1,6.1,90900
2016-01-13,6.1,6.38,5.69,5.83,5.83,134500
2016-01-14,5.85,6.39,5.63,6.3,6.3,106200
2016-01-15,6.13,6.24,5.88,6.01,6.01,50400
2016-01-19,6.08,6.08,5.29,5.82,5.82,133500
2016-01-20,5.66,6.32,5.39,6.13,6.13,120200
2016-01-21,6.14,6.47,5.75,5.91,5.91,52300
2016-01-22,6.0,6.6,5.9,6.16,6.16,93500
2016-01-25,6.14,6.25,5.96,6.06,6.06,109300
2016-01-26,6.05,6.141,5.81,6.05,6.05,165900
2016-01-27,6.05,6.135,5.74,5.79,5.79,69800
2016-01-28,5.84,5.95,5.43,5.56,5.56,52000
2016-01-29,5.46,5.86,5.36,5.77,5.77,43500
2016-02-01,5.75,6.08,5.54,6.01,6.01,39400
2016-02-02,5.95,6.14,5.54,5.69,5.69,58300
2016-02-03,5.71,5.8,5.44,5.57,5.57,84300
2016-02-04,5.55,5.78,5.45,5.63,5.63,76600
2016-02-05,5.57,5.62,5.02,5.32,5.32,172000
2016-02-08,5.29,5.29,4.3,4.65,4.65,199400
2016-02-09,4.51,4.83,4.28,4.49,4.49,66800
2016-02-10,4.5,4.62,4.3,4.31,4.31,103100
2016-02-11,4.24,4.59,4.002,4.53,4.53,54500
2016-02-12,4.54,4.925,4.48,4.82,4.82,79900
2016-02-16,4.93,4.93,4.66,4.69,4.69,67000
2016-02-17,4.75,4.88,4.53,4.65,4.65,118500
2016-02-18,4.64,4.89,4.51,4.74,4.74,58400
2016-02-19,4.73,4.88,4.6,4.62,4.62,36000
2016-02-22,4.68,4.775,4.52,4.54,4.54,36000
2016-02-23,4.5,4.61,4.26,4.3,4.3,54200
2016-02-24,4.25,4.5,4.01,4.33,4.33,67400
2016-02-25,4.37,4.49,4.17,4.2,4.2,31300
2016-02-26,4.2,4.33,4.13,4.18,4.18,76700
2016-02-29,4.22,4.24,4.02,4.06,4.06,76400
2016-03-01,4.12,4.43,4.0,4.05,4.05,58000
2016-03-02,4.05,4.605,4.05,4.39,4.39,75400
2016-03-03,4.46,4.79,4.46,4.7,4.7,40200
2016-03-04,4.73,5.15,4.61,4.82,4.82,71400
2016-03-07,4.9,6.46,4.9,5.95,5.95,220600
2016-03-08,6.0,6.0,5.49,5.64,5.64,111200
2016-03-09,5.8,5.84,5.38,5.41,5.41,40200
2016-03-10,5.38,5.401,4.73,4.77,4.77,158300
2016-03-11,4.79,5.21,4.79,5.045,5.045,45700
2016-03-14,5.06,5.26,5.0,5.2,5.2,63000
2016-03-15,5.09,5.31,4.9,4.98,4.98,92900
2016-03-16,4.92,5.01,4.52,4.57,4.57,94900
2016-03-17,4.53,4.69,4.3,4.5,4.5,96100
2016-03-18,4.53,5.3,4.385,4.97,4.97,173200
2016-03-21,5.0,5.1,4.75,4.87,4.87,85400
2016-03-22,4.81,5.19,4.76,4.89,4.89,228600
2016-03-23,4.96,5.15,4.77,4.92,4.92,68500
2016-03-24,4.89,5.23,4.637,5.22,5.22,53100
2016-03-28,5.28,5.4,4.83,5.08,5.08,73800
2016-03-29,5.0,5.34,4.79,5.18,5.18,38400
2016-03-30,5.24,5.39,5.04,5.22,5.22,21600
2016-03-31,5.25,5.45,5.15,5.38,5.38,27400
2016-04-01,5.31,5.9,5.226,5.79,5.79,50600
2016-04-04,5.75,6.0,5.51,5.9,5.9,82900
2016-04-05,5.81,6.02,5.71,6.02,6.02,82600
2016-04-06,6.0,6.05,5.77,5.98,5.98,69000
2016-04-07,5.87,6.02,5.772,6.02,6.02,48100
2016-04-08,6.09,6.09,5.78,5.8,5.8,39900
2016-04-11,5.87,5.9,5.27,5.33,5.33,77300
2016-04-12,5.37,5.72,5.24,5.69,5.69,40100
2016-04-13,5.76,5.77,5.28,5.46,5.46,57600
2016-04-14,5.42,5.43,5.11,5.17,5.17,61900
2016-04-15,5.35,5.75,5.1,5.62,5.62,132700
