Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.52,15.45,13.58,14.2,14.2,252800
2016-01-05,14.2,14.96,13.91,14.37,14.37,91600
2016-01-06,14.26,15.0,13.9,14.0,14.0,64800
2016-01-07,13.218,13.7,12.86,13.36,13.36,29600
2016-01-08,13.43,13.759,13.02,13.27,13.27,46700
2016-01-11,13.64,13.82,12.812,13.11,13.11,87900
2016-01-12,13.66,13.76,12.36,12.88,12.88,33200
2016-01-13,13.0,13.045,11.87,12.03,12.03,62200
2016-01-14,11.99,12.93,9.67,10.89,10.89,163800
2016-01-15,10.56,11.797,9.77,10.81,10.81,158000
2016-01-19,10.83,11.478,9.92,10.39,10.39,129300
2016-01-20,10.16,10.41,9.4,9.83,9.83,110700
2016-01-21,10.09,10.39,8.82,9.22,9.22,147400
2016-01-22,9.4,9.63,8.65,9.1,9.1,92800
2016-01-25,9.1,9.2,8.57,9.0,9.0,41000
2016-01-26,9.57,11.45,8.64,9.39,9.39,54900
2016-01-27,9.335,9.7,9.0,9.13,9.13,30900
2016-01-28,9.21,9.45,8.81,9.0,9.0,40100
2016-01-29,9.12,9.2,8.54,9.0,9.0,41100
2016-02-01,9.02,9.19,8.45,8.92,8.92,22200
2016-02-02,8.91,9.46,8.51,9.08,9.08,117600
2016-02-03,9.19,9.48,8.19,8.43,8.43,35000
2016-02-04,8.63,9.38,8.0,8.51,8.51,174800
2016-02-05,8.41,9.07,8.22,8.26,8.26,88800
2016-02-08,8.11,8.35,7.01,7.35,7.35,66900
2016-02-09,7.42,7.45,7.06,7.27,7.27,24600
2016-02-10,7.36,7.41,6.62,6.86,6.86,86400
2016-02-11,6.82,6.93,6.24,6.77,6.77,64700
2016-02-12,6.95,7.01,6.42,6.78,6.78,57500
2016-02-16,6.8,7.35,6.6,6.73,6.73,98300
2016-02-17,6.73,7.24,6.67,6.94,6.94,78600
2016-02-18,6.89,7.695,6.89,7.28,7.28,111800
2016-02-19,7.29,7.81,7.29,7.56,7.56,34500
2016-02-22,7.65,7.89,7.22,7.54,7.54,132800
2016-02-23,7.49,7.72,6.89,7.18,7.18,69500
2016-02-24,7.26,7.475,6.8,7.16,7.16,72000
2016-02-25,7.11,7.29,6.9,7.15,7.15,66100
2016-02-26,7.05,7.3,6.87,7.07,7.07,89700
2016-02-29,7.12,7.257,6.93,7.1,7.1,69600
2016-03-01,7.075,7.23,7.01,7.23,7.23,77800
2016-03-02,7.68,7.68,7.06,7.18,7.18,46400
2016-03-03,7.13,7.77,7.13,7.52,7.52,78000
2016-03-04,7.51,7.775,7.18,7.53,7.53,56000
2016-03-07,7.45,8.25,7.11,7.4,7.4,77100
2016-03-08,7.34,8.13,7.14,7.56,7.56,87500
2016-03-09,7.56,7.71,7.38,7.61,7.61,46400
2016-03-10,7.64,7.85,7.56,7.8,7.8,77900
2016-03-11,7.89,8.66,7.765,8.65,8.65,75400
2016-03-14,8.56,9.249,8.56,9.15,9.15,44100
2016-03-15,9.09,9.29,8.48,9.1,9.1,46300
2016-03-16,9.03,9.39,8.45,9.07,9.07,58200
2016-03-17,9.03,9.36,8.78,9.24,9.24,22100
2016-03-18,9.34,9.639,9.15,9.32,9.32,68200
2016-03-21,9.38,10.0,9.32,9.73,9.73,47200
2016-03-22,9.62,10.16,9.53,9.73,9.73,30800
2016-03-23,9.75,9.975,8.64,9.17,9.17,41600
2016-03-24,9.07,9.28,8.92,9.13,9.13,22300
2016-03-28,9.08,9.21,8.7,9.21,9.21,43500
2016-03-29,9.12,9.67,8.74,9.64,9.64,29400
2016-03-30,9.75,10.39,9.56,10.29,10.29,35300
2016-03-31,10.22,11.065,10.002,10.71,10.71,65100
2016-04-01,10.57,11.19,10.01,10.44,10.44,63700
2016-04-04,10.34,10.78,10.0,10.65,10.65,94300
2016-04-05,10.61,11.12,10.33,10.79,10.79,46900
2016-04-06,11.1,11.82,10.81,11.66,11.66,53700
2016-04-07,11.7,12.03,11.34,11.79,11.79,51000
2016-04-08,11.865,12.55,11.82,12.16,12.16,43500
2016-04-11,12.4,12.509,11.41,11.69,11.69,57700
2016-04-12,11.7,12.16,11.44,11.99,11.99,30800
2016-04-13,12.07,12.41,11.82,12.12,12.12,38800
2016-04-14,11.76,12.1,11.12,12.07,12.07,19700
2016-04-15,11.97,12.04,11.5,11.69,11.69,43200
2016-04-18,11.8,12.07,11.5,11.67,11.67,168400
2016-04-19,11.79,12.42,11.64,12.1,12.1,51800
2016-04-20,12.2,12.45,12.03,12.43,12.43,35100
2016-04-21,12.39,12.49,12.13,12.4,12.4,48700
2016-04-22,12.234,12.54,12.022,12.38,12.38,26400
2016-04-25,12.31,12.4,12.12,12.24,12.24,36100
2016-04-26,12.45,12.66,12.225,12.3,12.3,87900
2016-04-27,12.51,12.76,12.13,12.48,12.48,30100
2016-04-28,12.53,12.53,12.028,12.16,12.16,56400
2016-04-29,12.39,12.4,11.43,11.44,11.44,35900
2016-05-02,11.62,12.17,11.62,11.8,11.8,49900
2016-05-03,11.72,12.75,11.72,12.32,12.32,53000
2016-05-04,12.19,12.7,12.06,12.29,12.29,50500
2016-05-05,12.61,12.64,12.05,12.14,12.14,42000
2016-05-06,12.02,12.37,11.25,12.05,12.05,47700
2016-05-09,12.11,12.25,11.87,11.9,11.9,31200
2016-05-10,11.92,12.37,11.92,12.11,12.11,30800
2016-05-11,11.99,12.395,11.788,11.88,11.88,49300
2016-05-12,12.1,12.1,11.31,11.82,11.82,56800
2016-05-13,11.7,12.41,11.35,11.9,11.9,30000
2016-05-16,11.654,12.5,11.56,12.35,12.35,41600
2016-05-17,12.45,12.68,11.73,12.16,12.16,69900
2016-05-18,12.19,12.6,12.0,12.2,12.2,26400
2016-05-19,12.419,12.43,11.54,12.01,12.01,31800
2016-05-20,12.11,12.89,11.81,12.75,12.75,47300
2016-05-23,12.95,12.99,12.44,12.77,12.77,49200
2016-05-24,12.97,13.28,12.79,13.08,13.08,53700
2016-05-25,12.91,13.2,12.5,12.97,12.97,57200
2016-05-26,13.19,13.19,12.53,12.69,12.69,39600
2016-05-27,12.5,12.99,12.37,12.57,12.57,74900
2016-05-31,12.69,12.71,12.03,12.36,12.36,45400
2016-06-01,12.24,12.68,12.1,12.24,12.24,69500
2016-06-02,12.23,12.72,12.16,12.42,12.42,98500
2016-06-03,12.44,12.56,11.73,12.46,12.46,45300
2016-06-06,12.27,12.86,12.26,12.36,12.36,43600
2016-06-07,12.47,13.83,12.121,13.6,13.6,52000
2016-06-08,13.73,14.85,13.73,13.81,13.81,79000
2016-06-09,13.7,14.97,13.51,14.02,14.02,70400
2016-06-10,13.77,14.54,13.485,14.31,14.31,64400
2016-06-13,12.51,14.695,12.51,14.22,14.22,30000
2016-06-14,14.03,14.71,14.03,14.49,14.49,55600
2016-06-15,14.59,14.95,13.97,14.4,14.4,68200
2016-06-16,14.106,14.71,13.57,14.65,14.65,73100
2016-06-17,14.66,14.75,13.53,14.15,14.15,129600
2016-06-20,13.82,14.54,13.77,14.25,14.25,71500
2016-06-21,14.13,14.43,12.92,13.24,13.24,177000
2016-06-22,13.28,13.41,12.65,12.93,12.93,72900
2016-06-23,13.12,13.27,12.88,13.26,13.26,33900
2016-06-24,12.51,13.23,12.445,12.95,12.95,577100
2016-06-27,12.85,12.85,12.02,12.22,12.22,49900
2016-06-28,12.26,12.82,12.174,12.23,12.23,36200
2016-06-29,12.42,12.47,12.19,12.44,12.44,20100
2016-06-30,12.16,12.46,12.03,12.4,12.4,19100
2016-07-01,12.61,13.14,12.44,12.94,12.94,22300
2016-07-05,12.94,12.99,12.38,12.64,12.64,47100
2016-07-06,12.69,13.45,12.4,12.95,12.95,75200
2016-07-07,12.61,13.49,12.39,13.25,13.25,22500
2016-07-08,13.57,13.88,13.12,13.62,13.62,33100
2016-07-11,13.62,13.79,13.18,13.39,13.39,29900
2016-07-12,13.8,19.48,13.505,17.66,17.66,313300
2016-07-13,17.65,18.01,17.02,17.42,17.42,77700
2016-07-14,17.52,17.91,15.78,15.88,15.88,91600
2016-07-15,16.0,16.0,14.68,14.97,14.97,89700
2016-07-18,14.96,15.4,14.61,15.08,15.08,80300
2016-07-19,15.16,15.516,14.74,15.23,15.23,44900
2016-07-20,15.53,15.92,15.53,15.65,15.65,27600
2016-07-21,15.65,15.87,15.34,15.75,15.75,24800
2016-07-22,15.86,16.940001000000002,15.39,15.57,15.57,63700
2016-07-25,15.47,17.190001000000002,15.4,16.93,16.93,77200
2016-07-26,16.950001,17.0,15.53,16.219998999999998,16.219998999999998,188200
2016-07-27,16.25,16.969998999999998,16.25,16.85,16.85,33700
2016-07-28,16.98,17.0,16.6,16.940001000000002,16.940001000000002,44600
2016-07-29,16.860001,17.719998999999998,16.370001000000002,17.67,17.67,123100
2016-08-01,17.639999,18.450001,17.440001000000002,18.049999,18.049999,57100
2016-08-02,18.110001,18.309998999999998,17.139999,17.74,17.74,62400
2016-08-03,17.75,18.292999,17.68,18.1,18.1,37400
2016-08-04,18.15,18.49,17.540001,17.690001000000002,17.690001000000002,75700
2016-08-05,17.940001000000002,18.4,17.719998999999998,18.27,18.27,32800
2016-08-08,18.15,18.98,17.67,18.92,18.92,105600
2016-08-09,18.790001,18.790001,17.889999,18.59,18.59,111400
2016-08-10,20.0,20.0,18.43,18.66,18.66,84500
2016-08-11,18.834999,19.1,18.309998999999998,18.6,18.6,60100
2016-08-12,18.959999,19.08,18.629998999999998,18.790001,18.790001,33200
2016-08-15,18.969998999999998,18.98,18.57,18.959999,18.959999,53200
2016-08-16,18.889999,19.26,18.57,19.02,19.02,42700
2016-08-17,19.139999,19.24,18.57,19.190001000000002,19.190001000000002,52900
2016-08-18,19.66,19.875,19.118,19.66,19.66,50800
2016-08-19,19.68,20.719998999999998,19.42,19.799999,19.799999,81500
2016-08-22,19.77,20.48,19.700001,20.23,20.23,49800
2016-08-23,20.219998999999998,20.690001000000002,20.209999,20.65,20.65,39200
2016-08-24,20.74,22.83,20.66,21.030001000000002,21.030001000000002,187400
2016-08-25,21.0,21.549999,20.51,20.860001,20.860001,104200
2016-08-26,20.93,21.92,20.9,21.549999,21.549999,47400
2016-08-29,21.870001000000002,21.98,21.139999,21.84,21.84,121700
2016-08-30,21.65,22.281,21.51,21.959999,21.959999,49800
2016-08-31,22.040001,22.049999,21.139999,21.879998999999998,21.879998999999998,154200
2016-09-01,21.799999,22.35,20.799999,21.309998999999998,21.309998999999998,175600
2016-09-02,21.52,21.879998999999998,20.940001000000002,21.559998999999998,21.559998999999998,173400
2016-09-06,21.49,21.91,21.32,21.790001,21.790001,97300
2016-09-07,21.51,22.181998999999998,21.440001000000002,21.950001,21.950001,90700
2016-09-08,21.98,22.48,21.35,22.25,22.25,67300
2016-09-09,22.219998999999998,22.26,20.014999,20.049999,20.049999,168100
2016-09-12,20.1,20.4,19.76,20.01,20.01,94500
2016-09-13,19.98,20.290001,18.9,19.33,19.33,61700
2016-09-14,19.459999,20.395,19.459999,20.08,20.08,118700
2016-09-15,20.049999,20.48,19.615,20.059998999999998,20.059998999999998,108300
2016-09-16,20.129998999999998,21.059998999999998,19.860001,20.879998999999998,20.879998999999998,317700
2016-09-19,20.52,20.700001,18.51,18.9,18.9,242500
2016-09-20,18.91,19.309998999999998,18.52,18.57,18.57,127400
2016-09-21,18.780001000000002,18.969998999999998,17.76,17.889999,17.889999,136000
2016-09-22,18.09,18.459999,17.549999,18.01,18.01,126700
2016-09-23,18.049999,18.049999,16.84,16.92,16.92,111000
2016-09-26,16.57,16.99,15.82,15.88,15.88,206100
2016-09-27,15.5,15.65,15.09,15.12,15.12,174300
2016-09-28,15.64,16.655001000000002,15.58,16.02,16.02,2026700
2016-09-29,16.190001000000002,16.5,15.75,16.0,16.0,296100
2016-09-30,16.139999,16.700001,15.53,16.34,16.34,150300
2016-10-03,16.280001000000002,16.434998999999998,15.32,15.73,15.73,372400
2016-10-04,15.82,16.27,15.64,15.99,15.99,128000
2016-10-05,16.25,16.82,16.01,16.67,16.67,273000
2016-10-06,16.709999,16.85,16.23,16.540001,16.540001,108100
2016-10-07,16.51,16.965,15.82,15.96,15.96,244100
2016-10-10,16.110001,16.639999,15.96,16.469998999999998,16.469998999999998,91200
2016-10-11,16.43,16.5,15.89,16.040001,16.040001,86200
2016-10-12,16.09,16.41,15.94,15.95,15.95,75200
2016-10-13,15.88,16.16,15.41,15.93,15.93,207300
2016-10-14,16.110001,16.110001,15.62,15.82,15.82,110500
2016-10-17,15.9,15.95,15.55,15.85,15.85,67200
2016-10-18,15.85,16.0,15.7,15.85,15.85,79600
2016-10-19,15.8,16.0,15.55,15.9,15.9,52100
2016-10-20,15.85,16.450001,15.825,16.450001,16.450001,59800
2016-10-21,16.299999,16.395,16.0,16.1,16.1,42400
2016-10-24,16.15,16.35,15.6,15.8,15.8,48700
2016-10-25,15.85,16.0,15.55,15.95,15.95,67900
2016-10-26,15.9,15.9,14.35,14.65,14.65,139800
2016-10-27,14.65,15.4,13.65,13.9,13.9,69700
2016-10-28,13.7,13.7,13.2,13.4,13.4,79500
2016-10-31,13.3,13.9,13.1,13.45,13.45,237200
2016-11-01,13.55,13.65,13.1,13.55,13.55,74700
2016-11-02,13.5,14.225,13.5,14.15,14.15,83800
2016-11-03,13.85,14.45,13.0,13.05,13.05,106900
2016-11-04,13.2,14.8,13.05,14.4,14.4,134400
2016-11-07,14.8,15.05,13.95,14.2,14.2,217400
2016-11-08,14.7,14.75,13.4,13.55,13.55,199400
2016-11-09,13.65,16.65,13.65,16.299999,16.299999,158600
2016-11-10,16.35,17.0,15.85,16.1,16.1,177700
2016-11-11,16.299999,17.375,16.15,17.299999,17.299999,144700
2016-11-14,17.450001,18.25,17.200001,17.549999,17.549999,119500
2016-11-15,17.549999,18.35,16.625999,18.0,18.0,84600
2016-11-16,18.049999,18.35,17.25,17.6,17.6,98900
2016-11-17,17.6,18.950001,17.6,18.75,18.75,105400
2016-11-18,18.9,18.9,17.549999,17.799999,17.799999,69800
2016-11-21,17.9,18.9,17.85,18.450001,18.450001,86500
2016-11-22,18.549999,18.549999,17.9,18.25,18.25,60300
2016-11-23,18.1,18.75,17.85,18.450001,18.450001,79400
2016-11-25,18.6,18.6,17.200001,17.5,17.5,62700
2016-11-28,17.6,18.25,16.799999,18.1,18.1,121500
2016-11-29,18.049999,18.15,17.1,17.200001,17.200001,54800
2016-11-30,17.0,17.200001,15.6,15.75,15.75,253700
2016-12-01,16.049999,16.1,15.225,15.95,15.95,97800
2016-12-02,15.85,16.549999,15.7,16.5,16.5,93700
2016-12-05,16.6,16.9,16.15,16.299999,16.299999,92400
2016-12-06,16.450001,16.450001,15.55,16.35,16.35,40900
2016-12-07,16.1,16.15,15.05,15.3,15.3,99100
2016-12-08,15.1,15.15,14.15,14.5,14.5,94500
2016-12-09,14.55,14.8,13.7,14.2,14.2,224600
2016-12-12,14.15,14.2,13.25,14.15,14.15,244500
2016-12-13,14.25,14.9,14.15,14.75,14.75,185100
2016-12-14,14.8,15.0,13.3,13.4,13.4,196400
2016-12-15,13.4,13.8,13.275,13.5,13.5,181200
2016-12-16,13.45,14.0,13.25,13.45,13.45,173400
2016-12-19,13.55,13.9,13.0,13.0,13.0,136600
2016-12-20,13.0,13.2,12.75,13.0,13.0,76900
2016-12-21,13.0,13.65,12.9,13.45,13.45,126700
2016-12-22,13.35,13.75,13.05,13.35,13.35,131600
2016-12-23,13.45,13.9,13.25,13.35,13.35,73400
2016-12-27,13.3,13.55,12.9,13.0,13.0,69900
2016-12-28,13.1,13.3,12.5,13.0,13.0,148100
2016-12-29,12.95,13.2,12.05,12.55,12.55,153500
2016-12-30,12.6,13.05,12.2,12.95,12.95,91500
2017-01-03,14.05,14.5,12.7,13.2,13.2,366400
2017-01-04,13.35,13.85,13.25,13.65,13.65,112000
2017-01-05,13.8,14.25,13.5,14.1,14.1,175200
2017-01-06,14.0,14.0,13.6,13.85,13.85,119400
2017-01-09,13.95,14.15,13.75,13.9,13.9,165700
2017-01-10,13.95,14.15,13.4,13.55,13.55,71800
2017-01-11,13.6,13.7,13.0,13.55,13.55,138500
2017-01-12,13.6,13.65,12.9,13.3,13.3,101500
2017-01-13,13.3,13.9,13.1,13.65,13.65,102200
2017-01-17,13.5,13.575,12.3,12.45,12.45,149500
2017-01-18,12.35,12.7,11.75,12.25,12.25,88500
2017-01-19,12.2,12.3,11.9,12.0,12.0,55500
2017-01-20,12.0,12.15,11.75,12.05,12.05,78000
2017-01-23,12.05,12.2,11.4,11.65,11.65,76100
2017-01-24,11.65,11.7,10.95,11.65,11.65,62700
2017-01-25,11.6,11.941,11.45,11.85,11.85,57300
2017-01-26,11.9,11.9,11.2,11.25,11.25,51800
2017-01-27,11.3,11.5,10.95,11.35,11.35,58500
2017-01-30,11.3,11.3,10.55,11.0,11.0,57700
2017-01-31,10.95,11.325,10.65,11.2,11.2,101000
2017-02-01,11.2,12.05,11.2,11.95,11.95,116900
2017-02-02,12.05,13.97,11.25,11.85,11.85,67400
2017-02-03,11.95,12.25,11.65,12.1,12.1,110300
2017-02-06,12.15,12.3,11.95,12.0,12.0,39400
2017-02-07,11.95,12.2,11.75,11.95,11.95,33200
2017-02-08,11.95,11.95,11.513,11.9,11.9,55000
2017-02-09,11.85,12.4,11.85,12.15,12.15,46200
2017-02-10,12.25,12.4,12.0,12.25,12.25,32200
2017-02-13,12.2,12.35,11.95,12.05,12.05,67100
2017-02-14,12.15,12.2,11.95,12.05,12.05,67500
2017-02-15,11.95,12.9,11.95,12.8,12.8,75400
2017-02-16,12.8,13.85,12.6,12.95,12.95,104600
2017-02-17,13.2,13.45,12.45,12.75,12.75,61000
2017-02-21,12.95,13.1,12.05,12.2,12.2,43900
2017-02-22,12.15,12.2,11.8,11.95,11.95,33300
2017-02-23,12.15,12.15,11.95,12.0,12.0,42100
2017-02-24,11.825,12.35,11.825,12.2,12.2,68200
2017-02-27,12.25,12.8,12.1,12.75,12.75,45600
2017-02-28,12.6,12.8,12.1,12.15,12.15,50700
2017-03-01,12.25,13.275,12.2,13.1,13.1,425700
2017-03-02,13.0,13.25,12.664,12.7,12.7,57500
2017-03-03,12.8,12.9,12.1,12.55,12.55,45200
2017-03-06,12.55,12.8,12.25,12.65,12.65,40400
2017-03-07,12.65,12.7,12.3,12.3,12.3,35700
2017-03-08,12.35,12.65,12.3,12.4,12.4,57400
2017-03-09,12.68,13.0,12.45,12.95,12.95,52000
