Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.55,9.8,8.7,9.515,9.515,8300
2016-01-05,9.55,9.65,9.14,9.29,9.29,5800
2016-01-06,8.9,9.23,8.9,9.09,9.09,32000
2016-01-07,9.1,9.28,8.61,9.011,9.011,22400
2016-01-08,9.1,9.28,8.72,9.28,9.28,22700
2016-01-11,9.36,9.48,9.04,9.35,9.35,5600
2016-01-12,9.405,9.57,9.0,9.11,9.11,19500
2016-01-13,9.27,9.4,7.48,7.93,7.93,124700
2016-01-14,8.01,8.97,7.69,7.86,7.86,23900
2016-01-15,7.74,7.97,6.75,7.4,7.4,72400
2016-01-19,7.47,8.0,7.05,7.29,7.29,37100
2016-01-20,7.11,7.4,6.91,7.25,7.25,30300
2016-01-21,7.78,8.25,7.15,7.15,7.15,28200
2016-01-22,7.29,8.314,7.15,7.8,7.8,37400
2016-01-25,7.75,7.995,7.32,7.32,7.32,17500
2016-01-26,7.46,7.91,6.74,6.83,6.83,36700
2016-01-27,7.12,7.244,6.61,6.845,6.845,20700
2016-01-28,6.96,8.3,6.95,8.3,8.3,30500
2016-01-29,8.5,8.65,8.4,8.47,8.47,137200
2016-02-01,8.62,8.62,7.59,8.37,8.37,103400
2016-02-02,8.37,8.38,8.05,8.31,8.31,15900
2016-02-03,8.31,8.37,8.02,8.11,8.11,33600
2016-02-04,8.24,8.5,8.04,8.3,8.3,20000
2016-02-05,8.35,8.35,8.062,8.34,8.34,6400
2016-02-08,8.5,8.5,8.05,8.25,8.25,17300
2016-02-09,8.35,8.46,8.35,8.46,8.46,2000
2016-02-10,8.41,8.5,8.25,8.25,8.25,31000
2016-02-11,8.47,8.52,8.3,8.52,8.52,15200
2016-02-12,8.52,8.52,8.4,8.52,8.52,11500
2016-02-16,8.52,9.28,8.52,8.84,8.84,8800
2016-02-17,9.42,9.42,8.5,8.65,8.65,45100
2016-02-18,8.55,9.295,8.1,8.9,8.9,36900
2016-02-19,9.28,9.28,8.51,8.98,8.98,10000
2016-02-22,9.15,9.787,8.51,8.84,8.84,23300
2016-02-23,8.78,8.95,8.69,8.738,8.738,9300
2016-02-24,8.84,9.05,8.5,9.05,9.05,22300
2016-02-25,9.05,9.4,8.85,8.99,8.99,12000
2016-02-26,9.35,9.52,8.723,8.98,8.98,35700
2016-02-29,9.0,9.756,8.58,9.01,9.01,21100
2016-03-01,9.1,9.45,8.84,8.975,8.975,19300
2016-03-02,9.11,9.11,8.605,8.785,8.785,5300
2016-03-03,8.84,9.282,8.7,8.87,8.87,4800
2016-03-04,9.3,9.475,8.89,9.08,9.08,4900
2016-03-07,9.28,9.28,8.61,8.9,8.9,12500
2016-03-08,8.76,8.99,8.75,8.76,8.76,3100
2016-03-09,8.9,9.19,8.76,8.86,8.86,5700
2016-03-10,9.19,9.19,8.9,8.92,8.92,5600
2016-03-11,9.189,9.189,8.87,8.87,8.87,1900
2016-03-14,8.874,9.25,8.87,8.9,8.9,2300
2016-03-15,8.94,9.126,8.94,9.09,9.09,4000
2016-03-16,9.08,9.25,9.0,9.25,9.25,13400
2016-03-17,9.2,9.33,8.87,8.87,8.87,10500
2016-03-18,8.824,8.837,8.82,8.82,8.82,1100
2016-03-21,8.837,8.9,8.82,8.9,8.9,3700
2016-03-22,8.86,9.245,8.86,9.1,9.1,5100
2016-03-23,9.02,9.02,8.86,8.95,8.95,6900
2016-03-24,8.82,9.05,8.8,8.85,8.85,6700
2016-03-28,9.236,9.236,8.9,8.9,8.9,3700
2016-03-29,8.88,9.1,8.8,8.84,8.84,2300
2016-03-30,8.84,9.16,8.84,9.0,9.0,4100
2016-03-31,8.92,9.1,8.9,8.96,8.96,6000
2016-04-01,8.93,8.93,8.75,8.91,8.91,13700
2016-04-04,8.841,8.89,8.66,8.66,8.66,4600
2016-04-05,8.6,8.89,8.51,8.56,8.56,6200
2016-04-06,8.55,8.88,8.51,8.59,8.59,7600
2016-04-07,8.548,8.83,8.548,8.58,8.58,5700
2016-04-08,8.62,8.85,8.49,8.59,8.59,122000
2016-04-11,8.53,8.59,8.4,8.4,8.4,10400
2016-04-12,8.9,8.9,8.44,8.46,8.46,12500
2016-04-13,8.9,8.9,8.4,8.4,8.4,7700
2016-04-14,8.45,8.85,8.2,8.41,8.41,18900
2016-04-15,8.4,8.9,8.4,8.5,8.5,16700
2016-04-18,8.5,8.63,8.5,8.56,8.56,6700
2016-04-19,8.71,8.71,8.42,8.43,8.43,14000
2016-04-20,8.43,8.6,8.35,8.5,8.5,6800
2016-04-21,8.51,8.52,8.362,8.5,8.5,27900
2016-04-22,8.46,9.28,8.46,8.58,8.58,40600
2016-04-25,9.2,9.704,8.67,8.98,8.98,7700
2016-04-26,8.86,9.1,8.437,8.73,8.73,9300
2016-04-27,8.78,8.85,8.7,8.82,8.82,2000
2016-04-28,8.7,8.72,8.35,8.49,8.49,28800
2016-04-29,8.5,8.95,8.418,8.5,8.5,61100
2016-05-02,8.5,8.954,8.5,8.8,8.8,1700
2016-05-03,8.83,9.0,8.5,9.0,9.0,1700
2016-05-04,8.89,8.89,8.51,8.66,8.66,6000
2016-05-05,8.66,9.017,8.48,8.49,8.49,9800
2016-05-06,8.51,8.6,8.43,8.5,8.5,3000
2016-05-09,8.43,8.71,8.43,8.71,8.71,2100
