Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.87,14.13,13.1,13.37,13.37,103500
2016-01-05,13.535,14.04,13.4,13.56,13.56,49800
2016-01-06,13.3,13.55,13.04,13.28,13.28,39000
2016-01-07,13.0,13.13,12.15,12.69,12.69,74400
2016-01-08,12.85,13.2,12.01,12.04,12.04,87000
2016-01-11,12.24,12.24,10.58,11.55,11.55,106100
2016-01-12,11.88,11.88,11.056,11.32,11.32,40500
2016-01-13,11.411,11.411,9.62,9.96,9.96,89000
2016-01-14,10.12,10.75,9.0,10.3,10.3,86700
2016-01-15,9.97,10.1,9.44,9.68,9.68,57700
2016-01-19,9.96,10.67,9.36,10.16,10.16,84900
2016-01-20,10.0,11.06,9.77,10.18,10.18,168000
2016-01-21,10.35,10.93,9.57,9.73,9.73,141500
2016-01-22,10.09,10.42,9.64,9.9,9.9,168700
2016-01-25,9.99,10.37,9.58,9.87,9.87,175700
2016-01-26,9.79,9.88,9.12,9.34,9.34,152500
2016-01-27,9.28,9.72,8.91,9.42,9.42,125500
2016-01-28,15.19,15.2,12.14,13.38,13.38,4152500
2016-01-29,13.33,13.9,12.52,13.58,13.58,519300
2016-02-01,12.23,12.5,10.58,10.88,10.88,674200
2016-02-02,10.81,11.1,10.08,10.42,10.42,207800
2016-02-03,10.43,10.551,9.5,9.57,9.57,146000
2016-02-04,9.47,9.55,9.14,9.33,9.33,101000
2016-02-05,9.23,9.39,8.59,8.72,8.72,105700
2016-02-08,8.57,8.57,7.57,8.11,8.11,188100
2016-02-09,8.06,9.86,8.06,9.73,9.73,208100
2016-02-10,9.82,10.332,9.26,9.36,9.36,133200
2016-02-11,8.95,9.685,8.28,8.68,8.68,79200
2016-02-12,8.45,9.0,8.27,8.84,8.84,70500
2016-02-16,8.97,9.18,8.54,8.95,8.95,80600
2016-02-17,9.01,10.73,9.01,10.17,10.17,145100
2016-02-18,10.09,10.7,9.91,10.7,10.7,167000
2016-02-19,10.7,10.798,10.28,10.61,10.61,184600
2016-02-22,10.75,11.03,10.54,10.7,10.7,211000
2016-02-23,10.72,11.05,9.775,9.98,9.98,190300
2016-02-24,9.76,10.58,9.682,10.5,10.5,101000
2016-02-25,10.52,10.52,10.0,10.35,10.35,137700
2016-02-26,10.37,10.995,10.03,10.54,10.54,75900
2016-02-29,10.59,10.69,9.9,9.91,9.91,49900
2016-03-01,9.93,10.42,9.45,10.32,10.32,85400
2016-03-02,10.23,11.61,10.23,11.5,11.5,91300
2016-03-03,11.46,11.69,10.65,11.39,11.39,171600
2016-03-04,11.62,11.75,10.86,11.53,11.53,91700
2016-03-07,11.46,11.745,11.21,11.39,11.39,90700
2016-03-08,11.25,11.65,10.53,10.59,10.59,89100
2016-03-09,10.66,11.13,10.21,10.81,10.81,75200
2016-03-10,10.255,11.48,10.23,10.48,10.48,38400
2016-03-11,10.45,10.97,10.25,10.91,10.91,27400
2016-03-14,10.81,11.49,10.63,11.11,11.11,75100
2016-03-15,11.04,11.04,10.35,10.45,10.45,68300
2016-03-16,10.43,10.83,9.56,9.74,9.74,57900
2016-03-17,10.0,11.11,9.76,9.88,9.88,123600
2016-03-18,10.11,10.33,9.43,9.79,9.79,205400
2016-03-21,9.73,10.6,9.73,10.32,10.32,87800
2016-03-22,10.57,11.5,10.4,11.24,11.24,86900
2016-03-23,11.25,11.25,10.54,10.58,10.58,70100
2016-03-24,10.34,11.05,10.14,10.39,10.39,46000
2016-03-28,10.49,11.265,9.83,9.97,9.97,54100
2016-03-29,9.94,10.7,9.72,10.68,10.68,51200
2016-03-30,10.69,10.9,10.0,10.22,10.22,95500
2016-03-31,10.15,10.96,10.085,10.79,10.79,100500
2016-04-01,10.75,11.05,10.42,10.74,10.74,60600
2016-04-04,10.55,11.395,10.46,10.84,10.84,81300
2016-04-05,10.74,11.31,10.14,10.19,10.19,75900
2016-04-06,10.13,10.98,10.13,10.65,10.65,97700
2016-04-07,11.265,11.265,10.29,10.34,10.34,51300
2016-04-08,10.54,10.54,10.09,10.43,10.43,55300
2016-04-11,10.56,10.75,10.33,10.47,10.47,94500
2016-04-12,10.45,10.65,10.06,10.4,10.4,91100
2016-04-13,10.45,10.779,9.95,10.29,10.29,104400
2016-04-14,10.36,10.53,10.04,10.3,10.3,145300
2016-04-15,10.32,10.42,9.57,10.04,10.04,101800
2016-04-18,10.13,10.31,9.82,10.2,10.2,49600
2016-04-19,10.28,10.728,9.89,9.94,9.94,72700
2016-04-20,9.95,10.276,9.635,9.84,9.84,52200
2016-04-21,9.79,10.13,9.64,10.11,10.11,43800
2016-04-22,10.08,10.4,9.925,10.11,10.11,69500
2016-04-25,10.11,10.19,9.61,9.75,9.75,55600
2016-04-26,9.79,9.79,9.16,9.51,9.51,65100
2016-04-27,9.45,9.57,9.055,9.29,9.29,59800
2016-04-28,9.29,9.68,8.96,9.33,9.33,97600
2016-04-29,9.35,9.4,8.92,9.07,9.07,39500
2016-05-02,9.18,9.34,8.79,9.29,9.29,54400
2016-05-03,8.93,9.26,8.92,9.01,9.01,34800
2016-05-04,9.18,9.18,8.56,8.82,8.82,77200
2016-05-05,8.559,8.76,8.26,8.48,8.48,118300
2016-05-06,8.38,8.53,8.02,8.17,8.17,84300
2016-05-09,8.25,8.415,8.0,8.2,8.2,83900
2016-05-10,8.32,8.35,8.0,8.28,8.28,151300
2016-05-11,8.29,8.307,7.79,7.84,7.84,114700
2016-05-12,7.93,8.12,7.42,7.63,7.63,140400
2016-05-13,7.6,7.83,7.27,7.77,7.77,98900
2016-05-16,8.32,8.32,7.515,7.7,7.7,130400
2016-05-17,7.7,7.8,7.15,7.49,7.49,102700
2016-05-18,7.51,7.75,7.36,7.48,7.48,139500
2016-05-19,7.49,7.81,7.45,7.61,7.61,156400
2016-05-20,7.79,8.24,7.63,7.82,7.82,156200
2016-05-23,7.97,8.04,7.5,7.55,7.55,176400
2016-05-24,7.67,8.76,7.56,8.64,8.64,146100
2016-05-25,8.77,10.84,8.77,10.63,10.63,412800
2016-05-26,10.55,11.07,10.36,10.81,10.81,120300
2016-05-27,10.88,10.98,10.53,10.84,10.84,56100
2016-05-31,10.83,11.162,10.25,10.48,10.48,105000
2016-06-01,10.18,11.089,10.08,10.96,10.96,116000
2016-06-02,10.87,11.29,10.57,11.23,11.23,75800
2016-06-03,11.3,11.3,10.75,11.2,11.2,99600
2016-06-06,11.35,11.35,10.98,11.1,11.1,60100
2016-06-07,11.01,11.19,10.79,10.8,10.8,97900
2016-06-08,10.78,10.78,10.05,10.25,10.25,86700
2016-06-09,10.24,10.296,9.65,9.69,9.69,73600
2016-06-10,9.49,10.01,9.49,9.83,9.83,94900
2016-06-13,9.85,10.105,9.625,9.83,9.83,190700
2016-06-14,9.79,9.99,9.465,9.69,9.69,183800
2016-06-15,9.65,10.14,9.52,9.72,9.72,258600
2016-06-16,9.71,10.11,9.56,10.04,10.04,218300
2016-06-17,10.07,10.4,9.85,9.88,9.88,137000
2016-06-20,10.07,10.73,9.63,9.75,9.75,151400
2016-06-21,9.75,9.91,9.43,9.67,9.67,75700
2016-06-22,9.64,9.96,9.31,9.41,9.41,101600
2016-06-23,9.58,9.87,9.33,9.65,9.65,128600
2016-06-24,9.09,9.74,9.01,9.21,9.21,767600
2016-06-27,9.2,9.2,8.66,8.72,8.72,141800
2016-06-28,8.86,9.1,8.79,9.02,9.02,123000
2016-06-29,9.4,9.4,8.81,9.17,9.17,68000
2016-06-30,9.23,9.695,8.94,9.28,9.28,110900
