Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6.0,6.14,5.76,5.88,5.88,37800
2016-01-05,5.95,6.198,5.83,5.9,5.9,24100
2016-01-06,5.82,5.91,5.65,5.69,5.69,15500
2016-01-07,5.62,5.7,5.43,5.5,5.5,21800
2016-01-08,5.53,5.59,5.4,5.44,5.44,7200
2016-01-11,5.4,5.55,5.11,5.37,5.37,34600
2016-01-12,5.54,5.6,5.21,5.26,5.26,237800
2016-01-13,5.39,5.47,4.9,5.0,5.0,241100
2016-01-14,4.93,5.42,4.744,5.14,5.14,47300
2016-01-15,4.94,5.26,4.81,4.88,4.88,38000
2016-01-19,5.09,5.09,4.48,4.63,4.63,11300
2016-01-20,4.63,4.85,4.38,4.71,4.71,26800
2016-01-21,4.65,4.94,4.65,4.93,4.93,5800
2016-01-22,4.97,5.502,4.97,5.28,5.28,26900
2016-01-25,5.3,5.94,5.138,5.34,5.34,38100
2016-01-26,5.3,5.72,5.09,5.36,5.36,20900
2016-01-27,5.39,5.61,5.21,5.295,5.295,11300
2016-01-28,5.38,5.65,5.0,5.435,5.435,25800
2016-01-29,5.39,5.8,5.18,5.2,5.2,45900
2016-02-01,5.15,5.55,5.1,5.52,5.52,17900
2016-02-02,5.57,5.92,5.41,5.65,5.65,28000
2016-02-03,5.72,5.74,5.22,5.43,5.43,16400
2016-02-04,5.36,5.77,5.31,5.43,5.43,12700
2016-02-05,5.46,5.46,5.23,5.35,5.35,9700
2016-02-08,5.29,5.3,5.0,5.26,5.26,9500
2016-02-09,5.09,5.1,4.63,4.71,4.71,77300
2016-02-10,4.76,5.06,4.68,4.75,4.75,9500
2016-02-11,4.54,4.71,4.43,4.6,4.6,8100
2016-02-12,4.65,5.08,4.65,4.68,4.68,11100
2016-02-16,4.73,5.06,4.73,4.86,4.86,10400
2016-02-17,5.02,5.06,4.85,4.99,4.99,4700
2016-02-18,4.99,5.26,4.821,5.18,5.18,7600
2016-02-19,5.2,5.24,4.82,5.12,5.12,14300
2016-02-22,5.43,5.45,4.63,5.0,5.0,31700
2016-02-23,5.24,5.24,4.84,4.9,4.9,17800
2016-02-24,5.13,5.13,4.84,5.0,5.0,15700
2016-02-25,4.733,5.14,4.733,5.0,5.0,8300
2016-02-26,5.1,5.1,4.82,5.0,5.0,13900
2016-02-29,5.08,5.15,4.87,4.87,4.87,12900
2016-03-01,5.02,5.25,4.97,5.0,5.0,13300
2016-03-02,5.196,5.196,5.02,5.17,5.17,10800
2016-03-03,5.3,5.35,5.175,5.23,5.23,20100
2016-03-04,5.34,5.35,4.97,5.13,5.13,29400
2016-03-07,5.06,5.35,5.06,5.28,5.28,13900
2016-03-08,5.35,5.35,5.16,5.29,5.29,20200
2016-03-09,5.5,5.64,5.35,5.41,5.41,22600
2016-03-10,5.45,5.6,5.35,5.57,5.57,15100
2016-03-11,5.65,5.9,5.35,5.67,5.67,32000
2016-03-14,5.8,5.95,5.69,5.88,5.88,28200
2016-03-15,5.92,5.95,5.828,5.88,5.88,18100
2016-03-16,5.61,5.86,5.38,5.38,5.38,17300
2016-03-17,5.39,5.66,5.16,5.51,5.51,29200
2016-03-18,5.6,6.23,5.58,5.77,5.77,120700
2016-03-21,5.83,6.15,5.78,6.0,6.0,40700
2016-03-22,6.0,6.3,5.99,6.25,6.25,108900
2016-03-23,6.22,6.24,5.96,6.21,6.21,33200
2016-03-24,6.08,6.21,5.88,6.05,6.05,29800
2016-03-28,6.05,6.14,5.41,5.51,5.51,101800
2016-03-29,5.5,5.844,5.33,5.71,5.71,31900
2016-03-30,5.78,5.99,5.69,5.99,5.99,20100
2016-03-31,5.88,6.17,5.88,6.14,6.14,36300
2016-04-01,6.03,6.31,6.01,6.2,6.2,52700
2016-04-04,6.15,6.41,6.02,6.18,6.18,38300
2016-04-05,6.1,6.36,6.1,6.36,6.36,10000
2016-04-06,6.3,6.4,6.06,6.28,6.28,56700
2016-04-07,6.18,6.33,5.952,6.08,6.08,43400
