Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.42,16.67,16.1,16.200001,16.200001,1386700
2016-01-05,16.35,16.57,15.92,16.040001,16.040001,1532200
2016-01-06,15.74,15.95,15.26,15.63,15.63,2014300
2016-01-07,15.44,16.059998999999998,14.95,14.99,14.99,2571400
2016-01-08,15.12,15.25,14.4,14.72,14.72,1697600
2016-01-11,14.76,14.88,13.62,13.85,13.85,2049100
2016-01-12,14.0,14.4,13.75,14.27,14.27,1537100
2016-01-13,14.36,14.51,13.15,13.19,13.19,1357600
2016-01-14,13.26,13.94,12.79,13.76,13.76,2016400
2016-01-15,13.15,14.06,12.98,14.01,14.01,11481000
2016-01-19,13.67,14.6,13.66,14.03,14.03,3072100
2016-01-20,13.53,14.87,13.53,14.57,14.57,1889500
2016-01-21,14.66,14.86,14.13,14.28,14.28,1319700
2016-01-22,14.66,14.97,14.2,14.76,14.76,1205000
2016-01-25,14.51,15.28,14.51,14.94,14.94,1882600
2016-01-26,15.08,15.36,14.82,15.25,15.25,1660900
2016-01-27,15.18,15.37,14.34,14.43,14.43,1465400
2016-01-28,14.85,14.85,13.51,13.71,13.71,2044200
2016-01-29,13.83,14.17,13.18,13.64,13.64,1974100
2016-02-01,13.58,14.0,12.94,13.33,13.33,2056100
2016-02-02,13.15,13.31,12.09,12.16,12.16,2521800
2016-02-03,12.29,12.31,11.53,12.21,12.21,3243500
2016-02-04,12.05,12.27,11.59,11.69,11.69,2535500
2016-02-05,11.55,12.03,10.7,11.94,11.94,6493500
2016-02-08,11.79,11.8,10.96,11.17,11.17,2939600
2016-02-09,10.93,11.92,10.92,11.34,11.34,1650300
2016-02-10,11.48,11.92,11.16,11.17,11.17,1379900
2016-02-11,10.87,11.56,10.76,11.32,11.32,1283300
2016-02-12,11.55,11.62,11.28,11.54,11.54,1097400
2016-02-16,11.62,11.85,11.35,11.54,11.54,1475400
2016-02-17,11.63,12.14,11.39,11.94,11.94,1261100
2016-02-18,11.99,12.15,11.32,11.34,11.34,995900
2016-02-19,11.29,11.51,10.97,11.42,11.42,1487600
2016-02-22,11.5,11.75,11.36,11.5,11.5,1255100
2016-02-23,11.42,11.68,10.98,11.0,11.0,811000
2016-02-24,11.0,11.38,10.52,11.36,11.36,1644300
2016-02-25,11.44,11.58,10.93,11.3,11.3,1192900
2016-02-26,11.3,11.56,10.98,11.27,11.27,813700
2016-02-29,11.18,11.38,10.99,11.17,11.17,1446300
2016-03-01,11.22,11.49,10.96,11.47,11.47,1305300
2016-03-02,11.16,11.7,10.67,11.15,11.15,2316300
2016-03-03,11.21,11.48,11.0,11.44,11.44,1479300
2016-03-04,11.67,11.76,11.24,11.35,11.35,1149800
2016-03-07,11.27,12.07,11.22,12.06,12.06,1357000
2016-03-08,11.97,12.45,11.87,11.9,11.9,2417500
2016-03-09,11.92,12.04,11.59,11.65,11.65,952600
2016-03-10,11.76,12.11,11.7,12.03,12.03,1581600
2016-03-11,12.17,12.94,12.17,12.87,12.87,2109500
2016-03-14,12.86,13.25,12.55,13.05,13.05,1351200
2016-03-15,12.89,13.22,12.34,12.77,12.77,2222500
2016-03-16,12.74,12.95,12.21,12.3,12.3,1356300
2016-03-17,12.23,12.48,11.82,12.32,12.32,1701900
2016-03-18,12.4,12.65,12.12,12.59,12.59,2276400
2016-03-21,12.54,12.88,12.02,12.64,12.64,1011400
2016-03-22,12.56,13.06,12.53,12.97,12.97,686700
2016-03-23,12.91,13.18,12.58,12.6,12.6,1023200
2016-03-24,12.49,12.99,12.32,12.71,12.71,693400
2016-03-28,12.78,12.88,12.43,12.62,12.62,698400
2016-03-29,12.57,13.35,12.49,13.35,13.35,955000
2016-03-30,13.43,13.71,13.38,13.57,13.57,1037000
2016-03-31,13.65,14.0,13.37,13.75,13.75,1207500
2016-04-01,13.63,14.54,13.5,14.44,14.44,1564400
2016-04-04,14.49,15.01,14.24,14.26,14.26,1247000
2016-04-05,14.16,14.57,14.11,14.37,14.37,923600
2016-04-06,14.41,15.52,14.41,15.32,15.32,1605100
2016-04-07,15.22,15.85,15.04,15.15,15.15,1986600
2016-04-08,15.38,15.59,15.0,15.48,15.48,1128300
2016-04-11,15.52,15.67,15.25,15.29,15.29,1431700
2016-04-12,15.2,15.4,14.53,14.85,14.85,1310800
2016-04-13,14.88,15.32,14.54,15.27,15.27,1260400
2016-04-14,15.28,15.31,14.81,15.19,15.19,812600
2016-04-15,15.11,15.31,14.91,15.14,15.14,1069500
2016-04-18,15.15,15.87,15.08,15.75,15.75,944100
2016-04-19,15.72,15.94,15.36,15.56,15.56,935600
2016-04-20,15.6,15.81,15.3,15.37,15.37,805700
2016-04-21,15.37,15.79,15.28,15.77,15.77,912700
2016-04-22,15.77,16.34,15.68,16.219998999999998,16.219998999999998,1000900
2016-04-25,16.110001,16.43,16.040001,16.200001,16.200001,958700
2016-04-26,16.200001,16.379998999999998,15.83,16.139999,16.139999,600900
2016-04-27,16.15,16.41,16.040001,16.24,16.24,976300
2016-04-28,16.18,16.450001,16.02,16.139999,16.139999,972000
2016-04-29,16.040001,16.129998999999998,15.49,15.68,15.68,934900
2016-05-02,15.84,15.99,15.44,15.98,15.98,917300
2016-05-03,15.85,16.139999,15.48,15.59,15.59,942300
2016-05-04,15.21,15.36,13.6,14.02,14.02,2943300
2016-05-05,14.19,14.27,13.56,13.65,13.65,771600
2016-05-06,13.53,13.73,12.99,13.38,13.38,1167500
2016-05-09,13.46,13.74,13.26,13.58,13.58,846000
2016-05-10,13.65,13.73,13.41,13.71,13.71,643400
2016-05-11,13.69,13.82,13.27,13.29,13.29,560900
2016-05-12,13.37,13.49,12.87,13.09,13.09,624000
2016-05-13,13.05,13.39,13.05,13.32,13.32,541500
2016-05-16,13.41,13.99,12.82,13.91,13.91,895500
2016-05-17,13.87,13.99,13.27,13.35,13.35,991600
2016-05-18,13.3,13.84,13.23,13.65,13.65,635600
