Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.9,16.9,15.54,15.75,15.75,565500
2016-01-05,15.82,16.25,15.6,15.63,15.63,297500
2016-01-06,15.4,15.49,14.72,15.04,15.04,507400
2016-01-07,14.75,14.75,12.88,12.96,12.96,569600
2016-01-08,13.17,13.92,13.0,13.78,13.78,611900
2016-01-11,14.5,14.5,12.35,13.54,13.54,865400
2016-01-12,13.67,14.35,13.14,13.76,13.76,405900
2016-01-13,13.89,14.23,11.83,11.91,11.91,502700
2016-01-14,11.95,13.16,11.12,12.91,12.91,505600
2016-01-15,12.1,12.9,11.6,12.45,12.45,426400
2016-01-19,12.67,12.77,11.33,11.63,11.63,461200
2016-01-20,11.64,12.71,10.75,12.48,12.48,718700
2016-01-21,12.59,13.09,12.0,12.37,12.37,343300
2016-01-22,12.75,12.94,12.21,12.68,12.68,282200
2016-01-25,12.67,13.31,12.17,12.24,12.24,607400
2016-01-26,12.34,12.34,11.01,11.99,11.99,450800
2016-01-27,12.02,12.04,10.75,10.79,10.79,513100
2016-01-28,11.11,11.16,10.24,10.3,10.3,408000
2016-01-29,10.27,11.03,10.0,10.3,10.3,500700
2016-02-01,10.31,10.42,9.65,9.75,9.75,402000
2016-02-02,9.63,9.65,8.9,9.03,9.03,347100
2016-02-03,9.05,9.06,8.01,8.55,8.55,762700
2016-02-04,8.55,9.08,8.31,8.5,8.5,566700
2016-02-05,8.36,8.56,7.81,7.84,7.84,532900
2016-02-08,7.52,7.92,6.34,6.8,6.8,1097300
2016-02-09,6.7,7.083,6.32,6.8,6.8,636200
2016-02-10,6.82,7.345,6.15,6.36,6.36,654100
2016-02-11,6.15,6.6,6.1,6.33,6.33,488500
2016-02-12,6.39,6.83,6.21,6.5,6.5,427600
2016-02-16,6.81,7.81,6.51,7.6,7.6,752000
2016-02-17,7.86,7.99,7.52,7.76,7.76,504200
2016-02-18,7.76,7.99,7.27,7.5,7.5,419200
2016-02-19,7.45,8.49,7.09,8.14,8.14,454200
2016-02-22,8.32,8.38,7.7,7.84,7.84,312200
2016-02-23,7.71,7.76,7.25,7.35,7.35,232800
2016-02-24,7.26,7.54,7.05,7.47,7.47,218300
2016-02-25,7.41,7.455,7.02,7.16,7.16,202000
2016-02-26,7.28,7.51,7.08,7.41,7.41,210100
2016-02-29,7.4,7.62,6.82,6.88,6.88,272000
2016-03-01,6.95,7.45,6.74,7.13,7.13,447000
2016-03-02,7.12,7.94,7.1,7.81,7.81,536900
2016-03-03,7.89,7.92,7.38,7.6,7.6,297900
2016-03-04,7.59,9.05,7.45,8.87,8.87,643300
2016-03-07,8.96,10.3,8.77,9.61,9.61,871500
2016-03-08,9.61,9.75,8.78,9.15,9.15,326900
2016-03-09,9.21,9.21,8.36,8.94,8.94,222600
2016-03-10,9.0,9.29,8.21,8.45,8.45,273300
2016-03-11,7.99,8.75,7.577,8.17,8.17,711200
2016-03-14,8.2,8.63,8.11,8.37,8.37,386400
2016-03-15,8.19,8.27,7.53,7.7,7.7,302300
2016-03-16,7.6,7.92,7.37,7.55,7.55,306100
2016-03-17,7.57,7.605,7.17,7.22,7.22,438900
2016-03-18,7.24,7.45,6.91,7.27,7.27,940000
2016-03-21,7.2,8.183,7.1,8.05,8.05,423200
2016-03-22,8.02,8.68,8.0,8.67,8.67,394000
2016-03-23,8.6,8.99,8.345,8.6,8.6,444500
2016-03-24,8.35,8.45,7.79,8.1,8.1,474800
2016-03-28,8.14,8.78,7.86,8.61,8.61,210800
2016-03-29,8.31,8.55,7.89,8.5,8.5,396800
2016-03-30,8.42,8.89,8.09,8.21,8.21,282600
2016-03-31,8.0,8.61,8.0,8.22,8.22,275400
2016-04-01,8.12,8.65,7.99,8.63,8.63,439600
2016-04-04,8.6,9.89,8.53,9.72,9.72,611000
2016-04-05,9.58,9.7,8.66,8.7,8.7,386600
2016-04-06,8.72,9.59,8.71,9.56,9.56,593400
