Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.46,14.86,13.57,13.67,13.67,229400
2016-01-05,13.75,13.75,12.77,12.92,12.92,154000
2016-01-06,12.79,13.0,12.32,12.38,12.38,114500
2016-01-07,12.3,13.25,12.26,12.79,12.79,163300
2016-01-08,12.79,13.09,11.86,11.97,11.97,235400
2016-01-11,12.48,13.16,11.92,12.66,12.66,259700
2016-01-12,12.78,13.21,12.28,12.69,12.69,157700
2016-01-13,12.77,12.77,12.08,12.69,12.69,228700
2016-01-14,12.85,13.64,12.44,13.51,13.51,107400
2016-01-15,13.1,14.72,12.41,14.33,14.33,224400
2016-01-19,14.5,14.5,13.73,14.05,14.05,332300
2016-01-20,13.96,15.7,13.59,15.04,15.04,293900
2016-01-21,15.08,15.24,14.55,14.95,14.95,315200
2016-01-22,15.1,15.48,14.7,15.31,15.31,152800
2016-01-25,15.24,15.72,14.89,15.3,15.3,102900
2016-01-26,15.46,15.46,14.64,14.8,14.8,67000
2016-01-27,13.76,14.73,13.64,13.71,13.71,134500
2016-01-28,13.79,13.94,12.77,13.58,13.58,124900
2016-01-29,13.6,14.08,13.43,13.95,13.95,112000
2016-02-01,13.88,14.09,13.42,13.91,13.91,75800
2016-02-02,13.74,13.97,13.61,13.89,13.89,89200
2016-02-03,13.97,14.4,13.57,14.1,14.1,105900
2016-02-04,14.05,14.24,13.54,13.81,13.81,111300
2016-02-05,13.73,13.99,12.89,12.94,12.94,143200
2016-02-08,12.94,12.94,11.72,11.89,11.89,182800
2016-02-09,11.81,12.36,11.56,12.12,12.12,123000
2016-02-10,12.23,12.76,12.02,12.11,12.11,88600
2016-02-11,11.68,12.59,11.3,11.89,11.89,154600
2016-02-12,12.0,12.07,11.63,12.04,12.04,135400
2016-02-16,12.18,12.54,11.89,12.05,12.05,128900
2016-02-17,12.23,12.81,11.97,12.6,12.6,208500
2016-02-18,12.58,12.73,12.18,12.19,12.19,56800
2016-02-19,12.21,12.55,12.06,12.55,12.55,70400
2016-02-22,12.93,13.3,12.52,13.11,13.11,102900
2016-02-23,13.05,13.29,12.25,12.35,12.35,68400
2016-02-24,12.2,12.69,11.7,12.48,12.48,45600
2016-02-25,12.46,12.79,11.88,11.95,11.95,57500
2016-02-26,11.97,12.83,11.93,12.43,12.43,120900
2016-02-29,12.48,12.67,11.98,12.04,12.04,133300
2016-03-01,12.0,14.68,11.86,14.3,14.3,236900
2016-03-02,14.24,15.21,14.18,14.99,14.99,172800
2016-03-03,14.92,15.58,14.76,15.4,15.4,148000
2016-03-04,15.39,15.5,15.19,15.43,15.43,153600
2016-03-07,15.27,17.66,15.27,17.51,17.51,309500
2016-03-08,17.219998999999998,17.219998999999998,14.74,16.469998999999998,16.469998999999998,298200
2016-03-09,16.08,16.299999,15.18,16.07,16.07,277600
2016-03-10,16.08,16.43,15.3,15.43,15.43,125200
2016-03-11,15.21,15.97,15.2,15.8,15.8,132000
2016-03-14,15.81,16.139999,15.59,15.81,15.81,71300
2016-03-15,15.69,15.69,15.12,15.3,15.3,67300
2016-03-16,15.57,16.34,15.48,15.96,15.96,110800
2016-03-17,15.89,16.040001,15.36,15.98,15.98,116200
2016-03-18,16.09,16.43,15.71,16.110001,16.110001,155200
2016-03-21,16.07,16.879998999999998,16.07,16.440001000000002,16.440001000000002,72800
2016-03-22,16.32,16.940001000000002,16.32,16.82,16.82,46400
2016-03-23,16.879998999999998,17.1,16.290001,16.299999,16.299999,77300
2016-03-24,16.27,16.85,16.049999,16.549999,16.549999,69900
2016-03-28,16.66,16.66,15.98,16.0,16.0,82400
2016-03-29,16.02,16.530001000000002,15.77,16.26,16.26,164300
2016-03-30,15.98,16.24,14.76,15.09,15.09,283100
2016-03-31,15.06,15.33,14.95,15.22,15.22,196500
2016-04-01,15.04,15.96,14.82,15.86,15.86,130100
2016-04-04,15.76,16.0,15.42,15.59,15.59,125900
2016-04-05,15.49,15.76,15.23,15.57,15.57,140400
2016-04-06,15.54,16.18,14.99,16.17,16.17,188200
2016-04-07,15.88,15.99,15.42,15.73,15.73,97800
2016-04-08,15.75,15.75,15.2,15.56,15.56,80800
2016-04-11,15.73,16.059998999999998,15.47,15.55,15.55,189800
2016-04-12,15.63,15.63,15.09,15.46,15.46,139400
2016-04-13,15.53,16.16,15.0,15.93,15.93,144700
2016-04-14,15.89,16.18,15.45,15.8,15.8,49900
2016-04-15,15.81,16.15,15.51,15.92,15.92,51400
2016-04-18,15.79,16.209999,15.52,16.09,16.09,102600
2016-04-19,16.17,16.25,15.88,16.02,16.02,87800
2016-04-20,15.78,15.97,15.16,15.62,15.62,379300
2016-04-21,15.47,16.41,15.35,16.25,16.25,245600
2016-04-22,16.299999,16.48,15.83,16.219998999999998,16.219998999999998,125200
2016-04-25,16.18,16.33,15.81,15.85,15.85,94200
2016-04-26,15.85,15.99,15.58,15.91,15.91,45400
2016-04-27,15.88,15.94,15.54,15.8,15.8,57500
2016-04-28,15.69,16.0,15.69,15.82,15.82,126100
2016-04-29,15.75,16.0,15.59,15.92,15.92,131400
2016-05-02,15.99,16.459999,15.66,16.459999,16.459999,223100
2016-05-03,16.25,16.5,16.040001,16.26,16.26,124400
2016-05-04,16.17,16.379998999999998,16.02,16.190001000000002,16.190001000000002,111400
2016-05-05,16.200001,16.4,15.75,16.190001000000002,16.190001000000002,82100
2016-05-06,14.75,15.02,12.81,13.76,13.76,654500
2016-05-09,13.9,14.56,13.73,14.21,14.21,190100
2016-05-10,14.44,14.5,13.95,14.47,14.47,137500
2016-05-11,14.35,14.86,14.24,14.42,14.42,107000
2016-05-12,14.48,14.57,14.16,14.27,14.27,104300
2016-05-13,14.23,14.66,13.76,14.38,14.38,57700
2016-05-16,14.62,14.73,14.0,14.55,14.55,112300
2016-05-17,14.5,14.55,13.97,14.0,14.0,85500
2016-05-18,13.94,14.3,13.72,13.89,13.89,129600
2016-05-19,13.83,13.83,13.33,13.36,13.36,116500
2016-05-20,13.5,13.8,13.19,13.69,13.69,259800
2016-05-23,13.62,13.88,13.44,13.6,13.6,118300
2016-05-24,13.75,13.99,13.69,13.81,13.81,110900
2016-05-25,13.92,13.99,13.7,13.84,13.84,115200
2016-05-26,13.81,14.0,13.61,13.93,13.93,71000
2016-05-27,13.9,13.99,13.82,13.96,13.96,65900
2016-05-31,13.99,13.99,13.38,13.58,13.58,106500
2016-06-01,13.51,13.51,12.97,13.27,13.27,119900
2016-06-02,13.46,14.01,13.17,13.98,13.98,148700
2016-06-03,13.94,13.97,13.5,13.63,13.63,43700
2016-06-06,13.72,13.81,13.5,13.6,13.6,84600
2016-06-07,13.54,13.93,13.15,13.86,13.86,118000
2016-06-08,13.94,14.09,13.69,13.98,13.98,54200
2016-06-09,13.85,13.85,13.3,13.37,13.37,73500
2016-06-10,13.21,13.3,13.02,13.19,13.19,56300
2016-06-13,13.15,13.54,13.14,13.35,13.35,122900
2016-06-14,13.33,13.34,12.86,13.15,13.15,77100
2016-06-15,13.17,13.66,13.1,13.64,13.64,81400
2016-06-16,13.8,13.93,13.4,13.79,13.79,123800
2016-06-17,13.84,13.84,13.09,13.18,13.18,154100
2016-06-20,13.32,13.78,13.08,13.39,13.39,85500
2016-06-21,13.45,13.52,13.12,13.49,13.49,44700
2016-06-22,13.49,14.1,13.4,13.52,13.52,72100
2016-06-23,13.71,14.24,13.41,14.19,14.19,89500
2016-06-24,13.64,13.77,12.99,13.05,13.05,382400
2016-06-27,12.92,13.0,12.15,12.28,12.28,289000
2016-06-28,12.28,12.81,12.17,12.37,12.37,217300
2016-06-29,12.53,12.86,11.89,12.41,12.41,222200
2016-06-30,12.41,12.67,12.32,12.6,12.6,127700
2016-07-01,12.63,12.92,12.55,12.78,12.78,64800
2016-07-05,12.7,13.13,12.5,12.99,12.99,216700
2016-07-06,12.9,13.15,12.85,13.01,13.01,61200
2016-07-07,13.04,13.15,12.68,12.99,12.99,205600
2016-07-08,13.02,13.13,12.95,12.99,12.99,348800
2016-07-11,13.08,13.78,13.01,13.6,13.6,85500
2016-07-12,13.67,14.07,13.63,13.87,13.87,53300
2016-07-13,13.99,14.38,13.88,13.96,13.96,71700
2016-07-14,14.12,14.12,13.27,13.44,13.44,59700
2016-07-15,13.61,13.94,13.26,13.81,13.81,73200
2016-07-18,13.81,13.85,13.47,13.6,13.6,45800
2016-07-19,13.59,13.59,13.24,13.28,13.28,116900
2016-07-20,13.39,13.58,13.24,13.43,13.43,44100
2016-07-21,13.42,13.69,13.29,13.48,13.48,87900
2016-07-22,13.45,13.51,13.29,13.38,13.38,31500
2016-07-25,13.36,13.38,13.08,13.15,13.15,80300
2016-07-26,13.13,13.34,13.06,13.29,13.29,63100
2016-07-27,13.26,13.46,13.21,13.33,13.33,55100
2016-07-28,13.27,13.74,13.27,13.67,13.67,61700
2016-07-29,13.61,13.91,13.35,13.59,13.59,108000
2016-08-01,13.54,13.69,13.48,13.63,13.63,48400
