Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.17,8.25,7.76,7.88,7.88,4884100
2016-01-05,7.92,8.09,7.75,7.89,7.89,3053200
2016-01-06,7.69,7.74,7.41,7.54,7.54,5014900
2016-01-07,7.25,7.38,6.76,6.92,6.92,7095800
2016-01-08,7.13,7.16,6.96,7.07,7.07,3012700
2016-01-11,7.08,7.18,6.3,6.58,6.58,5857300
2016-01-12,6.71,7.0,6.15,6.64,6.64,6705200
2016-01-13,6.94,6.96,5.88,6.02,6.02,7486500
2016-01-14,6.15,6.73,4.98,6.57,6.57,11028500
2016-01-15,6.01,6.53,5.98,6.51,6.51,10403500
2016-01-19,6.74,6.74,5.85,6.07,6.07,8289600
2016-01-20,5.85,6.35,5.46,6.2,6.2,8531000
2016-01-21,6.26,6.58,6.0,6.21,6.21,6844600
2016-01-22,6.38,6.65,6.14,6.62,6.62,8172100
2016-01-25,6.1,6.54,5.43,5.56,5.56,20167500
2016-01-26,5.39,5.65,5.27,5.65,5.65,23964800
2016-01-27,5.66,5.69,5.28,5.34,5.34,11070100
2016-01-28,5.42,5.44,4.8,4.87,4.87,11526200
2016-01-29,5.02,5.26,4.9,5.15,5.15,8496900
2016-02-01,5.18,5.19,4.87,5.04,5.04,8392200
2016-02-02,4.94,5.11,4.57,4.7,4.7,13056400
2016-02-03,4.8,4.84,4.08,4.59,4.59,12537500
2016-02-04,4.52,4.95,4.39,4.88,4.88,10863600
2016-02-05,4.82,4.86,4.51,4.81,4.81,17731800
2016-02-08,4.65,4.76,4.42,4.65,4.65,15117000
2016-02-09,4.51,4.85,4.35,4.62,4.62,8614900
2016-02-10,4.72,5.01,4.62,4.66,4.66,8151200
2016-02-11,4.51,4.66,4.41,4.53,4.53,10535600
2016-02-12,4.64,4.68,4.48,4.61,4.61,6253300
2016-02-16,4.8,5.1,4.7,4.9,4.9,8320500
2016-02-17,5.04,5.14,4.91,5.07,5.07,8096600
2016-02-18,5.16,5.2,4.84,4.86,4.86,7808300
2016-02-19,4.82,5.13,4.7,5.06,5.06,8697300
2016-02-22,5.17,5.22,5.0,5.03,5.03,5013900
2016-02-23,5.01,5.1,4.82,4.83,4.83,3877600
2016-02-24,4.78,4.84,4.51,4.79,4.79,6053000
2016-02-25,4.78,4.89,4.55,4.59,4.59,5977100
2016-02-26,4.67,4.75,4.53,4.71,4.71,5473500
2016-02-29,4.66,4.8,4.22,4.36,4.36,12125000
2016-03-01,4.45,4.82,4.35,4.7,4.7,17625700
2016-03-02,4.71,4.89,4.57,4.82,4.82,9687500
2016-03-03,4.83,4.87,4.7,4.79,4.79,7822500
2016-03-04,4.83,4.99,4.73,4.86,4.86,6051200
2016-03-07,4.83,5.33,4.75,5.14,5.14,6758400
2016-03-08,5.18,5.19,4.86,4.88,4.88,6312100
2016-03-09,4.91,4.98,4.73,4.91,4.91,3711500
2016-03-10,4.96,5.06,4.63,4.75,4.75,4436900
2016-03-11,4.84,4.89,4.67,4.88,4.88,3543800
2016-03-14,4.84,5.5,4.79,5.38,5.38,8599200
2016-03-15,5.35,5.37,4.95,4.99,4.99,5987800
2016-03-16,4.93,5.13,4.72,4.87,4.87,5130700
2016-03-17,4.81,4.98,4.69,4.9,4.9,4431200
2016-03-18,4.94,5.12,4.88,5.07,5.07,9148000
2016-03-21,5.06,5.37,5.02,5.25,5.25,5561000
2016-03-22,5.18,5.64,5.16,5.52,5.52,6847600
2016-03-23,5.51,5.62,5.15,5.16,5.16,6095600
2016-03-24,5.16,5.33,5.0,5.18,5.18,4622300
2016-03-28,5.21,5.24,5.04,5.04,5.04,3762900
2016-03-29,5.02,5.22,4.86,5.21,5.21,4604100
2016-03-30,5.26,5.59,5.08,5.14,5.14,5827100
2016-03-31,5.18,5.32,5.09,5.16,5.16,7060000
2016-04-01,5.09,5.55,5.08,5.49,5.49,5578100
2016-04-04,5.45,5.51,5.27,5.32,5.32,5583600
2016-04-05,5.26,5.53,5.16,5.34,5.34,5958500
2016-04-06,5.37,5.69,5.31,5.68,5.68,6445700
2016-04-07,5.65,5.81,5.47,5.49,5.49,6539100
2016-04-08,5.55,5.69,5.45,5.51,5.51,4188300
2016-04-11,5.58,5.75,5.45,5.47,5.47,4994600
2016-04-12,5.46,5.55,5.28,5.47,5.47,4682700
2016-04-13,5.58,5.62,5.46,5.57,5.57,4701400
2016-04-14,5.64,5.7,5.46,5.57,5.57,6477700
2016-04-15,5.52,5.58,5.37,5.47,5.47,4739700
2016-04-18,5.42,5.58,5.35,5.49,5.49,3707300
2016-04-19,5.49,5.54,5.26,5.32,5.32,5228100
