Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.37,15.56,14.22,14.79,14.79,723900
2016-01-05,14.92,15.05,13.73,13.83,13.83,340500
2016-01-06,13.69,13.69,12.66,12.7,12.7,389300
2016-01-07,12.21,12.45,11.37,11.51,11.51,552900
2016-01-08,11.86,11.86,11.27,11.5,11.5,563500
2016-01-11,11.63,11.63,10.72,11.08,11.08,725200
2016-01-12,11.24,11.55,10.83,11.22,11.22,503100
2016-01-13,11.11,11.59,10.07,10.1,10.1,492800
2016-01-14,10.24,10.46,8.9,10.08,10.08,894200
2016-01-15,9.7,10.0,9.5,9.94,9.94,448000
2016-01-19,10.43,10.49,9.52,9.84,9.84,511100
2016-01-20,9.64,10.96,9.51,10.7,10.7,520500
2016-01-21,10.69,11.05,10.43,10.5,10.5,375600
2016-01-22,10.82,11.17,10.46,10.77,10.77,226400
2016-01-25,10.77,11.21,10.5,10.62,10.62,232200
2016-01-26,10.61,10.93,10.17,10.77,10.77,219900
2016-01-27,10.77,10.98,10.41,10.63,10.63,327000
2016-01-28,10.9,10.9,9.93,10.0,10.0,173200
2016-01-29,10.06,10.8,9.98,10.79,10.79,281400
2016-02-01,10.64,11.64,10.35,11.52,11.52,216400
2016-02-02,11.29,11.31,10.83,11.11,11.11,169700
2016-02-03,11.18,11.5,10.54,11.48,11.48,193000
2016-02-04,11.46,11.67,11.12,11.59,11.59,341200
2016-02-05,11.5,11.61,10.9,11.09,11.09,222500
2016-02-08,10.85,10.87,10.11,10.35,10.35,205700
2016-02-09,10.19,10.6,9.8,10.14,10.14,267700
2016-02-10,10.48,11.09,9.65,10.51,10.51,198200
2016-02-11,10.4,10.68,9.98,10.53,10.53,247800
2016-02-12,10.55,11.15,10.32,11.02,11.02,203000
2016-02-16,11.1,11.48,10.94,11.2,11.2,413400
2016-02-17,11.37,11.62,11.26,11.39,11.39,404000
2016-02-18,11.37,11.38,10.3,10.38,10.38,435500
2016-02-19,10.39,10.4,10.02,10.27,10.27,248200
2016-02-22,10.35,10.67,10.35,10.48,10.48,361400
2016-02-23,10.27,10.82,10.05,10.09,10.09,296000
2016-02-24,9.96,10.34,9.66,10.25,10.25,588000
2016-02-25,10.25,10.39,9.84,10.16,10.16,344300
2016-02-26,10.21,10.6,10.03,10.1,10.1,357300
2016-02-29,10.18,10.25,9.95,10.14,10.14,297100
2016-03-01,10.21,10.56,9.94,10.53,10.53,628400
2016-03-02,10.54,11.34,10.27,11.19,11.19,451500
2016-03-03,11.32,11.55,11.08,11.49,11.49,311700
2016-03-04,11.47,12.39,11.36,12.28,12.28,601200
2016-03-07,12.04,13.13,12.04,12.99,12.99,503600
2016-03-08,14.74,16.059998999999998,14.74,15.07,15.07,2570600
2016-03-09,15.0,16.48,14.78,16.200001,16.200001,1045300
2016-03-10,16.17,16.799999,15.2,15.3,15.3,755700
2016-03-11,15.87,16.370001000000002,14.93,16.370001000000002,16.370001000000002,471900
2016-03-14,16.209999,16.620001000000002,15.89,16.200001,16.200001,496800
2016-03-15,15.82,16.24,13.86,13.95,13.95,930000
2016-03-16,13.73,14.45,13.65,14.28,14.28,448800
2016-03-17,14.2,14.86,14.04,14.7,14.7,331400
2016-03-18,15.05,15.49,14.69,14.93,14.93,838300
2016-03-21,14.85,15.32,14.85,15.18,15.18,261300
2016-03-22,15.0,15.64,15.0,15.55,15.55,320400
2016-03-23,15.55,15.8,14.19,14.26,14.26,448600
2016-03-24,14.08,15.3,13.9,15.23,15.23,283600
2016-03-28,15.33,15.37,14.52,14.55,14.55,215100
2016-03-29,14.52,15.27,14.25,15.19,15.19,284700
2016-03-30,15.1,15.67,14.66,15.27,15.27,303900
2016-03-31,15.43,15.66,15.17,15.34,15.34,501600
2016-04-01,15.19,15.7,15.01,15.62,15.62,214400
2016-04-04,15.62,16.25,15.62,15.8,15.8,308000
2016-04-05,15.8,16.33,15.8,16.09,16.09,423600
2016-04-06,16.139999,16.379998999999998,15.44,16.01,16.01,422700
2016-04-07,16.0,16.200001,15.7,15.94,15.94,380300
2016-04-08,16.16,16.18,15.48,15.65,15.65,241300
2016-04-11,15.78,16.0,15.51,15.79,15.79,211900
2016-04-12,15.73,15.95,15.3,15.44,15.44,268300
2016-04-13,15.25,15.43,14.96,15.22,15.22,484500
2016-04-14,15.3,15.55,15.06,15.3,15.3,410700
2016-04-15,15.21,15.31,14.99,15.07,15.07,418400
2016-04-18,14.97,15.25,14.59,14.81,14.81,262800
2016-04-19,14.85,14.85,13.42,13.65,13.65,757900
2016-04-20,13.62,13.93,13.33,13.55,13.55,393400
2016-04-21,13.48,13.88,13.41,13.69,13.69,231100
2016-04-22,13.68,13.78,13.25,13.73,13.73,268300
2016-04-25,13.65,13.75,13.3,13.52,13.52,210800
2016-04-26,13.44,13.88,13.14,13.84,13.84,346400
2016-04-27,13.79,13.83,13.25,13.39,13.39,184000
2016-04-28,13.29,13.79,13.23,13.41,13.41,214800
2016-04-29,13.31,13.68,13.12,13.25,13.25,204300
2016-05-02,13.28,13.52,13.07,13.25,13.25,267800
2016-05-03,13.11,13.16,12.69,12.79,12.79,368700
2016-05-04,12.56,12.92,12.21,12.28,12.28,307100
2016-05-05,12.35,12.6,12.04,12.25,12.25,268600
2016-05-06,12.15,12.42,11.95,12.38,12.38,225300
2016-05-09,12.37,12.89,12.17,12.56,12.56,272400
2016-05-10,11.25,11.49,9.94,10.51,10.51,1824700
2016-05-11,10.6,10.84,10.32,10.68,10.68,392700
2016-05-12,10.7,10.82,9.77,9.94,9.94,721400
2016-05-13,9.84,9.96,9.51,9.91,9.91,446500
2016-05-16,9.99,10.22,9.83,9.94,9.94,320500
2016-05-17,9.96,11.11,9.96,10.65,10.65,379200
2016-05-18,10.69,10.94,10.53,10.73,10.73,273600
2016-05-19,10.68,11.35,10.53,11.27,11.27,326600
2016-05-20,11.35,11.83,11.25,11.5,11.5,448300
2016-05-23,11.6,11.96,10.8,10.98,10.98,566200
2016-05-24,11.12,11.34,10.93,11.22,11.22,165000
2016-05-25,11.33,11.73,11.24,11.52,11.52,220300
2016-05-26,11.49,11.55,11.12,11.3,11.3,138100
2016-05-27,11.44,11.57,11.17,11.42,11.42,181200
2016-05-31,11.41,11.89,11.41,11.7,11.7,234400
2016-06-01,11.59,11.7,11.01,11.54,11.54,201300
2016-06-02,11.62,12.12,11.58,11.91,11.91,258300
2016-06-03,12.09,12.12,11.64,11.66,11.66,251100
2016-06-06,11.78,11.89,11.5,11.73,11.73,369600
2016-06-07,11.63,11.63,10.79,10.79,10.79,460300
2016-06-08,10.8,11.14,10.7,11.02,11.02,250700
2016-06-09,10.99,11.07,10.78,10.84,10.84,198000
2016-06-10,10.85,10.97,10.54,10.75,10.75,344500
2016-06-13,10.84,11.27,10.78,11.18,11.18,339000
2016-06-14,11.15,11.78,10.9,11.13,11.13,514900
2016-06-15,11.23,11.69,11.04,11.3,11.3,332800
2016-06-16,11.37,11.37,10.53,10.98,10.98,366100
2016-06-17,10.97,11.07,10.53,10.55,10.55,630600
2016-06-20,10.62,11.23,10.5,10.88,10.88,225300
2016-06-21,10.9,11.01,10.53,10.87,10.87,198900
2016-06-22,10.87,11.32,10.67,10.86,10.86,182500
2016-06-23,10.95,11.05,10.81,10.98,10.98,267100
2016-06-24,10.38,10.7,10.2,10.28,10.28,685200
2016-06-27,10.14,10.28,9.46,9.53,9.53,498000
2016-06-28,9.63,10.31,9.55,10.24,10.24,418700
2016-06-29,10.55,10.66,10.19,10.55,10.55,237000
2016-06-30,10.53,10.66,9.93,10.52,10.52,669600
2016-07-01,10.5,11.26,10.36,11.23,11.23,334200
2016-07-05,11.32,11.9,11.27,11.4,11.4,531000
2016-07-06,11.27,11.71,11.12,11.24,11.24,292500
2016-07-07,11.4,11.65,11.15,11.61,11.61,238000
2016-07-08,11.69,11.75,11.5,11.59,11.59,460300
2016-07-11,11.67,11.82,11.39,11.74,11.74,185300
2016-07-12,11.95,12.48,11.66,12.1,12.1,730600
2016-07-13,12.15,12.3,11.03,11.19,11.19,502000
2016-07-14,11.32,11.42,10.98,11.16,11.16,219500
2016-07-15,11.24,11.73,11.11,11.68,11.68,251400
2016-07-18,11.7,11.85,11.38,11.5,11.5,203400
2016-07-19,11.49,11.5,10.62,10.7,10.7,481000
2016-07-20,10.75,11.01,10.52,10.97,10.97,299500
2016-07-21,11.0,11.41,10.8,10.9,10.9,372700
2016-07-22,10.85,11.04,10.75,10.93,10.93,205700
2016-07-25,10.95,11.08,10.75,10.95,10.95,240600
2016-07-26,11.0,11.27,10.92,10.97,10.97,347800
2016-07-27,10.99,11.23,10.99,11.19,11.19,222400
2016-07-28,11.19,11.83,11.19,11.7,11.7,421700
2016-07-29,11.81,12.0,11.54,11.76,11.76,291300
2016-08-01,11.82,12.1,11.75,11.8,11.8,326800
2016-08-02,11.83,11.96,11.42,11.88,11.88,270200
2016-08-03,11.89,12.56,11.61,12.49,12.49,340200
2016-08-04,12.77,12.86,12.18,12.22,12.22,363700
2016-08-05,12.19,12.67,12.15,12.5,12.5,215000
2016-08-08,12.51,12.59,12.28,12.5,12.5,174200
2016-08-09,12.59,13.71,12.36,13.38,13.38,726500
2016-08-10,12.69,13.63,12.6,12.87,12.87,575300
2016-08-11,11.28,11.72,11.18,11.37,11.37,1682900
2016-08-12,11.36,11.63,11.36,11.51,11.51,567100
2016-08-15,11.58,11.66,11.49,11.51,11.51,446700
2016-08-16,11.55,11.65,11.28,11.31,11.31,385900
2016-08-17,11.28,11.39,11.1,11.28,11.28,341900
2016-08-18,11.25,11.55,11.25,11.54,11.54,304500
2016-08-19,11.55,11.56,11.25,11.34,11.34,512700
2016-08-22,11.38,11.5,11.2,11.22,11.22,339800
2016-08-23,11.27,11.35,11.22,11.26,11.26,208500
2016-08-24,11.23,11.4,10.66,10.74,10.74,574200
2016-08-25,10.73,10.99,10.51,10.74,10.74,296000
2016-08-26,10.77,10.94,10.61,10.78,10.78,217100
2016-08-29,10.89,11.09,10.75,10.92,10.92,177900
2016-08-30,10.88,11.19,10.85,11.07,11.07,203600
2016-08-31,11.08,11.08,10.7,10.74,10.74,456700
2016-09-01,10.73,10.96,10.6,10.76,10.76,216400
2016-09-02,10.77,11.11,10.67,11.1,11.1,182000
2016-09-06,11.14,11.31,10.89,11.19,11.19,189900
2016-09-07,11.05,11.34,11.04,11.23,11.23,283900
2016-09-08,11.26,11.41,11.2,11.39,11.39,331700
2016-09-09,11.36,11.4,10.93,10.94,10.94,303000
2016-09-12,10.95,11.32,10.92,11.25,11.25,307300
2016-09-13,11.16,11.16,10.6,10.92,10.92,265600
2016-09-14,10.92,11.18,10.61,10.87,10.87,213400
2016-09-15,10.87,11.1,10.69,11.07,11.07,275600
2016-09-16,11.1,11.46,11.01,11.28,11.28,551800
2016-09-19,11.25,11.43,11.04,11.34,11.34,257400
2016-09-20,11.39,11.66,11.24,11.41,11.41,182700
2016-09-21,11.46,11.63,11.36,11.51,11.51,226100
2016-09-22,11.55,11.93,11.5,11.9,11.9,217800
2016-09-23,11.75,11.94,11.63,11.64,11.64,216100
2016-09-26,11.56,11.62,11.26,11.4,11.4,203500
2016-09-27,11.37,11.62,11.36,11.52,11.52,150100
2016-09-28,11.5,11.59,11.37,11.52,11.52,188500
2016-09-29,11.57,11.6,11.2,11.22,11.22,187600
2016-09-30,11.25,11.41,11.1,11.16,11.16,223200
2016-10-03,11.07,11.14,10.82,10.89,10.89,229000
2016-10-04,10.9,10.96,10.36,10.46,10.46,332500
2016-10-05,10.5,10.51,10.04,10.07,10.07,434100
2016-10-06,10.03,10.07,9.63,9.71,9.71,433800
2016-10-07,9.68,9.72,9.08,9.09,9.09,485200
2016-10-10,9.22,9.45,9.1,9.15,9.15,291300
2016-10-11,9.1,9.11,8.55,8.61,8.61,470700
2016-10-12,8.55,8.58,7.75,7.8,7.8,858900
2016-10-13,7.93,7.95,7.69,7.78,7.78,505100
2016-10-14,7.8,7.93,7.26,7.34,7.34,624900
2016-10-17,8.63,8.7,7.45,7.6,7.6,3939900
2016-10-18,7.61,7.7,7.2,7.5,7.5,769000
2016-10-19,7.53,7.75,7.32,7.61,7.61,1146600
2016-10-20,7.65,8.28,7.61,8.01,8.01,1684500
2016-10-21,8.71,8.97,8.17,8.52,8.52,2151400
2016-10-24,8.86,9.6,8.7,8.72,8.72,1690000
2016-10-25,8.8,8.95,8.2,8.43,8.43,769800
2016-10-26,8.39,8.49,8.03,8.16,8.16,479600
2016-10-27,8.29,8.44,7.82,7.99,7.99,689500
2016-10-28,8.01,8.04,7.8,7.85,7.85,495600
2016-10-31,8.12,8.22,7.81,8.2,8.2,664700
2016-11-01,8.34,8.46,8.06,8.31,8.31,637500
2016-11-02,8.35,8.75,8.21,8.65,8.65,759100
2016-11-03,8.95,9.34,8.81,9.06,9.06,929300
2016-11-04,9.15,9.99,9.12,9.72,9.72,866900
2016-11-07,10.5,10.5,9.63,9.83,9.83,1233600
2016-11-08,9.75,10.04,9.11,9.23,9.23,859100
2016-11-09,9.6,10.35,9.6,10.13,10.13,1029000
2016-11-10,11.1,12.3,11.04,11.88,11.88,2379000
2016-11-11,11.89,12.95,11.83,12.65,12.65,1165600
2016-11-14,12.89,13.47,12.52,13.46,13.46,1286100
2016-11-15,13.6,14.15,13.49,13.75,13.75,1159200
2016-11-16,13.59,14.03,12.8,12.89,12.89,993200
2016-11-17,12.86,13.41,12.51,13.24,13.24,836800
2016-11-18,13.58,13.61,12.95,13.07,13.07,559900
2016-11-21,13.39,13.42,12.96,13.09,13.09,431800
2016-11-22,13.13,13.43,12.07,12.27,12.27,873700
2016-11-23,12.18,12.77,11.75,12.75,12.75,829200
2016-11-25,13.44,13.46,12.85,12.99,12.99,264800
2016-11-28,13.04,13.12,12.69,12.71,12.71,320800
2016-11-29,12.68,12.8,12.33,12.39,12.39,466200
2016-11-30,12.43,12.59,12.02,12.29,12.29,446300
2016-12-01,12.29,12.37,11.25,11.31,11.31,777000
2016-12-02,11.25,11.3,10.84,10.91,10.91,673000
2016-12-05,11.1,11.41,10.48,10.56,10.56,820700
2016-12-06,10.75,11.15,10.45,11.11,11.11,791100
2016-12-07,10.95,10.95,10.25,10.48,10.48,854300
2016-12-08,10.38,10.44,9.83,10.05,10.05,1222400
2016-12-09,10.12,10.56,9.89,10.1,10.1,685200
2016-12-12,9.98,10.24,9.67,9.73,9.73,528900
2016-12-13,9.65,10.34,9.61,10.15,10.15,458700
2016-12-14,10.03,10.38,10.0,10.3,10.3,435600
2016-12-15,10.3,10.94,10.21,10.89,10.89,511000
2016-12-16,10.92,11.38,10.8,10.96,10.96,907500
2016-12-19,10.99,11.24,10.7,10.82,10.82,280100
2016-12-20,10.77,11.14,10.69,10.85,10.85,279500
2016-12-21,10.73,10.92,10.11,10.13,10.13,393000
2016-12-22,10.01,10.18,9.77,9.84,9.84,349300
2016-12-23,9.8,10.6,9.78,10.55,10.55,293700
2016-12-27,10.7,10.86,10.22,10.25,10.25,304600
2016-12-28,10.25,10.25,10.02,10.1,10.1,195600
2016-12-29,10.04,10.18,9.92,10.01,10.01,254800
2016-12-30,9.87,10.07,9.78,9.92,9.92,350600
2017-01-03,10.04,10.14,9.72,10.1,10.1,402900
2017-01-04,10.13,10.59,10.12,10.5,10.5,403200
2017-01-05,10.54,10.59,10.15,10.43,10.43,461700
2017-01-06,10.55,10.55,9.93,9.95,9.95,463200
2017-01-09,9.87,10.21,9.66,9.9,9.9,482300
2017-01-10,10.0,10.03,9.65,9.84,9.84,355000
2017-01-11,9.79,9.8,9.27,9.37,9.37,585600
2017-01-12,9.27,9.47,9.0,9.31,9.31,366200
2017-01-13,9.31,9.59,9.21,9.33,9.33,277800
2017-01-17,9.22,9.23,8.95,9.03,9.03,306300
2017-01-18,9.04,9.23,9.02,9.22,9.22,188800
2017-01-19,9.2,9.28,9.04,9.05,9.05,172100
2017-01-20,9.04,9.22,9.03,9.1,9.1,217900
2017-01-23,9.19,9.19,8.81,8.95,8.95,227500
2017-01-24,8.95,9.23,8.71,9.21,9.21,205400
2017-01-25,9.25,9.54,9.11,9.52,9.52,229800
2017-01-26,9.52,9.6,9.33,9.49,9.49,239900
2017-01-27,9.47,9.54,9.3,9.44,9.44,139900
2017-01-30,9.42,9.53,9.06,9.26,9.26,211500
2017-01-31,9.25,9.76,9.07,9.69,9.69,308200
2017-02-01,9.77,10.0,9.57,9.68,9.68,329600
2017-02-02,9.68,9.92,9.5,9.71,9.71,205600
2017-02-03,9.75,9.88,9.6,9.69,9.69,266900
2017-02-06,9.71,10.0,9.57,9.9,9.9,229100
2017-02-07,9.95,10.57,9.75,10.29,10.29,488000
2017-02-08,10.28,10.55,10.02,10.44,10.44,242300
2017-02-09,10.45,11.59,10.45,11.3,11.3,629800
2017-02-10,11.36,11.36,10.84,10.93,10.93,288400
2017-02-13,11.1,11.1,10.6,10.68,10.68,249600
2017-02-14,10.57,11.25,10.51,11.21,11.21,252200
2017-02-15,11.1,11.75,11.0,11.58,11.58,534500
2017-02-16,11.61,11.61,11.06,11.09,11.09,281600
2017-02-17,11.07,11.27,10.84,11.02,11.02,307900
2017-02-21,11.23,12.34,11.23,11.46,11.46,1060300
2017-02-22,11.33,12.07,11.32,11.59,11.59,432200
2017-02-23,11.68,11.71,11.36,11.51,11.51,359800
2017-02-24,11.45,11.67,11.25,11.55,11.55,368500
2017-02-27,11.6,12.23,11.6,12.15,12.15,548000
2017-02-28,12.35,12.49,11.8,12.17,12.17,538100
2017-03-01,12.48,12.99,11.91,12.14,12.14,878100
2017-03-02,12.12,12.29,11.56,11.67,11.67,457800
2017-03-03,11.71,12.12,11.66,12.04,12.04,490000
2017-03-06,11.96,12.24,11.67,12.07,12.07,362100
2017-03-07,12.1,12.4,11.7,11.9,11.9,406100
2017-03-08,11.92,12.3,11.8,11.9,11.9,373400
2017-03-09,11.86,12.02,11.45,11.66,11.66,459400
2017-03-10,11.71,11.83,11.24,11.42,11.42,498100
2017-03-13,11.42,11.59,11.1,11.13,11.13,305800
2017-03-14,11.0,11.1,10.6,10.98,10.98,365900
2017-03-15,10.95,11.54,10.77,11.45,11.45,384300
2017-03-16,11.5,11.68,11.2,11.6,11.6,461300
2017-03-17,11.82,12.0,10.52,10.54,10.54,1432500
2017-03-20,10.8,11.97,10.61,11.75,11.75,1195300
2017-03-21,11.75,11.85,11.07,11.12,11.12,585800
2017-03-22,11.11,11.45,11.02,11.28,11.28,415200
2017-03-23,11.28,11.7,11.24,11.36,11.36,319900
2017-03-24,11.4,11.74,11.3,11.56,11.56,344100
2017-03-27,11.45,12.77,11.4,12.67,12.67,981800
2017-03-28,12.51,16.4,12.51,14.1,14.1,3366900
2017-03-29,14.22,15.05,14.22,14.54,14.54,1176800
2017-03-30,15.76,16.0,14.95,15.63,15.63,1796400
2017-03-31,15.54,15.6,14.53,15.12,15.12,1233900
2017-04-03,15.37,16.0,15.14,15.8,15.8,1000700
2017-04-04,15.82,16.27,15.53,15.61,15.61,786500
2017-04-05,15.6,16.549999,15.57,16.18,16.18,1087900
2017-04-06,16.15,16.59,15.76,16.42,16.42,702400
2017-04-07,16.52,16.620001000000002,16.059998999999998,16.48,16.48,633100
2017-04-10,16.48,17.190001000000002,16.15,16.98,16.98,813900
2017-04-11,16.98,17.129998999999998,16.41,16.530001000000002,16.530001000000002,664400
2017-04-12,16.52,16.74,15.76,15.96,15.96,716100
2017-04-13,15.87,15.94,15.24,15.42,15.42,585900
2017-04-17,15.53,16.59,15.52,16.110001,16.110001,547300
2017-04-18,16.0,16.34,15.61,15.95,15.95,517300
2017-04-19,16.02,16.18,15.57,15.65,15.65,517400
2017-04-20,15.7,16.299999,15.7,16.07,16.07,466200
2017-04-21,16.4,16.4,15.85,16.01,16.01,347900
2017-04-24,16.25,16.469998999999998,15.87,16.08,16.08,306200
2017-04-25,16.200001,16.35,15.89,15.93,15.93,341900
2017-04-26,15.87,16.690001000000002,15.87,16.290001,16.290001,465800
2017-04-27,16.469998999999998,16.690001000000002,16.33,16.469998999999998,16.469998999999998,298600
2017-04-28,16.450001,16.57,16.08,16.32,16.32,319000
2017-05-01,16.370001000000002,16.799999,16.33,16.780001000000002,16.780001000000002,326100
2017-05-02,16.85,17.15,15.92,16.15,16.15,409200
2017-05-03,16.16,16.379998999999998,15.32,15.62,15.62,412200
2017-05-04,15.68,15.75,15.2,15.51,15.51,345800
2017-05-05,15.48,15.58,14.86,15.36,15.36,355700
2017-05-08,15.3,15.51,15.11,15.43,15.43,305900
2017-05-09,15.49,16.1,15.12,16.040001,16.040001,362600
2017-05-10,15.88,16.49,15.64,16.139999,16.139999,662500
2017-05-11,14.78,15.49,13.56,14.8,14.8,1454400
2017-05-12,14.86,15.54,14.8,14.88,14.88,545800
2017-05-15,14.86,15.45,14.86,15.01,15.01,495400
2017-05-16,15.05,15.25,14.63,14.95,14.95,430100
2017-05-17,15.63,17.129998999999998,15.61,16.25,16.25,1973400
2017-05-18,16.33,16.549999,16.17,16.440001000000002,16.440001000000002,504700
2017-05-19,16.43,16.549999,15.96,16.07,16.07,422000
2017-05-22,15.91,16.129998999999998,15.56,15.81,15.81,377900
2017-05-23,15.82,16.469998999999998,15.66,15.85,15.85,301300
2017-05-24,15.87,16.299999,15.75,16.09,16.09,406800
2017-05-25,15.84,16.42,15.78,15.84,15.84,354500
2017-05-26,15.8,15.96,15.4,15.7,15.7,299200
2017-05-30,15.63,15.72,14.75,15.12,15.12,518200
2017-05-31,15.18,15.42,14.83,15.11,15.11,277300
2017-06-01,14.95,15.5,14.86,15.37,15.37,287900
2017-06-02,15.17,15.64,15.17,15.38,15.38,389500
2017-06-05,15.46,15.53,15.17,15.49,15.49,287900
2017-06-06,15.42,15.5,15.3,15.48,15.48,256500
2017-06-07,15.45,15.51,15.2,15.22,15.22,326500
2017-06-08,15.25,15.41,14.93,15.0,15.0,355500
2017-06-09,14.95,15.44,14.86,15.29,15.29,514400
2017-06-12,15.28,17.129998999999998,15.14,17.1,17.1,1269700
2017-06-13,17.200001,19.950001,17.15,19.58,19.58,4526500
2017-06-14,19.950001,22.34,19.040001,21.969998999999998,21.969998999999998,3381800
2017-06-15,21.58,22.799999,20.690001000000002,22.15,22.15,2309500
2017-06-16,22.0,25.1,21.85,23.75,23.75,4155800
2017-06-19,23.85,24.799999,23.059998999999998,24.51,24.51,1745000
2017-06-20,24.52,26.35,24.07,24.889999,24.889999,1785900
2017-06-21,25.0,26.629998999999998,24.709999,26.58,26.58,1301000
2017-06-22,26.85,27.09,25.76,26.559998999999998,26.559998999999998,1203200
2017-06-23,26.34,26.6,24.99,25.709999,25.709999,2388300
2017-06-26,25.629998999999998,25.639999,24.15,24.790001,24.790001,927300
