Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,44.709998999999996,44.709998999999996,40.505001,41.849998,41.849998,452500
2016-01-05,42.139998999999996,42.950001,40.200001,40.435001,40.435001,229800
2016-01-06,39.799999,40.0,36.93,37.18,37.18,379100
2016-01-07,36.490002000000004,36.863997999999995,32.971001,34.299999,34.299999,357700
2016-01-08,34.799999,36.880001,34.290001000000004,34.290001000000004,34.290001000000004,331900
2016-01-11,34.290001000000004,35.0,29.030001000000002,30.16,30.16,466300
2016-01-12,30.68,32.98,30.52,32.48,32.48,368600
2016-01-13,32.650002,33.310001,30.41,30.620001000000002,30.620001000000002,221900
2016-01-14,30.67,33.150002,28.290001,32.259997999999996,32.259997999999996,374800
2016-01-15,31.290001,31.290001,28.555,29.4,29.4,298900
2016-01-19,30.110001,30.379998999999998,26.950001,27.469998999999998,27.469998999999998,193000
2016-01-20,26.959999,31.780001000000002,26.040001,31.129998999999998,31.129998999999998,453800
2016-01-21,31.030001000000002,32.0,29.811001,30.440001000000002,30.440001000000002,362800
2016-01-22,30.5,32.758998999999996,30.43,30.75,30.75,297000
2016-01-25,30.610001,31.6,29.719998999999998,30.540001,30.540001,319800
2016-01-26,31.290001,31.290001,29.6,30.58,30.58,292200
2016-01-27,30.15,30.549999,27.299999,27.57,27.57,347600
2016-01-28,27.93,28.27,25.049999,25.58,25.58,205500
2016-01-29,25.67,28.450001,25.15,28.17,28.17,387500
2016-02-01,27.84,29.65,26.93,29.360001,29.360001,290500
2016-02-02,28.67,28.700001,26.1,27.68,27.68,430200
2016-02-03,27.809998999999998,29.305,24.596001,28.9,28.9,353600
2016-02-04,28.48,29.23,27.27,28.51,28.51,423500
2016-02-05,28.16,29.469998999999998,25.139999,25.139999,25.139999,286500
2016-02-08,24.76,24.908001000000002,22.49,22.639999,22.639999,281100
2016-02-09,22.1,23.41,21.200001,22.459999,22.459999,330000
2016-02-10,22.610001,25.66,21.889999,24.1,24.1,255800
2016-02-11,24.0,25.0,23.43,24.709999,24.709999,252800
2016-02-12,25.02,25.219998999999998,24.1,24.440001000000002,24.440001000000002,308500
2016-02-16,24.709999,30.0,24.709999,29.17,29.17,464200
2016-02-17,29.790001,33.599998,29.450001,32.689999,32.689999,557100
2016-02-18,33.02,34.009997999999996,31.73,32.240002000000004,32.240002000000004,316900
2016-02-19,32.18,34.259997999999996,31.139999,34.02,34.02,230300
2016-02-22,34.740002000000004,35.0,33.560001,33.919998,33.919998,215300
2016-02-23,33.810001,34.25,32.07,32.200001,32.200001,282000
2016-02-24,31.690001000000002,33.369999,29.59,32.790001000000004,32.790001000000004,320300
2016-02-25,33.09,33.09,31.25,32.0,32.0,223500
2016-02-26,32.32,33.419998,31.15,32.259997999999996,32.259997999999996,206300
2016-02-29,32.34,33.380001,31.556998999999998,31.860001,31.860001,218700
2016-03-01,32.310001,33.919998,31.360001,33.869999,33.869999,229200
2016-03-02,33.779999,38.59,33.310001,38.060001,38.060001,685200
2016-03-03,38.009997999999996,38.310001,33.869999,34.18,34.18,366300
2016-03-04,34.389998999999996,37.82,33.669998,34.529999,34.529999,407200
2016-03-07,34.400002,37.59,33.740002000000004,35.689999,35.689999,431600
2016-03-08,35.330002,35.5,31.9,32.029999,32.029999,519000
2016-03-09,32.990002000000004,33.849998,31.110001,31.924999,31.924999,401300
2016-03-10,32.23,34.0,30.75,31.879998999999998,31.879998999999998,255100
2016-03-11,32.27,33.91,32.0,33.82,33.82,241600
2016-03-14,33.790001000000004,35.349998,33.439999,34.200001,34.200001,317200
