Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.92,10.19,9.81,10.0,10.0,3978900
2016-01-05,9.97,10.09,9.74,9.82,9.82,4127400
2016-01-06,9.7,9.84,8.95,9.14,9.14,9265000
2016-01-07,8.97,9.19,8.63,8.83,8.83,6985300
2016-01-08,8.9,9.2,8.77,8.82,8.82,4359000
2016-01-11,9.1,9.16,8.41,8.6,8.6,6172900
2016-01-12,8.63,8.87,8.31,8.73,8.73,5026400
2016-01-13,8.87,8.95,8.22,8.29,8.29,4980700
2016-01-14,8.32,8.4,7.56,8.23,8.23,6739500
2016-01-15,7.87,8.27,7.58,8.23,8.23,8204700
2016-01-19,8.29,8.33,7.65,7.83,7.83,4655600
2016-01-20,7.66,8.02,7.12,7.88,7.88,6864100
2016-01-21,7.77,8.06,7.58,7.83,7.83,5058500
2016-01-22,8.0,8.34,7.86,8.24,8.24,3174400
2016-01-25,8.11,8.3,7.86,7.96,7.96,5473300
2016-01-26,7.97,8.1,7.7,8.01,8.01,2388700
2016-01-27,7.9,8.08,7.71,7.86,7.86,2656900
2016-01-28,8.04,8.05,7.63,7.69,7.69,3601900
2016-01-29,7.77,8.07,7.64,8.04,8.04,3588300
2016-02-01,7.94,8.0,7.73,7.92,7.92,2804700
2016-02-02,7.8,7.88,7.61,7.66,7.66,2820300
2016-02-03,7.74,7.82,7.42,7.79,7.79,2673600
2016-02-04,7.71,8.47,7.64,8.44,8.44,4098000
2016-02-05,8.44,8.54,8.15,8.26,8.26,3868300
2016-02-08,8.23,8.24,7.57,7.7,7.7,3665900
2016-02-09,7.74,8.18,7.65,7.76,7.76,3938900
2016-02-10,7.86,8.15,7.78,7.85,7.85,2880300
2016-02-11,7.75,8.04,7.64,8.0,8.0,2860400
2016-02-12,8.14,8.18,7.83,7.89,7.89,2721600
2016-02-16,7.93,7.99,7.73,7.99,7.99,3568700
2016-02-17,7.96,9.11,7.94,8.78,8.78,6772300
2016-02-18,8.75,8.98,8.56,8.73,8.73,3385800
2016-02-19,8.7,8.93,8.59,8.82,8.82,2358800
2016-02-22,9.02,9.37,9.02,9.16,9.16,3383400
2016-02-23,9.06,9.12,8.81,8.83,8.83,2867200
2016-02-24,8.73,8.96,8.56,8.84,8.84,2920900
2016-02-25,8.89,9.16,8.85,9.14,9.14,3140400
2016-02-26,9.17,9.38,9.01,9.31,9.31,2696300
2016-02-29,9.37,9.52,9.24,9.3,9.3,6132200
2016-03-01,9.25,9.35,8.58,9.35,9.35,5630800
2016-03-02,9.26,9.7,9.25,9.68,9.68,4766800
2016-03-03,9.75,9.81,9.52,9.6,9.6,2565300
2016-03-04,9.63,9.89,9.56,9.7,9.7,3026300
2016-03-07,9.69,10.77,9.67,10.21,10.21,6465500
2016-03-08,10.1,10.24,9.96,9.96,9.96,2792900
2016-03-09,10.04,10.19,9.91,10.04,10.04,2539700
2016-03-10,10.07,10.14,9.7,9.95,9.95,3080700
2016-03-11,10.1,10.24,9.96,10.21,10.21,2524000
2016-03-14,10.17,10.3,10.09,10.27,10.27,2617600
2016-03-15,10.12,10.15,9.79,9.94,9.94,3494900
2016-03-16,9.96,10.33,9.86,10.23,10.23,3394100
2016-03-17,10.28,11.06,10.2,10.99,10.99,7544900
2016-03-18,11.15,11.47,11.02,11.04,11.04,7505900
2016-03-21,11.0,11.33,10.98,11.21,11.21,4035500
2016-03-22,11.1,11.85,11.08,11.6,11.6,6605200
2016-03-23,11.63,11.84,11.3,11.33,11.33,5306800
2016-03-24,11.33,11.39,10.96,11.28,11.28,4749800
2016-03-28,11.57,11.72,11.14,11.16,11.16,5489100
2016-03-29,11.16,11.16,10.28,11.07,11.07,5843700
2016-03-30,9.99,10.49,9.83,9.9,9.9,12035100
2016-03-31,9.96,10.56,9.86,10.39,10.39,6923200
2016-04-01,10.25,10.48,10.13,10.41,10.41,4186200
2016-04-04,10.28,10.62,10.26,10.4,10.4,3614300
2016-04-05,10.22,10.44,10.2,10.28,10.28,4621300
2016-04-06,10.3,10.68,10.25,10.68,10.68,4504800
2016-04-07,10.53,10.77,10.47,10.63,10.63,3582100
2016-04-08,10.73,10.88,10.6,10.73,10.73,3471600
2016-04-11,10.79,11.07,10.7,10.75,10.75,3195100
2016-04-12,10.82,10.86,10.57,10.79,10.79,2745000
2016-04-13,10.82,10.98,10.69,10.96,10.96,2856400
2016-04-14,10.96,10.99,10.75,10.82,10.82,2099200
2016-04-15,10.8,10.89,10.63,10.8,10.8,1976000
2016-04-18,10.87,11.08,10.83,11.05,11.05,2866500
2016-04-19,11.09,11.1,10.86,10.93,10.93,2675600
2016-04-20,11.03,11.1,10.91,11.04,11.04,2441400
2016-04-21,11.01,11.39,10.92,11.29,11.29,3399800
2016-04-22,11.29,11.36,11.16,11.25,11.25,1905600
2016-04-25,11.25,11.28,11.03,11.12,11.12,1856900
2016-04-26,11.22,11.36,11.05,11.22,11.22,3114300
2016-04-27,11.11,11.22,10.87,10.89,10.89,4290400
2016-04-28,10.92,11.11,10.72,10.84,10.84,2921800
2016-04-29,10.82,10.98,10.58,10.75,10.75,3121900
2016-05-02,10.8,10.8,10.15,10.46,10.46,4791900
2016-05-03,10.28,10.62,10.18,10.34,10.34,2561500
2016-05-04,10.23,10.29,9.68,9.8,9.8,5297300
2016-05-05,9.82,9.85,9.65,9.75,9.75,3619500
2016-05-06,9.73,9.85,9.57,9.73,9.73,2839700
2016-05-09,10.11,10.37,10.01,10.26,10.26,4676900
2016-05-10,10.48,10.57,10.04,10.38,10.38,4580500
2016-05-11,10.29,10.35,9.91,9.93,9.93,3838500
2016-05-12,9.93,10.03,9.33,9.55,9.55,4798900
2016-05-13,9.56,9.9,9.55,9.75,9.75,3333900
2016-05-16,9.83,10.0,9.82,9.97,9.97,2305200
2016-05-17,9.89,10.15,9.86,9.96,9.96,2482300
2016-05-18,9.86,10.1,9.85,10.0,10.0,2323500
2016-05-19,9.88,10.03,9.76,9.81,9.81,2646100
2016-05-20,9.85,10.25,9.85,10.15,10.15,3252500
2016-05-23,10.15,10.33,10.02,10.05,10.05,2065700
2016-05-24,10.15,10.49,10.11,10.44,10.44,2834100
2016-05-25,10.53,10.79,10.48,10.54,10.54,2585700
2016-05-26,10.59,10.66,10.42,10.43,10.43,1644900
2016-05-27,10.55,10.55,10.11,10.42,10.42,2318900
2016-05-31,10.46,10.65,10.41,10.63,10.63,2268700
2016-06-01,10.53,10.59,10.37,10.53,10.53,1682800
2016-06-02,10.5,10.67,10.41,10.65,10.65,2147200
2016-06-03,10.64,10.64,9.99,10.01,10.01,5727900
2016-06-06,10.01,10.03,9.72,10.03,10.03,5697100
2016-06-07,10.02,10.04,9.89,9.89,9.89,2438000
2016-06-08,9.95,10.0,9.75,9.78,9.78,3622200
2016-06-09,9.7,9.8,9.6,9.61,9.61,3540900
2016-06-10,9.5,9.55,9.28,9.3,9.3,4136500
2016-06-13,9.3,9.6,9.26,9.26,9.26,3426600
2016-06-14,9.22,9.31,8.83,9.05,9.05,5440200
2016-06-15,9.06,9.41,9.04,9.23,9.23,4242000
2016-06-16,9.07,9.33,8.97,9.28,9.28,4205600
2016-06-17,9.32,9.36,9.0,9.05,9.05,4560500
2016-06-20,9.23,9.32,9.1,9.19,9.19,5182400
2016-06-21,9.97,9.99,9.54,9.7,9.7,11370700
2016-06-22,9.67,9.67,9.3,9.36,9.36,4973900
2016-06-23,9.52,9.75,9.46,9.75,9.75,3149900
2016-06-24,9.75,9.75,9.75,9.75,9.75,0
2016-06-27,9.28,9.38,8.71,8.82,8.82,5570400
2016-06-28,9.05,9.26,9.01,9.26,9.26,3725500
2016-06-29,9.34,9.36,9.15,9.3,9.3,2871200
2016-06-30,9.12,9.46,9.07,9.34,9.34,3613400
2016-07-01,9.36,9.74,9.35,9.72,9.72,4508900
2016-07-05,9.64,9.64,9.43,9.56,9.56,2472400
2016-07-06,9.47,9.87,9.41,9.85,9.85,4692100
2016-07-07,9.86,9.95,9.74,9.86,9.86,1739900
2016-07-08,9.93,10.0,9.86,9.87,9.87,2043800
2016-07-11,9.91,10.03,9.8,9.82,9.82,1928900
2016-07-12,9.93,10.0,9.84,9.91,9.91,2544700
2016-07-13,9.83,9.93,9.6,9.61,9.61,2431300
2016-07-14,9.75,9.86,9.67,9.85,9.85,1495000
2016-07-15,9.82,9.98,9.76,9.95,9.95,1647300
2016-07-18,10.0,10.08,9.96,10.04,10.04,2326800
2016-07-19,10.02,10.06,9.89,9.89,9.89,3164600
2016-07-20,10.0,10.0,9.8,9.93,9.93,2552800
2016-07-21,9.99,10.1,9.8,9.89,9.89,2317500
2016-07-22,9.95,10.0,9.82,9.97,9.97,1491900
2016-07-25,10.01,10.05,9.9,9.95,9.95,1701100
2016-07-26,10.04,10.08,9.92,9.97,9.97,2132900
2016-07-27,10.1,10.1,9.85,9.95,9.95,2405200
2016-07-28,9.97,9.99,9.83,9.89,9.89,1666100
2016-07-29,9.89,9.96,9.76,9.95,9.95,2153100
2016-08-01,9.93,10.09,9.87,10.07,10.07,3156600
2016-08-02,10.01,10.05,9.79,9.88,9.88,3367800
2016-08-03,9.82,9.98,9.77,9.98,9.98,2600500
2016-08-04,9.91,10.04,9.88,9.97,9.97,2924600
2016-08-05,10.0,10.12,9.95,10.11,10.11,3415500
2016-08-08,10.19,10.22,10.05,10.11,10.11,4715600
2016-08-09,10.51,10.54,10.12,10.14,10.14,5258700
2016-08-10,10.19,10.19,9.9,9.92,9.92,3882500
2016-08-11,9.97,10.06,9.92,10.05,10.05,2157200
2016-08-12,10.05,10.06,9.97,10.06,10.06,1451500
2016-08-15,10.1,10.1,10.01,10.08,10.08,1973400
2016-08-16,10.0,10.07,9.98,10.0,10.0,2036700
2016-08-17,10.0,10.05,9.82,9.86,9.86,1906200
2016-08-18,9.85,9.96,9.81,9.86,9.86,1367700
2016-08-19,9.85,9.88,9.76,9.83,9.83,1426100
2016-08-22,9.8,9.84,9.7,9.8,9.8,1978600
2016-08-23,9.88,9.91,9.37,9.52,9.52,5376500
2016-08-24,9.53,9.65,9.15,9.24,9.24,4786200
2016-08-25,9.24,9.3,8.91,9.03,9.03,4821500
2016-08-26,9.09,9.28,9.0,9.12,9.12,3116700
2016-08-29,9.1,9.31,9.08,9.28,9.28,2229200
2016-08-30,9.33,9.46,9.25,9.33,9.33,2283600
2016-08-31,9.26,9.26,9.07,9.1,9.1,2793300
2016-09-01,9.31,9.54,9.19,9.29,9.29,3515300
2016-09-02,9.34,9.39,9.16,9.33,9.33,2061200
2016-09-06,9.32,9.48,9.19,9.36,9.36,3026900
2016-09-07,9.39,9.6,9.38,9.59,9.59,2632400
2016-09-08,9.61,9.95,9.56,9.91,9.91,3109600
2016-09-09,9.79,9.89,9.73,9.75,9.75,3584100
2016-09-12,9.66,9.9,9.55,9.89,9.89,3835900
2016-09-13,9.8,10.09,9.76,10.04,10.04,4469100
2016-09-14,10.02,10.23,9.96,10.19,10.19,8145200
2016-09-15,10.2,10.31,10.11,10.22,10.22,3787400
2016-09-16,10.16,10.32,10.15,10.21,10.21,3875100
2016-09-19,10.14,10.39,10.14,10.31,10.31,2755500
2016-09-20,10.34,10.5,10.31,10.5,10.5,3733100
2016-09-21,10.43,10.69,10.39,10.68,10.68,3227900
2016-09-22,10.65,10.95,10.62,10.86,10.86,3963900
2016-09-23,10.79,11.2,10.79,11.09,11.09,4326500
2016-09-26,11.0,11.1,10.92,11.06,11.06,2234800
2016-09-27,11.1,11.31,11.08,11.19,11.19,3101200
2016-09-28,11.18,11.18,10.83,10.87,10.87,3834800
2016-09-29,10.8,10.84,10.45,10.6,10.6,4120700
2016-09-30,10.59,10.65,10.47,10.59,10.59,2461000
2016-10-03,10.59,10.75,10.57,10.69,10.69,3319700
2016-10-04,10.7,10.75,10.51,10.59,10.59,2437800
2016-10-05,10.69,10.91,10.67,10.74,10.74,3947500
2016-10-06,10.59,10.66,10.41,10.43,10.43,2665700
2016-10-07,9.84,9.93,9.53,9.91,9.91,8360400
2016-10-10,9.87,10.02,9.85,9.95,9.95,2488500
2016-10-11,9.94,9.99,9.57,9.66,9.66,2784700
2016-10-12,9.7,9.74,9.47,9.56,9.56,2490100
2016-10-13,9.52,9.65,9.41,9.56,9.56,2640800
2016-10-14,9.6,9.69,9.42,9.45,9.45,2443500
2016-10-17,9.48,9.56,9.25,9.31,9.31,3376100
2016-10-18,9.42,9.45,9.25,9.4,9.4,2648800
2016-10-19,9.37,9.39,9.13,9.29,9.29,2594900
2016-10-20,9.46,9.48,9.19,9.45,9.45,2861000
2016-10-21,9.39,9.44,9.32,9.39,9.39,2180200
2016-10-24,9.4,9.56,9.4,9.41,9.41,1629300
2016-10-25,9.37,9.52,9.28,9.4,9.4,1940600
2016-10-26,9.33,9.42,9.22,9.26,9.26,2519000
2016-10-27,9.33,9.45,9.15,9.41,9.41,2662000
2016-10-28,9.4,9.55,9.3,9.46,9.46,2286800
2016-10-31,9.47,9.49,9.35,9.42,9.42,1935600
2016-11-01,9.35,9.57,9.34,9.56,9.56,2495100
2016-11-02,9.56,9.62,9.43,9.44,9.44,2665800
2016-11-03,9.49,9.6,9.39,9.55,9.55,4687800
2016-11-04,9.54,9.78,9.49,9.78,9.78,3410900
2016-11-07,9.94,9.94,9.69,9.73,9.73,4733800
2016-11-08,9.72,9.73,8.92,9.13,9.13,6530300
2016-11-09,9.28,9.75,9.26,9.58,9.58,5991900
2016-11-10,9.61,9.74,9.35,9.38,9.38,4178300
2016-11-11,9.35,9.48,9.17,9.45,9.45,5788400
2016-11-14,9.41,10.46,9.37,10.38,10.38,7182600
2016-11-15,10.22,10.48,10.11,10.23,10.23,4781000
2016-11-16,10.09,10.61,10.07,10.25,10.25,3830000
2016-11-17,10.34,10.54,10.28,10.46,10.46,2920600
2016-11-18,10.5,10.69,10.23,10.48,10.48,2909600
2016-11-21,10.46,10.53,10.36,10.44,10.44,1893000
2016-11-22,10.34,10.37,10.14,10.2,10.2,2561800
2016-11-23,10.08,10.75,10.01,10.7,10.7,4054700
2016-11-25,10.7,10.97,10.65,10.83,10.83,3256400
2016-11-28,10.87,10.9,10.54,10.62,10.62,2893300
2016-11-29,10.62,10.71,10.47,10.51,10.51,2291300
2016-11-30,10.55,10.59,10.37,10.39,10.39,2363200
2016-12-01,10.44,10.54,10.18,10.31,10.31,3469100
2016-12-02,10.34,10.49,10.23,10.4,10.4,2916600
2016-12-05,10.52,10.85,10.46,10.79,10.79,3190200
2016-12-06,10.89,11.5,10.89,11.33,11.33,6627400
2016-12-07,11.23,11.33,10.88,10.93,10.93,4609000
2016-12-08,10.88,10.91,10.61,10.81,10.81,3374000
2016-12-09,10.9,11.11,10.84,10.97,10.97,2656600
2016-12-12,11.06,11.7,11.06,11.65,11.65,6570200
2016-12-13,11.8,12.0,11.7,11.91,11.91,6424000
